rank,run,R@0.25,P@0.25,F1@0.25,R@F1max,P@F1max,peakR(ref),data,note
1,023_yolo11s_p2_nose,0.0368,0.5655,0.0691,0.1987,0.2918,0.4282,configs/own_dataset.yaml,
2,036_yolo11s_dinov3_vitms,0.0486,0.5734,0.0896,0.0644,0.5297,0.3242,configs/own_dataset_weak.yaml,
3,035_yolo11s_dinov3_convnext,0.0998,0.3200,0.1521,0.1979,0.2258,0.487,configs/own_dataset_weak.yaml,
4,037_yolo11s_dinov3_hybrid,0.1278,0.3661,0.1895,0.1381,0.2578,0.409,configs/own_dataset_weak.yaml,
5,041_yolo11s_dinov3_convnext_100ep,0.2233,0.3392,0.2693,0.236,0.3328,0.6444,configs/own_dataset_weak.yaml,
6,039_yolo11s_dinov3_vitms,0.2420,0.3288,0.2788,0.2365,0.3433,0.6312,configs/own_dataset_weak.yaml,
7,038_yolo11s_dinov3_convnext,0.2429,0.3404,0.2835,0.3002,0.3094,0.6635,configs/own_dataset_weak.yaml,
8,040_yolo11s_dinov3_hybrid,0.2435,0.3485,0.2867,0.2892,0.3079,0.7154,configs/own_dataset_weak.yaml,
9,042_yolo11s_dinov3_vitms_100ep,0.2662,0.3720,0.3103,0.2913,0.3345,0.5233,configs/own_dataset_weak.yaml,
10,043_yolo11s_dinov3_hybrid_100ep,0.3050,0.3964,0.3447,0.3761,0.3218,0.6814,configs/own_dataset_weak.yaml,
11,049_yolo11s_v2_multiscale,0.3574,0.6187,0.4531,0.3923,0.5693,0.7858,configs/own_dataset_v2.yaml,
12,022_yolo11m_1280,0.4266,0.5872,0.4942,0.5015,0.5467,0.8118,configs/own_dataset.yaml,
13,011_yolo11s_psa_p345,0.4303,0.5149,0.4688,0.475,0.4877,0.7947,configs/own_dataset.yaml,
14,027_yolo11s_dinov3_fusion_v2,0.4379,0.4518,0.4447,0.543,0.3615,0.7944,configs/own_dataset.yaml,
15,010_yolo11s_psa_p4,0.4558,0.5763,0.5090,0.4899,0.5588,0.8153,configs/own_dataset.yaml,
16,052_yolo26s_v2,0.4759,0.6775,0.5591,0.5775,0.5789,0.8009,configs/own_dataset_v2.yaml,
17,057_yolo26s_v2_cos,0.4824,0.6155,0.5409,0.5494,0.5623,0.8175,configs/own_dataset_v2.yaml,
18,026_dinov3_full,0.4838,0.5106,0.4968,0.4481,0.5797,0.7528,configs/own_dataset.yaml,
19,020_yolo11s_strong_aug,0.4870,0.5455,0.5146,0.5548,0.4943,0.7958,configs/own_dataset.yaml,
20,015_yoloworlds_psa,0.4899,0.5622,0.5236,0.62,0.4644,0.8216,configs/own_dataset_world.yaml,
21,009_yolo11s_psa_p3,0.4971,0.5419,0.5185,0.5055,0.534,0.8005,configs/own_dataset.yaml,
22,017_yolo11s_p2_deep_se,0.4982,0.5955,0.5425,0.4956,0.6047,0.8335,configs/own_dataset.yaml,
23,051_yolo10s_v2,0.4988,0.6866,0.5778,0.5357,0.641,0.777,configs/own_dataset_v2.yaml,
24,016_yolo11s_enhanced,0.5041,0.5703,0.5352,0.4651,0.646,0.8431,configs/own_dataset.yaml,
25,005_yolo26n,0.5097,0.5960,0.5495,0.5424,0.5707,0.8002,configs/own_dataset.yaml,
26,012_yolov8s_psa_p5,0.5224,0.5821,0.5506,0.5308,0.5822,0.8082,configs/own_dataset.yaml,
27,044_yolo11s_v2baseline,0.5316,0.5355,0.5335,0.5616,0.5203,0.8056,configs/own_dataset_v2.yaml,
28,033_yolo11s_1280_weakfinetune,0.5326,0.6214,0.5736,0.6108,0.5367,0.7922,configs/own_dataset_weak.yaml,
29,021_yolo11s_freeze,0.5337,0.5464,0.5400,0.493,0.7119,0.767,configs/own_dataset.yaml,
30,050_yolo10s,0.5354,0.5599,0.5474,0.5176,0.6117,0.8073,configs/own_dataset.yaml,
31,013_yolov8s_psa,0.5374,0.5957,0.5651,0.495,0.7337,0.8061,configs/own_dataset.yaml,
32,030_yolo11s_multiscale,0.5422,0.5962,0.5679,0.5325,0.6456,0.8271,configs/own_dataset.yaml,
33,034_yolo11s_1280_oversample,0.5430,0.5768,0.5594,0.547,0.576,0.8143,configs/own_dataset_oversampled.yaml,
34,054_yolo26s_hp_cos,0.5625,0.6137,0.5870,0.6241,0.5696,0.828,configs/own_dataset.yaml,
35,018_yolo11s_1280,0.5630,0.5632,0.5631,0.649,0.4992,0.8093,configs/own_dataset.yaml,
