run,R@0.10,P@0.10,R@0.25,P@0.25,R@0.50,P@0.50,R@F1max,P@F1max,F1max_conf,peakR,peakR_P
053_yolo26s_hp_ep200,0.8501,0.7205,0.8095,0.8381,0.7411,0.9382,0.7966,0.8702,0.304,0.9249,0.1943
024_yolo11s_640_300ep,0.83,0.553,0.7858,0.7357,0.6668,0.9407,0.7435,0.8371,0.369,0.8875,0.0827
004_yolo11s,0.8357,0.5853,0.7826,0.7555,0.6527,0.8473,0.7713,0.7795,0.273,0.8918,0.0896
056_yolo26s_hp_ep200cos,0.8343,0.6434,0.7813,0.7889,0.6728,0.9232,0.7677,0.8411,0.302,0.9159,0.1349
002_yolov8s,0.8479,0.579,0.7729,0.7296,0.687,0.857,0.7505,0.8076,0.366,0.8907,0.1033
007_yoloworld_s_v2,0.8126,0.5609,0.7676,0.7336,0.6411,0.9064,0.7431,0.777,0.318,0.8894,0.0792
014_yolo11s_psa,0.8249,0.5369,0.7605,0.7098,0.6127,0.8706,0.7612,0.7101,0.249,0.8906,0.0743
019_yolo11s_cls_weight,0.8067,0.553,0.7513,0.7238,0.6106,0.8945,0.7193,0.7687,0.32,0.8799,0.1056
029_yolo11s_clspw,0.7996,0.5228,0.7476,0.6746,0.6264,0.8483,0.7176,0.724,0.339,0.8856,0.0766
031_yolo11s_copypaste,0.7901,0.5691,0.746,0.7213,0.6388,0.8619,0.7176,0.78,0.346,0.8892,0.0851
018_yolo11s_1280,0.8322,0.5936,0.741,0.7613,0.6179,0.9248,0.7654,0.7466,0.226,0.9046,0.0922
054_yolo26s_hp_cos,0.8221,0.6445,0.7288,0.8154,0.6181,0.951,0.7251,0.8267,0.261,0.918,0.1091
021_yolo11s_freeze,0.7644,0.598,0.7213,0.7618,0.6187,0.9233,0.716,0.7845,0.272,0.8639,0.0894
001_yolov8n,0.7857,0.4822,0.7081,0.6716,0.626,0.8976,0.6451,0.8802,0.428,0.8639,0.0436
034_yolo11s_1280_oversample,0.7698,0.549,0.7068,0.7152,0.562,0.8912,0.6777,0.7652,0.318,0.8953,0.0757
008_yolo11s_randaug,0.8117,0.525,0.7048,0.7032,0.5567,0.899,0.7148,0.6912,0.233,0.8824,0.0544
006_yolo26s,0.7936,0.6028,0.703,0.7523,0.5982,0.9191,0.7486,0.7192,0.193,0.9197,0.095
055_yolo26s_hp_lr02,0.7936,0.6028,0.703,0.7523,0.5982,0.9191,0.7486,0.7192,0.193,0.9197,0.095
032_yolo11s_weakfinetune,0.7878,0.5341,0.7012,0.6593,0.6018,0.8477,0.6647,0.7328,0.348,0.8755,0.0727
050_yolo10s,0.7789,0.5817,0.6911,0.7335,0.5774,0.9002,0.687,0.7449,0.265,0.8854,0.1067
033_yolo11s_1280_weakfinetune,0.7578,0.5918,0.684,0.7347,0.5223,0.8809,0.7118,0.7095,0.209,0.8802,0.09
012_yolov8s_psa_p5,0.7536,0.4785,0.6812,0.731,0.5558,0.9234,0.6378,0.8719,0.357,0.8651,0.0551
013_yolov8s_psa,0.7305,0.4681,0.6795,0.7073,0.5728,0.9333,0.6413,0.806,0.365,0.8711,0.0598
003_yolo11n,0.7228,0.4703,0.6639,0.6848,0.5618,0.8351,0.632,0.7808,0.362,0.8691,0.0433
017_yolo11s_p2_deep_se,0.7094,0.3899,0.6378,0.6208,0.537,0.8197,0.5999,0.7072,0.361,0.9145,0.0406
020_yolo11s_strong_aug,0.7206,0.541,0.6375,0.7451,0.4788,0.8703,0.647,0.735,0.239,0.8609,0.0771
016_yolo11s_enhanced,0.6983,0.3677,0.6144,0.5975,0.4653,0.726,0.6131,0.601,0.255,0.8659,0.0346
015_yoloworlds_psa,0.6965,0.4515,0.6047,0.6463,0.489,0.8584,0.5872,0.6917,0.293,0.8558,0.0415
010_yolo11s_psa_p4,0.7005,0.3584,0.5942,0.5929,0.4297,0.8785,0.5459,0.7337,0.321,0.8532,0.0362
009_yolo11s_psa_p3,0.6742,0.4139,0.5829,0.6523,0.4251,0.8291,0.5693,0.6713,0.277,0.8476,0.0335
005_yolo26n,0.6997,0.5253,0.5747,0.7202,0.4374,0.9129,0.664,0.6212,0.145,0.8842,0.0587
030_yolo11s_multiscale,0.6759,0.4475,0.5535,0.633,0.3912,0.9133,0.5977,0.5897,0.197,0.8653,0.0373
045_yolo11s_v2full,0.654,0.4024,0.5476,0.5602,0.434,0.6915,0.5964,0.5185,0.194,0.8002,0.0526
022_yolo11m_1280,0.6626,0.4895,0.5474,0.6907,0.3844,0.914,0.5326,0.776,0.291,0.8543,0.0634
011_yolo11s_psa_p345,0.6571,0.3279,0.5397,0.6171,0.3755,0.8738,0.5529,0.5916,0.234,0.8381,0.0325
