epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0703,1.89034,4.71614,1.63512,0.82085,0.0621,0.11566,0.07749,1.80511,4.90299,1.31645,0.000156923,0.000156923,0.000156923
2,71.216,1.75977,3.8768,1.43888,0.43627,0.21238,0.16017,0.10738,1.98596,4.60925,1.4206,0.000312465,0.000312465,0.000312465
3,102.833,1.81065,3.67645,1.49654,0.39447,0.23096,0.19628,0.10905,2.01156,4.49957,1.47676,0.000464866,0.000464866,0.000464866
4,134.726,1.74682,3.43339,1.46434,0.30839,0.27558,0.18244,0.11449,1.9892,4.11831,1.41011,0.000461863,0.000461863,0.000461863
5,167.377,1.72925,3.29508,1.44168,0.62184,0.21909,0.25039,0.15632,1.89407,3.9623,1.41482,0.00045715,0.00045715,0.00045715
6,198.017,1.69112,3.093,1.41846,0.43485,0.24483,0.25588,0.15649,1.82876,3.62001,1.39384,0.000452438,0.000452438,0.000452438
7,230.413,1.67179,3.01474,1.41107,0.53322,0.2592,0.26935,0.169,1.84051,3.50645,1.33715,0.000447726,0.000447726,0.000447726
8,261.073,1.6147,2.8209,1.37225,0.40071,0.29066,0.27465,0.18189,1.7413,3.15957,1.30631,0.000443013,0.000443013,0.000443013
9,292.682,1.60722,2.76187,1.36185,0.38457,0.34873,0.28717,0.18132,1.71828,3.00195,1.27933,0.000438301,0.000438301,0.000438301
10,323.125,1.60449,2.71231,1.37228,0.48982,0.28582,0.28128,0.18109,1.6966,2.87679,1.30365,0.000433588,0.000433588,0.000433588
11,355.558,1.56352,2.58918,1.34031,0.40207,0.37469,0.34321,0.20831,1.7179,2.65965,1.26225,0.000428876,0.000428876,0.000428876
12,385.195,1.56611,2.57719,1.32974,0.52125,0.30678,0.3388,0.21661,1.72503,2.74892,1.28478,0.000424164,0.000424164,0.000424164
13,416.945,1.54099,2.5094,1.33574,0.48181,0.36181,0.36033,0.20829,1.74467,2.60878,1.27173,0.000419451,0.000419451,0.000419451
14,447.353,1.49903,2.42981,1.29682,0.54748,0.37519,0.37006,0.23067,1.69767,2.47904,1.22763,0.000414739,0.000414739,0.000414739
15,477.647,1.51103,2.43219,1.30482,0.54856,0.37366,0.36858,0.2288,1.72452,2.63853,1.26999,0.000410026,0.000410026,0.000410026
16,509.557,1.53625,2.43868,1.31161,0.50373,0.36414,0.38397,0.23437,1.71091,2.49606,1.2445,0.000405314,0.000405314,0.000405314
17,540.866,1.52315,2.32496,1.29275,0.48533,0.32674,0.33734,0.21267,1.70452,2.60145,1.30469,0.000400602,0.000400602,0.000400602
18,571.495,1.49671,2.31727,1.28805,0.50547,0.38045,0.39979,0.24162,1.66936,2.51263,1.24358,0.000395889,0.000395889,0.000395889
19,603.18,1.43747,2.18655,1.25578,0.59602,0.36712,0.39498,0.23599,1.66279,2.34549,1.25984,0.000391177,0.000391177,0.000391177
20,635.442,1.46595,2.20923,1.28065,0.50378,0.43784,0.41288,0.25503,1.65603,2.31564,1.2162,0.000386464,0.000386464,0.000386464
21,667.672,1.40818,2.14197,1.24866,0.53401,0.41285,0.42168,0.25942,1.687,2.2283,1.2458,0.000381752,0.000381752,0.000381752
22,697.488,1.4463,2.21331,1.26655,0.53748,0.36491,0.40147,0.25191,1.62519,2.33495,1.20933,0.00037704,0.00037704,0.00037704
23,727.985,1.44471,2.12679,1.25225,0.59194,0.37192,0.40774,0.2416,1.70339,2.29312,1.24984,0.000372327,0.000372327,0.000372327
24,759.38,1.40907,2.09849,1.24388,0.52609,0.37134,0.39748,0.24203,1.66471,2.31095,1.22841,0.000367615,0.000367615,0.000367615
25,790.439,1.42174,2.04668,1.23968,0.53272,0.4088,0.42524,0.25743,1.63527,2.1726,1.21817,0.000362902,0.000362902,0.000362902
26,821.569,1.41455,1.99728,1.23105,0.62563,0.37304,0.44521,0.25529,1.62425,2.18019,1.20213,0.00035819,0.00035819,0.00035819
27,852.94,1.42019,2.06984,1.24039,0.48394,0.37419,0.39974,0.24945,1.61557,2.20468,1.20548,0.000353478,0.000353478,0.000353478
28,884.11,1.41414,2.00765,1.22378,0.53497,0.38431,0.39458,0.24047,1.60894,2.23465,1.21929,0.000348765,0.000348765,0.000348765
29,913.681,1.38227,1.95981,1.22591,0.61792,0.3802,0.42344,0.26977,1.5914,2.21168,1.20991,0.000344053,0.000344053,0.000344053
30,945.14,1.37259,1.94076,1.2096,0.53298,0.4188,0.4194,0.25393,1.62428,2.24054,1.21506,0.00033934,0.00033934,0.00033934
31,975.616,1.37725,1.9594,1.22729,0.56674,0.42109,0.43921,0.27561,1.62103,2.11733,1.21931,0.000334628,0.000334628,0.000334628
32,1006.83,1.36689,1.91561,1.20789,0.49374,0.47675,0.44472,0.28477,1.59354,2.15456,1.20291,0.000329916,0.000329916,0.000329916
33,1038.27,1.37692,1.9006,1.1974,0.55103,0.41332,0.42453,0.26352,1.62927,2.20857,1.22419,0.000325203,0.000325203,0.000325203
34,1068.06,1.35457,1.84625,1.20417,0.539,0.46801,0.47182,0.28274,1.64949,2.03318,1.22638,0.000320491,0.000320491,0.000320491
