epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5142,1.85437,5.26247,1.58234,0.39666,0.17392,0.13995,0.09443,1.88842,4.5466,1.45858,0.000156923,0.000156923,0.000156923
2,77.5822,1.70487,3.10182,1.40146,0.40179,0.27631,0.23086,0.13735,1.89245,3.56986,1.39342,0.000312465,0.000312465,0.000312465
3,109.548,1.78121,3.01637,1.48049,0.45161,0.24264,0.23456,0.13036,2.00191,3.47482,1.52963,0.000464866,0.000464866,0.000464866
4,142.446,1.73971,2.75311,1.44491,0.44798,0.25602,0.2508,0.14715,1.89926,3.13536,1.46163,0.000461863,0.000461863,0.000461863
5,173.04,1.71388,2.71114,1.44205,0.40385,0.31763,0.25558,0.14872,1.88862,3.16963,1.4478,0.00045715,0.00045715,0.00045715
6,207.376,1.68838,2.61173,1.42553,0.58134,0.25314,0.29261,0.1707,1.93186,2.94523,1.41726,0.000452438,0.000452438,0.000452438
7,245.898,1.67229,2.54194,1.42512,0.50207,0.33405,0.29893,0.18506,1.90038,2.5032,1.36326,0.000447726,0.000447726,0.000447726
8,283.588,1.61823,2.35056,1.37217,0.49041,0.35743,0.33552,0.20314,1.77687,2.34236,1.3119,0.000443013,0.000443013,0.000443013
9,325.329,1.61189,2.3327,1.37017,0.42476,0.32776,0.3048,0.18141,1.82419,2.4616,1.35543,0.000438301,0.000438301,0.000438301
10,366.951,1.57363,2.32723,1.36711,0.40183,0.3822,0.33264,0.2034,1.78488,2.33523,1.30572,0.000433588,0.000433588,0.000433588
11,409.438,1.53425,2.23607,1.34113,0.39594,0.36181,0.32286,0.18719,1.84439,2.45302,1.34938,0.000428876,0.000428876,0.000428876
12,451.272,1.56459,2.24722,1.33176,0.41137,0.35856,0.34676,0.2071,1.71963,2.28674,1.32028,0.000424164,0.000424164,0.000424164
13,492.636,1.5088,2.15698,1.33691,0.5008,0.39165,0.38741,0.23458,1.71994,2.0965,1.26819,0.000419451,0.000419451,0.000419451
14,534.671,1.47108,2.08361,1.29858,0.59061,0.31805,0.38759,0.24038,1.71727,2.22466,1.31064,0.000414739,0.000414739,0.000414739
15,576.311,1.47455,2.07586,1.3008,0.44154,0.41305,0.41074,0.24084,1.6615,2.12578,1.28407,0.000410026,0.000410026,0.000410026
16,617.934,1.49018,2.10694,1.2914,0.5306,0.42249,0.38414,0.23505,1.70125,2.24408,1.30989,0.000405314,0.000405314,0.000405314
17,661.506,1.49161,2.04647,1.28202,0.44505,0.426,0.40148,0.24924,1.63424,2.10072,1.25749,0.000400602,0.000400602,0.000400602
18,703.991,1.45309,1.99321,1.26852,0.56724,0.39311,0.43262,0.26395,1.65751,2.0516,1.25385,0.000395889,0.000395889,0.000395889
19,745.659,1.37881,1.86091,1.23101,0.54197,0.39118,0.44483,0.27517,1.60332,1.906,1.24165,0.000391177,0.000391177,0.000391177
20,788.267,1.40743,1.90585,1.23939,0.55769,0.39266,0.43346,0.26396,1.64575,2.11387,1.26551,0.000386464,0.000386464,0.000386464
21,830.015,1.37554,1.84681,1.22786,0.6172,0.38314,0.43176,0.26125,1.57122,2.06136,1.22487,0.000381752,0.000381752,0.000381752
22,872.138,1.41199,1.89401,1.25079,0.5199,0.43796,0.47827,0.29035,1.58715,1.99829,1.22083,0.00037704,0.00037704,0.00037704
23,914.089,1.4141,1.90319,1.2477,0.42394,0.45685,0.41341,0.24628,1.64129,2.12639,1.28002,0.000372327,0.000372327,0.000372327
24,955.556,1.35055,1.82239,1.21574,0.45714,0.49793,0.4624,0.27283,1.6417,2.0611,1.27458,0.000367615,0.000367615,0.000367615
25,997.255,1.35183,1.76632,1.2122,0.55063,0.47754,0.4582,0.26822,1.60295,1.97016,1.2473,0.000362902,0.000362902,0.000362902
26,1038.89,1.3564,1.72749,1.20817,0.47553,0.44803,0.45641,0.287,1.58926,1.96062,1.21751,0.00035819,0.00035819,0.00035819
27,1080.64,1.36812,1.79074,1.22327,0.42328,0.55233,0.50729,0.29764,1.60335,1.97695,1.21613,0.000353478,0.000353478,0.000353478
28,1122.54,1.33006,1.71219,1.19234,0.5364,0.45359,0.44705,0.26871,1.61866,1.98162,1.23107,0.000348765,0.000348765,0.000348765
29,1163.33,1.32611,1.69102,1.21043,0.55592,0.42012,0.44123,0.28254,1.59349,1.94624,1.23099,0.000344053,0.000344053,0.000344053
30,1206.16,1.3179,1.71929,1.20338,0.45664,0.40666,0.44701,0.28032,1.6149,1.92893,1.22271,0.00033934,0.00033934,0.00033934
31,1248.01,1.32584,1.67643,1.20937,0.38659,0.53827,0.46044,0.27487,1.57977,1.95657,1.21861,0.000334628,0.000334628,0.000334628
32,1289.08,1.30371,1.63056,1.18431,0.51918,0.44797,0.42962,0.26921,1.56648,1.95271,1.21728,0.000329916,0.000329916,0.000329916
33,1331.47,1.3208,1.63327,1.18117,0.63987,0.42427,0.46046,0.28436,1.5901,1.95371,1.21516,0.000325203,0.000325203,0.000325203
34,1372.96,1.29039,1.57448,1.17826,0.45928,0.54038,0.49449,0.29922,1.57272,1.86006,1.21446,0.000320491,0.000320491,0.000320491
35,1413.32,1.2517,1.53225,1.17346,0.5633,0.46305,0.4643,0.28396,1.55865,1.90434,1.21706,0.000315778,0.000315778,0.000315778
36,1455.08,1.29111,1.57824,1.18567,0.40194,0.55277,0.48871,0.31021,1.56047,1.85713,1.19343,0.000311066,0.000311066,0.000311066
37,1496.55,1.2551,1.5641,1.17125,0.51106,0.53173,0.50997,0.3112,1.51451,1.77081,1.18423,0.000306354,0.000306354,0.000306354
38,1538.12,1.26385,1.52927,1.17019,0.50066,0.47682,0.51566,0.31526,1.51866,1.83636,1.19085,0.000301641,0.000301641,0.000301641
39,1579.89,1.26552,1.51109,1.16172,0.54846,0.53281,0.51446,0.30863,1.61862,1.8449,1.21282,0.000296929,0.000296929,0.000296929
40,1621.36,1.27576,1.56095,1.16765,0.52188,0.52595,0.52969,0.31514,1.51042,1.80276,1.18718,0.000292216,0.000292216,0.000292216
41,1662.99,1.24343,1.47547,1.1582,0.5956,0.46384,0.49984,0.2999,1.58305,1.87791,1.23149,0.000287504,0.000287504,0.000287504
42,1704.32,1.23365,1.44271,1.15925,0.53648,0.51559,0.53073,0.32563,1.57198,1.78435,1.17069,0.000282792,0.000282792,0.000282792
43,1746.2,1.22324,1.49033,1.13897,0.53058,0.47516,0.4989,0.30571,1.56079,1.86303,1.20291,0.000278079,0.000278079,0.000278079
44,1787.71,1.2319,1.42207,1.14493,0.5832,0.48439,0.51846,0.31594,1.59433,1.79893,1.23992,0.000273367,0.000273367,0.000273367
45,1829.26,1.22402,1.49564,1.15942,0.50005,0.55029,0.52156,0.3159,1.57451,1.76558,1.19485,0.000268654,0.000268654,0.000268654
46,1871.31,1.22384,1.41636,1.13727,0.50363,0.49585,0.5111,0.33316,1.48672,1.81013,1.16265,0.000263942,0.000263942,0.000263942
47,1913.6,1.16997,1.36839,1.12069,0.52971,0.53647,0.52156,0.34763,1.49344,1.74733,1.17097,0.00025923,0.00025923,0.00025923
48,1955.39,1.14992,1.32502,1.12909,0.52174,0.52464,0.53461,0.32962,1.49108,1.77999,1.1535,0.000254517,0.000254517,0.000254517
49,1996.91,1.2037,1.38099,1.1359,0.57445,0.56025,0.54533,0.33712,1.55881,1.72414,1.19998,0.000249805,0.000249805,0.000249805
50,2038.12,1.18803,1.36856,1.11836,0.6351,0.4848,0.5332,0.34483,1.55652,1.79317,1.18826,0.000245092,0.000245092,0.000245092
51,2080.05,1.1762,1.33773,1.12464,0.44235,0.52822,0.52057,0.33096,1.53858,1.85518,1.1936,0.00024038,0.00024038,0.00024038
52,2121.95,1.18814,1.32329,1.11762,0.57553,0.52548,0.53985,0.3566,1.50819,1.74674,1.18483,0.000235668,0.000235668,0.000235668
53,2164.14,1.13294,1.29415,1.10619,0.47875,0.50593,0.51238,0.32722,1.54609,1.79332,1.17005,0.000230955,0.000230955,0.000230955
54,2205.69,1.17827,1.30297,1.11675,0.67814,0.51388,0.54404,0.35042,1.48743,1.77783,1.1577,0.000226243,0.000226243,0.000226243
55,2247.1,1.15968,1.26103,1.10824,0.49271,0.51354,0.52692,0.35811,1.45406,1.7593,1.14174,0.00022153,0.00022153,0.00022153
56,2288.61,1.15875,1.30422,1.12325,0.61288,0.51098,0.53798,0.34621,1.5111,1.77843,1.18329,0.000216818,0.000216818,0.000216818
57,2328.78,1.11547,1.22266,1.09597,0.66982,0.4643,0.53127,0.34077,1.51173,1.67867,1.19462,0.000212106,0.000212106,0.000212106
58,2371.66,1.11901,1.24003,1.09724,0.55002,0.48448,0.52259,0.34254,1.50642,1.7438,1.1852,0.000207393,0.000207393,0.000207393
59,2413.88,1.15753,1.25886,1.11368,0.67006,0.4813,0.53586,0.35313,1.50269,1.80653,1.18954,0.000202681,0.000202681,0.000202681
60,2456.1,1.11159,1.20041,1.09089,0.54826,0.54061,0.54907,0.36048,1.50974,1.69541,1.18419,0.000197968,0.000197968,0.000197968
61,2498.07,1.11124,1.17313,1.07774,0.60667,0.54538,0.56617,0.36961,1.48944,1.67893,1.16958,0.000193256,0.000193256,0.000193256
62,2541.08,1.10884,1.20766,1.08272,0.55068,0.55628,0.56459,0.36706,1.51983,1.67814,1.19436,0.000188544,0.000188544,0.000188544
63,2583.13,1.11684,1.18247,1.09177,0.56438,0.55151,0.53454,0.33882,1.51216,1.73208,1.18507,0.000183831,0.000183831,0.000183831
64,2626.42,1.10485,1.16298,1.0879,0.62804,0.5386,0.56068,0.36297,1.47587,1.6748,1.17569,0.000179119,0.000179119,0.000179119
65,2669.28,1.09825,1.14836,1.08303,0.6055,0.53854,0.56823,0.3704,1.48067,1.73408,1.15437,0.000174406,0.000174406,0.000174406
66,2711.15,1.10068,1.1361,1.074,0.62896,0.53914,0.56796,0.38283,1.47599,1.6555,1.16898,0.000169694,0.000169694,0.000169694
67,2753.36,1.06344,1.10871,1.06263,0.57207,0.57899,0.58016,0.38678,1.48417,1.66586,1.15833,0.000164982,0.000164982,0.000164982
68,2795.75,1.05414,1.11762,1.07071,0.60218,0.55208,0.54944,0.36076,1.47729,1.72571,1.15925,0.000160269,0.000160269,0.000160269
69,2838.46,1.06956,1.07755,1.07184,0.67698,0.53032,0.57218,0.37227,1.46154,1.74983,1.15936,0.000155557,0.000155557,0.000155557
70,2880.55,1.05929,1.08002,1.06419,0.67632,0.47955,0.55802,0.3733,1.47705,1.68929,1.14098,0.000150844,0.000150844,0.000150844
71,2922.35,1.02806,1.04519,1.0575,0.59613,0.56361,0.57419,0.37157,1.4753,1.69258,1.15102,0.000146132,0.000146132,0.000146132
72,2964.95,1.04787,1.0652,1.0676,0.54642,0.53812,0.52854,0.35664,1.48313,1.75536,1.15753,0.00014142,0.00014142,0.00014142
73,3006.88,1.06177,1.07123,1.06586,0.56285,0.57656,0.55859,0.36923,1.4417,1.66107,1.1154,0.000136707,0.000136707,0.000136707
74,3043.42,1.04765,1.07721,1.0678,0.53993,0.59869,0.56622,0.38559,1.44981,1.63798,1.13564,0.000131995,0.000131995,0.000131995
75,3076.42,1.03885,1.06053,1.05882,0.59875,0.54093,0.54972,0.37483,1.44128,1.68267,1.12127,0.000127282,0.000127282,0.000127282
76,3110.85,1.02215,1.0424,1.04749,0.54043,0.56658,0.56775,0.37161,1.46277,1.6956,1.12818,0.00012257,0.00012257,0.00012257
77,3144.99,1.01611,1.02683,1.04424,0.56847,0.54624,0.5585,0.36566,1.48082,1.69033,1.15445,0.000117858,0.000117858,0.000117858
78,3179.63,0.99826,1.01579,1.05158,0.61427,0.57299,0.56927,0.38444,1.47409,1.69953,1.1767,0.000113145,0.000113145,0.000113145
79,3213.48,1.01154,1.00683,1.05135,0.64243,0.52514,0.57893,0.38831,1.457,1.62721,1.14088,0.000108433,0.000108433,0.000108433
80,3246.06,0.98923,1.00121,1.04716,0.5793,0.58103,0.58039,0.3846,1.45093,1.65214,1.15365,0.00010372,0.00010372,0.00010372
81,3279.73,1.0186,0.99902,1.04628,0.61668,0.53108,0.57188,0.38388,1.47183,1.6842,1.15115,9.9008e-05,9.9008e-05,9.9008e-05
82,3314.06,0.98373,0.96638,1.03263,0.56911,0.55413,0.55698,0.37355,1.46937,1.71632,1.1723,9.42956e-05,9.42956e-05,9.42956e-05
83,3348.82,1.00599,0.96218,1.04613,0.61506,0.54267,0.56192,0.38083,1.49257,1.73832,1.17152,8.95832e-05,8.95832e-05,8.95832e-05
84,3382.56,0.97107,0.93764,1.03589,0.6423,0.49872,0.55949,0.37493,1.45681,1.70483,1.15361,8.48708e-05,8.48708e-05,8.48708e-05
85,3416.7,0.96859,0.96535,1.03292,0.66051,0.54825,0.5863,0.38081,1.46572,1.65614,1.16167,8.01584e-05,8.01584e-05,8.01584e-05
86,3451.77,0.96782,0.9122,1.0242,0.6616,0.51278,0.5691,0.38217,1.49284,1.64515,1.15013,7.5446e-05,7.5446e-05,7.5446e-05
87,3484.66,0.96944,0.9392,1.03426,0.70172,0.51623,0.57258,0.37828,1.48992,1.69717,1.15815,7.07336e-05,7.07336e-05,7.07336e-05
88,3518.52,0.92267,0.899,1.01925,0.65989,0.54963,0.56974,0.38523,1.47827,1.68561,1.15211,6.60212e-05,6.60212e-05,6.60212e-05
89,3552.34,0.95588,0.90774,1.02114,0.58682,0.53973,0.55514,0.38191,1.47473,1.6552,1.1636,6.13088e-05,6.13088e-05,6.13088e-05
90,3587.01,0.93819,0.91082,1.0299,0.61988,0.56462,0.5817,0.39092,1.45281,1.63994,1.14404,5.65964e-05,5.65964e-05,5.65964e-05
91,3628.97,0.98973,0.87071,1.03516,0.51788,0.57171,0.55247,0.37426,1.45438,1.74945,1.1567,5.1884e-05,5.1884e-05,5.1884e-05
92,3661.4,0.95431,0.82471,1.02877,0.64787,0.5565,0.56852,0.38537,1.45468,1.69595,1.15267,4.71716e-05,4.71716e-05,4.71716e-05
93,3693.32,0.93692,0.80739,1.01066,0.67092,0.51777,0.55767,0.38082,1.46133,1.68998,1.15739,4.24592e-05,4.24592e-05,4.24592e-05
94,3725.97,0.94481,0.82113,1.01583,0.72404,0.52074,0.56964,0.38628,1.44758,1.65791,1.15209,3.77468e-05,3.77468e-05,3.77468e-05
95,3759.42,0.9193,0.76533,1.00658,0.65567,0.53557,0.56203,0.38396,1.46902,1.64512,1.17271,3.30344e-05,3.30344e-05,3.30344e-05
96,3792.32,0.90752,0.75187,1.01123,0.60423,0.57154,0.57525,0.39471,1.45924,1.65157,1.17089,2.8322e-05,2.8322e-05,2.8322e-05
97,3825.77,0.90563,0.75816,0.99828,0.57338,0.58403,0.57458,0.39053,1.43285,1.67461,1.13718,2.36096e-05,2.36096e-05,2.36096e-05
98,3858.81,0.88316,0.75728,0.98828,0.56583,0.58045,0.57254,0.39326,1.4286,1.63776,1.13021,1.88972e-05,1.88972e-05,1.88972e-05
99,3892.21,0.88682,0.74309,0.99475,0.65208,0.52555,0.57109,0.39508,1.44431,1.64084,1.14379,1.41848e-05,1.41848e-05,1.41848e-05
100,3923.76,0.87594,0.71948,1.00508,0.7351,0.50341,0.57334,0.39532,1.43367,1.62718,1.14018,9.4724e-06,9.4724e-06,9.4724e-06
