epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1688,1.89834,4.7724,1.64598,0.83897,0.03369,0.09448,0.05885,2.03244,5.21172,1.50279,0.000156923,0.000156923,0.000156923
2,74.9442,1.85096,4.1284,1.50592,0.47349,0.27216,0.14698,0.08322,2.15962,5.43551,1.58804,0.000312465,0.000312465,0.000312465
3,106.82,1.86703,3.89295,1.53013,0.49278,0.21187,0.18931,0.11647,1.98176,5.32439,1.45967,0.000464866,0.000464866,0.000464866
4,140.116,1.81152,3.61623,1.50547,0.29868,0.21986,0.21165,0.12421,2.0715,4.24326,1.56057,0.000461863,0.000461863,0.000461863
5,173.595,1.78407,3.47892,1.46368,0.40574,0.27543,0.25341,0.14568,1.9075,3.74628,1.41923,0.00045715,0.00045715,0.00045715
6,205.513,1.72368,3.30266,1.44601,0.33135,0.2605,0.23209,0.1266,1.9829,4.10516,1.50733,0.000452438,0.000452438,0.000452438
7,237.136,1.71354,3.20177,1.44662,0.41779,0.28966,0.2739,0.16204,1.90586,3.39703,1.45616,0.000447726,0.000447726,0.000447726
8,268.528,1.66379,3.01655,1.38798,0.48057,0.30484,0.2687,0.16714,1.79305,3.2535,1.30031,0.000443013,0.000443013,0.000443013
9,299.634,1.65468,2.89326,1.37649,0.39744,0.33396,0.30281,0.17073,1.79972,3.19614,1.33836,0.000438301,0.000438301,0.000438301
10,331.86,1.6727,2.86711,1.39705,0.37051,0.32058,0.28368,0.17203,1.71588,3.18279,1.30431,0.000433588,0.000433588,0.000433588
11,363.523,1.61479,2.73488,1.36217,0.41211,0.35392,0.34976,0.2208,1.70952,2.78736,1.29677,0.000428876,0.000428876,0.000428876
12,396.309,1.63507,2.71649,1.35656,0.57894,0.27202,0.32241,0.19213,1.76093,3.01029,1.28455,0.000424164,0.000424164,0.000424164
13,427.983,1.57787,2.63185,1.35971,0.48231,0.35424,0.33719,0.21205,1.65042,2.72963,1.21439,0.000419451,0.000419451,0.000419451
14,458.727,1.539,2.5482,1.3201,0.48584,0.30984,0.35327,0.22269,1.63455,2.71783,1.27426,0.000414739,0.000414739,0.000414739
15,489.963,1.55713,2.51529,1.32654,0.62747,0.31698,0.35283,0.21191,1.70467,2.63559,1.24932,0.000410026,0.000410026,0.000410026
16,520.672,1.55754,2.50858,1.31789,0.48702,0.37294,0.39716,0.25201,1.60826,2.43087,1.20896,0.000405314,0.000405314,0.000405314
17,552.311,1.53585,2.39994,1.29564,0.45109,0.36586,0.34963,0.21909,1.66117,2.57109,1.23502,0.000400602,0.000400602,0.000400602
18,583.951,1.53107,2.39091,1.29872,0.6294,0.34717,0.39434,0.24207,1.62694,2.40534,1.22139,0.000395889,0.000395889,0.000395889
19,615.571,1.46431,2.23923,1.26922,0.51404,0.32762,0.37166,0.21869,1.62636,2.47306,1.20718,0.000391177,0.000391177,0.000391177
20,646.873,1.49283,2.26858,1.28682,0.54511,0.41892,0.41194,0.23959,1.59242,2.3739,1.21406,0.000386464,0.000386464,0.000386464
21,679.706,1.4374,2.21528,1.25734,0.53816,0.36941,0.38182,0.23271,1.61772,2.41028,1.21301,0.000381752,0.000381752,0.000381752
22,711.487,1.45434,2.25303,1.26746,0.59928,0.36835,0.44592,0.27153,1.54993,2.26,1.18656,0.00037704,0.00037704,0.00037704
23,743.069,1.48061,2.20274,1.25864,0.55225,0.42011,0.42712,0.25237,1.58924,2.25785,1.19304,0.000372327,0.000372327,0.000372327
24,775.143,1.42295,2.15233,1.24007,0.55282,0.39893,0.40184,0.25737,1.57582,2.33439,1.19718,0.000367615,0.000367615,0.000367615
25,807.032,1.4371,2.11768,1.23542,0.54726,0.39865,0.40524,0.25161,1.56386,2.21867,1.1852,0.000362902,0.000362902,0.000362902
26,837.663,1.41817,2.0763,1.22697,0.52088,0.4216,0.42633,0.27623,1.58284,2.19922,1.16227,0.00035819,0.00035819,0.00035819
27,868.531,1.42395,2.10888,1.2516,0.55284,0.40101,0.41223,0.27242,1.49402,2.18931,1.16629,0.000353478,0.000353478,0.000353478
28,901.538,1.40682,2.05207,1.21889,0.50298,0.43492,0.42872,0.25701,1.57127,2.24294,1.16945,0.000348765,0.000348765,0.000348765
29,934.282,1.39946,2.00144,1.2332,0.52926,0.43069,0.41323,0.26304,1.62416,2.20142,1.18127,0.000344053,0.000344053,0.000344053
30,966.134,1.40459,1.99881,1.22008,0.49035,0.42854,0.41486,0.26799,1.60083,2.1292,1.18126,0.00033934,0.00033934,0.00033934
31,997.367,1.39202,1.97259,1.23675,0.51864,0.43836,0.44359,0.28337,1.53757,2.0695,1.181,0.000334628,0.000334628,0.000334628
32,1029.18,1.3702,1.93547,1.20013,0.5964,0.37958,0.42909,0.27098,1.57869,2.09128,1.19355,0.000329916,0.000329916,0.000329916
33,1059.47,1.37163,1.92439,1.20019,0.57288,0.4201,0.44366,0.28536,1.53192,2.13257,1.13912,0.000325203,0.000325203,0.000325203
34,1089.77,1.36581,1.90452,1.20676,0.57631,0.43567,0.48447,0.29886,1.50262,1.97759,1.1463,0.000320491,0.000320491,0.000320491
35,1121.08,1.3319,1.88565,1.19488,0.60537,0.42477,0.46485,0.30431,1.54319,2.00565,1.16777,0.000315778,0.000315778,0.000315778
36,1153.29,1.35766,1.90051,1.2123,0.58164,0.45138,0.44502,0.28337,1.53067,2.03153,1.15712,0.000311066,0.000311066,0.000311066
37,1184.77,1.32337,1.84759,1.19473,0.5019,0.45684,0.46075,0.28178,1.52958,1.99031,1.14214,0.000306354,0.000306354,0.000306354
38,1216.98,1.35192,1.84573,1.20526,0.56928,0.48555,0.47867,0.29507,1.54711,1.95227,1.15465,0.000301641,0.000301641,0.000301641
39,1247.28,1.35564,1.8434,1.19967,0.42915,0.45584,0.44403,0.29114,1.54425,2.01383,1.1809,0.000296929,0.000296929,0.000296929
40,1279.96,1.35055,1.83597,1.19451,0.50852,0.46603,0.48211,0.30901,1.48279,1.92881,1.12731,0.000292216,0.000292216,0.000292216
41,1310.58,1.32103,1.79582,1.18833,0.48136,0.45853,0.43492,0.27742,1.50452,2.01225,1.14714,0.000287504,0.000287504,0.000287504
42,1342.06,1.32514,1.75786,1.18656,0.45414,0.54298,0.50023,0.31992,1.48778,1.96729,1.14549,0.000282792,0.000282792,0.000282792
43,1373.64,1.30944,1.79579,1.17839,0.54851,0.46257,0.46852,0.30377,1.47653,1.90548,1.12122,0.000278079,0.000278079,0.000278079
44,1407.23,1.3244,1.72811,1.17829,0.51082,0.50241,0.52586,0.32232,1.49827,1.90224,1.13603,0.000273367,0.000273367,0.000273367
45,1439.81,1.31872,1.80181,1.19803,0.52689,0.52128,0.50152,0.31978,1.52936,1.89457,1.13031,0.000268654,0.000268654,0.000268654
46,1470.19,1.31828,1.73423,1.17316,0.58746,0.48887,0.49293,0.32039,1.46694,1.9203,1.09216,0.000263942,0.000263942,0.000263942
47,1501.32,1.27593,1.68879,1.15493,0.58448,0.45329,0.50474,0.31758,1.48328,1.9997,1.11816,0.00025923,0.00025923,0.00025923
48,1533.18,1.23626,1.64681,1.15738,0.47842,0.46675,0.47748,0.31145,1.50357,1.88586,1.11624,0.000254517,0.000254517,0.000254517
49,1564.18,1.29142,1.67948,1.16486,0.49828,0.50529,0.49637,0.32387,1.4938,1.91589,1.13591,0.000249805,0.000249805,0.000249805
50,1595.6,1.28163,1.66802,1.15101,0.53849,0.49909,0.52468,0.34332,1.4705,1.79009,1.13154,0.000245092,0.000245092,0.000245092
51,1629.13,1.27316,1.68028,1.16212,0.49006,0.50185,0.48291,0.31629,1.44886,1.90926,1.12125,0.00024038,0.00024038,0.00024038
52,1660.37,1.3043,1.62832,1.16249,0.53521,0.50394,0.49694,0.31809,1.46953,1.84153,1.1264,0.000235668,0.000235668,0.000235668
53,1692.66,1.22739,1.58868,1.14875,0.60877,0.50998,0.53916,0.33593,1.50829,1.8153,1.11099,0.000230955,0.000230955,0.000230955
54,1722.82,1.27914,1.61693,1.15601,0.57874,0.54423,0.5289,0.34265,1.4511,1.78182,1.08755,0.000226243,0.000226243,0.000226243
55,1755.63,1.26055,1.58268,1.15103,0.59171,0.53805,0.537,0.34731,1.50274,1.79318,1.11549,0.00022153,0.00022153,0.00022153
56,1788.1,1.26095,1.62625,1.16293,0.50085,0.5261,0.52293,0.32931,1.44142,1.86907,1.09403,0.000216818,0.000216818,0.000216818
57,1818.43,1.23729,1.56823,1.14727,0.48159,0.60153,0.55642,0.35726,1.46717,1.78978,1.11366,0.000212106,0.000212106,0.000212106
58,1848.86,1.21946,1.54268,1.13365,0.64004,0.49495,0.55205,0.35506,1.44708,1.75249,1.11124,0.000207393,0.000207393,0.000207393
59,1880.99,1.25622,1.61423,1.15015,0.61161,0.49218,0.52808,0.35571,1.41858,1.75948,1.1048,0.000202681,0.000202681,0.000202681
60,1914.26,1.2296,1.54142,1.14115,0.64769,0.49522,0.54603,0.34357,1.48448,1.7194,1.10456,0.000197968,0.000197968,0.000197968
61,1945.85,1.23056,1.51174,1.12284,0.47785,0.5427,0.52521,0.34308,1.48197,1.78481,1.13037,0.000193256,0.000193256,0.000193256
62,1977.38,1.22012,1.52736,1.12968,0.66027,0.4964,0.55453,0.36516,1.41635,1.73609,1.07731,0.000188544,0.000188544,0.000188544
63,2008.99,1.23037,1.51723,1.13929,0.65617,0.51077,0.55445,0.36731,1.44853,1.71377,1.09466,0.000183831,0.000183831,0.000183831
