epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1574,2.00061,8.58296,0.02226,0.00582,0.21061,0.03223,0.02028,2.11639,12.0186,0.02972,0.000156923,0.000156923,0.000156923
2,80.2503,1.81653,7.7353,0.01861,0.7361,0.0484,0.10135,0.06534,1.90818,10.2319,0.02151,0.000312465,0.000312465,0.000312465
3,113.223,1.78547,6.70068,0.01702,0.7063,0.13702,0.1506,0.10451,1.91887,9.047,0.02422,0.000464866,0.000464866,0.000464866
4,146.915,1.7396,6.02973,0.01585,0.6054,0.19438,0.149,0.09514,1.86512,7.74331,0.02042,0.000461863,0.000461863,0.000461863
5,179.81,1.75453,5.49294,0.01541,0.54221,0.16185,0.17798,0.11077,1.94903,6.56064,0.02296,0.00045715,0.00045715,0.00045715
6,212.203,1.67649,4.95254,0.0148,0.43911,0.20642,0.19264,0.12801,1.94856,5.87732,0.02316,0.000452438,0.000452438,0.000452438
7,245.908,1.68984,4.56444,0.01475,0.39933,0.22853,0.20211,0.13073,1.90643,5.27957,0.02028,0.000447726,0.000447726,0.000447726
8,278.053,1.68146,4.2398,0.01439,0.3764,0.24749,0.23074,0.14882,1.78828,4.73798,0.01899,0.000443013,0.000443013,0.000443013
9,312.143,1.67256,3.94177,0.01415,0.42832,0.23504,0.22472,0.14622,1.75574,4.4034,0.01791,0.000438301,0.000438301,0.000438301
10,342.831,1.65945,3.74918,0.01406,0.33667,0.26142,0.24351,0.16067,1.75671,4.16778,0.01845,0.000433588,0.000433588,0.000433588
11,377.839,1.63436,3.56018,0.0135,0.45773,0.2347,0.2382,0.16187,1.75531,3.95193,0.01768,0.000428876,0.000428876,0.000428876
12,410.862,1.64577,3.45075,0.01309,0.4937,0.2725,0.26129,0.17322,1.74364,3.62899,0.01801,0.000424164,0.000424164,0.000424164
13,443.698,1.62395,3.29172,0.01351,0.39246,0.30728,0.2637,0.17211,1.75723,3.55618,0.01813,0.000419451,0.000419451,0.000419451
14,476.212,1.59324,3.21404,0.01359,0.43191,0.28972,0.25839,0.16587,1.7881,3.54124,0.01751,0.000414739,0.000414739,0.000414739
15,508.492,1.59665,3.14468,0.01284,0.41828,0.28066,0.26609,0.17067,1.65814,3.39455,0.01647,0.000410026,0.000410026,0.000410026
16,541.319,1.62612,3.09581,0.01288,0.40359,0.30759,0.27151,0.17552,1.7281,3.22561,0.01612,0.000405314,0.000405314,0.000405314
17,574.833,1.61976,2.97406,0.01245,0.39091,0.30942,0.28261,0.18872,1.77422,3.14521,0.01787,0.000400602,0.000400602,0.000400602
18,607.221,1.5976,2.89227,0.01267,0.35274,0.34177,0.30917,0.20872,1.72923,2.95911,0.01555,0.000395889,0.000395889,0.000395889
19,640.464,1.53193,2.75343,0.01177,0.39475,0.34855,0.29371,0.19029,1.80177,3.00628,0.01695,0.000391177,0.000391177,0.000391177
20,673.341,1.56677,2.76608,0.01268,0.37985,0.3147,0.30702,0.21365,1.69503,2.95532,0.01495,0.000386464,0.000386464,0.000386464
21,706.125,1.54279,2.67336,0.01215,0.47522,0.31889,0.35047,0.22123,1.72803,2.85659,0.01558,0.000381752,0.000381752,0.000381752
22,738.49,1.59113,2.68981,0.01224,0.49733,0.31644,0.30617,0.21685,1.64936,2.84369,0.01462,0.00037704,0.00037704,0.00037704
23,770.878,1.57086,2.6532,0.01217,0.41803,0.34982,0.34221,0.22791,1.72708,2.75742,0.01481,0.000372327,0.000372327,0.000372327
24,803.699,1.54822,2.59497,0.01209,0.39744,0.40292,0.36522,0.23922,1.6997,2.73732,0.01589,0.000367615,0.000367615,0.000367615
25,833.72,1.53741,2.54676,0.01159,0.48091,0.40682,0.39181,0.25074,1.73242,2.65657,0.01576,0.000362902,0.000362902,0.000362902
26,866.706,1.56445,2.50189,0.01166,0.41516,0.4406,0.36779,0.23902,1.75977,2.62901,0.01638,0.00035819,0.00035819,0.00035819
27,899.426,1.56272,2.51121,0.01208,0.3923,0.41041,0.3926,0.24889,1.74849,2.59722,0.01724,0.000353478,0.000353478,0.000353478
28,934.005,1.5826,2.45193,0.01107,0.41916,0.4123,0.43052,0.29089,1.68387,2.58058,0.01566,0.000348765,0.000348765,0.000348765
29,966.502,1.52084,2.4073,0.011,0.49778,0.39008,0.40777,0.27454,1.7305,2.62576,0.01406,0.000344053,0.000344053,0.000344053
30,998.958,1.50313,2.3693,0.01134,0.4105,0.35791,0.36597,0.23348,1.7163,2.64763,0.01505,0.00033934,0.00033934,0.00033934
31,1031.81,1.51824,2.38035,0.01111,0.41842,0.43729,0.39237,0.25446,1.75414,2.52674,0.01512,0.000334628,0.000334628,0.000334628
32,1064.27,1.4988,2.30719,0.01076,0.43877,0.42053,0.41065,0.25921,1.72348,2.58567,0.01475,0.000329916,0.000329916,0.000329916
33,1097,1.50237,2.25254,0.01047,0.41058,0.427,0.37893,0.24396,1.64712,2.55202,0.0144,0.000325203,0.000325203,0.000325203
