epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7213,2.04506,11.3029,0.02174,0.3608,0.05222,0.03237,0.02247,2.04488,10.2919,0.02933,0.000156923,0.000156923,0.000156923
2,84.2389,1.90693,5.42999,0.01781,0.52947,0.18111,0.1293,0.07642,2.09278,5.69087,0.02654,0.000312465,0.000312465,0.000312465
3,118.408,1.91445,4.07153,0.01802,0.55672,0.20988,0.19064,0.11463,2.23106,4.39397,0.02818,0.000464866,0.000464866,0.000464866
4,152.436,1.94375,3.58572,0.01787,0.55114,0.24211,0.24056,0.1356,2.19441,3.57602,0.02831,0.000461863,0.000461863,0.000461863
5,186.346,1.91067,3.30929,0.01647,0.41147,0.31058,0.26723,0.16813,2.04268,3.28961,0.02252,0.00045715,0.00045715,0.00045715
6,220.063,1.86965,3.11407,0.01702,0.47711,0.2542,0.25348,0.15349,2.10274,3.24546,0.02269,0.000452438,0.000452438,0.000452438
7,253.947,1.84769,2.95879,0.01623,0.44936,0.27695,0.29298,0.17148,1.97718,3.05483,0.02055,0.000447726,0.000447726,0.000447726
8,288.001,1.82586,2.73815,0.01607,0.49023,0.30786,0.34081,0.21053,2.00469,2.96472,0.02079,0.000443013,0.000443013,0.000443013
9,321.877,1.80212,2.69137,0.01532,0.39933,0.32427,0.31166,0.18815,1.96233,2.76285,0.01892,0.000438301,0.000438301,0.000438301
10,358.092,1.81112,2.68916,0.01581,0.48386,0.3736,0.34065,0.19645,1.93362,2.7744,0.02295,0.000433588,0.000433588,0.000433588
11,394.476,1.77882,2.56239,0.01483,0.46069,0.37035,0.36161,0.21263,1.89502,2.64113,0.01812,0.000428876,0.000428876,0.000428876
12,430.77,1.77694,2.59598,0.01405,0.4838,0.35156,0.35867,0.2057,1.88376,2.65667,0.02036,0.000424164,0.000424164,0.000424164
13,466.302,1.73451,2.44678,0.01426,0.40654,0.41361,0.40464,0.23855,1.96655,2.50699,0.02018,0.000419451,0.000419451,0.000419451
14,502.717,1.71897,2.4015,0.01419,0.46003,0.44213,0.41411,0.25587,1.92909,2.46505,0.0181,0.000414739,0.000414739,0.000414739
15,538.857,1.68859,2.40863,0.01368,0.45703,0.42988,0.40653,0.24435,1.87291,2.49837,0.01842,0.000410026,0.000410026,0.000410026
16,578.025,1.71314,2.40095,0.01343,0.50236,0.40347,0.42377,0.25944,1.87051,2.38211,0.01813,0.000405314,0.000405314,0.000405314
17,616.862,1.73699,2.29159,0.01323,0.4734,0.48084,0.47741,0.28211,1.8427,2.26827,0.01884,0.000400602,0.000400602,0.000400602
18,655.786,1.73918,2.29764,0.01328,0.50668,0.47852,0.46552,0.27689,1.82162,2.36295,0.01597,0.000395889,0.000395889,0.000395889
19,693.905,1.63149,2.19984,0.01229,0.5106,0.46256,0.46704,0.28628,1.7992,2.27779,0.01597,0.000391177,0.000391177,0.000391177
20,729.908,1.66525,2.17342,0.01303,0.44288,0.47644,0.43547,0.27555,1.82911,2.34317,0.01605,0.000386464,0.000386464,0.000386464
21,766.369,1.63049,2.11831,0.01278,0.49525,0.53109,0.47306,0.28979,1.79307,2.29603,0.01493,0.000381752,0.000381752,0.000381752
22,802.53,1.67151,2.16994,0.01251,0.4632,0.47915,0.47767,0.29145,1.80727,2.26189,0.01661,0.00037704,0.00037704,0.00037704
23,839.601,1.66641,2.1469,0.01276,0.50134,0.46774,0.49175,0.30497,1.83491,2.21936,0.016,0.000372327,0.000372327,0.000372327
24,876.167,1.62367,2.04666,0.01249,0.4659,0.44402,0.47437,0.29735,1.80056,2.2235,0.01507,0.000367615,0.000367615,0.000367615
25,911.841,1.62728,2.04607,0.01208,0.45735,0.49984,0.49269,0.32424,1.77579,2.18024,0.01424,0.000362902,0.000362902,0.000362902
26,948.267,1.63508,1.96668,0.01193,0.44134,0.50367,0.50645,0.30619,1.80709,2.18852,0.01446,0.00035819,0.00035819,0.00035819
27,984.219,1.61069,2.0123,0.01198,0.41829,0.49907,0.46616,0.28583,1.80394,2.26433,0.01533,0.000353478,0.000353478,0.000353478
28,1020.13,1.64933,1.94711,0.0113,0.48992,0.43492,0.47245,0.29814,1.8187,2.25571,0.01533,0.000348765,0.000348765,0.000348765
29,1056.38,1.6029,1.89561,0.01135,0.46851,0.50951,0.52156,0.35153,1.7868,2.12158,0.01509,0.000344053,0.000344053,0.000344053
30,1093.25,1.57027,1.89183,0.01158,0.43625,0.51563,0.52693,0.34302,1.71855,2.08715,0.01423,0.00033934,0.00033934,0.00033934
31,1129.71,1.62536,1.90857,0.0121,0.49472,0.53925,0.51896,0.35248,1.75578,2.09427,0.01379,0.000334628,0.000334628,0.000334628
32,1165.99,1.58294,1.84259,0.01149,0.53973,0.53252,0.53346,0.33437,1.82499,2.13339,0.01533,0.000329916,0.000329916,0.000329916
33,1201.61,1.5703,1.85288,0.01093,0.46951,0.54789,0.54579,0.34094,1.75999,2.15816,0.01405,0.000325203,0.000325203,0.000325203
34,1237.37,1.55501,1.81407,0.0111,0.40993,0.53394,0.50921,0.31876,1.81364,2.12283,0.01581,0.000320491,0.000320491,0.000320491
35,1272.64,1.52739,1.81756,0.01095,0.6065,0.47904,0.51625,0.312,1.82318,2.17026,0.01561,0.000315778,0.000315778,0.000315778
36,1307.99,1.56888,1.80614,0.01117,0.52228,0.54593,0.51927,0.32544,1.79529,2.18524,0.01539,0.000311066,0.000311066,0.000311066
37,1344.35,1.53947,1.7451,0.0109,0.53929,0.52516,0.55121,0.35619,1.66902,2.0676,0.01365,0.000306354,0.000306354,0.000306354
38,1379.74,1.53201,1.70883,0.01087,0.48119,0.58756,0.54291,0.34924,1.7625,2.14685,0.01489,0.000301641,0.000301641,0.000301641
39,1415.32,1.54067,1.67894,0.01073,0.49358,0.51987,0.53706,0.34081,1.77571,2.08516,0.01462,0.000296929,0.000296929,0.000296929
40,1449.95,1.54332,1.71086,0.01061,0.6509,0.48374,0.5559,0.35061,1.70606,2.01633,0.01347,0.000292216,0.000292216,0.000292216
41,1486.18,1.51925,1.66615,0.01072,0.49048,0.59535,0.53831,0.35021,1.75828,2.10742,0.01323,0.000287504,0.000287504,0.000287504
42,1521.52,1.51604,1.63042,0.01071,0.6661,0.52822,0.5715,0.37881,1.82606,2.06033,0.01454,0.000282792,0.000282792,0.000282792
43,1556.68,1.51374,1.62988,0.01004,0.59307,0.4899,0.52797,0.31272,1.78592,2.09874,0.01496,0.000278079,0.000278079,0.000278079
44,1593.35,1.52756,1.61643,0.0105,0.58708,0.54389,0.57081,0.36218,1.76353,1.94056,0.01436,0.000273367,0.000273367,0.000273367
45,1630.61,1.49264,1.68937,0.01067,0.51124,0.57833,0.57173,0.36938,1.7482,2.03726,0.01364,0.000268654,0.000268654,0.000268654
46,1667.34,1.50827,1.59269,0.0098,0.45793,0.52366,0.53622,0.34671,1.69826,2.12529,0.01343,0.000263942,0.000263942,0.000263942
47,1703.75,1.47352,1.58503,0.00944,0.54154,0.54927,0.54997,0.35925,1.73375,1.98721,0.01391,0.00025923,0.00025923,0.00025923
48,1739.12,1.43173,1.51593,0.00973,0.63321,0.4596,0.54388,0.34064,1.73103,2.02392,0.01373,0.000254517,0.000254517,0.000254517
49,1774.97,1.49011,1.54516,0.00986,0.63093,0.5008,0.57467,0.37012,1.71515,1.87394,0.0137,0.000249805,0.000249805,0.000249805
50,1810.61,1.45417,1.52457,0.00979,0.71328,0.49154,0.56337,0.364,1.72816,2.03432,0.01476,0.000245092,0.000245092,0.000245092
51,1845.79,1.43347,1.49352,0.00946,0.59515,0.52462,0.55104,0.34842,1.72373,2.01923,0.014,0.00024038,0.00024038,0.00024038
52,1881.52,1.48503,1.4918,0.00962,0.7327,0.46722,0.5648,0.3763,1.71418,2.05952,0.01319,0.000235668,0.000235668,0.000235668
53,1917.38,1.39104,1.42871,0.00951,0.54429,0.52281,0.54726,0.36672,1.66917,2.06976,0.01328,0.000230955,0.000230955,0.000230955
54,1952.99,1.45148,1.46962,0.00945,0.67081,0.49617,0.57361,0.3771,1.72597,2.03293,0.01344,0.000226243,0.000226243,0.000226243
55,1988.2,1.48002,1.44344,0.00953,0.53956,0.57694,0.561,0.37872,1.66777,1.99726,0.01354,0.00022153,0.00022153,0.00022153
56,2023.91,1.42817,1.46407,0.0096,0.55369,0.58144,0.57979,0.36659,1.69234,2.03383,0.01316,0.000216818,0.000216818,0.000216818
57,2060.54,1.38967,1.40547,0.00928,0.50883,0.5933,0.56749,0.37281,1.74095,2.0845,0.01365,0.000212106,0.000212106,0.000212106
58,2096.34,1.38874,1.36709,0.00911,0.56673,0.54308,0.55795,0.38619,1.73438,2.08131,0.01368,0.000207393,0.000207393,0.000207393
59,2132.72,1.43777,1.413,0.00932,0.57665,0.58944,0.58296,0.37762,1.70815,2.02633,0.01323,0.000202681,0.000202681,0.000202681
60,2168.56,1.39305,1.36694,0.00888,0.59898,0.57581,0.57645,0.39726,1.68748,1.99967,0.01274,0.000197968,0.000197968,0.000197968
61,2204.65,1.39693,1.30415,0.0086,0.5548,0.5855,0.57809,0.38549,1.71363,2.09728,0.01309,0.000193256,0.000193256,0.000193256
62,2240.77,1.39757,1.34792,0.00907,0.57033,0.59039,0.58395,0.39213,1.75357,2.01062,0.01277,0.000188544,0.000188544,0.000188544
63,2276.87,1.41081,1.35344,0.00858,0.58194,0.58412,0.58842,0.40743,1.72761,2.00604,0.013,0.000183831,0.000183831,0.000183831
64,2313.32,1.36133,1.31774,0.00876,0.69874,0.52902,0.58842,0.3952,1.69692,1.98733,0.01263,0.000179119,0.000179119,0.000179119
65,2349.23,1.37668,1.31519,0.00858,0.54696,0.60371,0.60619,0.404,1.68889,1.93992,0.01262,0.000174406,0.000174406,0.000174406
66,2387.14,1.3822,1.29314,0.00828,0.6075,0.60345,0.6045,0.39154,1.68712,1.95256,0.01247,0.000169694,0.000169694,0.000169694
67,2423.28,1.35102,1.22407,0.00821,0.68724,0.52002,0.58994,0.39691,1.68914,2.0376,0.01239,0.000164982,0.000164982,0.000164982
68,2459.25,1.32377,1.28264,0.00852,0.53681,0.55512,0.57754,0.39162,1.71437,2.01829,0.01335,0.000160269,0.000160269,0.000160269
69,2495.44,1.36541,1.26859,0.00802,0.56567,0.57472,0.58277,0.39011,1.71185,1.97331,0.01332,0.000155557,0.000155557,0.000155557
70,2532.15,1.32459,1.22972,0.00823,0.56054,0.56385,0.58278,0.39842,1.72435,1.97676,0.01292,0.000150844,0.000150844,0.000150844
71,2568.41,1.29642,1.18512,0.00783,0.56882,0.55674,0.5893,0.40012,1.72679,2.0709,0.0131,0.000146132,0.000146132,0.000146132
72,2605.83,1.32459,1.18643,0.00825,0.5562,0.60315,0.57567,0.3901,1.70623,1.95578,0.01262,0.00014142,0.00014142,0.00014142
73,2643.38,1.33167,1.20098,0.00802,0.53399,0.58229,0.57513,0.39624,1.74305,1.99259,0.01318,0.000136707,0.000136707,0.000136707
74,2681.12,1.3004,1.21464,0.00808,0.56763,0.57989,0.58035,0.4006,1.72069,1.99875,0.01259,0.000131995,0.000131995,0.000131995
75,2722.12,1.32926,1.24059,0.00775,0.54215,0.60905,0.58759,0.40018,1.72073,2.00185,0.01293,0.000127282,0.000127282,0.000127282
76,2761.35,1.31866,1.19506,0.00772,0.56069,0.60443,0.58676,0.40776,1.7217,1.94951,0.0127,0.00012257,0.00012257,0.00012257
77,2800.18,1.30795,1.16785,0.0074,0.61467,0.58445,0.58559,0.41011,1.70502,1.96418,0.01234,0.000117858,0.000117858,0.000117858
78,2839.74,1.28362,1.18282,0.00789,0.55842,0.588,0.57273,0.40444,1.68361,2.03254,0.01227,0.000113145,0.000113145,0.000113145
79,2876.3,1.27085,1.15643,0.00761,0.63515,0.58477,0.59053,0.39533,1.73161,1.95134,0.01285,0.000108433,0.000108433,0.000108433
80,2913.72,1.25846,1.14656,0.00779,0.5639,0.59494,0.59195,0.39385,1.70762,2.01373,0.01211,0.00010372,0.00010372,0.00010372
81,2950.98,1.3194,1.17314,0.00783,0.6001,0.59208,0.5903,0.40439,1.73303,1.96459,0.01247,9.9008e-05,9.9008e-05,9.9008e-05
82,2992.33,1.27171,1.14779,0.00739,0.59968,0.59511,0.59216,0.39846,1.71423,1.98838,0.01235,9.42956e-05,9.42956e-05,9.42956e-05
83,3029.53,1.28333,1.14966,0.00797,0.60386,0.57959,0.58279,0.40163,1.72569,2.01954,0.0127,8.95832e-05,8.95832e-05,8.95832e-05
84,3068.9,1.24141,1.09195,0.00771,0.57158,0.56553,0.56653,0.39437,1.70718,2.01798,0.01245,8.48708e-05,8.48708e-05,8.48708e-05
85,3107.98,1.24156,1.12729,0.00727,0.54683,0.58959,0.57083,0.39521,1.7173,2.01046,0.01207,8.01584e-05,8.01584e-05,8.01584e-05
86,3149.95,1.22711,1.08227,0.00724,0.60176,0.56147,0.57376,0.39974,1.70222,1.96769,0.01198,7.5446e-05,7.5446e-05,7.5446e-05
87,3191.56,1.24416,1.09146,0.00729,0.55343,0.60386,0.57563,0.39871,1.6893,1.96779,0.01214,7.07336e-05,7.07336e-05,7.07336e-05
88,3232.54,1.2124,1.04863,0.00701,0.59462,0.59754,0.58252,0.40269,1.70685,1.99156,0.01213,6.60212e-05,6.60212e-05,6.60212e-05
89,3271.26,1.23546,1.06975,0.00736,0.56308,0.57134,0.57822,0.39268,1.751,2.02557,0.01265,6.13088e-05,6.13088e-05,6.13088e-05
90,3311.9,1.20077,1.08719,0.00718,0.58074,0.59733,0.58603,0.40944,1.71297,1.97744,0.01225,5.65964e-05,5.65964e-05,5.65964e-05
91,3361.82,1.30004,1.04765,0.00955,0.59958,0.54317,0.57403,0.38469,1.7573,1.9956,0.0138,5.1884e-05,5.1884e-05,5.1884e-05
92,3398.43,1.25939,0.97445,0.0092,0.5829,0.56382,0.58051,0.39639,1.72274,2.03988,0.01269,4.71716e-05,4.71716e-05,4.71716e-05
93,3434.6,1.24903,0.97843,0.00885,0.56676,0.5918,0.5754,0.39075,1.71052,2.03913,0.01271,4.24592e-05,4.24592e-05,4.24592e-05
94,3471.75,1.28648,0.94855,0.00929,0.57416,0.56377,0.56727,0.39387,1.71312,2.04348,0.01254,3.77468e-05,3.77468e-05,3.77468e-05
95,3508.59,1.24057,0.91958,0.00858,0.6199,0.54828,0.58086,0.40348,1.70645,2.07642,0.01226,3.30344e-05,3.30344e-05,3.30344e-05
96,3548.16,1.22387,0.90888,0.00824,0.56378,0.57133,0.57564,0.40305,1.68094,2.01765,0.01231,2.8322e-05,2.8322e-05,2.8322e-05
97,3600.13,1.22999,0.94467,0.00829,0.55542,0.57892,0.5865,0.40407,1.69559,2.02279,0.01245,2.36096e-05,2.36096e-05,2.36096e-05
98,3639.86,1.20363,0.94101,0.00792,0.54546,0.57822,0.57596,0.40402,1.69185,2.03332,0.01233,1.88972e-05,1.88972e-05,1.88972e-05
99,3679.38,1.22456,0.91231,0.00807,0.56148,0.59894,0.57715,0.40545,1.69263,2.01609,0.01226,1.41848e-05,1.41848e-05,1.41848e-05
100,3719.68,1.19905,0.88423,0.00797,0.54454,0.59266,0.57462,0.40435,1.68995,2.02179,0.01253,9.4724e-06,9.4724e-06,9.4724e-06
