epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1645,1.77795,4.25751,1.60751,0.41323,0.19831,0.17661,0.10961,1.86389,3.41022,1.38765,0.000156923,0.000156923,0.000156923
2,81.8551,1.64284,3.05613,1.4182,0.29154,0.28695,0.23709,0.14532,1.78868,3.13855,1.35316,0.000312465,0.000312465,0.000312465
3,114.465,1.57282,2.83894,1.34577,0.45874,0.21696,0.21441,0.14265,1.88649,3.21418,1.40022,0.000464866,0.000464866,0.000464866
4,147.482,1.61415,2.85422,1.38888,0.65609,0.20216,0.23093,0.14267,1.91107,3.1812,1.43153,0.000461863,0.000461863,0.000461863
5,180.244,1.59377,2.75609,1.35944,0.40125,0.22354,0.23083,0.14271,1.88261,2.91518,1.40856,0.00045715,0.00045715,0.00045715
6,212.265,1.57934,2.68352,1.35079,0.61287,0.27955,0.27139,0.17551,1.84024,2.7829,1.39026,0.000452438,0.000452438,0.000452438
7,244.678,1.57253,2.6132,1.35272,0.44912,0.33145,0.28859,0.17177,1.87243,2.69844,1.34869,0.000447726,0.000447726,0.000447726
8,277.055,1.57045,2.5504,1.33979,0.42528,0.31129,0.29596,0.18734,1.78218,2.6084,1.34235,0.000443013,0.000443013,0.000443013
9,308.877,1.57016,2.54854,1.33426,0.43624,0.30231,0.29742,0.19143,1.85543,2.55024,1.33664,0.000438301,0.000438301,0.000438301
10,340.778,1.50832,2.41991,1.30688,0.57926,0.30621,0.29242,0.19506,1.76339,2.58679,1.29914,0.000433588,0.000433588,0.000433588
11,373.029,1.51068,2.38058,1.28427,0.44365,0.31989,0.31527,0.20329,1.72575,2.81317,1.35776,0.000428876,0.000428876,0.000428876
12,407.831,1.49429,2.31782,1.28097,0.48477,0.34014,0.33478,0.19841,1.77745,2.48544,1.28804,0.000424164,0.000424164,0.000424164
13,442.486,1.45348,2.23245,1.27359,0.50847,0.32938,0.33518,0.21486,1.76268,2.44302,1.3066,0.000419451,0.000419451,0.000419451
14,476.524,1.50659,2.25068,1.27794,0.56766,0.33422,0.35299,0.22233,1.67449,2.23735,1.25947,0.000414739,0.000414739,0.000414739
15,510.269,1.42633,2.16579,1.24851,0.49587,0.35506,0.37135,0.22955,1.71831,2.41652,1.28577,0.000410026,0.000410026,0.000410026
16,544.557,1.41097,2.1333,1.24793,0.56073,0.30675,0.34564,0.21831,1.69384,2.38974,1.22011,0.000405314,0.000405314,0.000405314
17,578.238,1.41885,2.06204,1.22735,0.42966,0.34548,0.34081,0.22253,1.72288,2.2759,1.28111,0.000400602,0.000400602,0.000400602
18,614.218,1.41591,2.14871,1.24275,0.43972,0.37999,0.33765,0.21132,1.68585,2.38093,1.25706,0.000395889,0.000395889,0.000395889
19,649.961,1.37867,2.01347,1.21244,0.49414,0.39483,0.42055,0.25247,1.58896,2.11939,1.19641,0.000391177,0.000391177,0.000391177
20,684.549,1.3827,1.99096,1.22091,0.44066,0.38409,0.35537,0.21945,1.65159,2.20786,1.24435,0.000386464,0.000386464,0.000386464
21,719.374,1.39629,1.99139,1.23713,0.52239,0.37274,0.39002,0.24649,1.56509,2.12632,1.21498,0.000381752,0.000381752,0.000381752
22,756.02,1.36393,1.94272,1.21188,0.49362,0.41376,0.43756,0.27726,1.57364,2.07839,1.22114,0.00037704,0.00037704,0.00037704
23,790.663,1.32013,1.88678,1.19768,0.60745,0.41132,0.45373,0.268,1.65063,2.06541,1.21508,0.000372327,0.000372327,0.000372327
24,826.348,1.34232,1.91934,1.20188,0.35638,0.47921,0.42328,0.25891,1.5927,2.14092,1.18799,0.000367615,0.000367615,0.000367615
25,862.092,1.351,1.93961,1.20763,0.57722,0.41299,0.41567,0.26172,1.57346,2.06186,1.17537,0.000362902,0.000362902,0.000362902
26,896.779,1.31076,1.83424,1.19126,0.52396,0.4124,0.42332,0.25846,1.56226,2.07547,1.19794,0.00035819,0.00035819,0.00035819
27,931.58,1.30726,1.84095,1.18264,0.4573,0.40765,0.42609,0.25995,1.57957,2.07887,1.20831,0.000353478,0.000353478,0.000353478
28,966.661,1.35174,1.81477,1.19587,0.47297,0.40156,0.42583,0.2626,1.6191,2.01643,1.20827,0.000348765,0.000348765,0.000348765
29,999.094,1.32571,1.8372,1.17958,0.46975,0.47559,0.45809,0.29029,1.54457,1.93681,1.19776,0.000344053,0.000344053,0.000344053
30,1032.46,1.29635,1.77178,1.179,0.56755,0.39913,0.45186,0.27762,1.56019,2.02838,1.17961,0.00033934,0.00033934,0.00033934
31,1066.89,1.29609,1.7461,1.1696,0.53137,0.41471,0.47689,0.2957,1.52795,1.88903,1.14573,0.000334628,0.000334628,0.000334628
32,1101.78,1.29229,1.68252,1.18278,0.63408,0.4214,0.49162,0.30615,1.5101,1.8765,1.17132,0.000329916,0.000329916,0.000329916
33,1134.25,1.25742,1.67564,1.16409,0.52879,0.46621,0.44913,0.2844,1.55854,1.98712,1.16618,0.000325203,0.000325203,0.000325203
34,1169.6,1.25023,1.652,1.15521,0.4547,0.43307,0.45299,0.29283,1.48351,1.92497,1.15713,0.000320491,0.000320491,0.000320491
35,1204.12,1.24651,1.64042,1.14174,0.58338,0.43414,0.44989,0.29244,1.49567,1.91917,1.145,0.000315778,0.000315778,0.000315778
36,1239.01,1.2425,1.63868,1.14118,0.52076,0.47992,0.49559,0.32683,1.45494,1.84731,1.11331,0.000311066,0.000311066,0.000311066
37,1272.93,1.24851,1.62108,1.14872,0.56208,0.45338,0.51603,0.33184,1.53069,1.89759,1.17717,0.000306354,0.000306354,0.000306354
38,1308.58,1.23421,1.5821,1.15116,0.50712,0.5024,0.50306,0.323,1.52368,1.81156,1.16809,0.000301641,0.000301641,0.000301641
39,1343.17,1.23684,1.56099,1.14037,0.56449,0.43938,0.47965,0.2958,1.57178,1.96669,1.1891,0.000296929,0.000296929,0.000296929
