epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5297,4.29909,6.2857,4.28245,0,0,0,0,4.43037,7.26109,4.1355,0.000156923,0.000156923,0.000156923
2,94.3229,4.17815,5.85181,3.90654,0.00015,0.00921,4e-05,0,4.23121,12.7807,5.45422,0.000312465,0.000312465,0.000312465
3,131.496,3.60051,5.10234,3.40466,0.0058,0.09923,0.00574,0.00101,3.87686,47.1101,3.49993,0.000464866,0.000464866,0.000464866
4,169.932,3.33998,4.64383,3.11547,0.63445,0.04412,0.05083,0.02489,3.49607,25.621,3.0749,0.000461863,0.000461863,0.000461863
5,206.294,3.1175,4.39952,3,0.75772,0.02941,0.04974,0.01214,3.44542,6.71453,2.77445,0.00045715,0.00045715,0.00045715
6,244.269,3.02181,4.1895,2.89616,0.66276,0.05,0.06928,0.0239,3.27112,4.66682,2.70746,0.000452438,0.000452438,0.000452438
7,280.006,2.87433,4.04407,2.74633,0.04297,0.09829,0.06715,0.03335,3.06746,4.32826,2.47622,0.000447726,0.000447726,0.000447726
8,317.581,2.73911,3.80672,2.59011,0.25042,0.14277,0.09262,0.03725,2.90564,5.65369,2.21745,0.000443013,0.000443013,0.000443013
9,355.621,2.6828,3.72632,2.53213,0.35253,0.1242,0.10653,0.04231,2.86777,3.70734,2.23237,0.000438301,0.000438301,0.000438301
10,393.283,2.586,3.56591,2.44548,0.28582,0.1574,0.1163,0.03951,2.87376,3.58733,2.14368,0.000433588,0.000433588,0.000433588
11,430.907,2.53409,3.42754,2.37507,0.27397,0.21227,0.14779,0.06162,2.80458,3.45708,2.10415,0.000428876,0.000428876,0.000428876
12,466.807,2.48356,3.35851,2.29836,0.35504,0.17594,0.14142,0.06658,2.67439,3.28684,2.03392,0.000424164,0.000424164,0.000424164
13,505.431,2.36974,3.19761,2.21558,0.47635,0.20666,0.17168,0.07111,2.6855,3.13143,1.99796,0.000419451,0.000419451,0.000419451
14,541.111,2.29347,3.19761,2.2048,0.33565,0.20466,0.18166,0.08624,2.58191,3.16943,1.95224,0.000414739,0.000414739,0.000414739
15,577.94,2.25513,3.10961,2.12674,0.53757,0.19854,0.19185,0.08312,2.57476,3.08396,1.96294,0.000410026,0.000410026,0.000410026
16,614.355,2.22635,3.14174,2.12601,0.34526,0.29244,0.20476,0.09791,2.47597,3.14467,1.91799,0.000405314,0.000405314,0.000405314
17,651.462,2.15284,2.98205,2.05111,0.34067,0.23595,0.18639,0.08983,2.47782,2.99775,1.92618,0.000400602,0.000400602,0.000400602
18,689.165,2.11734,2.94909,2.02096,0.53798,0.21225,0.25843,0.11495,2.41828,2.87672,1.83965,0.000395889,0.000395889,0.000395889
19,727.415,2.03723,2.85457,1.97783,0.40996,0.26451,0.21181,0.10584,2.35589,2.88471,1.83145,0.000391177,0.000391177,0.000391177
20,764.199,2.03193,2.85366,1.9639,0.38554,0.25714,0.21445,0.11889,2.3236,2.89563,1.81038,0.000386464,0.000386464,0.000386464
21,800.121,1.99328,2.79463,1.9494,0.44694,0.25248,0.25354,0.13256,2.28783,2.67439,1.75711,0.000381752,0.000381752,0.000381752
22,839.51,1.97769,2.77218,1.91589,0.46126,0.2629,0.24288,0.13,2.27746,2.76501,1.74439,0.00037704,0.00037704,0.00037704
