epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9185,4.105,6.10285,4.14748,0.00066,0.00588,0.00269,0.00061,4.406,7.17817,4.17883,0.000156923,0.000156923,0.000156923
2,85.1907,3.55495,5.14717,3.5503,0.5608,0.0369,0.02523,0.00604,3.36832,11.5909,3.27828,0.000312465,0.000312465,0.000312465
3,119.167,3.06601,4.54243,3.1542,0.49782,0.05882,0.04916,0.0157,3.12732,5.49648,2.76498,0.000464866,0.000464866,0.000464866
4,153.377,2.73769,4.13197,2.77033,0.20769,0.0975,0.06969,0.01987,3.0456,5.14423,2.575,0.000461863,0.000461863,0.000461863
5,186.988,2.59095,3.92829,2.58848,0.4317,0.08549,0.08604,0.04097,2.95589,6.43535,2.45435,0.00045715,0.00045715,0.00045715
6,224.923,2.3906,3.6398,2.41696,0.30118,0.1527,0.11961,0.06139,2.76795,3.91273,2.3018,0.000452438,0.000452438,0.000452438
7,266.456,2.32664,3.487,2.31549,0.49481,0.16269,0.15072,0.08121,2.62473,3.54337,2.05707,0.000447726,0.000447726,0.000447726
8,305.724,2.21848,3.26848,2.17734,0.34284,0.20854,0.17297,0.0888,2.5074,3.59692,2.02188,0.000443013,0.000443013,0.000443013
9,344.922,2.17621,3.21014,2.17677,0.33855,0.17002,0.16885,0.08154,2.45713,3.20215,2.00461,0.000438301,0.000438301,0.000438301
10,384.377,2.10437,3.07148,2.12134,0.4085,0.22705,0.21044,0.10587,2.35171,3.11245,1.91468,0.000433588,0.000433588,0.000433588
11,425.38,2.04403,2.93249,2.02661,0.35684,0.25697,0.22639,0.11449,2.35263,3.00331,1.93811,0.000428876,0.000428876,0.000428876
12,466.616,2.01635,2.87097,1.9881,0.45759,0.24444,0.20887,0.10885,2.27987,3.04381,1.85378,0.000424164,0.000424164,0.000424164
13,506.334,1.98052,2.77146,1.94573,0.58499,0.20255,0.22741,0.1227,2.29254,2.79188,1.78487,0.000419451,0.000419451,0.000419451
14,545.499,1.90554,2.75268,1.91615,0.48013,0.28326,0.27096,0.14682,2.19192,2.71964,1.72693,0.000414739,0.000414739,0.000414739
15,581.688,1.90221,2.6572,1.89436,0.45431,0.33168,0.26227,0.13458,2.16808,2.77893,1.75673,0.000410026,0.000410026,0.000410026
16,620.78,1.90251,2.65989,1.89761,0.40332,0.30181,0.24237,0.13102,2.1657,2.74517,1.7194,0.000405314,0.000405314,0.000405314
17,658.038,1.86865,2.56605,1.85755,0.42702,0.29347,0.26789,0.15165,2.09074,2.60552,1.72318,0.000400602,0.000400602,0.000400602
18,696.69,1.82036,2.53237,1.81982,0.36698,0.31371,0.26986,0.14072,2.15293,2.60809,1.6936,0.000395889,0.000395889,0.000395889
19,737.174,1.78424,2.43967,1.80505,0.37882,0.33587,0.2755,0.15396,2.08699,2.42649,1.6863,0.000391177,0.000391177,0.000391177
20,775.974,1.76721,2.45409,1.8046,0.47047,0.33209,0.29686,0.16352,2.07968,2.50366,1.66513,0.000386464,0.000386464,0.000386464
21,815.179,1.73011,2.375,1.77365,0.40542,0.35005,0.29457,0.16403,2.10163,2.46776,1.63072,0.000381752,0.000381752,0.000381752
22,854.597,1.76467,2.41161,1.76443,0.47616,0.31322,0.29936,0.16465,2.12614,2.49659,1.66568,0.00037704,0.00037704,0.00037704
23,890.441,1.7172,2.33944,1.70046,0.36305,0.35387,0.2913,0.16311,2.03965,2.47943,1.61091,0.000372327,0.000372327,0.000372327
24,930.951,1.66626,2.27487,1.68745,0.41765,0.38907,0.33583,0.18207,2.03274,2.34801,1.63202,0.000367615,0.000367615,0.000367615
25,969.409,1.68375,2.25451,1.66878,0.40988,0.38374,0.32445,0.18323,1.99713,2.34759,1.58735,0.000362902,0.000362902,0.000362902
26,1007.39,1.6742,2.21228,1.66584,0.45848,0.39644,0.32916,0.17454,2.01589,2.37517,1.61643,0.00035819,0.00035819,0.00035819
27,1044.88,1.67414,2.24282,1.66446,0.50457,0.35391,0.34724,0.1922,1.95595,2.3574,1.58735,0.000353478,0.000353478,0.000353478
28,1083.91,1.66743,2.16708,1.62819,0.43519,0.4274,0.31529,0.17168,2.00578,2.57779,1.58028,0.000348765,0.000348765,0.000348765
29,1121.82,1.628,2.12274,1.63067,0.44259,0.35527,0.33882,0.1905,1.99146,2.3786,1.62166,0.000344053,0.000344053,0.000344053
30,1160.6,1.60698,2.10893,1.62076,0.40475,0.36702,0.29974,0.17448,1.97763,2.56143,1.59221,0.00033934,0.00033934,0.00033934
31,1196.99,1.63779,2.10055,1.64622,0.42085,0.43047,0.36249,0.19674,1.95012,2.35626,1.52067,0.000334628,0.000334628,0.000334628
32,1235.26,1.57057,2.04556,1.61136,0.44634,0.36538,0.32989,0.19204,1.89965,2.26349,1.52046,0.000329916,0.000329916,0.000329916
33,1272.61,1.59339,2.0518,1.58608,0.53858,0.38896,0.37129,0.19819,1.94835,2.22931,1.52382,0.000325203,0.000325203,0.000325203
34,1310.55,1.55117,2.0097,1.57007,0.43583,0.39507,0.34485,0.19173,1.97905,2.20391,1.55505,0.000320491,0.000320491,0.000320491
35,1346.77,1.53665,2.02042,1.55147,0.41911,0.39736,0.33912,0.1855,1.92235,2.30155,1.54495,0.000315778,0.000315778,0.000315778
36,1385.61,1.54961,1.99464,1.58618,0.46716,0.4071,0.33902,0.19237,1.84895,2.31929,1.47861,0.000311066,0.000311066,0.000311066
37,1421.22,1.52679,1.97446,1.54368,0.45543,0.43819,0.36869,0.21514,1.96612,2.30286,1.53348,0.000306354,0.000306354,0.000306354
38,1463.63,1.52795,1.95902,1.53296,0.59218,0.3397,0.37944,0.21324,1.8707,2.27029,1.50672,0.000301641,0.000301641,0.000301641
39,1513.34,1.52567,1.95455,1.54083,0.48886,0.43006,0.39064,0.22438,1.84394,2.06529,1.52618,0.000296929,0.000296929,0.000296929
