epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5594,4.14546,6.06729,4.14012,0.00163,0.00662,0.00093,0.00034,4.46113,7.19409,4.19465,0.000156923,0.000156923,0.000156923
2,83.9524,3.511,5.12289,3.55778,0.42836,0.1347,0.02039,0.00487,3.45645,10.6255,3.11556,0.000312465,0.000312465,0.000312465
3,117.887,3.07102,4.54014,3.1111,0.5165,0.05267,0.05562,0.02068,3.17326,7.59394,2.74226,0.000464866,0.000464866,0.000464866
4,151.512,2.75396,4.15463,2.74203,0.61038,0.09015,0.08612,0.02756,3.04694,5.30403,2.48867,0.000461863,0.000461863,0.000461863
5,187.242,2.58057,3.93841,2.57298,0.32625,0.15117,0.09399,0.03906,2.89555,4.53433,2.38573,0.00045715,0.00045715,0.00045715
6,226.052,2.43778,3.67689,2.42115,0.43951,0.1519,0.09538,0.05149,2.75778,4.23712,2.29511,0.000452438,0.000452438,0.000452438
7,265.378,2.33952,3.51161,2.31629,0.45138,0.14502,0.1331,0.06702,2.65964,3.5695,2.15941,0.000447726,0.000447726,0.000447726
8,300.677,2.22968,3.23607,2.1649,0.24309,0.19221,0.14869,0.06917,2.54157,3.48088,2.05424,0.000443013,0.000443013,0.000443013
9,337.313,2.18669,3.17392,2.13491,0.21846,0.1819,0.15229,0.07192,2.5584,3.32126,2.02087,0.000438301,0.000438301,0.000438301
10,376.601,2.12584,3.08155,2.09761,0.48442,0.20851,0.21019,0.10646,2.47074,3.05367,1.95398,0.000433588,0.000433588,0.000433588
11,412.881,2.06813,2.948,2.01843,0.2556,0.27729,0.194,0.092,2.39395,3.13243,1.91893,0.000428876,0.000428876,0.000428876
12,450.689,2.01127,2.86373,1.94801,0.34807,0.26385,0.22931,0.11889,2.32864,2.92465,1.77568,0.000424164,0.000424164,0.000424164
13,487.402,1.99563,2.75433,1.94259,0.39392,0.27209,0.23263,0.11816,2.36936,2.77868,1.79404,0.000419451,0.000419451,0.000419451
14,525.045,1.91384,2.73334,1.90358,0.36673,0.30064,0.27406,0.13559,2.27232,2.79856,1.70497,0.000414739,0.000414739,0.000414739
15,564.096,1.91599,2.6733,1.88137,0.58403,0.23851,0.24384,0.13076,2.24332,2.89141,1.798,0.000410026,0.000410026,0.000410026
16,601.413,1.90938,2.69483,1.87777,0.42419,0.29858,0.2715,0.13623,2.18093,2.65387,1.74082,0.000405314,0.000405314,0.000405314
17,636.738,1.85849,2.54612,1.82445,0.43857,0.33621,0.26599,0.13859,2.14336,2.60665,1.70068,0.000400602,0.000400602,0.000400602
18,675.168,1.8374,2.50611,1.78608,0.49146,0.3222,0.29066,0.15621,2.15957,2.51282,1.65987,0.000395889,0.000395889,0.000395889
19,714.033,1.77071,2.41963,1.76189,0.35401,0.34262,0.29185,0.15364,2.09242,2.51089,1.61763,0.000391177,0.000391177,0.000391177
20,751.322,1.76994,2.40169,1.77063,0.38698,0.32173,0.27242,0.15542,2.15527,2.50182,1.64461,0.000386464,0.000386464,0.000386464
21,788.293,1.73043,2.36275,1.73664,0.53675,0.2973,0.30585,0.1673,2.1046,2.41738,1.59369,0.000381752,0.000381752,0.000381752
22,825.987,1.74051,2.39473,1.72846,0.54611,0.31902,0.29154,0.15802,2.17765,2.57988,1.62773,0.00037704,0.00037704,0.00037704
23,864.053,1.73754,2.33062,1.68315,0.37219,0.37775,0.30934,0.17409,2.10605,2.46773,1.61143,0.000372327,0.000372327,0.000372327
24,901.803,1.67462,2.25459,1.65488,0.4665,0.32729,0.33163,0.18151,2.06167,2.41977,1.57401,0.000367615,0.000367615,0.000367615
25,939.357,1.69235,2.20932,1.63691,0.44503,0.36702,0.335,0.18783,2.07868,2.29479,1.54167,0.000362902,0.000362902,0.000362902
26,977.466,1.69365,2.19885,1.64246,0.57317,0.34732,0.35507,0.19237,2.13878,2.30088,1.59809,0.00035819,0.00035819,0.00035819
27,1012.83,1.67197,2.19408,1.62956,0.48107,0.39992,0.35355,0.19086,2.07614,2.31917,1.57038,0.000353478,0.000353478,0.000353478
28,1052.82,1.65263,2.12927,1.60592,0.494,0.36411,0.35275,0.18849,2.05327,2.28589,1.58603,0.000348765,0.000348765,0.000348765
29,1091.59,1.62214,2.08517,1.61206,0.48193,0.36083,0.33774,0.18315,2.04226,2.30805,1.56739,0.000344053,0.000344053,0.000344053
30,1129.15,1.61095,2.08525,1.59289,0.45207,0.31489,0.34173,0.1891,2.02418,2.31004,1.57872,0.00033934,0.00033934,0.00033934
31,1165.52,1.63055,2.05977,1.61647,0.5371,0.35273,0.35867,0.20125,2.01018,2.19525,1.56993,0.000334628,0.000334628,0.000334628
32,1204.88,1.56759,2.02692,1.57964,0.44106,0.41213,0.35152,0.19938,2.0091,2.18902,1.55115,0.000329916,0.000329916,0.000329916
33,1239.17,1.58836,2.03209,1.55847,0.55681,0.38639,0.37136,0.2074,2.01749,2.2453,1.52536,0.000325203,0.000325203,0.000325203
34,1277.78,1.58448,2.02148,1.55555,0.51486,0.38049,0.36177,0.20751,1.98021,2.14056,1.50467,0.000320491,0.000320491,0.000320491
35,1313.2,1.53694,1.95115,1.51727,0.59123,0.34887,0.37919,0.21653,1.97485,2.18499,1.5582,0.000315778,0.000315778,0.000315778
36,1351.16,1.56519,1.9779,1.55588,0.6028,0.37965,0.40232,0.21366,1.97989,2.19723,1.51999,0.000311066,0.000311066,0.000311066
37,1389.34,1.52431,1.96976,1.51662,0.6524,0.40448,0.44138,0.24079,1.89792,2.09135,1.47493,0.000306354,0.000306354,0.000306354
38,1427.61,1.51969,1.93576,1.51258,0.52155,0.41997,0.405,0.22869,1.93173,2.05659,1.49499,0.000301641,0.000301641,0.000301641
39,1464.37,1.54814,1.90688,1.51593,0.58256,0.37792,0.39792,0.23162,1.90026,2.05343,1.46428,0.000296929,0.000296929,0.000296929
40,1501.51,1.52056,1.93289,1.50713,0.56968,0.36286,0.39275,0.2228,1.94922,2.08226,1.47666,0.000292216,0.000292216,0.000292216
