epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5033,2.04269,5.5225,1.74168,0.39937,0.18276,0.09489,0.05896,2.15479,6.14326,1.69876,0.000156923,0.000156923,0.000156923
2,89.5261,1.87065,3.44647,1.53636,0.48098,0.18493,0.14781,0.08996,2.30971,4.29446,1.7618,0.000312465,0.000312465,0.000312465
3,128.218,1.87916,3.10501,1.55023,0.34215,0.24155,0.16796,0.10458,2.16772,3.52529,1.607,0.000464866,0.000464866,0.000464866
4,168.081,1.8555,2.90574,1.53416,0.37812,0.22777,0.17214,0.09536,2.22866,3.35313,1.64646,0.000461863,0.000461863,0.000461863
5,205.663,1.81519,2.78147,1.49236,0.37493,0.20393,0.18087,0.10548,2.37081,3.52702,1.81257,0.00045715,0.00045715,0.00045715
6,242.064,1.75146,2.67422,1.46788,0.61957,0.22078,0.24201,0.14196,2.09599,2.90923,1.55529,0.000452438,0.000452438,0.000452438
7,278.823,1.74974,2.59285,1.46685,0.69249,0.2301,0.28674,0.18113,1.93287,2.68555,1.46468,0.000447726,0.000447726,0.000447726
8,316.762,1.68106,2.42988,1.41607,0.67551,0.31373,0.33149,0.19243,1.84819,2.61977,1.43823,0.000443013,0.000443013,0.000443013
9,353.847,1.66772,2.43485,1.40508,0.39436,0.28775,0.27863,0.1682,1.84785,2.56638,1.39757,0.000438301,0.000438301,0.000438301
10,390.4,1.64997,2.39802,1.40465,0.4099,0.35288,0.29297,0.18129,1.82237,2.45215,1.40437,0.000433588,0.000433588,0.000433588
11,429.01,1.62715,2.31494,1.37912,0.43105,0.3833,0.32489,0.19325,1.89436,2.57841,1.45426,0.000428876,0.000428876,0.000428876
12,467.55,1.59957,2.30098,1.35446,0.39693,0.34722,0.32163,0.20105,1.7561,2.34823,1.34545,0.000424164,0.000424164,0.000424164
13,507.967,1.57906,2.24084,1.36495,0.44743,0.35113,0.36147,0.21604,1.783,2.21402,1.34703,0.000419451,0.000419451,0.000419451
14,543.89,1.55703,2.19469,1.34725,0.48291,0.35473,0.34096,0.2118,1.81419,2.33887,1.37607,0.000414739,0.000414739,0.000414739
15,581.198,1.55184,2.20668,1.34455,0.5563,0.33111,0.35066,0.20727,1.75422,2.33645,1.35058,0.000410026,0.000410026,0.000410026
16,620.455,1.57229,2.20801,1.34149,0.47362,0.33764,0.35545,0.22578,1.76312,2.29793,1.29396,0.000405314,0.000405314,0.000405314
17,656.533,1.56712,2.10695,1.3178,0.42153,0.37972,0.36957,0.23174,1.67472,2.17446,1.28412,0.000400602,0.000400602,0.000400602
18,696.315,1.51681,2.07412,1.2989,0.51526,0.38312,0.38682,0.23402,1.70079,2.17252,1.27163,0.000395889,0.000395889,0.000395889
19,732.031,1.4381,1.97351,1.28213,0.47901,0.40495,0.39118,0.24198,1.69132,2.11736,1.28847,0.000391177,0.000391177,0.000391177
20,769.755,1.46839,2.01569,1.28794,0.45377,0.41831,0.39745,0.24333,1.74828,2.06194,1.31737,0.000386464,0.000386464,0.000386464
21,808.886,1.45685,1.96762,1.27673,0.46829,0.40797,0.41109,0.24989,1.64939,2.08163,1.27552,0.000381752,0.000381752,0.000381752
22,846.502,1.44527,1.97495,1.27439,0.4937,0.33254,0.38295,0.24914,1.65683,2.06838,1.26621,0.00037704,0.00037704,0.00037704
23,885.247,1.45608,1.91358,1.26237,0.37353,0.44509,0.40064,0.24481,1.7389,2.06725,1.32054,0.000372327,0.000372327,0.000372327
24,924.566,1.41147,1.90968,1.25378,0.55351,0.40417,0.41932,0.2635,1.65815,2.00221,1.26026,0.000367615,0.000367615,0.000367615
25,961.243,1.43112,1.88361,1.26089,0.48471,0.41169,0.3982,0.23726,1.65681,2.00751,1.24417,0.000362902,0.000362902,0.000362902
26,997.94,1.41347,1.83671,1.23404,0.49792,0.46489,0.41982,0.26552,1.63058,1.97992,1.26847,0.00035819,0.00035819,0.00035819
27,1036.84,1.40941,1.88461,1.25884,0.52246,0.4309,0.42734,0.25533,1.68439,2.03032,1.28196,0.000353478,0.000353478,0.000353478
28,1074.28,1.41157,1.81391,1.23246,0.65579,0.36027,0.42399,0.25489,1.70344,2.02546,1.27118,0.000348765,0.000348765,0.000348765
29,1110.61,1.3823,1.80263,1.24095,0.49126,0.45675,0.49182,0.301,1.56677,1.87169,1.20445,0.000344053,0.000344053,0.000344053
30,1147.79,1.36848,1.81051,1.23346,0.43162,0.44181,0.44035,0.28371,1.60395,1.95842,1.21762,0.00033934,0.00033934,0.00033934
31,1187.49,1.36579,1.75555,1.23885,0.55538,0.42961,0.46886,0.29527,1.58316,1.84951,1.22198,0.000334628,0.000334628,0.000334628
32,1226.2,1.35172,1.69311,1.2155,0.49568,0.41322,0.43695,0.26542,1.64138,1.97609,1.216,0.000329916,0.000329916,0.000329916
33,1263.75,1.35558,1.72494,1.21184,0.64054,0.39484,0.46109,0.30711,1.58101,1.87306,1.20187,0.000325203,0.000325203,0.000325203
34,1298.26,1.32991,1.66461,1.207,0.45692,0.43282,0.43434,0.27841,1.56599,1.93392,1.2176,0.000320491,0.000320491,0.000320491
35,1336.78,1.3025,1.62661,1.19058,0.41904,0.52448,0.49926,0.30103,1.54098,1.78981,1.19107,0.000315778,0.000315778,0.000315778
36,1374.75,1.33208,1.65663,1.21412,0.39518,0.47581,0.46132,0.28533,1.56673,1.90163,1.211,0.000311066,0.000311066,0.000311066
37,1414.26,1.29926,1.64727,1.19815,0.61095,0.41102,0.47133,0.29991,1.58424,1.82071,1.24091,0.000306354,0.000306354,0.000306354
38,1452.87,1.30655,1.60732,1.19185,0.58284,0.44286,0.4677,0.30091,1.55942,1.84943,1.18487,0.000301641,0.000301641,0.000301641
39,1487.61,1.32192,1.633,1.19158,0.49056,0.50595,0.5061,0.31987,1.56882,1.82732,1.20824,0.000296929,0.000296929,0.000296929
40,1526.6,1.33977,1.66919,1.20039,0.5788,0.4256,0.48247,0.2917,1.62854,1.88658,1.21231,0.000292216,0.000292216,0.000292216
41,1562.36,1.28922,1.60354,1.17974,0.4368,0.536,0.48454,0.30823,1.58251,1.85975,1.20816,0.000287504,0.000287504,0.000287504
42,1601.16,1.29313,1.55559,1.17894,0.54077,0.48314,0.51564,0.33465,1.52401,1.77975,1.16379,0.000282792,0.000282792,0.000282792
43,1639.79,1.27684,1.57799,1.16628,0.4972,0.48587,0.4945,0.32091,1.4881,1.75444,1.17024,0.000278079,0.000278079,0.000278079
44,1674.95,1.28006,1.53031,1.16495,0.46727,0.51302,0.50684,0.3182,1.4974,1.77991,1.18285,0.000273367,0.000273367,0.000273367
45,1712.98,1.2834,1.58434,1.19342,0.49498,0.5008,0.53268,0.33734,1.50533,1.71051,1.18522,0.000268654,0.000268654,0.000268654
46,1750.92,1.27916,1.5302,1.16835,0.49096,0.50272,0.51565,0.3397,1.47571,1.77624,1.1544,0.000263942,0.000263942,0.000263942
47,1789.33,1.24205,1.51178,1.15122,0.47513,0.5391,0.50135,0.32891,1.46887,1.76764,1.16087,0.00025923,0.00025923,0.00025923
48,1829.35,1.2117,1.46335,1.15477,0.51855,0.47212,0.47363,0.31445,1.46528,1.78854,1.1363,0.000254517,0.000254517,0.000254517
49,1866.27,1.26213,1.46709,1.16153,0.54997,0.44784,0.48614,0.32025,1.54087,1.75702,1.17926,0.000249805,0.000249805,0.000249805
50,1900.58,1.23018,1.47551,1.14048,0.55597,0.44596,0.50139,0.33617,1.51955,1.75416,1.15157,0.000245092,0.000245092,0.000245092
51,1939.8,1.22879,1.44069,1.14717,0.58192,0.46201,0.50238,0.32814,1.49525,1.70896,1.15166,0.00024038,0.00024038,0.00024038
52,1977.62,1.24043,1.41632,1.14595,0.55154,0.49563,0.5297,0.34377,1.49189,1.69125,1.15671,0.000235668,0.000235668,0.000235668
53,2015.15,1.19101,1.40319,1.1426,0.59966,0.52281,0.53731,0.3581,1.47139,1.67355,1.15549,0.000230955,0.000230955,0.000230955
54,2053.55,1.2244,1.42338,1.14287,0.48633,0.49468,0.49829,0.33278,1.45566,1.75694,1.14436,0.000226243,0.000226243,0.000226243
55,2090.08,1.22066,1.38566,1.14515,0.54551,0.52425,0.53221,0.35013,1.49088,1.7194,1.14434,0.00022153,0.00022153,0.00022153
56,2128.99,1.20834,1.41428,1.14858,0.56772,0.46163,0.53197,0.35159,1.44855,1.68898,1.12574,0.000216818,0.000216818,0.000216818
57,2166.47,1.17135,1.36431,1.13029,0.40571,0.58754,0.52403,0.34304,1.53092,1.74445,1.19045,0.000212106,0.000212106,0.000212106
58,2202.8,1.1771,1.34068,1.12532,0.43004,0.50807,0.49234,0.33854,1.46526,1.67459,1.13154,0.000207393,0.000207393,0.000207393
59,2242.19,1.18655,1.3813,1.1304,0.54545,0.52778,0.54921,0.37221,1.42665,1.62265,1.115,0.000202681,0.000202681,0.000202681
60,2280.58,1.1762,1.3545,1.12746,0.52923,0.52783,0.52255,0.3589,1.46315,1.65262,1.14612,0.000197968,0.000197968,0.000197968
61,2319.73,1.16363,1.29995,1.10041,0.46966,0.51478,0.52953,0.36393,1.48336,1.69657,1.16063,0.000193256,0.000193256,0.000193256
62,2358.35,1.17314,1.30651,1.11305,0.50583,0.5707,0.54653,0.36783,1.45122,1.68382,1.13315,0.000188544,0.000188544,0.000188544
63,2395.32,1.15633,1.27509,1.11552,0.61479,0.4782,0.55517,0.37451,1.47726,1.67433,1.15026,0.000183831,0.000183831,0.000183831
64,2433.09,1.14608,1.28382,1.11067,0.62058,0.52221,0.54858,0.35509,1.50898,1.64138,1.14756,0.000179119,0.000179119,0.000179119
65,2469.27,1.14521,1.25475,1.10515,0.57482,0.52897,0.57231,0.36732,1.4575,1.65204,1.1353,0.000174406,0.000174406,0.000174406
66,2509.54,1.14969,1.25625,1.10368,0.65368,0.5149,0.55371,0.36062,1.4403,1.69791,1.12474,0.000169694,0.000169694,0.000169694
67,2546.78,1.11756,1.19921,1.08998,0.59365,0.50033,0.53672,0.36715,1.50376,1.66118,1.14378,0.000164982,0.000164982,0.000164982
68,2585.05,1.12365,1.26806,1.10677,0.57065,0.5167,0.54991,0.37757,1.43115,1.61195,1.12931,0.000160269,0.000160269,0.000160269
69,2621.32,1.1223,1.1906,1.09756,0.52061,0.57951,0.55502,0.38083,1.44483,1.59672,1.13448,0.000155557,0.000155557,0.000155557
70,2657.64,1.10965,1.20293,1.09384,0.59908,0.53618,0.58023,0.38592,1.45535,1.61832,1.12141,0.000150844,0.000150844,0.000150844
71,2696.34,1.08661,1.1803,1.0798,0.54976,0.54841,0.5727,0.38017,1.4741,1.64229,1.12321,0.000146132,0.000146132,0.000146132
72,2733.67,1.10839,1.18645,1.09875,0.58431,0.51229,0.55065,0.37436,1.4626,1.63602,1.10165,0.00014142,0.00014142,0.00014142
73,2772.56,1.11892,1.1741,1.09649,0.67678,0.46232,0.53781,0.37067,1.47124,1.67272,1.13053,0.000136707,0.000136707,0.000136707
74,2807.07,1.1145,1.1854,1.0973,0.51792,0.55931,0.5289,0.36242,1.43409,1.64621,1.11981,0.000131995,0.000131995,0.000131995
75,2845.52,1.09052,1.18771,1.09031,0.59213,0.52082,0.56343,0.38166,1.42083,1.60495,1.12332,0.000127282,0.000127282,0.000127282
76,2883.01,1.09663,1.16178,1.0846,0.68038,0.50107,0.56633,0.38477,1.47442,1.60099,1.163,0.00012257,0.00012257,0.00012257
77,2921.18,1.06672,1.13239,1.06944,0.56907,0.53752,0.55834,0.38159,1.4671,1.62807,1.11342,0.000117858,0.000117858,0.000117858
78,2959.2,1.05799,1.12752,1.0756,0.5854,0.50525,0.54327,0.36898,1.45229,1.66797,1.12459,0.000113145,0.000113145,0.000113145
79,2996.76,1.0712,1.1015,1.07848,0.67592,0.51082,0.58586,0.38562,1.45655,1.61328,1.1159,0.000108433,0.000108433,0.000108433
80,3034.62,1.05842,1.13565,1.08275,0.69915,0.51575,0.58375,0.38852,1.44531,1.57175,1.11682,0.00010372,0.00010372,0.00010372
81,3071.75,1.07466,1.11639,1.07497,0.6535,0.52807,0.58433,0.39263,1.46893,1.62113,1.13495,9.9008e-05,9.9008e-05,9.9008e-05
82,3109.09,1.05298,1.10403,1.06552,0.67731,0.49851,0.56422,0.38835,1.43724,1.58373,1.11327,9.42956e-05,9.42956e-05,9.42956e-05
