epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6482,4.18374,5.33937,4.01231,0.00197,0.04795,0.00084,0.00024,3.94365,38.7219,3.75825,0.00015779,0.00015779,0.00015779
2,79.1059,3.44106,4.6519,3.36021,0.18858,0.06362,0.02219,0.00557,3.34515,11.096,3.11168,0.000313324,0.000313324,0.000313324
3,118.398,2.96694,4.34163,3.00107,0.7345,0.04467,0.04099,0.01311,3.1194,4.93156,2.80601,0.000465716,0.000465716,0.000465716
4,157.437,2.768,4.17319,2.77199,0.29986,0.09769,0.07564,0.02777,2.88039,5.07939,2.50341,0.000461863,0.000461863,0.000461863
5,198.29,2.61751,3.99252,2.59135,0.12605,0.08944,0.04571,0.01285,2.96387,5.90064,2.478,0.00045715,0.00045715,0.00045715
6,242.544,2.52736,3.86374,2.48857,0.32833,0.13441,0.11379,0.03342,2.87599,3.8601,2.27276,0.000452438,0.000452438,0.000452438
7,286.922,2.47857,3.7261,2.3524,0.44363,0.14949,0.15137,0.05237,2.64852,3.84121,2.11794,0.000447726,0.000447726,0.000447726
8,335.4,2.36434,3.61865,2.28759,0.15644,0.16955,0.11713,0.05526,2.61078,3.98863,2.05294,0.000443013,0.000443013,0.000443013
9,384.935,2.24918,3.57023,2.23305,0.27609,0.17941,0.12091,0.05412,2.59341,3.70561,2.04342,0.000438301,0.000438301,0.000438301
10,436.248,2.22364,3.46347,2.15746,0.49683,0.12865,0.13092,0.07754,2.47937,3.58108,1.91865,0.000433588,0.000433588,0.000433588
11,486.834,2.19065,3.35591,2.09737,0.27874,0.22268,0.13358,0.07075,2.51954,3.73167,1.98473,0.000428876,0.000428876,0.000428876
12,536.876,2.12821,3.31152,2.05603,0.23973,0.22496,0.1404,0.06258,2.52023,3.47286,1.94336,0.000424164,0.000424164,0.000424164
13,586.189,2.09482,3.25749,2.02564,0.39296,0.21031,0.14715,0.07525,2.44149,3.36155,1.90059,0.000419451,0.000419451,0.000419451
14,637.174,2.03829,3.23774,2.01729,0.3832,0.22163,0.16288,0.08629,2.29327,3.38255,1.77492,0.000414739,0.000414739,0.000414739
15,687.426,1.97001,3.14075,1.94124,0.28457,0.26132,0.18491,0.09723,2.39681,3.42501,1.83508,0.000410026,0.000410026,0.000410026
16,735.163,1.94456,3.01057,1.90947,0.42202,0.2355,0.1803,0.1003,2.33458,3.56547,1.79709,0.000405314,0.000405314,0.000405314
17,781.893,1.97061,3.0395,1.87606,0.34664,0.22858,0.17513,0.1021,2.47034,3.43288,1.8777,0.000400602,0.000400602,0.000400602
18,828.783,1.91902,2.97611,1.86375,0.44968,0.22426,0.1835,0.11237,2.23828,3.70137,1.73224,0.000395889,0.000395889,0.000395889
19,875.883,1.90907,2.94322,1.86579,0.45542,0.31777,0.19153,0.11098,2.27642,3.83242,1.78252,0.000391177,0.000391177,0.000391177
20,922.954,1.88661,2.95159,1.85555,0.28134,0.2832,0.19583,0.107,2.29451,3.87623,1.76105,0.000386464,0.000386464,0.000386464
21,969.999,1.84408,2.84493,1.83084,0.37031,0.33019,0.21965,0.12809,2.21778,3.3804,1.71054,0.000381752,0.000381752,0.000381752
22,1017.32,1.83478,2.79266,1.76734,0.44834,0.26482,0.21879,0.13035,2.15976,3.54177,1.67339,0.00037704,0.00037704,0.00037704
23,1065.12,1.81732,2.78631,1.757,0.37692,0.31728,0.22572,0.13516,2.11904,3.26293,1.67055,0.000372327,0.000372327,0.000372327
24,1117.21,1.80667,2.80699,1.78478,0.5069,0.21872,0.24385,0.13446,2.1431,3.11093,1.677,0.000367615,0.000367615,0.000367615
25,1169.25,1.79137,2.72787,1.75393,0.39774,0.2645,0.22222,0.13551,2.05632,3.2841,1.6759,0.000362902,0.000362902,0.000362902
26,1221.78,1.7653,2.71083,1.77939,0.42457,0.27458,0.26762,0.13878,2.11958,3.62142,1.63591,0.00035819,0.00035819,0.00035819
27,1270.53,1.73886,2.69926,1.75138,0.35835,0.32905,0.24703,0.13548,2.10971,3.48716,1.6148,0.000353478,0.000353478,0.000353478
28,1318,1.734,2.63658,1.70634,0.3718,0.31226,0.25316,0.14096,2.14585,3.01151,1.6369,0.000348765,0.000348765,0.000348765
29,1364.62,1.72065,2.6216,1.67834,0.38183,0.27722,0.27238,0.1457,2.16609,2.84225,1.65161,0.000344053,0.000344053,0.000344053
30,1412.46,1.72981,2.62328,1.70806,0.32951,0.35117,0.25944,0.14655,2.05941,3.66108,1.6193,0.00033934,0.00033934,0.00033934
31,1459.35,1.69762,2.5392,1.65103,0.40143,0.32988,0.2749,0.15941,2.05771,3.02166,1.60103,0.000334628,0.000334628,0.000334628
32,1506,1.6807,2.52481,1.68199,0.46368,0.32346,0.27842,0.16241,2.03907,3.00613,1.56119,0.000329916,0.000329916,0.000329916
33,1553.46,1.6556,2.47669,1.64711,0.37344,0.32009,0.24112,0.13744,2.18077,3.65434,1.69481,0.000325203,0.000325203,0.000325203
34,1601.14,1.67642,2.4511,1.63866,0.35453,0.32052,0.24523,0.14849,2.07909,4.1052,1.58127,0.000320491,0.000320491,0.000320491
35,1648.33,1.62829,2.39182,1.6075,0.3555,0.39676,0.26683,0.15563,1.99421,3.30034,1.56699,0.000315778,0.000315778,0.000315778
36,1696.63,1.64672,2.41463,1.63361,0.35196,0.34475,0.26284,0.15572,2.04093,2.91429,1.58006,0.000311066,0.000311066,0.000311066
37,1740.81,1.59399,2.36898,1.56902,0.42112,0.4047,0.29507,0.16324,2.00811,3.97728,1.56927,0.000306354,0.000306354,0.000306354
38,1783.12,1.61203,2.37807,1.5916,0.4456,0.34954,0.28837,0.16533,1.97274,3.13213,1.54649,0.000301641,0.000301641,0.000301641
39,1825.4,1.60675,2.35402,1.57609,0.3765,0.382,0.25236,0.14978,2.03972,3.50951,1.58567,0.000296929,0.000296929,0.000296929
40,1868.04,1.61618,2.39181,1.62008,0.38623,0.36921,0.25776,0.15252,2.09746,3.5652,1.58744,0.000292216,0.000292216,0.000292216
41,1910.62,1.57158,2.31343,1.58248,0.42034,0.38971,0.31471,0.18451,1.9669,2.48824,1.53346,0.000287504,0.000287504,0.000287504
42,1953.65,1.60667,2.29727,1.58626,0.3635,0.33865,0.24288,0.14307,2.11384,4.87461,1.64922,0.000282792,0.000282792,0.000282792
43,1997.38,1.58907,2.30976,1.56391,0.53396,0.38689,0.32734,0.18502,1.98164,2.98012,1.54633,0.000278079,0.000278079,0.000278079
44,2041.7,1.5768,2.21791,1.53914,0.52883,0.3348,0.35079,0.20737,1.91711,2.6084,1.49913,0.000273367,0.000273367,0.000273367
45,2085.29,1.51918,2.16947,1.52879,0.45764,0.40769,0.32263,0.17945,1.96577,2.88115,1.50436,0.000268654,0.000268654,0.000268654
46,2130.74,1.57728,2.17183,1.52507,0.48489,0.36596,0.32432,0.19843,1.94231,2.57612,1.49697,0.000263942,0.000263942,0.000263942
47,2177.37,1.53173,2.15811,1.54148,0.49042,0.38316,0.32469,0.18742,1.96187,2.66134,1.53173,0.00025923,0.00025923,0.00025923
48,2220.95,1.48413,2.14247,1.50646,0.41686,0.42375,0.35916,0.20714,1.89361,2.60696,1.5143,0.000254517,0.000254517,0.000254517
49,2263.72,1.54621,2.12181,1.53221,0.47101,0.37103,0.34399,0.19978,1.9819,2.60133,1.52555,0.000249805,0.000249805,0.000249805
50,2310.22,1.51106,2.0965,1.51027,0.42336,0.37919,0.31941,0.18685,1.90695,2.91728,1.4298,0.000245092,0.000245092,0.000245092
51,2353.31,1.51635,2.07659,1.49151,0.44151,0.43686,0.35852,0.21016,1.87466,2.57598,1.46783,0.00024038,0.00024038,0.00024038
52,2396.93,1.50671,2.14236,1.50554,0.45611,0.39706,0.3402,0.19665,1.87072,2.76745,1.45939,0.000235668,0.000235668,0.000235668
53,2439.45,1.47588,2.08156,1.49594,0.48831,0.3701,0.36045,0.20736,1.88486,2.57133,1.47843,0.000230955,0.000230955,0.000230955
54,2482.14,1.47939,2.03818,1.48149,0.41677,0.41044,0.3115,0.18359,1.88364,2.93665,1.47371,0.000226243,0.000226243,0.000226243
55,2524.32,1.46965,1.96969,1.46302,0.45908,0.41833,0.36096,0.2065,1.83569,2.68826,1.49083,0.00022153,0.00022153,0.00022153
56,2566.22,1.47085,2.05058,1.48712,0.50975,0.39326,0.38648,0.2305,1.90946,2.30338,1.47389,0.000216818,0.000216818,0.000216818
57,2608.25,1.48975,2.04071,1.49644,0.54297,0.4187,0.40411,0.22991,1.90379,2.30534,1.48331,0.000212106,0.000212106,0.000212106
58,2650.39,1.44582,1.97354,1.48617,0.44956,0.44437,0.37897,0.23061,1.81154,2.34097,1.45598,0.000207393,0.000207393,0.000207393
59,2692.75,1.41879,1.93975,1.44097,0.51537,0.4235,0.39294,0.23151,1.84872,2.52804,1.45533,0.000202681,0.000202681,0.000202681
60,2734.48,1.41858,1.90807,1.43485,0.49898,0.42047,0.38559,0.22218,1.87286,2.49638,1.46963,0.000197968,0.000197968,0.000197968
61,2776.39,1.41877,1.90785,1.43363,0.46527,0.45735,0.35125,0.20711,1.85716,2.74739,1.47221,0.000193256,0.000193256,0.000193256
62,2818.27,1.42838,1.90597,1.44226,0.42606,0.42501,0.3752,0.22707,1.84217,2.42256,1.47122,0.000188544,0.000188544,0.000188544
63,2860.61,1.42412,1.90598,1.43768,0.41454,0.4673,0.39545,0.23679,1.821,2.37373,1.42955,0.000183831,0.000183831,0.000183831
64,2903.09,1.37824,1.86042,1.42353,0.57184,0.4527,0.42603,0.2507,1.83761,2.3114,1.42866,0.000179119,0.000179119,0.000179119
65,2944.98,1.39285,1.86267,1.42613,0.52797,0.43242,0.40683,0.25738,1.83315,2.24107,1.4555,0.000174406,0.000174406,0.000174406
66,2986.93,1.37792,1.8585,1.42703,0.50779,0.4772,0.42435,0.25451,1.8219,2.27344,1.45414,0.000169694,0.000169694,0.000169694
67,3028.96,1.3788,1.81398,1.41485,0.47881,0.45267,0.40947,0.23824,1.79887,2.38433,1.42173,0.000164982,0.000164982,0.000164982
68,3071.88,1.37422,1.86627,1.41988,0.59124,0.41757,0.44595,0.26514,1.85229,2.12132,1.42915,0.000160269,0.000160269,0.000160269
69,3113.83,1.36986,1.81269,1.41041,0.53381,0.43405,0.40365,0.24294,1.8244,2.37602,1.43813,0.000155557,0.000155557,0.000155557
70,3155.53,1.36715,1.81459,1.42041,0.57329,0.4794,0.43351,0.25705,1.80191,2.35148,1.4268,0.000150844,0.000150844,0.000150844
71,3198.2,1.38201,1.82448,1.40881,0.51288,0.47743,0.43771,0.26274,1.82675,2.24176,1.4253,0.000146132,0.000146132,0.000146132
72,3240.32,1.38129,1.78865,1.41912,0.55721,0.40635,0.40837,0.24053,1.81254,2.50261,1.48328,0.00014142,0.00014142,0.00014142
73,3282.38,1.34752,1.74701,1.4,0.57544,0.43039,0.42816,0.24315,1.84426,2.32834,1.46924,0.000136707,0.000136707,0.000136707
74,3324.35,1.36723,1.75458,1.37972,0.47875,0.42206,0.39441,0.23888,1.75359,2.39632,1.45295,0.000131995,0.000131995,0.000131995
75,3366.82,1.3541,1.75068,1.40605,0.5485,0.45911,0.42188,0.25332,1.78072,2.25632,1.43417,0.000127282,0.000127282,0.000127282
76,3408.73,1.31648,1.72717,1.37275,0.56138,0.46823,0.47524,0.28424,1.78657,2.14482,1.46228,0.00012257,0.00012257,0.00012257
77,3450.71,1.29069,1.66759,1.36861,0.53922,0.47604,0.43542,0.25689,1.77936,2.27352,1.45285,0.000117858,0.000117858,0.000117858
78,3492.76,1.33488,1.72223,1.39854,0.59858,0.45859,0.45561,0.2715,1.76328,2.14191,1.42883,0.000113145,0.000113145,0.000113145
79,3535.07,1.33842,1.70978,1.38732,0.54047,0.4501,0.44262,0.26836,1.74531,2.2717,1.43129,0.000108433,0.000108433,0.000108433
80,3577.29,1.31671,1.66161,1.37957,0.52864,0.49453,0.46312,0.27402,1.8246,2.09938,1.45696,0.00010372,0.00010372,0.00010372
81,3619.29,1.33412,1.66815,1.35264,0.60132,0.48025,0.48169,0.29334,1.75361,2.07655,1.43402,9.9008e-05,9.9008e-05,9.9008e-05
82,3661.59,1.29328,1.66545,1.34956,0.55406,0.47729,0.46985,0.28274,1.72864,2.05517,1.42204,9.42956e-05,9.42956e-05,9.42956e-05
83,3703.84,1.28854,1.62742,1.35116,0.57724,0.46089,0.47248,0.28299,1.74069,2.03138,1.41728,8.95832e-05,8.95832e-05,8.95832e-05
84,3746.2,1.29352,1.61057,1.34514,0.5755,0.47564,0.48108,0.29901,1.69898,2.04355,1.40723,8.48708e-05,8.48708e-05,8.48708e-05
85,3788.5,1.28659,1.64693,1.36718,0.56862,0.4785,0.47255,0.28635,1.70795,2.06681,1.40144,8.01584e-05,8.01584e-05,8.01584e-05
86,3830.8,1.28532,1.63145,1.35906,0.57174,0.47894,0.48495,0.28548,1.73535,2.0285,1.4268,7.5446e-05,7.5446e-05,7.5446e-05
87,3872.68,1.25722,1.59221,1.31893,0.57129,0.48494,0.47389,0.28906,1.69183,2.07319,1.39503,7.07336e-05,7.07336e-05,7.07336e-05
88,3915.21,1.25379,1.57678,1.33578,0.54594,0.49341,0.46512,0.29094,1.69219,2.04178,1.39352,6.60212e-05,6.60212e-05,6.60212e-05
89,3957.18,1.27272,1.57591,1.35163,0.63962,0.44276,0.49711,0.29185,1.68999,2.05742,1.43265,6.13088e-05,6.13088e-05,6.13088e-05
90,3999.24,1.26355,1.5837,1.34938,0.53569,0.50408,0.47444,0.29072,1.67121,2.01876,1.42087,5.65964e-05,5.65964e-05,5.65964e-05
91,4047.16,1.35268,1.62587,1.25242,0.52718,0.48169,0.45499,0.28209,1.67739,2.08424,1.42714,5.1884e-05,5.1884e-05,5.1884e-05
92,4086.99,1.32097,1.58145,1.25718,0.55873,0.4465,0.47194,0.29009,1.63723,2.04028,1.40713,4.71716e-05,4.71716e-05,4.71716e-05
93,4126.82,1.28386,1.51394,1.23499,0.62953,0.44796,0.4789,0.30096,1.61676,1.97955,1.37688,4.24592e-05,4.24592e-05,4.24592e-05
94,4166.65,1.30095,1.57973,1.25629,0.56335,0.49046,0.47844,0.30143,1.62026,2.03262,1.39416,3.77468e-05,3.77468e-05,3.77468e-05
95,4206.22,1.26755,1.51298,1.22153,0.55054,0.51412,0.48283,0.30307,1.62179,1.98305,1.40244,3.30344e-05,3.30344e-05,3.30344e-05
96,4245.83,1.29573,1.51809,1.24024,0.58436,0.46639,0.49336,0.31039,1.61514,1.98959,1.39766,2.8322e-05,2.8322e-05,2.8322e-05
97,4286.13,1.26186,1.47451,1.22093,0.60805,0.48553,0.50574,0.31779,1.60482,1.97304,1.40254,2.36096e-05,2.36096e-05,2.36096e-05
98,4325.61,1.25691,1.46687,1.22834,0.60992,0.48066,0.52503,0.32179,1.60678,1.96349,1.39132,1.88972e-05,1.88972e-05,1.88972e-05
99,4365.1,1.25187,1.45577,1.1978,0.58403,0.50639,0.50141,0.31553,1.61274,1.98146,1.39765,1.41848e-05,1.41848e-05,1.41848e-05
100,4404.95,1.25601,1.45319,1.21763,0.58984,0.51168,0.49712,0.31785,1.59455,1.93918,1.3971,9.4724e-06,9.4724e-06,9.4724e-06
