epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8269,4.01582,6.85595,4.1539,0.73952,0.00588,0.01325,0.00373,3.6977,7.69349,3.86731,0.000158228,0.000158228,0.000158228
2,125.701,3.34184,6.10342,3.71849,0.51667,0.06941,0.0565,0.01934,3.37461,6.66031,3.46315,0.000313758,0.000313758,0.000313758
3,186.241,3.00374,5.63953,3.31691,0.42743,0.10033,0.0591,0.0256,3.24169,6.46381,3.00364,0.000466146,0.000466146,0.000466146
4,246.401,2.78221,5.23226,3.00545,0.23121,0.09637,0.06899,0.02875,3.17161,5.93866,2.81499,0.000461863,0.000461863,0.000461863
5,305.789,2.64326,4.85932,2.76691,0.30863,0.15443,0.09547,0.03565,2.82227,5.35312,2.44868,0.00045715,0.00045715,0.00045715
6,365.942,2.55577,4.68192,2.65095,0.155,0.18194,0.10382,0.04526,2.7704,5.11176,2.3781,0.000452438,0.000452438,0.000452438
7,426.911,2.45565,4.55771,2.50355,0.26733,0.15548,0.12066,0.05918,2.70549,4.82683,2.31113,0.000447726,0.000447726,0.000447726
8,486.646,2.43979,4.26023,2.42058,0.35588,0.1789,0.15756,0.07548,2.68097,4.75232,2.22674,0.000443013,0.000443013,0.000443013
9,546.018,2.34876,4.10126,2.35331,0.27119,0.18955,0.13956,0.06519,2.55918,4.64696,2.20355,0.000438301,0.000438301,0.000438301
10,607.273,2.30262,4.00774,2.31743,0.49985,0.19218,0.17948,0.0861,2.63339,4.28571,2.20921,0.000433588,0.000433588,0.000433588
11,667.31,2.22598,3.90054,2.23553,0.26882,0.24924,0.1517,0.07124,2.5634,4.33512,2.13451,0.000428876,0.000428876,0.000428876
12,732.252,2.20361,3.78374,2.1994,0.28542,0.27276,0.17591,0.08702,2.45028,4.13565,2.04338,0.000424164,0.000424164,0.000424164
13,798.638,2.14745,3.65412,2.14122,0.35043,0.24692,0.18382,0.09944,2.39857,3.83173,2.04382,0.000419451,0.000419451,0.000419451
14,860.268,2.12783,3.62031,2.11374,0.43821,0.26293,0.2239,0.11188,2.41519,3.92556,1.98445,0.000414739,0.000414739,0.000414739
