epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.107,3.89391,6.6868,4.06523,0.00054,0.0277,0.0003,9e-05,3.87155,8.01498,3.7613,0.00015779,0.00015779,0.00015779
2,100.119,3.29368,5.9238,3.50551,0.9533,0.03529,0.02555,0.00513,3.3771,7.55538,3.4246,0.000313324,0.000313324,0.000313324
3,151.565,2.97717,5.35777,3.196,0.28394,0.13446,0.04658,0.0124,3.15164,6.30706,2.9583,0.000465716,0.000465716,0.000465716
4,197.312,2.77059,5.00835,2.93879,0.23686,0.12738,0.08927,0.03816,2.93487,5.81834,2.73421,0.000461863,0.000461863,0.000461863
5,242.789,2.62391,4.71124,2.72843,0.67803,0.07441,0.08716,0.04045,2.77804,5.82034,2.51792,0.00045715,0.00045715,0.00045715
6,289.68,2.50509,4.50315,2.57727,0.3672,0.17162,0.11906,0.04511,2.76422,5.33158,2.40884,0.000452438,0.000452438,0.000452438
7,335.781,2.40732,4.31553,2.46822,0.39528,0.10425,0.10384,0.05091,2.64326,4.65609,2.35966,0.000447726,0.000447726,0.000447726
8,381.764,2.34137,4.07394,2.35187,0.43582,0.22344,0.15702,0.07261,2.52401,4.49474,2.15239,0.000443013,0.000443013,0.000443013
9,427.879,2.2722,3.92037,2.28149,0.38494,0.24425,0.16862,0.07514,2.45454,4.23905,2.24049,0.000438301,0.000438301,0.000438301
10,474.209,2.21196,3.72152,2.20531,0.49828,0.24606,0.19095,0.08927,2.41675,4.25963,2.13867,0.000433588,0.000433588,0.000433588
11,519.74,2.14671,3.63546,2.15566,0.54651,0.1901,0.18652,0.0912,2.35712,4.04179,2.06322,0.000428876,0.000428876,0.000428876
12,565.49,2.09507,3.49522,2.10584,0.49716,0.23205,0.18461,0.09001,2.35675,3.8978,2.04165,0.000424164,0.000424164,0.000424164
13,611.089,2.08194,3.40968,2.07507,0.35429,0.24133,0.20187,0.10401,2.26471,3.64439,1.98231,0.000419451,0.000419451,0.000419451
14,657.728,2.06653,3.35829,2.03207,0.33103,0.2734,0.21568,0.11053,2.296,3.52983,1.9564,0.000414739,0.000414739,0.000414739
15,703.261,2.02477,3.26865,2.00154,0.41723,0.23833,0.20928,0.12204,2.23286,3.49572,1.86979,0.000410026,0.000410026,0.000410026
16,748.84,1.95975,3.18197,1.97234,0.55494,0.24395,0.24472,0.13497,2.21198,3.41861,1.83788,0.000405314,0.000405314,0.000405314
17,794.349,1.93002,3.04997,1.91031,0.23758,0.27728,0.21534,0.12028,2.17353,3.34379,1.85955,0.000400602,0.000400602,0.000400602
18,839.82,1.93414,3.04033,1.90331,0.39907,0.30724,0.24577,0.12817,2.11408,3.32801,1.83413,0.000395889,0.000395889,0.000395889
19,885.786,1.93208,2.97954,1.9061,0.38775,0.263,0.21786,0.11981,2.14134,3.24583,1.78485,0.000391177,0.000391177,0.000391177
20,930.717,1.86333,2.92547,1.85535,0.33077,0.32111,0.26657,0.15061,2.10753,2.94632,1.79129,0.000386464,0.000386464,0.000386464
21,976.743,1.87882,2.90023,1.85693,0.48729,0.27686,0.28744,0.16424,2.06256,2.99678,1.76757,0.000381752,0.000381752,0.000381752
22,1022.37,1.8477,2.83399,1.83629,0.32696,0.32799,0.26531,0.152,2.08177,3.04996,1.7329,0.00037704,0.00037704,0.00037704
23,1068.12,1.84883,2.83172,1.82691,0.36548,0.37409,0.27276,0.15494,2.0347,2.95302,1.72399,0.000372327,0.000372327,0.000372327
24,1114.26,1.81429,2.76944,1.8069,0.40515,0.31355,0.26344,0.15449,2.06544,3.12205,1.70665,0.000367615,0.000367615,0.000367615
25,1159.82,1.79707,2.70785,1.77145,0.39483,0.33283,0.28598,0.16193,2.01939,2.81026,1.6618,0.000362902,0.000362902,0.000362902
26,1205.78,1.77821,2.67117,1.75911,0.45371,0.3413,0.2911,0.16401,2.1006,3.06196,1.74881,0.00035819,0.00035819,0.00035819
27,1251.4,1.75563,2.62343,1.75312,0.43894,0.29573,0.28168,0.17669,1.9231,2.93198,1.62948,0.000353478,0.000353478,0.000353478
28,1297.42,1.73068,2.5903,1.73172,0.35469,0.36172,0.29634,0.18386,1.91317,2.87979,1.60898,0.000348765,0.000348765,0.000348765
29,1343.33,1.72665,2.59123,1.70384,0.40921,0.32105,0.28749,0.17232,1.91267,2.7827,1.67285,0.000344053,0.000344053,0.000344053
30,1389.17,1.71141,2.53839,1.6972,0.38928,0.35598,0.29041,0.18083,1.90967,2.75798,1.5937,0.00033934,0.00033934,0.00033934
31,1434.61,1.7428,2.55773,1.72093,0.32946,0.35757,0.30386,0.17603,1.98256,2.74972,1.65297,0.000334628,0.000334628,0.000334628
32,1480.18,1.68371,2.50321,1.68745,0.43693,0.40421,0.33441,0.19197,1.90124,2.69423,1.59956,0.000329916,0.000329916,0.000329916
33,1526.3,1.66735,2.47889,1.67668,0.39012,0.39591,0.31811,0.18263,1.95665,2.63677,1.64407,0.000325203,0.000325203,0.000325203
34,1571.98,1.7036,2.47451,1.67625,0.5396,0.33218,0.32372,0.18293,1.93987,2.77062,1.58788,0.000320491,0.000320491,0.000320491
35,1617.78,1.64723,2.43954,1.6615,0.39101,0.37761,0.31138,0.19221,1.89347,2.62075,1.61597,0.000315778,0.000315778,0.000315778
36,1663.26,1.63717,2.35304,1.63369,0.34464,0.38195,0.31929,0.1881,1.88736,2.62344,1.58314,0.000311066,0.000311066,0.000311066
37,1709.24,1.64229,2.36706,1.64093,0.4246,0.38006,0.34145,0.20418,1.8182,2.60283,1.57246,0.000306354,0.000306354,0.000306354
38,1755.21,1.63958,2.37391,1.62779,0.47557,0.37902,0.35287,0.21977,1.84129,2.48736,1.56951,0.000301641,0.000301641,0.000301641
39,1801.45,1.60276,2.31915,1.60027,0.51074,0.37989,0.35036,0.2163,1.8484,2.45815,1.55884,0.000296929,0.000296929,0.000296929
40,1847.34,1.63704,2.32809,1.6076,0.45833,0.39313,0.34121,0.20117,1.88865,2.45925,1.58715,0.000292216,0.000292216,0.000292216
41,1893.14,1.58057,2.23409,1.57787,0.48656,0.40205,0.3696,0.21666,1.83434,2.4142,1.54485,0.000287504,0.000287504,0.000287504
42,1938.92,1.60149,2.28203,1.59536,0.49068,0.3974,0.39014,0.22228,1.84093,2.4399,1.55552,0.000282792,0.000282792,0.000282792
43,1984.9,1.61583,2.26808,1.57382,0.43831,0.3702,0.35241,0.22233,1.80557,2.52759,1.53831,0.000278079,0.000278079,0.000278079
44,2030.97,1.58066,2.21161,1.56945,0.41233,0.4131,0.3954,0.23601,1.87478,2.36611,1.55927,0.000273367,0.000273367,0.000273367
45,2076.69,1.56747,2.23983,1.57811,0.56437,0.38837,0.40467,0.24531,1.84025,2.46405,1.58092,0.000268654,0.000268654,0.000268654
46,2122.22,1.54548,2.1708,1.54218,0.46273,0.41305,0.37837,0.23648,1.80108,2.35558,1.54543,0.000263942,0.000263942,0.000263942
47,2167.91,1.58488,2.20049,1.55585,0.53954,0.35583,0.40798,0.24336,1.78376,2.38543,1.54173,0.00025923,0.00025923,0.00025923
48,2213.64,1.54993,2.15186,1.55579,0.46374,0.38166,0.38757,0.23388,1.79864,2.39416,1.53562,0.000254517,0.000254517,0.000254517
49,2259.41,1.52389,2.14342,1.52789,0.51178,0.38137,0.40545,0.24651,1.81817,2.31033,1.52167,0.000249805,0.000249805,0.000249805
50,2305.93,1.51618,2.13447,1.53595,0.35279,0.45027,0.35748,0.22696,1.76768,2.45453,1.52238,0.000245092,0.000245092,0.000245092
51,2351.5,1.53972,2.12671,1.51966,0.31722,0.47707,0.37846,0.23206,1.80981,2.33737,1.53452,0.00024038,0.00024038,0.00024038
52,2397.7,1.52628,2.09568,1.53173,0.41928,0.41282,0.40297,0.25085,1.79151,2.30546,1.53025,0.000235668,0.000235668,0.000235668
53,2446.58,1.53548,2.08037,1.53929,0.55862,0.36093,0.40545,0.24891,1.76173,2.32228,1.52179,0.000230955,0.000230955,0.000230955
54,2494.86,1.52422,2.11803,1.52286,0.65841,0.3458,0.40771,0.25395,1.77953,2.39341,1.52194,0.000226243,0.000226243,0.000226243
55,2542.14,1.47566,2.02771,1.49213,0.68895,0.33403,0.43541,0.26188,1.76589,2.35688,1.50064,0.00022153,0.00022153,0.00022153
56,2593.58,1.51692,2.07698,1.51931,0.40331,0.47678,0.38696,0.23736,1.80223,2.35817,1.5428,0.000216818,0.000216818,0.000216818
57,2638.37,1.48539,2.02359,1.49199,0.34051,0.48651,0.38285,0.24132,1.73516,2.35832,1.53606,0.000212106,0.000212106,0.000212106
58,2686.5,1.48807,2.05658,1.50676,0.40906,0.45436,0.42177,0.26255,1.73707,2.29478,1.52478,0.000207393,0.000207393,0.000207393
59,2732.99,1.50212,2.0567,1.50146,0.53429,0.43032,0.43304,0.26864,1.71638,2.30644,1.52782,0.000202681,0.000202681,0.000202681
60,2780.18,1.45318,1.99246,1.48563,0.51084,0.41315,0.44748,0.27559,1.71997,2.30387,1.52711,0.000197968,0.000197968,0.000197968
61,2828.22,1.46494,1.97947,1.47494,0.53758,0.43689,0.43191,0.26263,1.74945,2.27367,1.52823,0.000193256,0.000193256,0.000193256
62,2874.05,1.44368,1.95682,1.4789,0.50966,0.46602,0.44482,0.27047,1.75291,2.25835,1.52848,0.000188544,0.000188544,0.000188544
63,2920.85,1.41931,1.91661,1.46465,0.43761,0.43735,0.45876,0.27114,1.73143,2.32209,1.53978,0.000183831,0.000183831,0.000183831
64,2968.99,1.44037,1.92612,1.45248,0.52989,0.42392,0.46281,0.27364,1.72102,2.20494,1.49801,0.000179119,0.000179119,0.000179119
65,3022.95,1.44808,1.88871,1.46256,0.53783,0.41055,0.45111,0.27099,1.73731,2.20585,1.49111,0.000174406,0.000174406,0.000174406
66,3072.57,1.40269,1.86129,1.43012,0.47614,0.46309,0.44757,0.27233,1.72416,2.23938,1.51191,0.000169694,0.000169694,0.000169694
67,3119.4,1.40986,1.85354,1.43518,0.4339,0.47687,0.44596,0.26793,1.72591,2.27076,1.48686,0.000164982,0.000164982,0.000164982
68,3177.34,1.4137,1.87087,1.43595,0.42671,0.49288,0.4594,0.27732,1.72684,2.25182,1.4933,0.000160269,0.000160269,0.000160269
69,3223.72,1.38398,1.80998,1.42736,0.46595,0.4816,0.47085,0.29797,1.6452,2.1854,1.46187,0.000155557,0.000155557,0.000155557
70,3268.03,1.3777,1.81632,1.43424,0.47137,0.4437,0.42606,0.2581,1.69921,2.3004,1.51704,0.000150844,0.000150844,0.000150844
71,3312.76,1.39805,1.86468,1.43134,0.56707,0.41265,0.46237,0.28525,1.6564,2.21761,1.50594,0.000146132,0.000146132,0.000146132
72,3357.37,1.3878,1.82158,1.42854,0.43811,0.52107,0.45693,0.28047,1.6603,2.20642,1.48213,0.00014142,0.00014142,0.00014142
73,3404.28,1.35368,1.80364,1.41681,0.49487,0.45299,0.4778,0.29532,1.66135,2.16949,1.49105,0.000136707,0.000136707,0.000136707
