epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9935,2.30868,10.294,1.98317,0.4704,0.14637,0.12608,0.07476,2.7706,7.31561,1.88668,0.000158228,0.000158228,0.000158228
2,193.567,2.16104,4.30862,1.79791,0.47236,0.18171,0.1172,0.07631,2.62064,9.69587,1.73074,0.000316876,0.000316876,0.000316876
3,289.646,2.16225,3.62836,1.81143,0.52368,0.15413,0.1451,0.07798,2.72093,4.04776,1.79009,0.000475446,0.000475446,0.000475446
4,385.28,2.13538,3.48128,1.79787,0.61049,0.15665,0.1522,0.08159,2.60948,3.87802,1.64774,0.000475738,0.000475738,0.000475738
5,480.095,2.05973,3.23608,1.714,0.54067,0.20911,0.19926,0.09976,2.52814,3.2899,1.59758,0.000475535,0.000475535,0.000475535
6,575.418,2.02337,3.16818,1.6925,0.40783,0.26648,0.17378,0.09517,2.53666,3.24384,1.551,0.000475274,0.000475274,0.000475274
7,671.234,1.98984,3.10802,1.64273,0.53901,0.2041,0.1915,0.10323,2.54669,3.26629,1.52561,0.000474954,0.000474954,0.000474954
8,768.669,1.97777,3.009,1.63153,0.54824,0.26451,0.2297,0.11854,2.43551,2.92232,1.49897,0.000474577,0.000474577,0.000474577
9,862.997,1.92311,2.93835,1.62456,0.60348,0.22175,0.24759,0.11738,2.45441,3.07294,1.49307,0.000474142,0.000474142,0.000474142
10,958.806,1.89255,2.85598,1.58408,0.59173,0.24579,0.25164,0.12976,2.44402,2.90252,1.50626,0.000473649,0.000473649,0.000473649
11,1054.25,1.86541,2.85935,1.56949,0.43633,0.26664,0.23741,0.12448,2.38794,2.73956,1.4429,0.000473099,0.000473099,0.000473099
12,1149.48,1.85778,2.75936,1.56333,0.33708,0.32375,0.242,0.11942,2.38885,2.81519,1.42173,0.000472491,0.000472491,0.000472491
13,1244.66,1.8206,2.73394,1.53469,0.55766,0.31538,0.27673,0.13463,2.28979,2.75423,1.37366,0.000471827,0.000471827,0.000471827
14,1340.19,1.84779,2.73245,1.53619,0.48381,0.3113,0.27931,0.1435,2.30341,2.69618,1.34191,0.000471104,0.000471104,0.000471104
