epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6907,2.36374,28.1933,2.0048,0.50225,0.15702,0.13258,0.08727,2.85847,16.826,1.90192,0.000158228,0.000158228,0.000158228
2,189.361,2.20112,9.64017,1.82653,0.53763,0.171,0.15778,0.08826,2.73653,8.68474,1.78812,0.000316876,0.000316876,0.000316876
3,281.219,2.16115,7.91467,1.79791,0.5173,0.22434,0.18178,0.09494,2.6057,7.99316,1.66619,0.000475446,0.000475446,0.000475446
4,373.018,2.12204,7.56893,1.76325,0.47105,0.22182,0.14617,0.07594,2.59152,7.10129,1.63349,0.000475738,0.000475738,0.000475738
5,465.301,2.06048,7.25455,1.71628,0.45084,0.24394,0.20968,0.10375,2.69902,6.81976,1.65916,0.000475535,0.000475535,0.000475535
6,557.002,2.03927,6.84263,1.71217,0.46561,0.24645,0.2265,0.1064,2.62164,6.45557,1.60886,0.000475274,0.000475274,0.000475274
7,649.754,2.03976,6.82059,1.67576,0.61072,0.23947,0.23691,0.1173,2.50446,6.89196,1.45946,0.000474954,0.000474954,0.000474954
8,741.977,2.00219,6.78829,1.64266,0.35086,0.28513,0.2213,0.11211,2.48118,6.54458,1.5004,0.000474577,0.000474577,0.000474577
9,833.849,1.9525,6.34538,1.62665,0.45729,0.24655,0.21583,0.1099,2.4744,6.10295,1.49881,0.000474142,0.000474142,0.000474142
10,925.872,1.94873,6.48647,1.6342,0.55323,0.27006,0.23958,0.12842,2.49646,6.2291,1.50399,0.000473649,0.000473649,0.000473649
11,1017.99,1.90122,6.29207,1.59962,0.27206,0.31552,0.20968,0.11053,2.42916,6.01389,1.4291,0.000473099,0.000473099,0.000473099
12,1110.2,1.89109,6.2337,1.59569,0.31124,0.31839,0.22884,0.11455,2.39056,5.69791,1.40173,0.000472491,0.000472491,0.000472491
13,1202.59,1.86461,5.96065,1.57165,0.46883,0.29094,0.23949,0.12479,2.36716,5.73258,1.43811,0.000471827,0.000471827,0.000471827
14,1294.68,1.90275,5.84368,1.5646,0.37929,0.31385,0.28209,0.14276,2.35014,5.78081,1.39595,0.000471104,0.000471104,0.000471104
15,1386.75,1.84834,5.58745,1.55644,0.52445,0.30467,0.28711,0.14472,2.34447,5.04296,1.32822,0.000470326,0.000470326,0.000470326
16,1479.02,1.83481,5.60207,1.55331,0.56172,0.2873,0.32954,0.15987,2.31696,5.98777,1.34714,0.00046949,0.00046949,0.00046949
17,1570.69,1.79808,5.44245,1.53243,0.32429,0.39514,0.33016,0.15652,2.28352,5.07373,1.34661,0.000468598,0.000468598,0.000468598
18,1663.38,1.78134,5.39599,1.51507,0.65733,0.2747,0.31827,0.15686,2.35415,5.14448,1.37101,0.000467649,0.000467649,0.000467649
19,1755.56,1.78496,5.43927,1.49819,0.42659,0.35561,0.30436,0.13915,2.37661,5.34524,1.35411,0.000466644,0.000466644,0.000466644
20,1847.92,1.76926,5.30353,1.51719,0.28636,0.41359,0.32067,0.15711,2.26696,5.05408,1.3677,0.000465584,0.000465584,0.000465584
21,1940.14,1.77717,5.33913,1.49893,0.46459,0.39086,0.3734,0.16903,2.30957,5.02022,1.40752,0.000464468,0.000464468,0.000464468
22,2031.95,1.72973,5.07985,1.48799,0.38002,0.41539,0.34583,0.16085,2.29002,4.93013,1.3602,0.000463297,0.000463297,0.000463297
23,2124.18,1.73168,5.1152,1.47218,0.44928,0.36984,0.34342,0.15838,2.25943,5.38709,1.32594,0.00046207,0.00046207,0.00046207
24,2216.45,1.73101,5.10834,1.46917,0.38861,0.48501,0.38046,0.17241,2.27431,4.83299,1.367,0.000460789,0.000460789,0.000460789
25,2308.82,1.69108,5.06491,1.43726,0.41894,0.39865,0.34046,0.16487,2.25364,4.86223,1.34313,0.000459454,0.000459454,0.000459454
26,2401,1.66672,4.94107,1.46301,0.34615,0.4282,0.36658,0.17361,2.30713,4.76073,1.38261,0.000458064,0.000458064,0.000458064
27,2492.78,1.68699,4.8369,1.43121,0.29747,0.42906,0.3804,0.1779,2.28506,4.81194,1.33336,0.000456621,0.000456621,0.000456621
28,2585.21,1.67912,4.90663,1.44028,0.39592,0.40626,0.36464,0.18116,2.25202,4.65153,1.32822,0.000455125,0.000455125,0.000455125
29,2677.78,1.67672,5.02125,1.42484,0.43601,0.41861,0.40823,0.18111,2.27206,4.53647,1.30849,0.000453575,0.000453575,0.000453575
30,2769.9,1.67012,4.75903,1.43966,0.39888,0.41237,0.33903,0.16837,2.28553,4.64102,1.38216,0.000451973,0.000451973,0.000451973
31,2862.19,1.666,4.6102,1.43495,0.34881,0.4938,0.38009,0.18431,2.23204,4.6213,1.33536,0.000450319,0.000450319,0.000450319
32,2953.81,1.6576,4.73336,1.4232,0.473,0.43023,0.40062,0.18214,2.26608,4.86186,1.34669,0.000448613,0.000448613,0.000448613
33,3045.89,1.59985,4.55177,1.39158,0.4346,0.41573,0.37854,0.17696,2.25471,4.69362,1.33293,0.000446855,0.000446855,0.000446855
34,3138.1,1.60537,4.58657,1.40898,0.36197,0.44946,0.34981,0.16507,2.27055,4.51866,1.32362,0.000445047,0.000445047,0.000445047
35,3230.42,1.65435,4.52162,1.39697,0.60367,0.43617,0.46158,0.20775,2.21825,4.30651,1.29089,0.000443188,0.000443188,0.000443188
36,3321.55,1.64592,4.56888,1.41103,0.45025,0.4349,0.41977,0.19913,2.21016,4.37247,1.30711,0.000441279,0.000441279,0.000441279
37,3413.37,1.64758,4.70966,1.42606,0.50703,0.44048,0.43246,0.19038,2.2238,4.70099,1.28336,0.000439321,0.000439321,0.000439321
38,3505.67,1.62915,4.59493,1.38877,0.33436,0.43991,0.3799,0.18525,2.14295,4.45225,1.23983,0.000437313,0.000437313,0.000437313
39,3598.6,1.62856,4.64723,1.39231,0.46604,0.45959,0.40556,0.19329,2.19619,4.7168,1.28989,0.000435257,0.000435257,0.000435257
40,3690.82,1.63411,4.47173,1.37458,0.47649,0.47131,0.43886,0.19721,2.21199,4.91261,1.29729,0.000433152,0.000433152,0.000433152
41,3783.75,1.61921,4.44889,1.41243,0.3822,0.3903,0.36874,0.18108,2.19734,4.44238,1.29336,0.000431001,0.000431001,0.000431001
42,3876.01,1.58839,4.4934,1.38755,0.39713,0.45601,0.38507,0.19693,2.16339,4.65198,1.24992,0.000428802,0.000428802,0.000428802
43,3967.58,1.58333,4.35783,1.37104,0.53189,0.4012,0.43285,0.201,2.18918,4.34192,1.30261,0.000426556,0.000426556,0.000426556
