epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.486,2.54842,9.76431,2.29582,0.42927,0.16953,0.12098,0.07893,2.78162,7.01676,1.93612,0.000158228,0.000158228,0.000158228
2,200.911,2.28954,4.40234,2.0547,0.40709,0.22621,0.16079,0.07787,2.86839,4.57853,1.80025,0.000316876,0.000316876,0.000316876
3,300.331,2.33242,3.90428,2.06756,0.40036,0.21055,0.14086,0.07498,2.79935,4.22814,1.78389,0.000475446,0.000475446,0.000475446
4,398.244,2.25695,3.68917,2.01561,0.60971,0.12021,0.14206,0.07432,2.72838,3.71766,1.70836,0.000475738,0.000475738,0.000475738
5,496.135,2.20002,3.65695,1.99387,0.5148,0.17646,0.16156,0.07789,2.69286,3.5418,1.67752,0.000475535,0.000475535,0.000475535
6,593.913,2.17224,3.5946,1.93484,0.48763,0.20387,0.18079,0.09023,2.5953,3.44072,1.59366,0.000475274,0.000475274,0.000475274
7,690.902,2.11604,3.44517,1.91485,0.33534,0.29307,0.17452,0.08471,2.61936,3.49111,1.62529,0.000474954,0.000474954,0.000474954
8,788.545,2.10434,3.40266,1.90877,0.45424,0.26028,0.18557,0.08445,2.55782,3.22967,1.55347,0.000474577,0.000474577,0.000474577
9,886.404,2.1087,3.37648,1.8978,0.49323,0.26566,0.22915,0.10854,2.56248,3.19322,1.54306,0.000474142,0.000474142,0.000474142
10,983.85,2.03804,3.34607,1.85291,0.41652,0.26565,0.21951,0.11359,2.52712,3.20762,1.5151,0.000473649,0.000473649,0.000473649
11,1081.09,2.00526,3.23878,1.83209,0.36977,0.28527,0.22043,0.09654,2.5112,3.23089,1.56346,0.000473099,0.000473099,0.000473099
12,1177.62,2.00291,3.27177,1.85491,0.47852,0.26793,0.24467,0.1126,2.53763,3.09339,1.53615,0.000472491,0.000472491,0.000472491
13,1274.65,1.99826,3.23637,1.83002,0.33757,0.29805,0.23715,0.10851,2.51517,3.04941,1.56612,0.000471827,0.000471827,0.000471827
14,1371.65,1.97304,3.21566,1.80097,0.50181,0.26319,0.20912,0.10719,2.42227,3.02013,1.52866,0.000471104,0.000471104,0.000471104
15,1469.4,1.95834,3.15354,1.80449,0.34857,0.30081,0.22987,0.11853,2.4513,3.07422,1.50934,0.000470326,0.000470326,0.000470326
16,1566.44,1.94658,3.11304,1.78796,0.38216,0.30708,0.22844,0.11749,2.52172,2.98226,1.52043,0.00046949,0.00046949,0.00046949
17,1663.5,1.92057,3.08338,1.74626,0.4542,0.29035,0.26085,0.13011,2.40115,2.82237,1.43308,0.000468598,0.000468598,0.000468598
18,1760.62,1.95455,3.07331,1.78395,0.40767,0.25742,0.2338,0.11227,2.47394,2.91591,1.52262,0.000467649,0.000467649,0.000467649
19,1857.44,1.87361,3.01078,1.74463,0.35987,0.29927,0.22821,0.11336,2.44381,3.09767,1.48452,0.000466644,0.000466644,0.000466644
20,1954.18,1.89451,2.99822,1.73473,0.52633,0.34287,0.27632,0.12091,2.39634,2.82699,1.4547,0.000465584,0.000465584,0.000465584
21,2050.73,1.86516,2.95922,1.69984,0.52131,0.3044,0.27962,0.13274,2.37825,2.77675,1.4457,0.000464468,0.000464468,0.000464468
22,2148.27,1.87485,2.96883,1.72721,0.4512,0.30804,0.29774,0.13607,2.35423,2.84522,1.45006,0.000463297,0.000463297,0.000463297
23,2244.76,1.8777,2.92919,1.7098,0.36667,0.34369,0.30172,0.14862,2.39511,2.85331,1.44813,0.00046207,0.00046207,0.00046207
24,2341.83,1.84334,2.96675,1.70791,0.53798,0.32919,0.2778,0.13708,2.41665,2.79421,1.45251,0.000460789,0.000460789,0.000460789
25,2438.7,1.87555,2.97447,1.70836,0.41871,0.30844,0.28485,0.13468,2.42498,2.76041,1.44451,0.000459454,0.000459454,0.000459454
26,2535.52,1.8344,2.90011,1.69721,0.49507,0.32367,0.31518,0.16052,2.40567,2.79056,1.45823,0.000458064,0.000458064,0.000458064
27,2632.33,1.85437,2.91546,1.69726,0.62889,0.26274,0.30116,0.14821,2.37515,2.71486,1.43861,0.000456621,0.000456621,0.000456621
28,2729.05,1.82729,2.87132,1.70042,0.41304,0.37563,0.28991,0.13765,2.3505,2.74575,1.42467,0.000455125,0.000455125,0.000455125
29,2826.29,1.81912,2.89928,1.69978,0.44206,0.35491,0.31731,0.16055,2.32988,2.70882,1.40168,0.000453575,0.000453575,0.000453575
30,2923.54,1.82565,2.8307,1.6494,0.40758,0.35934,0.29066,0.14389,2.31932,2.62244,1.38895,0.000451973,0.000451973,0.000451973
31,3020.26,1.84219,2.8315,1.68202,0.42358,0.42282,0.33262,0.16195,2.33395,2.60553,1.42068,0.000450319,0.000450319,0.000450319
32,3117.47,1.78649,2.76529,1.65806,0.36054,0.42273,0.31632,0.16154,2.30544,2.59313,1.38438,0.000448613,0.000448613,0.000448613
33,3214.54,1.79649,2.76429,1.65638,0.46549,0.34448,0.29896,0.15033,2.39369,2.62668,1.44131,0.000446855,0.000446855,0.000446855
34,3311.38,1.7729,2.75022,1.6687,0.59608,0.32352,0.29253,0.14789,2.34589,2.64161,1.44496,0.000445047,0.000445047,0.000445047
35,3408.41,1.80452,2.77966,1.65632,0.43047,0.34096,0.30204,0.14972,2.33848,2.61108,1.39895,0.000443188,0.000443188,0.000443188
36,3504.91,1.80861,2.77206,1.66502,0.48697,0.35726,0.32845,0.15838,2.3415,2.58445,1.40783,0.000441279,0.000441279,0.000441279
