epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6266,2.24129,9.70818,1.90535,0.43654,0.21563,0.16996,0.0982,2.65048,6.38126,1.85234,0.000158228,0.000158228,0.000158228
2,137.002,2.0864,4.0559,1.7522,0.60442,0.20877,0.20215,0.10797,2.63058,3.9783,1.75198,0.000316877,0.000316877,0.000316877
3,204.579,2.04691,3.29071,1.70889,0.45449,0.23164,0.18731,0.09695,2.64918,3.61062,1.7252,0.000475456,0.000475456,0.000475456
4,271.565,2.02345,3.15527,1.69629,0.33822,0.31774,0.25432,0.12304,2.47905,3.14591,1.56858,0.000475762,0.000475762,0.000475762
5,338.655,1.98669,2.94096,1.65921,0.5545,0.22299,0.21735,0.10542,2.52534,3.01829,1.5652,0.000475577,0.000475577,0.000475577
6,405.71,1.95119,2.8412,1.66512,0.53533,0.22263,0.24138,0.11663,2.53952,3.09004,1.52085,0.00047534,0.00047534,0.00047534
7,472.822,1.94019,2.77589,1.61331,0.50881,0.27482,0.23715,0.1201,2.45779,2.91153,1.52441,0.000475049,0.000475049,0.000475049
8,540.53,1.90186,2.68829,1.59483,0.45594,0.32436,0.26809,0.13223,2.43568,2.82542,1.47106,0.000474706,0.000474706,0.000474706
9,611.115,1.86468,2.61792,1.57274,0.45006,0.31063,0.2563,0.13538,2.36751,2.7284,1.4426,0.000474311,0.000474311,0.000474311
10,681.769,1.83067,2.6133,1.55625,0.61838,0.26414,0.26303,0.13168,2.39398,2.82636,1.48657,0.000473863,0.000473863,0.000473863
11,749.571,1.80152,2.55135,1.53526,0.32719,0.3496,0.3159,0.15142,2.41054,2.77164,1.50686,0.000473363,0.000473363,0.000473363
12,816.776,1.79795,2.50801,1.53026,0.42849,0.32062,0.30301,0.14731,2.38433,2.69641,1.45307,0.00047281,0.00047281,0.00047281
13,884.049,1.77239,2.4065,1.51458,0.48936,0.31658,0.31632,0.15127,2.3489,2.62532,1.42674,0.000472206,0.000472206,0.000472206
14,950.819,1.80954,2.44412,1.5232,0.38818,0.35685,0.33405,0.16886,2.34485,2.57981,1.42282,0.00047155,0.00047155,0.00047155
15,1018.27,1.73945,2.38614,1.50396,0.52905,0.30493,0.30835,0.15242,2.31998,2.6172,1.42181,0.000470841,0.000470841,0.000470841
16,1085.11,1.73997,2.3771,1.50783,0.31753,0.33166,0.28239,0.14624,2.31794,2.65353,1.40968,0.000470082,0.000470082,0.000470082
17,1152.21,1.74245,2.29217,1.4908,0.54112,0.32261,0.33699,0.16316,2.30874,2.62398,1.38138,0.000469271,0.000469271,0.000469271
18,1219.65,1.71972,2.2623,1.48319,0.45724,0.36632,0.3609,0.17332,2.2658,2.54477,1.34895,0.000468408,0.000468408,0.000468408
19,1287.12,1.69344,2.24016,1.43691,0.44566,0.37496,0.34924,0.17983,2.23945,2.57258,1.33457,0.000467495,0.000467495,0.000467495
20,1354.15,1.66174,2.20509,1.44663,0.34185,0.39976,0.33866,0.17919,2.26727,2.57956,1.35139,0.000466531,0.000466531,0.000466531
21,1420.81,1.68216,2.16536,1.44572,0.422,0.36383,0.33072,0.16595,2.26657,2.50819,1.36464,0.000465516,0.000465516,0.000465516
22,1487.69,1.65298,2.11875,1.42419,0.42917,0.33804,0.36878,0.1702,2.32673,2.6927,1.44163,0.000464451,0.000464451,0.000464451
23,1554.45,1.64201,2.10309,1.41411,0.50604,0.3494,0.35776,0.17559,2.2464,2.64799,1.347,0.000463337,0.000463337,0.000463337
24,1621.48,1.62647,2.08134,1.40687,0.37789,0.36173,0.33232,0.16396,2.29653,2.51716,1.39545,0.000462172,0.000462172,0.000462172
25,1688.49,1.61144,2.11478,1.39196,0.3404,0.38651,0.33897,0.16178,2.27278,2.60478,1.38727,0.000460958,0.000460958,0.000460958
26,1755.45,1.5805,2.03378,1.39819,0.47151,0.3265,0.33533,0.17001,2.24457,2.46981,1.32783,0.000459695,0.000459695,0.000459695
27,1822.5,1.60444,2.02352,1.37003,0.51372,0.31938,0.35296,0.17909,2.2845,2.5563,1.34329,0.000458383,0.000458383,0.000458383
28,1889.13,1.57446,1.98285,1.38548,0.54409,0.33839,0.36718,0.17898,2.28089,2.46867,1.35147,0.000457023,0.000457023,0.000457023
29,1956.24,1.60799,2.01091,1.38698,0.28112,0.44093,0.35179,0.17588,2.26163,2.44663,1.34085,0.000455614,0.000455614,0.000455614
30,2023.22,1.57498,1.9373,1.36692,0.52095,0.32707,0.3654,0.18834,2.28001,2.42774,1.38182,0.000454158,0.000454158,0.000454158
31,2090.59,1.55561,1.90846,1.36709,0.38452,0.43429,0.3648,0.18668,2.2148,2.50466,1.3418,0.000452654,0.000452654,0.000452654
32,2157.48,1.56885,1.9705,1.38402,0.39467,0.35164,0.35357,0.18039,2.24084,2.38916,1.3604,0.000451103,0.000451103,0.000451103
33,2224.54,1.51912,1.84479,1.34193,0.33322,0.46091,0.36171,0.17177,2.30284,2.44102,1.36145,0.000449505,0.000449505,0.000449505
34,2291.43,1.51284,1.85127,1.35274,0.38302,0.45129,0.41623,0.19665,2.26214,2.34287,1.37161,0.000447861,0.000447861,0.000447861
35,2358.65,1.575,1.86693,1.35029,0.42716,0.40175,0.37045,0.19085,2.25495,2.39022,1.35645,0.000446171,0.000446171,0.000446171
36,2426.14,1.54106,1.82347,1.35818,0.34385,0.4228,0.36362,0.18955,2.24094,2.37655,1.33386,0.000444436,0.000444436,0.000444436
37,2493.22,1.54851,1.86095,1.3721,0.32734,0.42337,0.3642,0.18487,2.24324,2.39239,1.32471,0.000442655,0.000442655,0.000442655
38,2559.99,1.53434,1.83837,1.33447,0.44201,0.34224,0.33676,0.17543,2.3338,2.45408,1.38599,0.00044083,0.00044083,0.00044083
