epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.582,2.42144,7.13747,2.05426,0.55023,0.11967,0.10826,0.07195,2.94668,5.50465,1.91877,0.000158447,0.000158447,0.000158447
2,414.105,2.4492,4.20933,1.99961,0.31352,0.11894,0.08308,0.04608,3.11766,5.03571,2.14254,0.000317095,0.000317095,0.000317095
3,619.025,2.4485,3.98625,2.01035,0.70566,0.08717,0.07645,0.04609,2.94989,4.8015,1.89104,0.000475664,0.000475664,0.000475664
4,824.067,2.4422,3.96019,1.97323,0.47156,0.1303,0.10818,0.05002,2.99148,4.00343,1.9355,0.000475738,0.000475738,0.000475738
5,1029.78,2.36333,3.82555,1.92459,0.64938,0.10172,0.09801,0.04624,2.87926,3.95291,1.83002,0.000475535,0.000475535,0.000475535
6,1233.35,2.2909,3.75304,1.92472,0.42869,0.1183,0.0932,0.04673,2.88242,4.71282,1.8552,0.000475274,0.000475274,0.000475274
7,1437.32,2.29973,3.7198,1.90797,0.49226,0.19061,0.11845,0.05417,2.8081,4.36485,1.79074,0.000474954,0.000474954,0.000474954
8,1642,2.24104,3.59899,1.83619,0.49985,0.21119,0.13877,0.0603,2.69298,3.90865,1.72758,0.000474577,0.000474577,0.000474577
9,1846.55,2.22777,3.59037,1.87248,0.60085,0.15975,0.1275,0.0581,2.85,7.07105,1.83532,0.000474142,0.000474142,0.000474142
10,2049.84,2.16125,3.49568,1.79543,0.4797,0.14543,0.13602,0.07264,2.7959,3.98608,1.77636,0.000473649,0.000473649,0.000473649
11,2255.6,2.10877,3.44491,1.76184,0.55011,0.19202,0.13422,0.06731,2.61545,4.40324,1.67168,0.000473099,0.000473099,0.000473099
12,2458.84,2.04347,3.35267,1.7156,0.48427,0.26806,0.16425,0.08087,2.60465,3.44599,1.60913,0.000472491,0.000472491,0.000472491
13,2662.36,2.02019,3.22986,1.67741,0.3234,0.28106,0.17249,0.08727,2.55058,4.21277,1.5594,0.000471827,0.000471827,0.000471827
14,2867.19,2.06632,3.20803,1.70367,0.48373,0.2536,0.17426,0.08332,2.57056,4.56891,1.59779,0.000471104,0.000471104,0.000471104
15,3071.15,2.02459,3.20549,1.68842,0.41676,0.25898,0.19531,0.09477,2.49477,3.40596,1.53608,0.000470326,0.000470326,0.000470326
16,3275.98,2.01027,3.18669,1.66518,0.359,0.28576,0.18741,0.09658,2.44896,3.66711,1.47903,0.00046949,0.00046949,0.00046949
