epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0942,1.90123,5.63251,1.62779,0.45959,0.19179,0.15391,0.10224,1.95845,5.78016,1.4625,0.000156923,0.000156923,0.000156923
2,78.1552,1.80283,3.36398,1.48829,0.39196,0.28241,0.1861,0.1174,2.02636,4.36277,1.46277,0.000314548,0.000314548,0.000314548
3,110.692,1.85016,3.04837,1.52445,0.50598,0.18935,0.1764,0.11003,2.26764,3.41105,1.62033,0.000471126,0.000471126,0.000471126
4,142.576,1.79613,2.82634,1.49421,0.38987,0.29039,0.22276,0.12821,1.98698,3.90601,1.5408,0.000471288,0.000471288,0.000471288
5,174.91,1.79586,2.73907,1.48211,0.4798,0.26674,0.22631,0.12958,1.9466,2.8541,1.51311,0.000469717,0.000469717,0.000469717
6,206.664,1.71867,2.63371,1.45981,0.58403,0.24732,0.25991,0.14849,1.98576,2.79027,1.46273,0.000468146,0.000468146,0.000468146
7,239.904,1.71256,2.57815,1.45753,0.41327,0.33234,0.30542,0.18041,1.78961,2.76322,1.37439,0.000466575,0.000466575,0.000466575
8,275.863,1.65212,2.38725,1.3951,0.50091,0.30206,0.312,0.18785,1.77205,2.4938,1.33192,0.000465004,0.000465004,0.000465004
9,310.175,1.63937,2.37772,1.40109,0.54188,0.35707,0.35785,0.20894,1.79897,2.32123,1.35233,0.000463434,0.000463434,0.000463434
10,345.072,1.65553,2.37728,1.40174,0.59217,0.27556,0.31392,0.17546,1.8539,2.44772,1.34412,0.000461863,0.000461863,0.000461863
11,380.776,1.60788,2.33709,1.38461,0.48398,0.30673,0.31955,0.17535,1.89824,2.56844,1.38798,0.000460292,0.000460292,0.000460292
12,416.801,1.62242,2.32631,1.37801,0.57531,0.27556,0.33174,0.19509,1.87504,2.44736,1.37619,0.000458721,0.000458721,0.000458721
13,451.426,1.57369,2.25025,1.35968,0.49543,0.33461,0.34108,0.2149,1.7873,2.32315,1.35612,0.00045715,0.00045715,0.00045715
14,484.204,1.54233,2.18485,1.3429,0.54723,0.34475,0.36543,0.21155,1.71479,2.28685,1.28343,0.00045558,0.00045558,0.00045558
15,518.334,1.54052,2.16902,1.33803,0.38196,0.40136,0.35234,0.21919,1.73744,2.18852,1.30493,0.000454009,0.000454009,0.000454009
16,554.419,1.57957,2.24143,1.34111,0.58048,0.34276,0.40946,0.23192,1.69317,2.21783,1.24092,0.000452438,0.000452438,0.000452438
17,589.471,1.54387,2.11386,1.31498,0.43288,0.36776,0.38257,0.23627,1.7677,2.11739,1.29708,0.000450867,0.000450867,0.000450867
18,624.515,1.52598,2.12683,1.31972,0.42594,0.37956,0.38629,0.22504,1.6665,2.17672,1.25472,0.000449296,0.000449296,0.000449296
19,659.733,1.44616,1.99333,1.27338,0.38653,0.47994,0.44732,0.26147,1.64039,1.98686,1.22524,0.000447726,0.000447726,0.000447726
20,692.54,1.47559,2.06118,1.30038,0.36735,0.41609,0.39356,0.24582,1.63841,2.06394,1.2201,0.000446155,0.000446155,0.000446155
21,726.486,1.42521,1.95437,1.27392,0.4842,0.39626,0.39064,0.23852,1.66908,2.19373,1.25905,0.000444584,0.000444584,0.000444584
22,760.822,1.46764,2.01514,1.28391,0.48481,0.40205,0.38969,0.23716,1.69977,2.09886,1.22523,0.000443013,0.000443013,0.000443013
23,795.345,1.47534,2.03124,1.28174,0.38465,0.477,0.40194,0.23827,1.6769,2.10109,1.24425,0.000441442,0.000441442,0.000441442
24,828.8,1.41734,1.95539,1.25436,0.44834,0.46044,0.44979,0.25712,1.63582,2.04535,1.21168,0.000439872,0.000439872,0.000439872
25,864.089,1.4216,1.90581,1.24202,0.46815,0.41776,0.3794,0.24461,1.59672,2.07182,1.22899,0.000438301,0.000438301,0.000438301
26,899.786,1.44631,1.89942,1.26166,0.43388,0.44159,0.42518,0.26515,1.63871,2.0602,1.2362,0.00043673,0.00043673,0.00043673
27,934.668,1.4489,1.92471,1.26852,0.36823,0.45175,0.40236,0.22966,1.68831,2.09315,1.23306,0.000435159,0.000435159,0.000435159
28,968.646,1.43029,1.87832,1.23532,0.71924,0.32833,0.39928,0.23873,1.68527,2.11146,1.23747,0.000433588,0.000433588,0.000433588
29,1003.47,1.43542,1.84638,1.26729,0.49495,0.43434,0.44877,0.26038,1.65863,2.02757,1.23633,0.000432018,0.000432018,0.000432018
30,1036.5,1.40434,1.85928,1.23963,0.51494,0.36418,0.41046,0.2498,1.63869,2.16188,1.21307,0.000430447,0.000430447,0.000430447
31,1071.43,1.41419,1.84438,1.25286,0.41325,0.41311,0.41766,0.25786,1.68502,2.03157,1.22832,0.000428876,0.000428876,0.000428876
32,1106.57,1.35976,1.76112,1.20396,0.47624,0.4608,0.43765,0.27135,1.52588,1.98314,1.17552,0.000427305,0.000427305,0.000427305
