epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.95,4.10189,6.9062,3.92367,0.11766,0.02139,1e-05,0,4.8907,5712.31,12.7493,0.000158447,0.000158447,0.000158447
2,265.182,3.42327,5.53291,3.47603,0.00042,0.08636,0.01274,0.00263,4.60191,9.08252,4.68074,0.000313974,0.000313974,0.000313974
3,385.953,3.20091,5.16349,3.24742,0.67616,0.02941,0.02689,0.00645,3.98667,6.01077,3.39691,0.00046636,0.00046636,0.00046636
4,633.274,3.0526,4.97656,3.12085,0.67638,0.02941,0.02688,0.00697,3.98674,6.01329,3.39625,0.000461863,0.000461863,0.000461863
5,757.507,3.00844,4.8354,3.06455,0.15474,0.0779,0.01778,0.00276,4.75835,48.0256,5.10054,0.00045715,0.00045715,0.00045715
6,878.274,2.95944,4.47327,2.93007,0.34881,0.05989,0.03778,0.01343,4.22181,6.49431,3.47142,0.000452438,0.000452438,0.000452438
7,1119.95,2.81674,4.46267,2.82096,0.34807,0.05981,0.0371,0.01314,4.22239,6.49768,3.47202,0.000447726,0.000447726,0.000447726
8,1243.04,2.78105,4.28674,2.77669,0.68088,0.01471,0.01594,0.00523,4.32634,6.5677,3.73208,0.000443013,0.000443013,0.000443013
9,1496.57,2.69799,4.16111,2.71074,0.68181,0.01471,0.01693,0.00533,4.32567,6.57437,3.73136,0.000438301,0.000438301,0.000438301
10,1727.16,2.76388,4.11875,2.72645,0.68181,0.01471,0.01693,0.00533,4.32567,6.57437,3.73136,0.000433588,0.000433588,0.000433588
11,1979.88,2.69465,4.13308,2.70659,0.68181,0.01471,0.01693,0.00533,4.32567,6.57437,3.73136,0.000428876,0.000428876,0.000428876
12,2213.56,2.77448,4.12801,2.72753,0.68181,0.01471,0.01693,0.00533,4.32567,6.57437,3.73136,0.000424164,0.000424164,0.000424164
13,2331.66,2.7315,4.06948,2.69037,0.50413,0.06119,0.04719,0.00995,3.88533,9.0382,3.23336,0.000419451,0.000419451,0.000419451
14,2581.92,2.72095,4.09602,2.67539,0.50482,0.0599,0.04719,0.01066,3.88507,9.03595,3.23298,0.000414739,0.000414739,0.000414739
15,2817.64,2.72208,3.94334,2.68225,0.50482,0.0599,0.04719,0.01066,3.88507,9.03595,3.23298,0.000410026,0.000410026,0.000410026
16,2934.5,2.65551,3.99839,2.59592,0.68295,0.01176,0.02158,0.00322,3.79321,8.54732,3.39178,0.000405314,0.000405314,0.000405314
17,3168.51,2.6045,3.88,2.51623,0.6829,0.01176,0.02152,0.00321,3.79435,8.5684,3.39646,0.000400602,0.000400602,0.000400602
18,3398.64,2.62401,3.82206,2.52007,0.6829,0.01176,0.02152,0.00321,3.79435,8.5684,3.39646,0.000395889,0.000395889,0.000395889
19,3514.15,2.64264,3.82664,2.55704,0.2265,0.07958,0.04359,0.01271,3.95116,27.8532,3.30913,0.000391177,0.000391177,0.000391177
20,3645.47,2.52403,3.6459,2.46667,0.19764,0.06364,0.03616,0.00822,4.51538,643.636,5.30935,0.000386464,0.000386464,0.000386464
21,3759.84,2.5339,3.51959,2.41819,0.51359,0.07059,0.04543,0.02364,3.89114,7.52843,3.18793,0.000381752,0.000381752,0.000381752
22,3876.38,2.51008,3.37186,2.37855,0.21934,0.05499,0.02663,0.00517,3.84925,29.9114,4.03142,0.00037704,0.00037704,0.00037704
23,3992.9,2.49985,3.34287,2.31543,0.37059,0.25494,0.17192,0.06864,2.858,6.21853,2.33776,0.000372327,0.000372327,0.000372327
24,4111.06,2.39784,3.1999,2.29312,0.26454,0.36376,0.18602,0.08157,2.68743,6.42968,2.15961,0.000367615,0.000367615,0.000367615
25,4227.17,2.39852,3.20307,2.22826,0.68134,0.1762,0.20377,0.08253,2.63686,4.14394,2.1164,0.000362902,0.000362902,0.000362902
26,4344.47,2.38338,3.05578,2.23387,0.30391,0.3644,0.21251,0.08085,2.6848,5.19568,2.06403,0.00035819,0.00035819,0.00035819
27,4462.52,2.3094,2.96693,2.19069,0.57699,0.07914,0.05931,0.02364,3.47025,4.42501,2.76965,0.000353478,0.000353478,0.000353478
28,4578.66,2.32281,2.93873,2.14142,0.49023,0.32112,0.20168,0.08431,2.62471,4.39951,2.02302,0.000348765,0.000348765,0.000348765
29,4696.22,2.28276,2.95058,2.13964,0.87399,0.04706,0.07458,0.03637,3.54316,4.35436,2.87249,0.000344053,0.000344053,0.000344053
30,4813.18,2.27107,2.88373,2.11226,0.30561,0.27426,0.19001,0.08414,2.64611,5.53208,2.01343,0.00033934,0.00033934,0.00033934
31,4928.04,2.24419,2.83256,2.07961,0.3837,0.31497,0.19925,0.08787,2.5935,4.92571,2.08319,0.000334628,0.000334628,0.000334628
32,5045.8,2.23274,2.79806,2.08411,0.40198,0.28324,0.22072,0.10142,2.55298,4.66071,1.99874,0.000329916,0.000329916,0.000329916
33,5162.05,2.18896,2.76032,2.0266,0.40203,0.30782,0.23785,0.10201,2.54262,4.40187,2.00692,0.000325203,0.000325203,0.000325203
34,5279.35,2.18636,2.73553,2.01769,0.53916,0.24595,0.25023,0.10328,2.53907,5.7849,1.93022,0.000320491,0.000320491,0.000320491
35,5396.51,2.15071,2.66294,1.983,0.33966,0.35968,0.27452,0.11715,2.47153,4.06877,1.92082,0.000315778,0.000315778,0.000315778
36,5513.31,2.15597,2.60935,1.94731,0.40299,0.37385,0.26854,0.1282,2.46892,4.25685,1.8756,0.000311066,0.000311066,0.000311066
37,5629.46,2.13937,2.62757,1.95511,0.39089,0.33422,0.27517,0.12709,2.45533,4.75724,1.91438,0.000306354,0.000306354,0.000306354
