epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1868,4.16731,6.00702,4.02864,0.65815,0.03354,0.0093,0.00207,3.90451,8.8411,3.49861,0.000158228,0.000158228,0.000158228
2,107.53,3.33309,4.90937,3.40119,0.61536,0.09498,0.04774,0.01464,3.41356,6.43079,3.03029,0.000313758,0.000313758,0.000313758
3,158.556,2.99746,4.55724,3.04645,0.64285,0.08134,0.0778,0.03377,3.16621,5.37388,2.71618,0.000466146,0.000466146,0.000466146
4,211.139,2.81683,4.21448,2.83023,0.31082,0.18618,0.09588,0.03602,2.98614,5.77578,2.43846,0.000461863,0.000461863,0.000461863
5,262.922,2.66714,3.95876,2.68222,0.25601,0.24049,0.11412,0.04197,2.9648,5.86413,2.39417,0.00045715,0.00045715,0.00045715
6,314.739,2.59804,3.83611,2.58516,0.40442,0.2108,0.14805,0.06538,2.85188,5.61024,2.36904,0.000452438,0.000452438,0.000452438
7,366.738,2.53426,3.82597,2.50892,0.44439,0.22619,0.16905,0.06571,2.7695,4.03472,2.26717,0.000447726,0.000447726,0.000447726
8,418.794,2.49775,3.52152,2.42581,0.34615,0.22805,0.17063,0.07801,2.74343,4.41885,2.20533,0.000443013,0.000443013,0.000443013
9,470.641,2.42383,3.42062,2.39572,0.51456,0.23722,0.21576,0.092,2.66923,4.57718,2.11073,0.000438301,0.000438301,0.000438301
10,522.499,2.41552,3.36426,2.37796,0.23704,0.31613,0.21024,0.08984,2.65389,4.60321,2.14585,0.000433588,0.000433588,0.000433588
11,574.241,2.35979,3.29799,2.29967,0.59022,0.21947,0.21658,0.09539,2.664,3.9818,2.1272,0.000428876,0.000428876,0.000428876
12,625.578,2.33016,3.19992,2.26225,0.58565,0.20665,0.24036,0.09275,2.62824,4.44159,2.08744,0.000424164,0.000424164,0.000424164
13,677.511,2.29691,3.13167,2.25049,0.34691,0.29497,0.22212,0.09864,2.55116,4.47442,1.98793,0.000419451,0.000419451,0.000419451
14,728.756,2.29841,3.1155,2.22282,0.35262,0.30962,0.24079,0.09684,2.56601,3.87059,2.01382,0.000414739,0.000414739,0.000414739
15,780.373,2.24448,2.96055,2.1569,0.60723,0.25999,0.25193,0.11371,2.48611,4.12664,1.97836,0.000410026,0.000410026,0.000410026
16,830.86,2.21694,2.95125,2.1433,0.61397,0.26602,0.26358,0.11414,2.51421,4.40137,1.96815,0.000405314,0.000405314,0.000405314
