epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.056,4.15399,7.06597,3.98249,0.17657,0.03589,5e-05,1e-05,4.55318,7439.51,16.684,0.000158447,0.000158447,0.000158447
2,263.763,3.50222,5.77039,3.55221,0.00127,0.07513,0.00069,0.0001,4.38461,138.655,10.8053,0.000313974,0.000313974,0.000313974
3,384.892,3.3506,5.39397,3.29033,0.05905,0.09287,0.00022,5e-05,4.14764,44.7403,6.32681,0.00046636,0.00046636,0.00046636
4,616.08,3.2296,5.23189,3.17537,0.05905,0.09287,0.00022,5e-05,4.1474,44.7051,6.32056,0.000461863,0.000461863,0.000461863
5,850.018,3.29524,5.13176,3.22362,0.05905,0.09287,0.00022,5e-05,4.1474,44.7051,6.32056,0.00045715,0.00045715,0.00045715
6,1083.07,3.23929,5.23258,3.21483,0.05905,0.09287,0.00022,5e-05,4.1474,44.7051,6.32056,0.000452438,0.000452438,0.000452438
7,1309.23,3.24854,5.21951,3.19556,0.05905,0.09287,0.00022,5e-05,4.1474,44.7051,6.32056,0.000447726,0.000447726,0.000447726
8,1421.38,3.05871,4.96857,3.06463,0.82353,0.02245,0.04126,0.02161,4.16912,6.57285,3.35513,0.000443013,0.000443013,0.000443013
9,1645.85,2.95638,4.73258,2.95466,0.82353,0.02247,0.04106,0.02129,4.1703,6.5696,3.35513,0.000438301,0.000438301,0.000438301
10,1763.11,2.87143,4.53092,2.87286,0.01293,0.22488,0.03061,0.00841,3.66772,6.33774,3.12045,0.000433588,0.000433588,0.000433588
11,1910.94,2.76998,4.20948,2.72576,0.05894,0.02968,9e-05,2e-05,4.41297,1646.68,7.26345,0.000428876,0.000428876,0.000428876
12,2166.72,2.80093,4.10665,2.6817,0.05894,0.02968,9e-05,2e-05,4.41251,1663.06,7.27472,0.000424164,0.000424164,0.000424164
13,2424.01,2.81906,4.15368,2.68782,0.05894,0.02968,9e-05,2e-05,4.41251,1663.06,7.27472,0.000419451,0.000419451,0.000419451
14,2678.35,2.76038,4.11495,2.70648,0.05894,0.02968,9e-05,2e-05,4.41251,1663.06,7.27472,0.000414739,0.000414739,0.000414739
