epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1077,1.91065,4.96424,1.63327,0.45899,0.20966,0.18058,0.11313,1.88223,4.67569,1.43336,0.000156923,0.000156923,0.000156923
2,83.7697,1.81413,2.75071,1.50909,0.3522,0.19193,0.15972,0.10453,2.17087,3.41623,1.60025,0.000312465,0.000312465,0.000312465
3,117.292,1.86333,2.36748,1.54641,0.22119,0.26947,0.1845,0.11103,2.15829,2.7275,1.57433,0.000464866,0.000464866,0.000464866
4,149.635,1.79823,2.29192,1.5149,0.36804,0.32355,0.23708,0.13696,2.00247,2.31515,1.53298,0.000461863,0.000461863,0.000461863
5,182.349,1.76507,2.17406,1.48958,0.50966,0.28342,0.24145,0.14017,2.03336,2.14251,1.49572,0.00045715,0.00045715,0.00045715
6,214.865,1.72973,2.11836,1.48538,0.29568,0.20905,0.19555,0.1289,2.18056,2.03776,1.57478,0.000452438,0.000452438,0.000452438
7,250.516,1.74971,2.12462,1.47534,0.61398,0.28602,0.301,0.17413,1.95949,1.90837,1.43887,0.000447726,0.000447726,0.000447726
8,286.797,1.70764,1.96264,1.43956,0.49,0.33279,0.32454,0.18921,1.87442,2.00793,1.36476,0.000443013,0.000443013,0.000443013
9,320.91,1.66969,1.92831,1.42225,0.37566,0.38135,0.35544,0.20618,1.86715,1.63321,1.42357,0.000438301,0.000438301,0.000438301
10,357.077,1.65612,1.91737,1.42409,0.50045,0.32189,0.31397,0.1929,1.77046,1.69191,1.333,0.000433588,0.000433588,0.000433588
11,393.056,1.63335,1.80534,1.3955,0.32339,0.38916,0.32527,0.20277,1.85434,1.62659,1.3717,0.000428876,0.000428876,0.000428876
12,428.288,1.6036,1.85551,1.37017,0.51738,0.33128,0.33218,0.20599,1.81606,1.62094,1.35327,0.000424164,0.000424164,0.000424164
13,463.618,1.58814,1.78081,1.37853,0.36215,0.37068,0.36268,0.20033,1.80496,1.62989,1.31858,0.000419451,0.000419451,0.000419451
14,499.321,1.55342,1.71103,1.35373,0.7201,0.25624,0.3324,0.1997,1.76774,1.6278,1.31553,0.000414739,0.000414739,0.000414739
15,533.792,1.53469,1.69869,1.34703,0.43955,0.34717,0.35457,0.2217,1.76013,1.54958,1.31484,0.000410026,0.000410026,0.000410026
16,568.438,1.56453,1.651,1.33894,0.51601,0.39642,0.3723,0.2332,1.67219,1.52322,1.24844,0.000405314,0.000405314,0.000405314
17,603.484,1.52621,1.64931,1.32053,0.6211,0.35052,0.39224,0.24236,1.72809,1.52099,1.28429,0.000400602,0.000400602,0.000400602
18,639.244,1.51157,1.66085,1.31617,0.67111,0.39638,0.45613,0.25549,1.67092,1.57845,1.25926,0.000395889,0.000395889,0.000395889
19,675.7,1.43731,1.54108,1.27349,0.42267,0.48095,0.43419,0.24526,1.70724,1.38321,1.21718,0.000391177,0.000391177,0.000391177
20,709.866,1.46625,1.55915,1.28823,0.55008,0.44153,0.45698,0.26649,1.62445,1.41543,1.20483,0.000386464,0.000386464,0.000386464
21,745.228,1.43909,1.50976,1.279,0.51892,0.3882,0.41274,0.24726,1.69576,1.35543,1.23932,0.000381752,0.000381752,0.000381752
22,779.278,1.4506,1.62407,1.27775,0.40134,0.39607,0.37735,0.24404,1.68892,1.40049,1.26193,0.00037704,0.00037704,0.00037704
23,813.889,1.46388,1.55236,1.26821,0.35811,0.43805,0.39907,0.22517,1.81836,1.47536,1.31645,0.000372327,0.000372327,0.000372327
24,848.752,1.40466,1.48132,1.25181,0.68214,0.3526,0.42304,0.26205,1.74687,1.45355,1.24808,0.000367615,0.000367615,0.000367615
25,884.341,1.42984,1.46003,1.26417,0.44667,0.47212,0.4337,0.2587,1.62173,1.48156,1.22933,0.000362902,0.000362902,0.000362902
26,918.151,1.40307,1.42725,1.24655,0.53275,0.42619,0.46302,0.26204,1.60319,1.32177,1.1944,0.00035819,0.00035819,0.00035819
27,954.309,1.40595,1.49587,1.25919,0.52967,0.49462,0.49876,0.29106,1.55982,1.28696,1.17696,0.000353478,0.000353478,0.000353478
28,989.028,1.41924,1.40472,1.23602,0.74668,0.3837,0.49049,0.27818,1.67501,1.2883,1.20837,0.000348765,0.000348765,0.000348765
29,1023.92,1.37325,1.34567,1.24095,0.54787,0.46268,0.48317,0.28952,1.62074,1.30689,1.22205,0.000344053,0.000344053,0.000344053
30,1058.46,1.3654,1.41474,1.24026,0.51331,0.47148,0.46431,0.28758,1.59679,1.32628,1.19458,0.00033934,0.00033934,0.00033934
31,1094.31,1.36839,1.34566,1.23858,0.50281,0.52638,0.51088,0.30144,1.60764,1.35613,1.18949,0.000334628,0.000334628,0.000334628
32,1128,1.34849,1.35372,1.21005,0.68158,0.43675,0.50688,0.29538,1.62437,1.33127,1.21349,0.000329916,0.000329916,0.000329916
33,1161.79,1.35333,1.3394,1.21417,0.47754,0.54665,0.52088,0.30399,1.63641,1.35496,1.21082,0.000325203,0.000325203,0.000325203
34,1197.91,1.3278,1.28675,1.20727,0.63903,0.45334,0.51621,0.29923,1.56606,1.20669,1.18142,0.000320491,0.000320491,0.000320491
35,1232.94,1.32347,1.33191,1.20358,0.61067,0.43173,0.50817,0.29444,1.61277,1.2402,1.18323,0.000315778,0.000315778,0.000315778
36,1268.54,1.34558,1.32034,1.22918,0.48369,0.45255,0.46697,0.29509,1.59337,1.20498,1.18456,0.000311066,0.000311066,0.000311066
37,1302.01,1.29947,1.23416,1.19806,0.55711,0.47994,0.50497,0.30707,1.56548,1.25574,1.16472,0.000306354,0.000306354,0.000306354
38,1337.52,1.30479,1.28044,1.20097,0.45569,0.50876,0.49924,0.29073,1.60885,1.2711,1.18698,0.000301641,0.000301641,0.000301641
39,1371.14,1.33508,1.31252,1.20523,0.51765,0.5078,0.51484,0.31846,1.51088,1.19912,1.14818,0.000296929,0.000296929,0.000296929
40,1406.73,1.32044,1.24226,1.1969,0.57508,0.49431,0.52147,0.33164,1.52266,1.17644,1.15462,0.000292216,0.000292216,0.000292216
41,1443.37,1.28083,1.23074,1.18013,0.56553,0.49892,0.51402,0.31517,1.51749,1.19219,1.13835,0.000287504,0.000287504,0.000287504
42,1482.23,1.28544,1.20794,1.18552,0.54817,0.53635,0.54537,0.32567,1.49119,1.11219,1.16078,0.000282792,0.000282792,0.000282792
43,1516.44,1.27954,1.22476,1.1791,0.46711,0.5009,0.49172,0.30759,1.56107,1.208,1.15895,0.000278079,0.000278079,0.000278079
44,1553.2,1.2908,1.21922,1.1741,0.60963,0.50551,0.54029,0.32727,1.51433,1.1398,1.15021,0.000273367,0.000273367,0.000273367
45,1589.12,1.26641,1.17839,1.1985,0.49252,0.51918,0.51998,0.32337,1.57729,1.15434,1.18037,0.000268654,0.000268654,0.000268654
46,1622.72,1.28444,1.17301,1.17787,0.52454,0.51087,0.50244,0.3257,1.5192,1.20508,1.13071,0.000263942,0.000263942,0.000263942
47,1657.6,1.23175,1.14778,1.15616,0.4208,0.58584,0.51009,0.32635,1.51764,1.11819,1.15036,0.00025923,0.00025923,0.00025923
48,1694.45,1.21338,1.134,1.15904,0.58832,0.49968,0.52729,0.33164,1.53817,1.13391,1.13536,0.000254517,0.000254517,0.000254517
49,1729.75,1.25309,1.14672,1.17092,0.53603,0.48183,0.49714,0.32386,1.52469,1.19805,1.15032,0.000249805,0.000249805,0.000249805
50,1765.08,1.2558,1.14255,1.15616,0.57844,0.46826,0.53061,0.32818,1.49437,1.15442,1.13175,0.000245092,0.000245092,0.000245092
51,1799.87,1.22599,1.10929,1.1572,0.50642,0.54782,0.54533,0.33786,1.49231,1.13161,1.15271,0.00024038,0.00024038,0.00024038
52,1837.56,1.23873,1.16752,1.1535,0.6341,0.50845,0.54105,0.33911,1.49059,1.16218,1.133,0.000235668,0.000235668,0.000235668
53,1872.73,1.18669,1.08627,1.14553,0.53582,0.51655,0.53371,0.32994,1.49276,1.14211,1.13674,0.000230955,0.000230955,0.000230955
54,1907.92,1.23475,1.07114,1.1562,0.51154,0.5026,0.51901,0.32341,1.46862,1.16047,1.10797,0.000226243,0.000226243,0.000226243
55,1943.29,1.2152,1.07269,1.14956,0.60343,0.49799,0.55854,0.34348,1.49651,1.09934,1.11828,0.00022153,0.00022153,0.00022153
56,1979.71,1.21638,1.09754,1.16671,0.68926,0.48521,0.55562,0.34504,1.50134,1.08587,1.16337,0.000216818,0.000216818,0.000216818
57,2016.48,1.17325,1.05902,1.13637,0.62197,0.51471,0.53703,0.34345,1.51413,1.10266,1.15924,0.000212106,0.000212106,0.000212106
58,2051.69,1.19415,1.05562,1.13843,0.56251,0.51109,0.53619,0.36321,1.45921,1.09863,1.13827,0.000207393,0.000207393,0.000207393
59,2087.53,1.19775,1.03876,1.14067,0.61136,0.52009,0.55471,0.34998,1.48866,1.10518,1.11857,0.000202681,0.000202681,0.000202681
60,2122.95,1.16725,1.03429,1.1329,0.65027,0.51602,0.55811,0.36404,1.4513,1.04885,1.11992,0.000197968,0.000197968,0.000197968
61,2158.88,1.16753,0.98104,1.11076,0.52851,0.55687,0.57424,0.37716,1.43815,1.09113,1.11263,0.000193256,0.000193256,0.000193256
62,2193.57,1.16533,1.0316,1.12566,0.74682,0.47785,0.56551,0.37947,1.45435,1.13784,1.14489,0.000188544,0.000188544,0.000188544
63,2227.31,1.17189,1.01344,1.13116,0.71755,0.51448,0.56976,0.35478,1.48542,1.14047,1.10176,0.000183831,0.000183831,0.000183831
64,2261.48,1.17391,0.99575,1.12725,0.6484,0.534,0.57202,0.36903,1.4658,1.07668,1.12707,0.000179119,0.000179119,0.000179119
65,2296.59,1.16154,0.98081,1.11548,0.57985,0.54152,0.54458,0.35882,1.4323,1.13719,1.11455,0.000174406,0.000174406,0.000174406
66,2331.91,1.17117,0.96056,1.11109,0.53534,0.53369,0.5518,0.35688,1.48085,1.07413,1.12407,0.000169694,0.000169694,0.000169694
67,2366.39,1.13136,0.96037,1.09915,0.48918,0.53173,0.54336,0.37662,1.44624,1.12184,1.12482,0.000164982,0.000164982,0.000164982
68,2400.71,1.13611,0.95299,1.11363,0.58302,0.53517,0.56572,0.38365,1.45825,1.04912,1.11591,0.000160269,0.000160269,0.000160269
69,2434.78,1.13906,0.86913,1.10612,0.52703,0.56348,0.56212,0.38804,1.46665,1.06435,1.1399,0.000155557,0.000155557,0.000155557
70,2469.75,1.11097,0.97667,1.09837,0.64797,0.53541,0.57325,0.385,1.44067,1.0018,1.09668,0.000150844,0.000150844,0.000150844
71,2503.91,1.08747,0.89717,1.08726,0.65333,0.52321,0.56995,0.37593,1.43654,1.07045,1.10406,0.000146132,0.000146132,0.000146132
72,2539.45,1.11484,0.92344,1.10012,0.58519,0.56256,0.57249,0.39076,1.40977,1.01945,1.08878,0.00014142,0.00014142,0.00014142
73,2574.7,1.11963,0.91028,1.10231,0.5335,0.55361,0.55177,0.36425,1.45173,1.08059,1.10503,0.000136707,0.000136707,0.000136707
74,2608.79,1.10725,0.94452,1.097,0.67255,0.51359,0.56518,0.36478,1.46288,1.02115,1.10632,0.000131995,0.000131995,0.000131995
75,2644.05,1.102,0.90723,1.09454,0.6158,0.50968,0.54299,0.36196,1.45701,1.09409,1.12383,0.000127282,0.000127282,0.000127282
76,2679.2,1.09169,0.92166,1.08903,0.51856,0.56308,0.56096,0.36559,1.42946,1.06314,1.10148,0.00012257,0.00012257,0.00012257
77,2713.94,1.08088,0.88955,1.08005,0.52717,0.55867,0.56653,0.36869,1.4302,1.0623,1.10729,0.000117858,0.000117858,0.000117858
78,2748.56,1.06058,0.87061,1.08005,0.55264,0.53878,0.56012,0.37589,1.43234,1.03485,1.10003,0.000113145,0.000113145,0.000113145
79,2780.96,1.08653,0.85278,1.08727,0.53689,0.53791,0.56141,0.3782,1.42305,1.01983,1.08598,0.000108433,0.000108433,0.000108433
80,2814.45,1.06606,0.85459,1.09163,0.65063,0.53313,0.57561,0.39072,1.42798,1.01562,1.0918,0.00010372,0.00010372,0.00010372
81,2849.22,1.07575,0.86212,1.07825,0.65036,0.50029,0.56845,0.3742,1.39691,1.01371,1.09227,9.9008e-05,9.9008e-05,9.9008e-05
82,2884.23,1.06733,0.89483,1.06931,0.59557,0.5374,0.57046,0.37449,1.41799,1.01519,1.09518,9.42956e-05,9.42956e-05,9.42956e-05
