epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3603,1.80835,5.10542,1.52177,0.45235,0.2355,0.22019,0.13901,1.90451,5.40768,1.44171,0.000156923,0.000156923,0.000156923
2,67.1026,1.74302,3.09106,1.3918,0.44655,0.19688,0.18857,0.12067,1.96935,3.79445,1.4648,0.000312465,0.000312465,0.000312465
3,93.6001,1.81866,2.83255,1.44388,0.66204,0.19797,0.22141,0.1256,2.1619,3.19707,1.56994,0.000464866,0.000464866,0.000464866
4,121.638,1.76946,2.62915,1.40514,0.42121,0.24372,0.21372,0.12195,2.09713,3.40823,1.56806,0.000461863,0.000461863,0.000461863
5,148.545,1.72852,2.55981,1.38555,0.49105,0.25851,0.23506,0.13966,2.07424,3.09432,1.48213,0.00045715,0.00045715,0.00045715
6,175.443,1.68463,2.43979,1.37374,0.35392,0.28565,0.25884,0.16361,1.91072,2.64704,1.42349,0.000452438,0.000452438,0.000452438
7,202.568,1.66033,2.37812,1.3638,0.48214,0.28165,0.27027,0.15976,1.93718,2.80776,1.40014,0.000447726,0.000447726,0.000447726
8,229.482,1.61523,2.20995,1.31929,0.47877,0.31231,0.31214,0.18951,1.85784,2.44483,1.36184,0.000443013,0.000443013,0.000443013
9,256.494,1.59065,2.19369,1.31064,0.47098,0.32344,0.32646,0.17872,1.94617,2.5698,1.42749,0.000438301,0.000438301,0.000438301
10,284.421,1.61934,2.24372,1.34497,0.38218,0.33886,0.31668,0.1925,1.91053,2.5674,1.43662,0.000433588,0.000433588,0.000433588
11,313.059,1.55533,2.12191,1.28941,0.40726,0.37101,0.32265,0.19792,1.82713,2.36797,1.31271,0.000428876,0.000428876,0.000428876
12,340.974,1.56972,2.1297,1.28441,0.42148,0.3505,0.33949,0.19666,1.82296,2.38277,1.34355,0.000424164,0.000424164,0.000424164
13,369.024,1.5293,2.02076,1.28132,0.46158,0.37674,0.4003,0.23079,1.7801,2.10337,1.30822,0.000419451,0.000419451,0.000419451
14,395.993,1.48511,1.95976,1.25527,0.53285,0.31534,0.34965,0.20573,1.73368,2.3454,1.25212,0.000414739,0.000414739,0.000414739
15,422.203,1.50098,1.97937,1.26533,0.4603,0.34807,0.36072,0.20982,1.83091,2.30916,1.34101,0.000410026,0.000410026,0.000410026
16,448.636,1.53722,2.01111,1.27746,0.48146,0.3605,0.40096,0.23372,1.72329,2.12748,1.25822,0.000405314,0.000405314,0.000405314
17,474.889,1.47211,1.90282,1.23671,0.45263,0.41425,0.40184,0.23817,1.70592,2.08165,1.25795,0.000400602,0.000400602,0.000400602
18,501.335,1.44372,1.87608,1.22542,0.41805,0.42038,0.41295,0.244,1.70757,2.05593,1.24159,0.000395889,0.000395889,0.000395889
19,527.678,1.40126,1.783,1.21259,0.50297,0.39333,0.39212,0.23393,1.75354,2.15598,1.28134,0.000391177,0.000391177,0.000391177
20,553.892,1.42833,1.84353,1.22178,0.47303,0.40957,0.38811,0.24673,1.63003,2.06506,1.23082,0.000386464,0.000386464,0.000386464
21,580.993,1.39107,1.77125,1.19688,0.6439,0.41021,0.42985,0.26434,1.65875,2.00087,1.2122,0.000381752,0.000381752,0.000381752
22,607.712,1.41009,1.82048,1.21135,0.42616,0.4155,0.36711,0.23238,1.65487,2.18946,1.2251,0.00037704,0.00037704,0.00037704
23,634.406,1.40429,1.77575,1.20238,0.4519,0.40343,0.4123,0.25273,1.64679,2.08679,1.2683,0.000372327,0.000372327,0.000372327
24,660.734,1.37774,1.76802,1.19493,0.55025,0.41799,0.41424,0.2723,1.65361,1.96674,1.2467,0.000367615,0.000367615,0.000367615
25,687.158,1.389,1.71034,1.18522,0.52615,0.3991,0.4179,0.25996,1.62419,1.96739,1.20323,0.000362902,0.000362902,0.000362902
26,713.715,1.37213,1.66622,1.17812,0.54503,0.44769,0.47327,0.28868,1.60212,1.85274,1.19731,0.00035819,0.00035819,0.00035819
27,740.046,1.36132,1.7035,1.18646,0.48629,0.45095,0.47318,0.30473,1.56785,1.89377,1.16595,0.000353478,0.000353478,0.000353478
28,766.964,1.33484,1.63995,1.15415,0.48686,0.40454,0.42856,0.26924,1.63088,1.97058,1.2036,0.000348765,0.000348765,0.000348765
29,793.295,1.33776,1.6185,1.16704,0.58226,0.43757,0.46642,0.29713,1.56168,1.88587,1.18145,0.000344053,0.000344053,0.000344053
30,819.529,1.326,1.6336,1.16172,0.5623,0.42272,0.47544,0.29783,1.61967,2.03016,1.21071,0.00033934,0.00033934,0.00033934
31,845.809,1.34355,1.63723,1.1866,0.45984,0.47041,0.46945,0.29782,1.57053,1.93519,1.1681,0.000334628,0.000334628,0.000334628
32,872.139,1.302,1.56569,1.13875,0.56889,0.43954,0.45577,0.28888,1.55405,1.91796,1.15072,0.000329916,0.000329916,0.000329916
33,898.294,1.30354,1.57063,1.13453,0.41092,0.47632,0.45619,0.2896,1.54829,1.89279,1.1617,0.000325203,0.000325203,0.000325203
34,924.715,1.30436,1.52868,1.13868,0.66009,0.37737,0.4365,0.27514,1.64502,1.90848,1.19858,0.000320491,0.000320491,0.000320491
35,950.935,1.2866,1.52929,1.13573,0.68641,0.3975,0.44704,0.29766,1.54895,1.85559,1.15547,0.000315778,0.000315778,0.000315778
36,976.895,1.28751,1.53572,1.13825,0.41851,0.49294,0.45198,0.29291,1.60232,1.96715,1.16626,0.000311066,0.000311066,0.000311066
37,1003.36,1.26454,1.52048,1.13084,0.6862,0.42735,0.49516,0.31157,1.56941,1.75028,1.15726,0.000306354,0.000306354,0.000306354
38,1030.02,1.26429,1.50648,1.12545,0.63685,0.4224,0.46096,0.29369,1.59143,1.85578,1.16935,0.000301641,0.000301641,0.000301641
39,1056.51,1.30083,1.50364,1.13494,0.52297,0.52532,0.51336,0.31744,1.59161,1.83067,1.17153,0.000296929,0.000296929,0.000296929
40,1082.72,1.27803,1.47003,1.12599,0.55078,0.48427,0.48492,0.31117,1.54645,1.83306,1.13908,0.000292216,0.000292216,0.000292216
41,1108.96,1.2594,1.47141,1.12677,0.54269,0.43059,0.45905,0.30006,1.52646,1.81503,1.14256,0.000287504,0.000287504,0.000287504
42,1135.12,1.24611,1.43606,1.11917,0.6788,0.45929,0.52977,0.31741,1.52784,1.76653,1.13431,0.000282792,0.000282792,0.000282792
43,1161.41,1.25118,1.45979,1.11591,0.49644,0.5194,0.48483,0.3101,1.56244,1.74221,1.17322,0.000278079,0.000278079,0.000278079
44,1187.71,1.24216,1.36833,1.10473,0.68301,0.4482,0.50967,0.33216,1.5454,1.82369,1.14631,0.000273367,0.000273367,0.000273367
45,1213.88,1.2346,1.44528,1.13104,0.43022,0.56712,0.54439,0.33652,1.56748,1.75547,1.16759,0.000268654,0.000268654,0.000268654
46,1240.26,1.24404,1.37028,1.10743,0.54587,0.55896,0.52311,0.34611,1.50436,1.71278,1.12994,0.000263942,0.000263942,0.000263942
47,1266.52,1.20399,1.353,1.09397,0.46698,0.51334,0.50856,0.32963,1.51593,1.76537,1.14681,0.00025923,0.00025923,0.00025923
48,1292.7,1.17806,1.31155,1.09806,0.41862,0.6009,0.54274,0.34233,1.533,1.7749,1.14124,0.000254517,0.000254517,0.000254517
49,1318.7,1.23465,1.32789,1.10932,0.62387,0.48623,0.54322,0.35644,1.54089,1.73474,1.1596,0.000249805,0.000249805,0.000249805
50,1345,1.2107,1.34752,1.09208,0.5279,0.52972,0.53855,0.35059,1.54812,1.69138,1.12335,0.000245092,0.000245092,0.000245092
51,1371.19,1.20645,1.31732,1.10195,0.40288,0.55501,0.51807,0.34219,1.5152,1.73589,1.13312,0.00024038,0.00024038,0.00024038
52,1397.44,1.20646,1.31671,1.09249,0.6145,0.50471,0.53989,0.36673,1.49532,1.66123,1.13374,0.000235668,0.000235668,0.000235668
53,1423.85,1.16076,1.27246,1.09504,0.61019,0.50641,0.54337,0.3473,1.50546,1.72332,1.12742,0.000230955,0.000230955,0.000230955
54,1450.25,1.2043,1.28238,1.09351,0.49159,0.50389,0.51425,0.34635,1.54763,1.76268,1.13575,0.000226243,0.000226243,0.000226243
55,1476.45,1.18129,1.24966,1.08171,0.73451,0.44714,0.54266,0.3511,1.46436,1.68393,1.1002,0.00022153,0.00022153,0.00022153
56,1502.58,1.16467,1.27083,1.0898,0.62215,0.51462,0.56267,0.37192,1.48718,1.70986,1.11623,0.000216818,0.000216818,0.000216818
57,1528.94,1.12865,1.22383,1.06898,0.44466,0.49796,0.52311,0.34601,1.48937,1.75582,1.11904,0.000212106,0.000212106,0.000212106
58,1555.15,1.14997,1.21887,1.07162,0.67076,0.52523,0.57087,0.3916,1.50904,1.66693,1.12137,0.000207393,0.000207393,0.000207393
59,1581.51,1.15334,1.23573,1.07538,0.46306,0.56768,0.51492,0.34496,1.47886,1.65568,1.12675,0.000202681,0.000202681,0.000202681
60,1607.74,1.14444,1.1967,1.07637,0.65919,0.49983,0.57315,0.3768,1.45417,1.60179,1.12953,0.000197968,0.000197968,0.000197968
61,1634.09,1.15672,1.18744,1.06325,0.55625,0.52481,0.53699,0.35684,1.46436,1.68079,1.11757,0.000193256,0.000193256,0.000193256
62,1660.45,1.12254,1.20205,1.05947,0.70359,0.48863,0.5686,0.37721,1.48165,1.58571,1.10924,0.000188544,0.000188544,0.000188544
63,1686.71,1.13259,1.15331,1.06866,0.5521,0.58111,0.56914,0.39295,1.48312,1.57756,1.13192,0.000183831,0.000183831,0.000183831
64,1713.01,1.13288,1.18251,1.06056,0.66434,0.54841,0.57516,0.36896,1.48015,1.63324,1.13203,0.000179119,0.000179119,0.000179119
65,1739.25,1.10868,1.14489,1.05752,0.62056,0.52016,0.56365,0.37374,1.49232,1.6532,1.12817,0.000174406,0.000174406,0.000174406
66,1765.25,1.11852,1.13274,1.05324,0.55916,0.50784,0.54564,0.35767,1.49599,1.66719,1.11178,0.000169694,0.000169694,0.000169694
67,1791.36,1.08401,1.08897,1.03913,0.49865,0.5892,0.57467,0.37451,1.45118,1.64079,1.08524,0.000164982,0.000164982,0.000164982
68,1817.58,1.111,1.14704,1.05559,0.56705,0.55807,0.55879,0.38302,1.44707,1.61483,1.10217,0.000160269,0.000160269,0.000160269
69,1843.82,1.1134,1.08282,1.05225,0.57898,0.56606,0.57311,0.37079,1.46101,1.63162,1.11009,0.000155557,0.000155557,0.000155557
70,1869.98,1.07753,1.09243,1.03703,0.5735,0.5578,0.58881,0.37719,1.488,1.62417,1.123,0.000150844,0.000150844,0.000150844
71,1896.34,1.05565,1.07232,1.03296,0.5925,0.55657,0.56667,0.36884,1.4794,1.64356,1.10575,0.000146132,0.000146132,0.000146132
72,1922.46,1.07453,1.06224,1.03525,0.58274,0.53996,0.56323,0.35629,1.49929,1.65728,1.1224,0.00014142,0.00014142,0.00014142
73,1948.79,1.08218,1.0749,1.03595,0.53959,0.55174,0.54357,0.37164,1.45215,1.63933,1.10466,0.000136707,0.000136707,0.000136707
74,1975.06,1.06756,1.07083,1.03894,0.55599,0.56936,0.57164,0.39283,1.43702,1.60772,1.09059,0.000131995,0.000131995,0.000131995
75,2001.52,1.06653,1.07148,1.03834,0.56535,0.56297,0.55513,0.38549,1.46133,1.60889,1.11775,0.000127282,0.000127282,0.000127282
76,2027.61,1.05277,1.02982,1.02963,0.50565,0.58315,0.57904,0.3925,1.44871,1.57355,1.08172,0.00012257,0.00012257,0.00012257
77,2053.76,1.04363,1.01275,1.02307,0.553,0.54751,0.57019,0.37442,1.47224,1.59866,1.1114,0.000117858,0.000117858,0.000117858
78,2080.12,1.03669,1.02714,1.02798,0.58796,0.55586,0.5811,0.38608,1.49071,1.58316,1.12067,0.000113145,0.000113145,0.000113145
79,2106.27,1.04481,1.00382,1.02288,0.6401,0.5457,0.59893,0.40044,1.41874,1.55261,1.06488,0.000108433,0.000108433,0.000108433
80,2132.54,1.02824,1.01505,1.02922,0.57338,0.56623,0.57065,0.37276,1.44927,1.54543,1.08419,0.00010372,0.00010372,0.00010372
81,2158.8,1.05472,1.00963,1.02948,0.75723,0.49451,0.57481,0.37738,1.4225,1.57278,1.06918,9.9008e-05,9.9008e-05,9.9008e-05
82,2184.94,1.03515,0.99135,1.01839,0.58007,0.52709,0.57395,0.3814,1.43886,1.56894,1.07696,9.42956e-05,9.42956e-05,9.42956e-05
83,2213.68,1.02458,0.97048,1.02069,0.64357,0.53087,0.57508,0.39808,1.44019,1.56666,1.09706,8.95832e-05,8.95832e-05,8.95832e-05
84,2240.58,1.01449,0.95892,1.02276,0.58073,0.57258,0.57316,0.38773,1.44876,1.57359,1.11339,8.48708e-05,8.48708e-05,8.48708e-05
85,2268.47,1.01347,0.97375,1.01927,0.56113,0.57303,0.58572,0.39002,1.4394,1.58161,1.10889,8.01584e-05,8.01584e-05,8.01584e-05
