epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0236,1.59048,1.54704,1.15114,0.52655,0.58946,0.55679,0.36149,1.54659,1.6591,1.13099,0.000149333,0.000149333,0.000149333
2,28.2784,1.62786,1.48294,1.16141,0.61022,0.48877,0.52149,0.34518,1.55841,1.84904,1.18341,0.000302456,0.000302456,0.000302456
3,37.0379,1.62769,1.28831,1.06943,0.43552,0.45128,0.3857,0.25029,1.70107,2.20351,1.2501,0.000449867,0.000449867,0.000449867
4,46.4502,1.61695,1.4371,1.09575,0.46612,0.43896,0.40745,0.27031,1.72499,2.2291,1.26325,0.000450296,0.000450296,0.000450296
5,54.3406,1.67295,1.435,1.11205,0.51442,0.38191,0.37782,0.24049,1.82514,2.31645,1.32546,0.000441728,0.000441728,0.000441728
6,62.3929,1.70874,1.4149,1.11103,0.49514,0.4023,0.38853,0.22842,1.82447,2.38787,1.31352,0.00043316,0.00043316,0.00043316
7,70.2421,1.62762,1.37759,1.08668,0.50236,0.40482,0.36496,0.21037,1.80913,2.54099,1.33908,0.000424592,0.000424592,0.000424592
8,78.0582,1.70972,1.42324,1.11892,0.51026,0.39337,0.36061,0.21232,1.79418,2.56211,1.32991,0.000416024,0.000416024,0.000416024
9,86.3023,1.8287,1.46769,1.13165,0.4649,0.38375,0.35971,0.21861,1.77352,2.5631,1.31613,0.000407456,0.000407456,0.000407456
10,94.5217,1.61812,1.33509,1.10593,0.47563,0.40727,0.37894,0.23448,1.77294,2.48487,1.32521,0.000398888,0.000398888,0.000398888
11,102.331,1.72096,1.37981,1.0994,0.56819,0.43069,0.43024,0.27114,1.71796,2.32584,1.3127,0.00039032,0.00039032,0.00039032
12,109.786,1.63915,1.3518,1.09655,0.4739,0.47741,0.40273,0.23721,1.74134,2.49007,1.30198,0.000381752,0.000381752,0.000381752
13,117.377,1.57159,1.29549,1.11367,0.49775,0.39068,0.35918,0.21528,1.83758,2.70578,1.34067,0.000373184,0.000373184,0.000373184
14,125.435,1.61698,1.2806,1.07517,0.51012,0.33848,0.34817,0.19612,1.83529,2.57894,1.3151,0.000364616,0.000364616,0.000364616
15,133.232,1.59796,1.2566,1.04587,0.41712,0.39815,0.34086,0.20884,1.80525,2.62493,1.32574,0.000356048,0.000356048,0.000356048
16,140.493,1.68168,1.38411,1.08707,0.41411,0.43806,0.35608,0.21893,1.80817,2.62489,1.31992,0.00034748,0.00034748,0.00034748
17,148.149,1.6484,1.30034,1.11435,0.47547,0.33933,0.33715,0.20799,1.79139,2.67705,1.33635,0.000338912,0.000338912,0.000338912
18,155.669,1.69757,1.32445,1.111,0.45917,0.40831,0.36338,0.22193,1.781,2.56921,1.31228,0.000330344,0.000330344,0.000330344
19,162.907,1.58832,1.25467,1.1086,0.59654,0.34332,0.3862,0.21719,1.80917,2.62301,1.33728,0.000321776,0.000321776,0.000321776
20,170.263,1.54568,1.23635,1.05571,0.47323,0.40072,0.37227,0.22111,1.85057,2.61747,1.32643,0.000313208,0.000313208,0.000313208
21,177.672,1.56416,1.24088,1.08826,0.4484,0.42813,0.38872,0.23267,1.83638,2.54669,1.31322,0.00030464,0.00030464,0.00030464
22,185.314,1.54859,1.25246,1.07574,0.51848,0.39472,0.396,0.223,1.91335,2.59639,1.34969,0.000296072,0.000296072,0.000296072
23,192.99,1.55506,1.21308,1.06683,0.42774,0.39063,0.37505,0.22555,1.86224,2.5945,1.35284,0.000287504,0.000287504,0.000287504
24,200.824,1.50836,1.12619,1.05453,0.44223,0.3978,0.38849,0.2398,1.73374,2.56703,1.26456,0.000278936,0.000278936,0.000278936
25,208.355,1.57395,1.16564,1.06895,0.51608,0.36402,0.3768,0.23688,1.7347,2.49288,1.25843,0.000270368,0.000270368,0.000270368
26,215.683,1.42472,1.07307,1.0124,0.4999,0.3966,0.39011,0.24086,1.71326,2.47893,1.2449,0.0002618,0.0002618,0.0002618
27,223.046,1.49531,1.15667,1.03478,0.49632,0.39057,0.38599,0.23082,1.75536,2.51106,1.29602,0.000253232,0.000253232,0.000253232
28,230.569,1.44638,1.12404,1.04363,0.56951,0.3619,0.39573,0.23283,1.76983,2.44034,1.31318,0.000244664,0.000244664,0.000244664
29,238.225,1.46078,1.1241,1.04953,0.48907,0.38658,0.38963,0.23368,1.79294,2.40706,1.33208,0.000236096,0.000236096,0.000236096
30,245.88,1.55572,1.20854,1.06673,0.55816,0.33656,0.38316,0.23495,1.74118,2.40525,1.2839,0.000227528,0.000227528,0.000227528
31,253.237,1.4363,1.09423,1.03417,0.43625,0.39299,0.36679,0.23369,1.72383,2.43723,1.26283,0.00021896,0.00021896,0.00021896
