epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1393,1.63553,1.30033,1.09621,0.51396,0.53104,0.51783,0.26061,2.09097,1.99733,1.23961,0.000156299,0.000156299,0.000156299
2,47.2778,1.55962,1.27377,1.06989,0.4135,0.54009,0.47558,0.242,2.1209,2.12519,1.24801,0.00031213,0.00031213,0.00031213
3,70.1761,1.53493,1.19008,1.06588,0.46426,0.51627,0.49595,0.25432,2.12528,2.09966,1.24978,0.000465106,0.000465106,0.000465106
4,93.0873,1.56757,1.26246,1.05937,0.40897,0.53209,0.44112,0.22243,2.15715,2.27275,1.28133,0.000463148,0.000463148,0.000463148
5,116.459,1.70366,1.33164,1.09484,0.48691,0.4199,0.40594,0.21154,2.18908,2.43307,1.31699,0.000458864,0.000458864,0.000458864
6,139.761,1.68209,1.37851,1.098,0.50726,0.4341,0.41236,0.2115,2.18993,2.54418,1.31107,0.00045458,0.00045458,0.00045458
7,162.842,1.65274,1.39393,1.11747,0.4615,0.41304,0.40532,0.20913,2.24149,2.52565,1.32119,0.000450296,0.000450296,0.000450296
8,185.908,1.62209,1.3143,1.10938,0.44949,0.43314,0.41149,0.20881,2.22474,2.39697,1.32107,0.000446012,0.000446012,0.000446012
9,208.834,1.61027,1.34389,1.12324,0.42499,0.49533,0.3871,0.20456,2.19154,2.50163,1.30617,0.000441728,0.000441728,0.000441728
10,231.781,1.65353,1.28591,1.06405,0.46075,0.43799,0.4003,0.20675,2.22139,2.49941,1.30581,0.000437444,0.000437444,0.000437444
11,254.746,1.6703,1.2935,1.11451,0.50058,0.43238,0.41832,0.21686,2.20345,2.4107,1.30357,0.00043316,0.00043316,0.00043316
12,277.785,1.59482,1.2548,1.08827,0.4763,0.46194,0.42786,0.22074,2.18389,2.30682,1.26691,0.000428876,0.000428876,0.000428876
13,300.838,1.64835,1.2885,1.08393,0.47179,0.45413,0.41308,0.20352,2.24639,2.4266,1.3266,0.000424592,0.000424592,0.000424592
14,323.633,1.60606,1.2272,1.1072,0.45252,0.42609,0.39911,0.1838,2.29905,2.49472,1.3842,0.000420308,0.000420308,0.000420308
15,346.677,1.62071,1.24815,1.09772,0.44134,0.46344,0.39767,0.18701,2.29503,2.51974,1.42406,0.000416024,0.000416024,0.000416024
16,369.56,1.60338,1.34602,1.11439,0.41251,0.48224,0.38948,0.1826,2.30296,2.5331,1.39719,0.00041174,0.00041174,0.00041174
17,392.844,1.5587,1.21162,1.07134,0.46343,0.44949,0.41378,0.19699,2.24987,2.43851,1.37754,0.000407456,0.000407456,0.000407456
18,415.941,1.68233,1.34045,1.10256,0.432,0.45475,0.3841,0.18497,2.2793,2.53675,1.42112,0.000403172,0.000403172,0.000403172
19,439.169,1.5473,1.15404,1.04599,0.44463,0.44054,0.40848,0.19885,2.23585,2.50111,1.38241,0.000398888,0.000398888,0.000398888
20,462.194,1.55373,1.1971,1.07827,0.39143,0.45973,0.3669,0.18377,2.2903,2.62933,1.38237,0.000394604,0.000394604,0.000394604
21,483.534,1.5664,1.22763,1.08586,0.41638,0.44984,0.37186,0.1863,2.27343,2.58007,1.39406,0.00039032,0.00039032,0.00039032
22,505.026,1.58857,1.21458,1.09304,0.44455,0.48517,0.39947,0.19436,2.27527,2.47761,1.35276,0.000386036,0.000386036,0.000386036
23,526.297,1.64403,1.251,1.06773,0.47835,0.42554,0.36398,0.19063,2.24904,2.55607,1.33757,0.000381752,0.000381752,0.000381752
24,547.68,1.58263,1.17304,1.08481,0.4596,0.4369,0.36992,0.1961,2.19352,2.58965,1.30345,0.000377468,0.000377468,0.000377468
25,568.995,1.50493,1.13993,1.06449,0.42508,0.37339,0.37836,0.18967,2.28675,2.52853,1.36435,0.000373184,0.000373184,0.000373184
26,590.318,1.51546,1.16282,1.05072,0.45562,0.41001,0.40271,0.19614,2.32582,2.50122,1.4226,0.0003689,0.0003689,0.0003689
27,611.673,1.53374,1.12207,1.06071,0.48534,0.35369,0.37276,0.19625,2.28887,2.68343,1.35596,0.000364616,0.000364616,0.000364616
28,633.413,1.53053,1.15615,1.05281,0.49676,0.38518,0.38101,0.19288,2.3333,2.63745,1.41025,0.000360332,0.000360332,0.000360332
29,654.806,1.60541,1.16517,1.04885,0.4706,0.46119,0.38821,0.19419,2.27126,2.57745,1.37955,0.000356048,0.000356048,0.000356048
30,676.148,1.53602,1.13707,1.06423,0.42196,0.44519,0.38003,0.19127,2.32563,2.56503,1.40592,0.000351764,0.000351764,0.000351764
31,697.41,1.54285,1.13418,1.06057,0.45556,0.47546,0.39239,0.20457,2.28527,2.53321,1.37596,0.00034748,0.00034748,0.00034748
