epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.255,1.2013,1.08566,1.11236,0.44132,0.60949,0.51574,0.26547,2.06271,1.90888,1.2312,0.000158395,0.000158395,0.000158395
2,309.628,1.26485,1.21874,1.15108,0.45079,0.52739,0.48005,0.23723,2.1472,2.07485,1.28794,0.000314209,0.000314209,0.000314209
3,458.412,1.3717,1.36616,1.19047,0.39425,0.50706,0.43876,0.22544,2.16622,2.2434,1.30973,0.000467166,0.000467166,0.000467166
4,605.724,1.37701,1.44688,1.2098,0.38647,0.49784,0.45606,0.22108,2.14629,2.16425,1.25036,0.000463148,0.000463148,0.000463148
5,753.765,1.43251,1.50174,1.22751,0.39723,0.53178,0.44532,0.23042,2.16674,2.21366,1.29762,0.000458864,0.000458864,0.000458864
6,900.69,1.36673,1.43098,1.20781,0.50392,0.4726,0.48678,0.24681,2.13476,2.10724,1.29883,0.00045458,0.00045458,0.00045458
7,1048.08,1.37791,1.45197,1.21343,0.45395,0.54239,0.49457,0.24653,2.12197,2.06868,1.26148,0.000450296,0.000450296,0.000450296
8,1195.24,1.39184,1.41567,1.20514,0.44566,0.54071,0.48868,0.24138,2.14106,2.02896,1.30315,0.000446012,0.000446012,0.000446012
9,1346.09,1.4207,1.4475,1.21381,0.42981,0.50448,0.47809,0.23944,2.1382,2.11816,1.23216,0.000441728,0.000441728,0.000441728
10,1493.38,1.39808,1.4882,1.21158,0.42747,0.52219,0.47845,0.23576,2.12742,2.14461,1.21822,0.000437444,0.000437444,0.000437444
11,1639.86,1.40853,1.44282,1.21797,0.50844,0.49507,0.49467,0.25041,2.05444,2.03841,1.22785,0.00043316,0.00043316,0.00043316
12,1786.5,1.36519,1.37115,1.18633,0.46922,0.50336,0.47398,0.24552,2.07246,2.07264,1.20609,0.000428876,0.000428876,0.000428876
13,1932.58,1.34652,1.37982,1.19829,0.40996,0.5319,0.48859,0.23996,2.11732,2.0598,1.23812,0.000424592,0.000424592,0.000424592
14,2079.95,1.38359,1.36222,1.2004,0.4191,0.51513,0.45114,0.23159,2.14379,2.13005,1.25214,0.000420308,0.000420308,0.000420308
15,2226.78,1.35659,1.35443,1.195,0.45582,0.53679,0.47248,0.24448,2.09111,2.13752,1.24297,0.000416024,0.000416024,0.000416024
16,2378.47,1.35179,1.33787,1.18212,0.42074,0.52076,0.47685,0.22394,2.1187,2.13337,1.24921,0.00041174,0.00041174,0.00041174
17,2528.9,1.36719,1.3817,1.19306,0.45812,0.58174,0.52793,0.24869,2.11624,1.96318,1.27059,0.000407456,0.000407456,0.000407456
18,2675.47,1.34248,1.32729,1.16892,0.45914,0.53492,0.50817,0.24681,2.14619,2.1202,1.26426,0.000403172,0.000403172,0.000403172
19,2822.15,1.33291,1.30914,1.17043,0.43447,0.51744,0.49584,0.246,2.13173,2.01208,1.28225,0.000398888,0.000398888,0.000398888
20,2970.86,1.36406,1.35414,1.19762,0.43145,0.51304,0.47395,0.24497,2.12115,2.07302,1.26444,0.000394604,0.000394604,0.000394604
21,3120.83,1.30816,1.3039,1.17563,0.47932,0.52233,0.49442,0.24732,2.12686,1.98989,1.232,0.00039032,0.00039032,0.00039032
22,3267.37,1.33353,1.31334,1.17871,0.49469,0.51541,0.51652,0.25267,2.11671,1.99284,1.23913,0.000386036,0.000386036,0.000386036
23,3417.89,1.31228,1.29204,1.17612,0.45819,0.51208,0.46722,0.23382,2.11441,2.05291,1.23959,0.000381752,0.000381752,0.000381752
24,3564.65,1.32084,1.26161,1.17191,0.44031,0.5484,0.48362,0.23786,2.1059,2.02564,1.24064,0.000377468,0.000377468,0.000377468
25,3711.31,1.33508,1.26053,1.17096,0.48029,0.51035,0.46643,0.23,2.13998,2.10581,1.26562,0.000373184,0.000373184,0.000373184
26,3858.09,1.28505,1.23809,1.15777,0.42556,0.55246,0.46453,0.22652,2.1084,2.16588,1.25202,0.0003689,0.0003689,0.0003689
27,4005.41,1.29048,1.24366,1.15657,0.43876,0.54964,0.50827,0.24771,2.10245,1.97489,1.22511,0.000364616,0.000364616,0.000364616
28,4152.52,1.30678,1.26485,1.15411,0.54183,0.49793,0.50093,0.25475,2.06036,1.92333,1.20406,0.000360332,0.000360332,0.000360332
29,4299.61,1.26031,1.17417,1.13537,0.49281,0.51977,0.51055,0.25376,2.0778,2.04283,1.24603,0.000356048,0.000356048,0.000356048
30,4446.76,1.30369,1.24461,1.15805,0.43468,0.53305,0.49556,0.25401,2.11028,2.01748,1.23639,0.000351764,0.000351764,0.000351764
31,4594.03,1.27376,1.2104,1.14586,0.47671,0.53109,0.50806,0.25272,2.1064,2.01188,1.24907,0.00034748,0.00034748,0.00034748
