epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6799,3.66389,16.5048,2.88888,8e-05,0.04847,6e-05,2e-05,3.8463,12.4866,3.21397,0.000154,0.000154,0.000154
2,31.4103,3.23216,9.0929,2.13179,0.00172,0.09543,0.00294,0.00103,3.01668,7.84635,2.63173,0.000306476,0.000306476,0.000306476
3,42.1596,2.73244,6.07901,1.72556,0.00422,0.16337,0.0034,0.00137,2.63405,6.19238,2.28239,0.000452669,0.000452669,0.000452669
4,52.7365,2.44608,4.8707,1.63729,0.00591,0.25687,0.02121,0.0082,2.42965,5.35317,2.01714,0.000447726,0.000447726,0.000447726
5,63.2932,2.4005,4.28756,1.52614,0.71516,0.04542,0.07323,0.03401,2.34013,4.75479,1.90967,0.000438301,0.000438301,0.000438301
6,74.0865,2.33364,3.69182,1.47817,0.70986,0.09828,0.11958,0.06157,2.20281,4.41571,1.77811,0.000428876,0.000428876,0.000428876
7,84.6493,2.24847,3.44779,1.4616,0.37346,0.13637,0.10281,0.05488,2.13447,4.11615,1.73807,0.000419451,0.000419451,0.000419451
8,95.2657,2.30612,3.23057,1.47781,0.43694,0.15426,0.11663,0.06045,2.0415,3.93863,1.6281,0.000410026,0.000410026,0.000410026
9,105.989,2.22579,2.93079,1.41512,0.44625,0.16469,0.11419,0.05526,2.02255,3.96426,1.56013,0.000400602,0.000400602,0.000400602
10,116.553,2.28361,2.81026,1.32903,0.33933,0.21479,0.12743,0.06732,2.02322,3.78844,1.57541,0.000391177,0.000391177,0.000391177
11,127.163,2.04476,2.6487,1.37584,0.29279,0.17494,0.13303,0.07459,2.06751,3.68538,1.59874,0.000381752,0.000381752,0.000381752
12,137.947,2.12902,2.73855,1.36783,0.37402,0.18939,0.1311,0.07129,2.09869,3.63446,1.63505,0.000372327,0.000372327,0.000372327
13,148.635,2.24716,2.69879,1.45717,0.22505,0.19018,0.1399,0.07299,2.0875,3.58,1.63078,0.000362902,0.000362902,0.000362902
14,159.139,2.01526,2.49695,1.29501,0.32452,0.21536,0.16403,0.08376,2.07968,3.55483,1.59136,0.000353478,0.000353478,0.000353478
15,169.922,2.09164,2.56527,1.35311,0.31653,0.20809,0.16843,0.08666,2.01265,3.4889,1.5414,0.000344053,0.000344053,0.000344053
16,180.548,2.11801,2.43833,1.30722,0.29315,0.19599,0.16584,0.10009,1.96032,3.37971,1.52774,0.000334628,0.000334628,0.000334628
17,191.258,2.12451,2.34399,1.34927,0.31291,0.19981,0.17455,0.09958,1.96862,3.374,1.5486,0.000325203,0.000325203,0.000325203
18,201.896,2.12036,2.28245,1.2937,0.43109,0.19582,0.1758,0.1007,1.94463,3.43116,1.53027,0.000315778,0.000315778,0.000315778
19,212.516,2.05997,2.21842,1.29033,0.40932,0.19436,0.16707,0.09518,1.9517,3.43354,1.54181,0.000306354,0.000306354,0.000306354
20,223.17,1.98734,2.21967,1.24812,0.48747,0.17545,0.17667,0.0985,1.97791,3.35304,1.56284,0.000296929,0.000296929,0.000296929
