epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3943,3.72769,26.6887,2.76953,0.00043,0.07719,0.00494,0.00182,3.74045,12.3807,3.21583,0.000156299,0.000156299,0.000156299
2,50.0636,3.39715,11.2782,2.4353,0.83368,0.0049,0.00247,0.0008,2.98618,7.5214,2.34444,0.000308729,0.000308729,0.000308729
3,72.2985,3.18678,8.06779,2.15517,0.00523,0.18755,0.01309,0.00469,2.98808,6.48315,2.44126,0.000454876,0.000454876,0.000454876
4,119.427,3.14266,6.96578,2.07618,0.76471,0.04092,0.05158,0.02324,2.93102,5.5038,2.4198,0.000447726,0.000447726,0.000447726
5,142.421,2.81216,5.76445,1.88559,0.72827,0.04523,0.06515,0.02895,2.89171,5.17996,2.35603,0.000438301,0.000438301,0.000438301
6,164.331,2.97712,5.4131,1.94091,0.65687,0.06364,0.07753,0.03303,2.69469,4.74766,2.17548,0.000428876,0.000428876,0.000428876
7,186.491,2.93541,4.5562,1.83967,0.60033,0.06364,0.08026,0.0375,2.63798,4.68523,2.10475,0.000419451,0.000419451,0.000419451
8,208.303,2.60325,4.1191,1.71844,0.54997,0.06001,0.07588,0.04035,2.58125,4.66849,2.07987,0.000410026,0.000410026,0.000410026
9,230.539,2.63031,4.07859,1.66994,0.35214,0.0881,0.08285,0.0429,2.55789,4.38762,2.05241,0.000400602,0.000400602,0.000400602
10,252.583,2.75011,3.94841,1.67935,0.46606,0.10287,0.09307,0.0403,2.56991,4.36438,2.08873,0.000391177,0.000391177,0.000391177
11,274.653,2.62762,3.56579,1.60803,0.45138,0.12499,0.09152,0.04557,2.47481,4.39026,2.02286,0.000381752,0.000381752,0.000381752
12,296.74,2.49836,3.47988,1.61982,0.19811,0.15474,0.09496,0.04849,2.45692,4.13452,1.96657,0.000372327,0.000372327,0.000372327
13,318.848,2.53637,3.25156,1.58821,0.31834,0.13283,0.09502,0.04772,2.41364,3.98034,1.92629,0.000362902,0.000362902,0.000362902
14,341.373,2.43823,3.21688,1.52857,0.35935,0.10641,0.08681,0.04106,2.37774,3.97548,1.88519,0.000353478,0.000353478,0.000353478
15,363.651,2.44265,3.14185,1.52104,0.30635,0.13841,0.08813,0.0404,2.3447,4.10402,1.87007,0.000344053,0.000344053,0.000344053
16,385.743,2.47795,3.10639,1.55452,0.38464,0.13625,0.09943,0.04922,2.37752,4.19005,1.87516,0.000334628,0.000334628,0.000334628
17,407.949,2.38293,3.09645,1.52717,0.37693,0.15519,0.09543,0.04729,2.32557,4.00948,1.78039,0.000325203,0.000325203,0.000325203
18,430.129,2.48378,3.10912,1.48608,0.49404,0.136,0.09965,0.04942,2.38402,3.85712,1.82476,0.000315778,0.000315778,0.000315778
19,452.242,2.39887,2.84701,1.43306,0.71627,0.09389,0.10072,0.05542,2.37966,3.88268,1.84956,0.000306354,0.000306354,0.000306354
20,474.377,2.42681,2.87208,1.51014,0.45803,0.12168,0.10398,0.05973,2.34844,4.07833,1.8743,0.000296929,0.000296929,0.000296929
21,495.561,2.3295,3.00459,1.43428,0.37429,0.16473,0.10837,0.057,2.30133,3.91703,1.82541,0.000287504,0.000287504,0.000287504
22,516.682,2.47904,2.94025,1.51635,0.30785,0.1551,0.14476,0.07525,2.30701,3.70018,1.82475,0.000278079,0.000278079,0.000278079
23,538.155,2.39804,2.80887,1.47615,0.40946,0.15675,0.14902,0.07424,2.29108,3.73755,1.80112,0.000268654,0.000268654,0.000268654
24,559.651,2.32238,2.73535,1.41165,0.52357,0.13084,0.13441,0.06979,2.28329,3.63835,1.77224,0.00025923,0.00025923,0.00025923
25,580.585,2.25661,2.54949,1.39015,0.45482,0.16728,0.13737,0.06731,2.21977,3.66409,1.75415,0.000249805,0.000249805,0.000249805
26,601.752,2.25487,2.53468,1.37698,0.49476,0.15368,0.15883,0.07516,2.27085,3.823,1.75355,0.00024038,0.00024038,0.00024038
27,622.98,2.24644,2.41613,1.33866,0.53803,0.15442,0.17877,0.08558,2.1841,3.55695,1.69008,0.000230955,0.000230955,0.000230955
28,644.298,2.21994,2.40354,1.38315,0.41572,0.2092,0.15442,0.07651,2.20751,3.4389,1.69613,0.00022153,0.00022153,0.00022153
29,665.494,2.25044,2.48582,1.3434,0.37869,0.19361,0.18011,0.08978,2.19679,3.44539,1.68651,0.000212106,0.000212106,0.000212106
30,686.876,2.19213,2.34939,1.32477,0.42095,0.225,0.19444,0.09776,2.21442,3.47257,1.66635,0.000202681,0.000202681,0.000202681
31,708.279,2.27438,2.35402,1.36439,0.55363,0.1834,0.1905,0.09479,2.2332,3.46727,1.65144,0.000193256,0.000193256,0.000193256
32,729.637,2.09225,2.23948,1.33355,0.5565,0.18586,0.1888,0.09652,2.17676,3.41318,1.6114,0.000183831,0.000183831,0.000183831
33,750.829,2.19252,2.25818,1.31342,0.54623,0.20744,0.18953,0.09749,2.16457,3.4117,1.59476,0.000174406,0.000174406,0.000174406
34,772.003,2.18502,2.31805,1.31685,0.47609,0.21348,0.19645,0.1024,2.16649,3.45754,1.62716,0.000164982,0.000164982,0.000164982
35,793.116,2.10362,2.3308,1.29971,0.6425,0.19254,0.19855,0.10508,2.13538,3.41069,1.59738,0.000155557,0.000155557,0.000155557
36,814.583,2.04448,2.08212,1.29532,0.50251,0.18288,0.18832,0.10085,2.14383,3.44952,1.58297,0.000146132,0.000146132,0.000146132
37,835.723,2.09254,2.09607,1.30237,0.45159,0.18061,0.18987,0.10425,2.09827,3.42767,1.58214,0.000136707,0.000136707,0.000136707
38,857.015,2.09623,2.1327,1.32324,0.41171,0.20237,0.18965,0.10647,2.09517,3.41253,1.57423,0.000127282,0.000127282,0.000127282
39,878.434,2.09798,2.22839,1.28208,0.29411,0.24797,0.20096,0.11519,2.08322,3.41183,1.57027,0.000117858,0.000117858,0.000117858
40,899.687,2.06566,2.09141,1.24493,0.33485,0.2419,0.20654,0.11749,2.10463,3.37424,1.57285,0.000108433,0.000108433,0.000108433
41,922.987,2.2607,2.1515,1.27288,0.53353,0.20735,0.19839,0.10923,2.13498,3.38284,1.58742,9.9008e-05,9.9008e-05,9.9008e-05
42,944.262,2.10341,2.09823,1.18067,0.48214,0.21386,0.208,0.10989,2.10149,3.3156,1.5736,8.95832e-05,8.95832e-05,8.95832e-05
43,965.542,2.11149,1.96384,1.23448,0.43042,0.23584,0.21376,0.11197,2.09562,3.2869,1.54918,8.01584e-05,8.01584e-05,8.01584e-05
