epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.865,2.63227,8.39985,1.69101,0.00402,0.15003,0.01341,0.01051,2.3818,7.67332,1.81309,0.000154,0.000154,0.000154
2,35.1519,2.27541,5.7289,1.35216,0.40822,0.04186,0.06219,0.04414,2.18136,5.98197,1.6416,0.000306476,0.000306476,0.000306476
3,47.0982,2.09769,4.43256,1.25522,0.56338,0.07488,0.08518,0.05483,2.04475,5.06649,1.61513,0.000452669,0.000452669,0.000452669
4,59.1115,1.97763,3.8261,1.33469,0.48505,0.12796,0.10839,0.06299,1.99863,4.59013,1.6326,0.000447726,0.000447726,0.000447726
5,70.9663,2.08603,3.4382,1.30358,0.52285,0.14606,0.13498,0.07077,2.03091,4.21428,1.61123,0.000438301,0.000438301,0.000438301
6,82.8111,2.07041,3.07006,1.29644,0.48274,0.19565,0.14702,0.07758,1.97151,3.99272,1.57666,0.000428876,0.000428876,0.000428876
7,94.6319,1.97604,2.95803,1.28799,0.341,0.19882,0.14472,0.07702,1.91819,3.82983,1.52202,0.000419451,0.000419451,0.000419451
8,106.454,2.00694,2.6575,1.27902,0.34075,0.20911,0.14647,0.08375,1.88969,3.68141,1.5253,0.000410026,0.000410026,0.000410026
9,118.266,1.99167,2.52941,1.24813,0.51413,0.17722,0.17048,0.08999,1.90396,3.65648,1.55263,0.000400602,0.000400602,0.000400602
10,130.023,2.00628,2.43545,1.21938,0.37566,0.22895,0.16956,0.09351,1.9874,3.59558,1.59643,0.000391177,0.000391177,0.000391177
11,141.847,1.81218,2.26602,1.272,0.32444,0.23879,0.17541,0.09802,2.07557,3.55428,1.6573,0.000381752,0.000381752,0.000381752
12,153.802,1.997,2.33633,1.26683,0.23484,0.24367,0.17888,0.1008,2.0892,3.50221,1.68327,0.000372327,0.000372327,0.000372327
13,165.867,2.00686,2.22846,1.30271,0.30518,0.2537,0.20947,0.10929,2.03862,3.42226,1.64521,0.000362902,0.000362902,0.000362902
14,177.811,1.82579,2.13186,1.18543,0.29531,0.2785,0.20252,0.10912,2.00975,3.35728,1.58314,0.000353478,0.000353478,0.000353478
15,189.816,1.91362,2.19361,1.22827,0.2152,0.24529,0.1987,0.10982,1.95768,3.28308,1.54606,0.000344053,0.000344053,0.000344053
16,201.711,1.97128,2.12005,1.21969,0.26455,0.26158,0.19271,0.0985,2.02197,3.42559,1.56148,0.000334628,0.000334628,0.000334628
17,213.569,1.9699,2.01346,1.25001,0.17469,0.28428,0.1951,0.09766,2.02512,3.391,1.5253,0.000325203,0.000325203,0.000325203
18,225.347,1.91471,1.98168,1.17124,0.19544,0.26766,0.21002,0.11225,2.02126,3.34089,1.53583,0.000315778,0.000315778,0.000315778
19,237.475,1.90617,1.9215,1.17214,0.28271,0.25164,0.21246,0.11334,2.0645,3.32631,1.52681,0.000306354,0.000306354,0.000306354
20,249.257,1.84224,1.91142,1.17718,0.25785,0.25114,0.21139,0.11399,2.02198,3.24476,1.49066,0.000296929,0.000296929,0.000296929
21,261.052,1.88278,1.8449,1.15784,0.27704,0.28959,0.21605,0.11404,2.01727,3.21562,1.48874,0.000287504,0.000287504,0.000287504
22,272.88,1.90455,1.8672,1.12544,0.25287,0.30449,0.22319,0.11677,2.03258,3.18502,1.49907,0.000278079,0.000278079,0.000278079
23,285.482,1.84486,1.89023,1.20164,0.41191,0.254,0.21349,0.11624,2.02484,3.24471,1.5064,0.000268654,0.000268654,0.000268654
24,314.454,1.81547,1.76975,1.13449,0.27099,0.27742,0.21287,0.11629,1.97441,3.20942,1.49681,0.00025923,0.00025923,0.00025923
25,344.177,1.79455,1.73192,1.15009,0.26599,0.26048,0.22422,0.12822,1.96746,3.20724,1.49023,0.000249805,0.000249805,0.000249805
26,365.729,1.83081,1.82432,1.15485,0.2606,0.25736,0.22424,0.12891,1.97449,3.15384,1.49126,0.00024038,0.00024038,0.00024038
27,377.913,1.67695,1.62255,1.15627,0.28867,0.34176,0.23936,0.12451,1.97103,3.17322,1.47318,0.000230955,0.000230955,0.000230955
28,389.986,1.77865,1.80128,1.1792,0.29677,0.3024,0.2647,0.13779,1.97587,3.20046,1.4702,0.00022153,0.00022153,0.00022153
29,401.927,1.75812,1.67334,1.13425,0.33634,0.25122,0.24734,0.13974,1.99199,3.17514,1.45123,0.000212106,0.000212106,0.000212106
30,413.964,1.74333,1.69434,1.13312,0.29941,0.29274,0.24233,0.13838,1.97038,3.15641,1.43183,0.000202681,0.000202681,0.000202681
31,425.738,1.74421,1.57584,1.1372,0.29081,0.29899,0.24782,0.14317,1.92489,3.08736,1.42531,0.000193256,0.000193256,0.000193256
32,437.679,1.65228,1.49315,1.10725,0.27636,0.29694,0.25052,0.14272,1.93799,3.07826,1.42218,0.000183831,0.000183831,0.000183831
33,449.44,1.78309,1.58577,1.14602,0.33866,0.25476,0.24144,0.13667,1.92778,3.1559,1.42435,0.000174406,0.000174406,0.000174406
34,461.3,1.72732,1.60882,1.09357,0.38166,0.25587,0.2477,0.13495,1.92609,3.17946,1.43028,0.000164982,0.000164982,0.000164982
35,473.26,1.74881,1.66089,1.11912,0.34543,0.27744,0.24351,0.12898,1.93796,3.15756,1.41912,0.000155557,0.000155557,0.000155557
36,485.13,1.64174,1.55311,1.10102,0.40446,0.254,0.24347,0.13222,1.94831,3.13004,1.41801,0.000146132,0.000146132,0.000146132
