epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3647,1.80475,4.27542,1.19564,0.22926,0.24444,0.18728,0.11036,1.88237,5.21769,1.39594,0.000154,0.000154,0.000154
2,30.0724,1.86047,3.63886,1.12666,0.35993,0.24189,0.20763,0.11302,1.89162,4.59726,1.4079,0.000309571,0.000309571,0.000309571
3,40.6143,1.78378,2.81701,1.10205,0.34456,0.26112,0.19052,0.10611,1.96757,4.16524,1.45326,0.000462001,0.000462001,0.000462001
4,51.0399,1.79251,2.5319,1.20068,0.40586,0.25144,0.19806,0.10966,2.01419,3.8515,1.47913,0.000461863,0.000461863,0.000461863
5,61.566,1.82563,2.31667,1.14951,0.32007,0.29257,0.22012,0.12766,2.09804,3.56063,1.50337,0.00045715,0.00045715,0.00045715
6,72.4609,1.81782,2.14915,1.14325,0.36246,0.23479,0.21818,0.13228,2.07946,3.53804,1.46877,0.000452438,0.000452438,0.000452438
7,83.0681,1.72561,2.01742,1.14348,0.2687,0.27091,0.22286,0.13037,2.01878,3.51709,1.43136,0.000447726,0.000447726,0.000447726
8,93.8098,1.76692,1.91102,1.17426,0.3246,0.27034,0.23475,0.13711,1.96967,3.43596,1.42756,0.000443013,0.000443013,0.000443013
9,104.477,1.75014,1.83172,1.17645,0.3627,0.2729,0.2273,0.12941,2.00071,3.40764,1.44716,0.000438301,0.000438301,0.000438301
10,115.038,1.82989,1.79409,1.1405,0.43132,0.22562,0.22982,0.12295,1.99999,3.33988,1.44496,0.000433588,0.000433588,0.000433588
11,125.585,1.64799,1.70662,1.18184,0.31645,0.22547,0.22336,0.12127,2.0575,3.34508,1.48426,0.000428876,0.000428876,0.000428876
12,136.162,1.75304,1.76657,1.18953,0.28579,0.24109,0.24492,0.15054,1.97592,3.25971,1.45744,0.000424164,0.000424164,0.000424164
13,147.209,1.83164,1.77086,1.22074,0.28904,0.25502,0.22871,0.12848,1.93687,3.2651,1.44431,0.000419451,0.000419451,0.000419451
14,157.983,1.63667,1.63718,1.09988,0.32765,0.25936,0.21972,0.12574,2.00778,3.28353,1.44234,0.000414739,0.000414739,0.000414739
15,168.504,1.75286,1.65833,1.15242,0.30549,0.30566,0.23695,0.13132,2.04625,3.40522,1.46713,0.000410026,0.000410026,0.000410026
16,179.033,1.78488,1.61831,1.14568,0.20039,0.29397,0.20822,0.12512,2.13742,3.42292,1.51684,0.000405314,0.000405314,0.000405314
17,189.622,1.81719,1.65795,1.16408,0.31565,0.22079,0.22767,0.12211,2.11423,3.32645,1.51755,0.000400602,0.000400602,0.000400602
18,200.202,1.81514,1.64289,1.13809,0.2895,0.28423,0.23139,0.13186,2.09104,3.27581,1.5061,0.000395889,0.000395889,0.000395889
19,210.88,1.79691,1.54021,1.12349,0.26673,0.28135,0.23053,0.13101,2.0822,3.23992,1.49366,0.000391177,0.000391177,0.000391177
20,221.471,1.66842,1.57304,1.0907,0.45486,0.22846,0.22977,0.12511,2.04747,3.27986,1.46886,0.000386464,0.000386464,0.000386464
21,232.13,1.78734,1.52346,1.11879,0.33659,0.30049,0.22036,0.11877,2.04402,3.23925,1.4424,0.000381752,0.000381752,0.000381752
22,242.683,1.83604,1.5298,1.08948,0.26423,0.33468,0.22281,0.12276,2.06339,3.22906,1.45719,0.00037704,0.00037704,0.00037704
23,253.279,1.74374,1.54559,1.14398,0.25773,0.31958,0.23421,0.12747,1.98726,3.21177,1.4433,0.000372327,0.000372327,0.000372327
24,264.09,1.7007,1.46231,1.09446,0.2209,0.30945,0.22085,0.13014,1.95315,3.22977,1.42667,0.000367615,0.000367615,0.000367615
25,274.688,1.72234,1.46447,1.13083,0.24855,0.26685,0.21708,0.12473,1.96333,3.23248,1.41653,0.000362902,0.000362902,0.000362902
26,285.263,1.75138,1.50404,1.12456,0.29054,0.26686,0.22182,0.13149,1.94639,3.19664,1.39288,0.00035819,0.00035819,0.00035819
27,295.976,1.58397,1.35306,1.11006,0.26447,0.28536,0.22295,0.12774,1.93533,3.14705,1.37016,0.000353478,0.000353478,0.000353478
28,306.49,1.63171,1.48255,1.11318,0.26412,0.27272,0.22765,0.13037,1.92106,3.17921,1.37876,0.000348765,0.000348765,0.000348765
29,317.056,1.64555,1.40783,1.0991,0.2464,0.29078,0.23329,0.13541,1.97408,3.12374,1.41349,0.000344053,0.000344053,0.000344053
30,327.65,1.73707,1.45624,1.121,0.26881,0.29244,0.23539,0.14078,1.94337,3.12396,1.41752,0.00033934,0.00033934,0.00033934
31,338.064,1.6635,1.32737,1.09383,0.25093,0.29758,0.24162,0.14322,1.95978,3.08292,1.405,0.000334628,0.000334628,0.000334628
32,348.652,1.6161,1.314,1.09006,0.3254,0.22692,0.24369,0.13765,1.99555,3.11892,1.42843,0.000329916,0.000329916,0.000329916
33,359.215,1.69575,1.37899,1.1242,0.31727,0.24566,0.23185,0.13144,2.02973,3.18345,1.43935,0.000325203,0.000325203,0.000325203
34,370.059,1.63432,1.39979,1.08248,0.34053,0.27456,0.22495,0.12933,2.02256,3.21213,1.43312,0.000320491,0.000320491,0.000320491
35,380.734,1.70743,1.47524,1.07043,0.2578,0.29135,0.22272,0.12531,2.03918,3.29149,1.4495,0.000315778,0.000315778,0.000315778
36,391.461,1.62688,1.40722,1.10201,0.27337,0.2208,0.20457,0.11503,2.08077,3.24941,1.47314,0.000311066,0.000311066,0.000311066
37,402.249,1.66897,1.3177,1.09838,0.24008,0.315,0.2219,0.12242,2.01355,3.24368,1.45831,0.000306354,0.000306354,0.000306354
38,412.866,1.62982,1.31314,1.07593,0.34317,0.24205,0.22943,0.12852,1.99407,3.15124,1.40996,0.000301641,0.000301641,0.000301641
39,423.555,1.55781,1.27267,1.072,0.26882,0.25598,0.24918,0.12773,1.99973,3.13664,1.40945,0.000296929,0.000296929,0.000296929
40,434.143,1.60537,1.31787,1.13242,0.26014,0.2994,0.23319,0.12513,2.01941,3.1529,1.42265,0.000292216,0.000292216,0.000292216
41,445.054,1.683,1.39748,1.08452,0.27716,0.26133,0.22387,0.12311,2.04111,3.16647,1.43914,0.000287504,0.000287504,0.000287504
42,455.968,1.72643,1.42965,1.0943,0.26649,0.28575,0.23543,0.12276,2.03012,3.18451,1.43865,0.000282792,0.000282792,0.000282792
43,466.22,1.59843,1.29499,1.07513,0.27136,0.29569,0.2241,0.12139,2.07745,3.19581,1.45219,0.000278079,0.000278079,0.000278079
44,476.491,1.62438,1.29299,1.11854,0.26325,0.29297,0.22474,0.12165,2.07868,3.16599,1.43884,0.000273367,0.000273367,0.000273367
45,486.796,1.65956,1.35054,1.06846,0.25189,0.2858,0.24685,0.13348,2.03156,3.17623,1.42271,0.000268654,0.000268654,0.000268654
46,496.964,1.6221,1.32472,1.05426,0.29287,0.24475,0.23101,0.13058,2.02322,3.14571,1.42601,0.000263942,0.000263942,0.000263942
47,507.167,1.57832,1.29142,1.03034,0.27585,0.26849,0.24052,0.13154,2.02409,3.11246,1.42585,0.00025923,0.00025923,0.00025923
48,517.383,1.65494,1.31998,1.11401,0.28535,0.27699,0.24898,0.13149,1.95467,3.09365,1.40447,0.000254517,0.000254517,0.000254517
49,527.554,1.67817,1.34174,1.13219,0.31057,0.31086,0.25957,0.14117,1.95356,3.12842,1.42852,0.000249805,0.000249805,0.000249805
50,537.96,1.65381,1.27074,1.08673,0.28983,0.30934,0.25278,0.13791,2.00222,3.11534,1.44361,0.000245092,0.000245092,0.000245092
51,548.261,1.69005,1.34441,1.08476,0.2801,0.321,0.25541,0.13677,1.97264,3.12031,1.42735,0.00024038,0.00024038,0.00024038
52,558.598,1.6269,1.26455,1.04051,0.29155,0.27609,0.24232,0.13225,1.98752,3.16304,1.42843,0.000235668,0.000235668,0.000235668
53,568.874,1.64252,1.29718,1.08587,0.39634,0.24625,0.24833,0.139,1.97045,3.17874,1.41019,0.000230955,0.000230955,0.000230955
54,579.094,1.67782,1.38306,1.09863,0.3991,0.25235,0.24703,0.1438,1.97821,3.13131,1.42009,0.000226243,0.000226243,0.000226243
