epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3654,2.124,5.61365,1.25318,0.4806,0.2022,0.18533,0.09764,2.05034,5.35309,1.52874,0.000156299,0.000156299,0.000156299
2,46.9449,2.05748,3.87174,1.26888,0.38631,0.20157,0.19635,0.10117,2.0697,4.56943,1.56975,0.000311847,0.000311847,0.000311847
3,68.175,2.12702,3.38729,1.23632,0.44083,0.21991,0.19893,0.10653,2.15789,4.32709,1.61761,0.000464254,0.000464254,0.000464254
4,89.4037,2.22687,3.15296,1.25674,0.67888,0.16044,0.18124,0.08902,2.22085,4.12843,1.70826,0.000461863,0.000461863,0.000461863
5,111.117,2.26686,3.15717,1.26498,0.27076,0.22538,0.16888,0.08401,2.25698,3.85915,1.73954,0.00045715,0.00045715,0.00045715
6,132.281,2.31776,3.06496,1.29744,0.30896,0.20998,0.1668,0.09466,2.19444,3.94519,1.69344,0.000452438,0.000452438,0.000452438
7,153.692,2.2598,2.61536,1.28366,0.30146,0.24972,0.17307,0.1014,2.10522,3.93281,1.61941,0.000447726,0.000447726,0.000447726
8,174.83,2.08999,2.4323,1.27483,0.56886,0.17134,0.15661,0.08687,2.14777,3.58199,1.65553,0.000443013,0.000443013,0.000443013
9,195.966,2.21247,2.62527,1.30768,0.48944,0.15182,0.1461,0.08213,2.13313,3.56611,1.74176,0.000438301,0.000438301,0.000438301
10,217.125,2.21405,2.45108,1.25947,0.19983,0.19179,0.15367,0.08497,2.16474,3.65384,1.69885,0.000433588,0.000433588,0.000433588
11,238.452,2.10893,2.2057,1.25492,0.23674,0.24908,0.16646,0.08689,2.16095,3.64068,1.71309,0.000428876,0.000428876,0.000428876
12,259.561,2.06848,2.18599,1.2788,0.3151,0.22475,0.19539,0.1018,2.15927,3.52009,1.61749,0.000424164,0.000424164,0.000424164
13,280.681,2.13584,2.13456,1.30873,0.33258,0.21104,0.18556,0.08692,2.18372,3.7019,1.63993,0.000419451,0.000419451,0.000419451
14,302.283,2.04097,2.1197,1.22889,0.34972,0.21224,0.18319,0.10403,2.19634,3.57414,1.63405,0.000414739,0.000414739,0.000414739
15,323.762,2.09571,2.08064,1.24196,0.3147,0.26852,0.23075,0.11229,2.15114,3.41971,1.59773,0.000410026,0.000410026,0.000410026
16,345.17,2.06313,2.09403,1.27733,0.2505,0.2202,0.16885,0.0901,2.20726,3.65815,1.62825,0.000405314,0.000405314,0.000405314
17,366.511,2.06266,2.11672,1.26019,0.2034,0.23122,0.18974,0.09234,2.29108,3.70567,1.70853,0.000400602,0.000400602,0.000400602
18,387.897,2.16653,2.14364,1.25008,0.29123,0.19948,0.18703,0.09753,2.26385,3.62831,1.69185,0.000395889,0.000395889,0.000395889
19,409.224,1.99686,1.88254,1.18875,0.31888,0.20207,0.19677,0.09945,2.30682,3.62564,1.71231,0.000391177,0.000391177,0.000391177
20,430.305,2.07469,1.94114,1.25274,0.23488,0.26245,0.2135,0.10605,2.25527,3.5315,1.69643,0.000386464,0.000386464,0.000386464
21,451.379,2.02399,2.0462,1.24038,0.26262,0.24331,0.22562,0.11129,2.1922,3.47753,1.64126,0.000381752,0.000381752,0.000381752
22,472.55,2.12374,2.01834,1.26208,0.23684,0.22851,0.21089,0.10587,2.22191,3.54788,1.66257,0.00037704,0.00037704,0.00037704
23,493.695,2.08316,1.98176,1.22796,0.22085,0.25074,0.22646,0.11703,2.18478,3.46221,1.65447,0.000372327,0.000372327,0.000372327
24,514.843,2.01646,1.86391,1.20745,0.35657,0.19668,0.22202,0.11305,2.18185,3.43968,1.62301,0.000367615,0.000367615,0.000367615
25,536.006,1.90877,1.78757,1.19255,0.18941,0.20691,0.18136,0.09756,2.22166,3.53549,1.68058,0.000362902,0.000362902,0.000362902
26,557.1,2.07518,1.89686,1.20226,0.2093,0.20121,0.18876,0.08888,2.22791,3.43786,1.71682,0.00035819,0.00035819,0.00035819
27,578.291,2.00601,1.75685,1.16261,0.21417,0.2256,0.16159,0.09342,2.15324,3.47963,1.63666,0.000353478,0.000353478,0.000353478
28,599.502,1.98641,1.79415,1.20888,0.21805,0.26669,0.17961,0.09594,2.1869,3.35074,1.68041,0.000348765,0.000348765,0.000348765
29,620.813,2.03259,1.82788,1.21523,0.23703,0.21687,0.17578,0.09705,2.27479,3.377,1.7063,0.000344053,0.000344053,0.000344053
30,642.198,1.96528,1.7927,1.18481,0.24782,0.21377,0.18934,0.10096,2.22426,3.36565,1.68123,0.00033934,0.00033934,0.00033934
31,663.571,2.00716,1.7601,1.21865,0.22295,0.25193,0.19215,0.10235,2.17349,3.36459,1.64079,0.000334628,0.000334628,0.000334628
32,684.71,1.84022,1.6627,1.18736,0.22155,0.29621,0.2109,0.12018,2.12441,3.32464,1.58827,0.000329916,0.000329916,0.000329916
33,705.968,1.98484,1.68293,1.18265,0.22565,0.26891,0.19843,0.11335,2.13883,3.42884,1.64226,0.000325203,0.000325203,0.000325203
34,727.223,1.95331,1.69068,1.19584,0.41417,0.21196,0.23207,0.11498,2.14834,3.33784,1.66535,0.000320491,0.000320491,0.000320491
35,748.537,1.95846,1.75597,1.17146,0.31713,0.22812,0.22757,0.1106,2.13917,3.353,1.66368,0.000315778,0.000315778,0.000315778
36,769.661,1.95024,1.67464,1.23283,0.2777,0.25264,0.20071,0.10481,2.18198,3.37551,1.68596,0.000311066,0.000311066,0.000311066
37,790.93,1.94474,1.64575,1.19218,0.22855,0.264,0.2273,0.11657,2.11865,3.47363,1.6443,0.000306354,0.000306354,0.000306354
38,812.149,1.91578,1.62209,1.21156,0.31018,0.23733,0.2257,0.11526,2.09627,3.39191,1.62919,0.000301641,0.000301641,0.000301641
39,833.263,2.00621,1.76574,1.20904,0.33306,0.24995,0.24037,0.11811,2.13752,3.32065,1.62364,0.000296929,0.000296929,0.000296929
40,854.296,1.86963,1.55998,1.15553,0.26617,0.27002,0.22394,0.12225,2.10011,3.329,1.60412,0.000292216,0.000292216,0.000292216
41,875.501,1.85029,1.56423,1.20575,0.32881,0.23283,0.20534,0.11462,2.12402,3.41679,1.63103,0.000287504,0.000287504,0.000287504
42,896.577,2.06705,1.85608,1.17883,0.27272,0.22528,0.20118,0.11278,2.11193,3.37402,1.60518,0.000282792,0.000282792,0.000282792
43,917.762,1.97873,1.69406,1.19176,0.2714,0.27976,0.21196,0.10609,2.13126,3.26393,1.6205,0.000278079,0.000278079,0.000278079
44,939.18,1.95844,1.59469,1.14147,0.28864,0.27767,0.20793,0.11369,2.11903,3.32446,1.61874,0.000273367,0.000273367,0.000273367
45,960.64,1.82877,1.51972,1.17816,0.26471,0.27091,0.21178,0.10863,2.14367,3.35311,1.59558,0.000268654,0.000268654,0.000268654
46,981.953,1.85801,1.4469,1.11866,0.24749,0.28118,0.21747,0.11475,2.12157,3.34557,1.58071,0.000263942,0.000263942,0.000263942
47,1003.49,1.83633,1.49623,1.10364,0.29049,0.25911,0.2202,0.11786,2.1033,3.33095,1.59547,0.00025923,0.00025923,0.00025923
48,1024.72,1.89628,1.53188,1.13634,0.30745,0.26212,0.21642,0.11445,2.11486,3.40576,1.5899,0.000254517,0.000254517,0.000254517
49,1045.84,1.93906,1.57885,1.14265,0.28577,0.27086,0.21298,0.10643,2.12318,3.36846,1.57619,0.000249805,0.000249805,0.000249805
50,1067.23,1.83769,1.49794,1.13452,0.33803,0.22685,0.23021,0.11367,2.17097,3.39431,1.62457,0.000245092,0.000245092,0.000245092
51,1088.22,1.89983,1.62643,1.16131,0.35504,0.23797,0.22351,0.11886,2.16121,3.38552,1.64244,0.00024038,0.00024038,0.00024038
52,1109.58,1.83055,1.45937,1.13638,0.348,0.2715,0.23606,0.1287,2.11745,3.38747,1.62745,0.000235668,0.000235668,0.000235668
53,1130.74,1.7598,1.48458,1.16213,0.26543,0.28015,0.23578,0.12739,2.05358,3.32591,1.58691,0.000230955,0.000230955,0.000230955
54,1151.94,1.90093,1.56375,1.13737,0.26262,0.2891,0.242,0.12269,2.12272,3.32896,1.5792,0.000226243,0.000226243,0.000226243
55,1173.33,1.81389,1.42908,1.10201,0.24216,0.29898,0.22114,0.11751,2.1339,3.31934,1.57124,0.00022153,0.00022153,0.00022153
56,1194.44,1.82968,1.43645,1.09576,0.26428,0.28201,0.2336,0.118,2.15064,3.32627,1.58706,0.000216818,0.000216818,0.000216818
57,1215.64,1.91112,1.57495,1.16787,0.28707,0.2296,0.21499,0.11476,2.11599,3.42621,1.57585,0.000212106,0.000212106,0.000212106
58,1236.87,1.73048,1.34295,1.07344,0.28936,0.27271,0.21251,0.11176,2.14335,3.47332,1.59755,0.000207393,0.000207393,0.000207393
59,1257.96,1.89097,1.524,1.14093,0.28892,0.2427,0.20967,0.11946,2.13556,3.38627,1.59406,0.000202681,0.000202681,0.000202681
60,1279.3,1.94133,1.57047,1.09727,0.32954,0.28695,0.23625,0.11963,2.08888,3.33896,1.57619,0.000197968,0.000197968,0.000197968
61,1300.43,1.86619,1.4954,1.0922,0.29267,0.2708,0.23303,0.12729,2.11161,3.35421,1.59951,0.000193256,0.000193256,0.000193256
62,1321.72,1.7897,1.36955,1.11188,0.33369,0.2605,0.23517,0.12993,2.12829,3.28733,1.62336,0.000188544,0.000188544,0.000188544
63,1343.48,1.89514,1.56757,1.12619,0.29043,0.28172,0.23637,0.12493,2.12557,3.32718,1.58765,0.000183831,0.000183831,0.000183831
64,1364.69,1.81317,1.42942,1.13793,0.30955,0.27705,0.24315,0.13052,2.10851,3.36323,1.56519,0.000179119,0.000179119,0.000179119
65,1386.08,1.80754,1.44057,1.11326,0.30501,0.2495,0.23604,0.12314,2.1494,3.40555,1.57543,0.000174406,0.000174406,0.000174406
66,1407.19,1.86273,1.44027,1.12941,0.26629,0.26781,0.22508,0.11542,2.20773,3.41481,1.59902,0.000169694,0.000169694,0.000169694
67,1428.46,1.80856,1.38548,1.09102,0.34707,0.2768,0.25134,0.12694,2.13188,3.31336,1.56615,0.000164982,0.000164982,0.000164982
68,1449.69,1.69072,1.35576,1.1057,0.43438,0.23856,0.24796,0.12779,2.11768,3.3626,1.52193,0.000160269,0.000160269,0.000160269
69,1470.72,1.72703,1.30458,1.05739,0.42452,0.229,0.24374,0.12268,2.12141,3.4103,1.52477,0.000155557,0.000155557,0.000155557
70,1491.86,1.70282,1.3101,1.09947,0.33257,0.26117,0.24365,0.12295,2.11833,3.37794,1.53383,0.000150844,0.000150844,0.000150844
71,1512.95,1.73848,1.3586,1.05577,0.28348,0.28811,0.24736,0.13226,2.12754,3.32375,1.57062,0.000146132,0.000146132,0.000146132
72,1534.35,1.72761,1.31613,1.03801,0.29345,0.29176,0.24158,0.12664,2.13845,3.29209,1.58201,0.00014142,0.00014142,0.00014142
73,1555.66,1.70094,1.31013,1.06476,0.28591,0.27899,0.25079,0.13162,2.11886,3.33947,1.59035,0.000136707,0.000136707,0.000136707
74,1577.01,1.84054,1.36701,1.07135,0.34535,0.24281,0.24225,0.13491,2.10075,3.35228,1.58692,0.000131995,0.000131995,0.000131995
75,1598.12,1.67715,1.35707,1.11522,0.32816,0.2287,0.23564,0.13083,2.10483,3.33314,1.57812,0.000127282,0.000127282,0.000127282
76,1619.32,1.66017,1.20682,1.07641,0.27043,0.28115,0.24618,0.13168,2.06262,3.29046,1.55405,0.00012257,0.00012257,0.00012257
77,1640.58,1.67044,1.23319,1.06748,0.31279,0.27887,0.25022,0.13747,2.0562,3.27673,1.53291,0.000117858,0.000117858,0.000117858
