epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.526,1.78626,3.93522,1.14818,0.28731,0.26211,0.21037,0.11664,1.92739,5.0219,1.39966,0.000154,0.000154,0.000154
2,33.8579,1.74779,3.09459,1.09239,0.34293,0.28211,0.22627,0.11906,1.9198,4.38286,1.38037,0.000309571,0.000309571,0.000309571
3,45.8027,1.66917,2.46538,1.04409,0.41442,0.29593,0.22937,0.12357,1.9141,3.90691,1.43292,0.000462001,0.000462001,0.000462001
4,57.6897,1.66622,2.33829,1.14536,0.37012,0.25664,0.22907,0.12198,1.93986,3.7094,1.46409,0.000461863,0.000461863,0.000461863
5,69.6299,1.68672,2.1387,1.10399,0.37641,0.28223,0.21745,0.11364,1.98864,3.5738,1.49966,0.00045715,0.00045715,0.00045715
6,81.81,1.72717,2.01922,1.12168,0.29504,0.25242,0.21471,0.11947,2.00701,3.51611,1.48187,0.000452438,0.000452438,0.000452438
7,94.1269,1.68998,1.93919,1.10573,0.28546,0.27622,0.24415,0.12452,2.00484,3.41833,1.46964,0.000447726,0.000447726,0.000447726
8,106.413,1.65501,1.75098,1.11335,0.27915,0.33812,0.26696,0.14003,1.93646,3.37691,1.42131,0.000443013,0.000443013,0.000443013
9,118.913,1.65287,1.65704,1.09702,0.35892,0.23723,0.21654,0.11829,1.97033,3.28396,1.45701,0.000438301,0.000438301,0.000438301
10,131.446,1.7221,1.67722,1.10213,0.28504,0.25141,0.2204,0.12587,2.00642,3.27448,1.47949,0.000433588,0.000433588,0.000433588
11,143.479,1.56011,1.60381,1.13946,0.40781,0.23071,0.24461,0.12452,1.99009,3.26534,1.48882,0.000428876,0.000428876,0.000428876
12,155.419,1.66604,1.64962,1.11796,0.30069,0.26332,0.23224,0.12942,1.95338,3.26355,1.5049,0.000424164,0.000424164,0.000424164
13,167.344,1.71445,1.61327,1.13848,0.31932,0.26168,0.25133,0.14239,1.92948,3.2411,1.47929,0.000419451,0.000419451,0.000419451
14,179.159,1.56396,1.51872,1.05428,0.3596,0.2549,0.23176,0.13132,1.95251,3.24489,1.486,0.000414739,0.000414739,0.000414739
15,190.961,1.70757,1.6543,1.10764,0.30867,0.31749,0.23987,0.12866,1.97402,3.22501,1.49139,0.000410026,0.000410026,0.000410026
16,202.719,1.72641,1.55181,1.09768,0.37731,0.27776,0.22959,0.1305,1.99386,3.22196,1.47895,0.000405314,0.000405314,0.000405314
17,214.59,1.71054,1.55496,1.11469,0.27746,0.25858,0.22934,0.12619,1.98819,3.30794,1.4651,0.000400602,0.000400602,0.000400602
18,226.28,1.74111,1.5494,1.08838,0.29865,0.25429,0.23811,0.13474,1.9335,3.25186,1.44171,0.000395889,0.000395889,0.000395889
19,238.041,1.67674,1.42721,1.06626,0.32034,0.27478,0.23683,0.13062,1.95884,3.21187,1.46931,0.000391177,0.000391177,0.000391177
20,249.759,1.60452,1.46293,1.05584,0.35192,0.28596,0.24565,0.13204,1.9433,3.20243,1.42551,0.000386464,0.000386464,0.000386464
21,261.649,1.66317,1.4091,1.05705,0.35986,0.27001,0.26021,0.13592,1.93827,3.21694,1.44444,0.000381752,0.000381752,0.000381752
22,273.558,1.69227,1.44951,1.02898,0.34225,0.27177,0.26054,0.12882,1.97593,3.24863,1.45782,0.00037704,0.00037704,0.00037704
23,285.517,1.7122,1.53332,1.13596,0.31428,0.27896,0.24199,0.1288,1.98772,3.21031,1.44535,0.000372327,0.000372327,0.000372327
24,297.371,1.63373,1.36951,1.0518,0.2793,0.32095,0.25539,0.13439,1.94154,3.10562,1.43633,0.000367615,0.000367615,0.000367615
25,309.085,1.6357,1.40082,1.06092,0.3287,0.25882,0.24481,0.12469,1.99602,3.19269,1.47671,0.000362902,0.000362902,0.000362902
26,321.032,1.69464,1.43862,1.0804,0.29653,0.29384,0.23686,0.12625,2.01247,3.26067,1.45428,0.00035819,0.00035819,0.00035819
27,332.834,1.54725,1.34131,1.0729,0.29146,0.27923,0.23864,0.12069,2.05537,3.39486,1.46931,0.000353478,0.000353478,0.000353478
