epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9494,1.92706,5.80914,1.64426,0.44593,0.16858,0.15801,0.10015,2.00493,6.63353,1.42142,0.000156683,0.000156683,0.000156683
2,90.4552,1.77229,3.41961,1.46036,0.51027,0.20448,0.1882,0.11588,2.17227,4.24735,1.63706,0.000315273,0.000315273,0.000315273
3,123.288,1.86765,3.07571,1.48993,0.38748,0.20047,0.18016,0.10292,2.12492,4.34625,1.60408,0.000473554,0.000473554,0.000473554
4,158.138,1.79707,2.80117,1.4799,0.37381,0.22079,0.19769,0.11574,2.13368,3.3923,1.56152,0.000474954,0.000474954,0.000474954
5,193.223,1.83541,2.76303,1.51587,0.52361,0.21893,0.22366,0.13775,1.9891,3.0507,1.43903,0.000474142,0.000474142,0.000474142
6,228.559,1.74739,2.72081,1.47204,0.6999,0.20091,0.24477,0.14219,2.07021,3.05893,1.51469,0.000473099,0.000473099,0.000473099
7,265.193,1.69189,2.52676,1.41336,0.38328,0.26118,0.24582,0.14432,2.0132,3.32688,1.45074,0.000471827,0.000471827,0.000471827
8,298.06,1.69575,2.52448,1.432,0.53468,0.3236,0.3235,0.18308,1.86598,2.55416,1.31505,0.000470326,0.000470326,0.000470326
9,332.525,1.68123,2.45408,1.40813,0.38077,0.29462,0.26723,0.15711,1.90139,2.61166,1.33918,0.000468598,0.000468598,0.000468598
10,368.299,1.6456,2.4242,1.41108,0.43116,0.33871,0.31484,0.18971,1.86325,2.48356,1.3442,0.000466644,0.000466644,0.000466644
11,406.288,1.60247,2.31261,1.38064,0.35862,0.33705,0.31075,0.183,1.87729,2.46278,1.3271,0.000464468,0.000464468,0.000464468
12,445.015,1.60482,2.25079,1.37657,0.49321,0.3369,0.34603,0.2047,1.81667,2.3613,1.31104,0.00046207,0.00046207,0.00046207
13,482.666,1.57004,2.23389,1.36861,0.45932,0.37609,0.35825,0.21657,1.77117,2.38115,1.28652,0.000459454,0.000459454,0.000459454
14,520.553,1.54362,2.16905,1.34164,0.5166,0.32163,0.33541,0.20994,1.73013,2.31322,1.25414,0.000456621,0.000456621,0.000456621
15,559.059,1.54734,2.16213,1.33533,0.4974,0.32848,0.32702,0.19369,1.78219,2.30313,1.27096,0.000453575,0.000453575,0.000453575
16,606.068,1.5109,2.12444,1.31116,0.51875,0.34408,0.3291,0.20189,1.77959,2.37193,1.2648,0.000450319,0.000450319,0.000450319
17,645.235,1.49856,2.09583,1.3149,0.481,0.42154,0.37748,0.23006,1.71882,2.21735,1.24494,0.000446855,0.000446855,0.000446855
18,680.427,1.49543,2.0764,1.29414,0.42536,0.358,0.34278,0.21578,1.76732,2.24856,1.20375,0.000443188,0.000443188,0.000443188
19,717.864,1.47101,2.05339,1.2838,0.42063,0.40942,0.40833,0.25044,1.67243,2.0645,1.19137,0.000439321,0.000439321,0.000439321
20,754.034,1.44341,1.96211,1.28193,0.49278,0.33859,0.35858,0.2174,1.71289,2.15334,1.20959,0.000435257,0.000435257,0.000435257
21,788.012,1.41631,1.92065,1.26154,0.47282,0.40179,0.39879,0.23085,1.68627,2.0815,1.22574,0.000431001,0.000431001,0.000431001
22,825.712,1.44815,1.93149,1.28963,0.47173,0.43222,0.3995,0.24416,1.67395,2.04274,1.21028,0.000426556,0.000426556,0.000426556
23,862.608,1.42153,1.905,1.26051,0.52523,0.37446,0.38083,0.23596,1.66069,2.2035,1.17896,0.000421928,0.000421928,0.000421928
24,896.166,1.4162,1.86739,1.23853,0.45902,0.41712,0.41336,0.2567,1.64211,2.02942,1.16537,0.000417121,0.000417121,0.000417121
25,933.376,1.38724,1.88342,1.25069,0.53457,0.40074,0.4149,0.25477,1.6669,1.98916,1.18437,0.00041214,0.00041214,0.00041214
26,969.676,1.38325,1.82849,1.25045,0.48341,0.43785,0.40441,0.24854,1.66135,2.02834,1.20109,0.000406988,0.000406988,0.000406988
27,1010.02,1.37892,1.85183,1.248,0.53352,0.40814,0.42212,0.25752,1.62478,1.99769,1.15762,0.000401673,0.000401673,0.000401673
28,1046.28,1.38271,1.81153,1.24047,0.38798,0.42628,0.38792,0.24611,1.64023,2.08921,1.16214,0.000396198,0.000396198,0.000396198
29,1080.87,1.38654,1.78493,1.22208,0.54444,0.43698,0.43191,0.25556,1.65729,1.94189,1.16252,0.00039057,0.00039057,0.00039057
30,1117.63,1.37296,1.79034,1.24766,0.50747,0.43245,0.41176,0.25761,1.65243,2.03451,1.19297,0.000384793,0.000384793,0.000384793
31,1152.13,1.31555,1.72264,1.20866,0.53281,0.44289,0.42681,0.25722,1.63852,1.93522,1.13976,0.000378874,0.000378874,0.000378874
32,1186.95,1.36519,1.74563,1.22051,0.41749,0.46747,0.41479,0.26093,1.6088,1.95524,1.13778,0.000372818,0.000372818,0.000372818
33,1223.75,1.36675,1.72183,1.21615,0.42061,0.46007,0.43542,0.27095,1.59741,1.9711,1.14941,0.000366632,0.000366632,0.000366632
34,1261.04,1.31811,1.67179,1.19998,0.4813,0.43185,0.43605,0.27612,1.59882,1.83775,1.12405,0.00036032,0.00036032,0.00036032
35,1295.34,1.31389,1.63005,1.1917,0.4191,0.42899,0.41224,0.25803,1.59726,1.94193,1.1252,0.000353891,0.000353891,0.000353891
