epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9279,1.92027,5.65357,1.6426,0.28414,0.21013,0.1664,0.10935,2.03783,6.07345,1.50709,0.000156942,0.000156942,0.000156942
2,93.4395,1.84758,3.47443,1.52235,0.33566,0.26307,0.18988,0.10819,1.99828,5.18425,1.47994,0.000315532,0.000315532,0.000315532
3,130.959,1.82774,2.94888,1.51253,0.35756,0.22139,0.18097,0.10291,2.03704,3.49255,1.48652,0.000473812,0.000473812,0.000473812
4,168.195,1.80645,2.82754,1.50446,0.37239,0.27006,0.18772,0.11127,2.06058,3.48231,1.49556,0.000474954,0.000474954,0.000474954
5,203.414,1.81055,2.74337,1.48396,0.35727,0.24414,0.23648,0.14509,2.0312,2.77285,1.47013,0.000474142,0.000474142,0.000474142
6,241.232,1.70465,2.62564,1.45143,0.47175,0.30943,0.28806,0.16555,1.94864,2.78889,1.39779,0.000473099,0.000473099,0.000473099
7,278.1,1.67943,2.54447,1.41925,0.57454,0.29478,0.26675,0.15553,1.88789,2.74588,1.38418,0.000471827,0.000471827,0.000471827
8,315.23,1.67875,2.5254,1.4117,0.46336,0.24379,0.24952,0.14062,1.99282,2.82108,1.40848,0.000470326,0.000470326,0.000470326
9,353.092,1.62911,2.40091,1.38996,0.43107,0.27935,0.27906,0.16484,1.90345,2.54298,1.34802,0.000468598,0.000468598,0.000468598
10,390.25,1.65736,2.37291,1.42578,0.41423,0.33028,0.33133,0.18883,1.92514,2.49699,1.36186,0.000466644,0.000466644,0.000466644
11,425.766,1.59804,2.32917,1.36257,0.5803,0.29557,0.32495,0.18957,1.83723,2.42863,1.27307,0.000464468,0.000464468,0.000464468
12,461.983,1.5599,2.23951,1.33044,0.4428,0.31433,0.31712,0.1923,1.85125,2.42251,1.34452,0.00046207,0.00046207,0.00046207
13,500.096,1.55423,2.21859,1.33513,0.43197,0.35445,0.33578,0.21078,1.7492,2.24369,1.25276,0.000459454,0.000459454,0.000459454
14,537.472,1.53733,2.17427,1.33024,0.49364,0.33396,0.35829,0.2225,1.71295,2.22007,1.2098,0.000456621,0.000456621,0.000456621
15,574.072,1.53759,2.18129,1.32851,0.56543,0.33916,0.38436,0.23924,1.76083,2.24965,1.27354,0.000453575,0.000453575,0.000453575
16,609.127,1.526,2.11701,1.32748,0.45391,0.38006,0.37161,0.2276,1.71886,2.19474,1.24813,0.000450319,0.000450319,0.000450319
