epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.956,2.2787,9.57586,1.87112,0.28302,0.23397,0.1448,0.08124,2.51388,5.78222,1.7888,0.000158351,0.000158351,0.000158351
2,265.604,2.12472,3.76244,1.6781,0.43857,0.18716,0.12994,0.07567,2.62163,4.38153,1.80796,0.000314165,0.000314165,0.000314165
3,395.871,2.16572,3.34554,1.70213,0.44463,0.24529,0.1789,0.09311,2.5483,3.57739,1.67554,0.000467122,0.000467122,0.000467122
4,526.581,2.10175,3.15387,1.64428,0.42566,0.21323,0.16533,0.08581,2.59122,3.35194,1.69437,0.000463148,0.000463148,0.000463148
5,657.523,2.05634,3.03794,1.65103,0.64615,0.18955,0.18697,0.09467,2.44341,3.12823,1.59018,0.000458864,0.000458864,0.000458864
6,788.579,1.99791,2.92123,1.58907,0.48522,0.25118,0.18254,0.0931,2.43922,3.28923,1.55229,0.00045458,0.00045458,0.00045458
7,919.627,1.96759,2.83002,1.54952,0.44162,0.29713,0.22626,0.11522,2.36049,3.04211,1.51746,0.000450296,0.000450296,0.000450296
8,1050.26,1.94036,2.74162,1.53284,0.5025,0.24003,0.2073,0.10257,2.40598,2.97378,1.51464,0.000446012,0.000446012,0.000446012
9,1181.35,1.9328,2.68084,1.51492,0.46478,0.27836,0.20928,0.10242,2.38727,2.94591,1.536,0.000441728,0.000441728,0.000441728
10,1312.42,1.90703,2.63189,1.51103,0.33376,0.2993,0.23303,0.11416,2.34827,2.92921,1.46581,0.000437444,0.000437444,0.000437444
11,1443.16,1.87762,2.59577,1.46697,0.45706,0.29273,0.22037,0.10843,2.33643,2.97228,1.50854,0.00043316,0.00043316,0.00043316
12,1574.24,1.846,2.4664,1.45921,0.42157,0.29442,0.25698,0.13118,2.26231,2.70414,1.41801,0.000428876,0.000428876,0.000428876
13,1708.23,1.78795,2.45056,1.42649,0.50658,0.27224,0.25457,0.13083,2.29592,2.71982,1.44768,0.000424592,0.000424592,0.000424592
14,1856.85,1.81229,2.41925,1.42107,0.45148,0.33552,0.2446,0.13037,2.26143,2.78601,1.41106,0.000420308,0.000420308,0.000420308
15,1999.92,1.81298,2.37411,1.40961,0.42966,0.30991,0.27683,0.14276,2.25666,2.59374,1.42426,0.000416024,0.000416024,0.000416024
16,2143.22,1.75532,2.33435,1.41859,0.51589,0.31457,0.27458,0.13838,2.28027,2.54467,1.43126,0.00041174,0.00041174,0.00041174
17,2279.88,1.75392,2.3193,1.40324,0.3294,0.30823,0.27732,0.14207,2.22688,2.52712,1.40373,0.000407456,0.000407456,0.000407456
18,2416.21,1.69815,2.24547,1.39384,0.46949,0.32257,0.28027,0.14629,2.24737,2.65015,1.40603,0.000403172,0.000403172,0.000403172
19,2547.64,1.69474,2.2293,1.38411,0.47357,0.37283,0.29777,0.15375,2.19058,2.51786,1.33889,0.000398888,0.000398888,0.000398888
20,2678.51,1.73269,2.21683,1.38287,0.50628,0.32818,0.31302,0.15861,2.20289,2.53281,1.35762,0.000394604,0.000394604,0.000394604
21,2809.26,1.68162,2.10197,1.35321,0.47679,0.35762,0.31219,0.16055,2.18097,2.43974,1.36575,0.00039032,0.00039032,0.00039032
22,2940.06,1.66101,2.11364,1.35441,0.43252,0.40293,0.30168,0.14827,2.23276,2.46293,1.43102,0.000386036,0.000386036,0.000386036
23,3070.56,1.64003,2.05272,1.33686,0.43119,0.37648,0.31477,0.15976,2.15431,2.49219,1.34492,0.000381752,0.000381752,0.000381752
24,3201.2,1.64572,2.04274,1.34444,0.34708,0.40027,0.31461,0.16247,2.15703,2.41744,1.35586,0.000377468,0.000377468,0.000377468
25,3331.62,1.6408,2.05238,1.34056,0.37021,0.40984,0.33791,0.16613,2.20266,2.4536,1.36112,0.000373184,0.000373184,0.000373184
26,3462.35,1.62077,2.02766,1.34797,0.35741,0.36491,0.31992,0.16459,2.17055,2.4714,1.35556,0.0003689,0.0003689,0.0003689
27,3592.78,1.62733,1.99957,1.33371,0.38997,0.39806,0.31335,0.16487,2.19433,2.41812,1.348,0.000364616,0.000364616,0.000364616
28,3723.46,1.62522,1.97232,1.33566,0.40328,0.38581,0.3484,0.17298,2.19205,2.29459,1.35521,0.000360332,0.000360332,0.000360332
29,3854.19,1.60582,1.94455,1.29719,0.37609,0.42703,0.35444,0.17872,2.15831,2.28944,1.34058,0.000356048,0.000356048,0.000356048
30,3984.7,1.56461,1.85185,1.27487,0.37791,0.39952,0.32733,0.16672,2.1552,2.31745,1.33917,0.000351764,0.000351764,0.000351764
31,4126.03,1.58113,1.87602,1.29821,0.40528,0.38776,0.34403,0.17458,2.13853,2.27632,1.30875,0.00034748,0.00034748,0.00034748
32,4269.15,1.59218,1.85835,1.30647,0.41352,0.38166,0.35167,0.18158,2.12546,2.40165,1.29746,0.000343196,0.000343196,0.000343196
33,4411.94,1.57943,1.85462,1.30585,0.36075,0.46734,0.3655,0.18073,2.15414,2.39735,1.33688,0.000338912,0.000338912,0.000338912
34,4554.39,1.57864,1.85404,1.29529,0.35593,0.42374,0.36072,0.17916,2.10893,2.2849,1.30795,0.000334628,0.000334628,0.000334628
35,4697.21,1.57636,1.85715,1.29355,0.42005,0.42817,0.36191,0.18419,2.11854,2.2552,1.30634,0.000330344,0.000330344,0.000330344
36,4840.1,1.52754,1.76372,1.26094,0.33277,0.46146,0.36381,0.1874,2.10009,2.22874,1.29347,0.00032606,0.00032606,0.00032606
37,4982.68,1.53379,1.78736,1.28001,0.43734,0.37474,0.33643,0.17426,2.14329,2.35167,1.3009,0.000321776,0.000321776,0.000321776
38,5125.4,1.51664,1.72024,1.26323,0.35757,0.43781,0.36272,0.18842,2.12458,2.20922,1.30766,0.000317492,0.000317492,0.000317492
39,5267.74,1.49645,1.7046,1.26005,0.37039,0.41518,0.3655,0.19296,2.1116,2.24406,1.27683,0.000313208,0.000313208,0.000313208
40,5410.46,1.50635,1.66952,1.23764,0.45733,0.41923,0.37493,0.1882,2.1058,2.18404,1.29733,0.000308924,0.000308924,0.000308924
41,5554.18,1.49864,1.69481,1.25762,0.39612,0.41699,0.36532,0.18922,2.11169,2.20483,1.31883,0.00030464,0.00030464,0.00030464
42,5696.68,1.49965,1.69448,1.2495,0.3946,0.44746,0.37903,0.19544,2.10568,2.39836,1.29857,0.000300356,0.000300356,0.000300356
43,5839.54,1.46821,1.66566,1.23675,0.34974,0.48831,0.37804,0.1919,2.10053,2.27037,1.28652,0.000296072,0.000296072,0.000296072
44,5982.44,1.469,1.65618,1.22893,0.39751,0.46202,0.39113,0.20134,2.0934,2.20816,1.28126,0.000291788,0.000291788,0.000291788
45,6125.9,1.4853,1.62985,1.25632,0.47348,0.43015,0.40253,0.2053,2.08155,2.1616,1.26895,0.000287504,0.000287504,0.000287504
46,6268.7,1.4837,1.64243,1.24518,0.46438,0.4253,0.36183,0.18415,2.12556,2.277,1.30057,0.00028322,0.00028322,0.00028322
47,6411.6,1.48047,1.59568,1.22113,0.53737,0.35699,0.36258,0.18468,2.11248,2.24727,1.29143,0.000278936,0.000278936,0.000278936
48,6554,1.45845,1.57825,1.23187,0.37188,0.43496,0.40291,0.20481,2.09005,2.1224,1.27184,0.000274652,0.000274652,0.000274652
49,6696.55,1.44392,1.5285,1.20546,0.3368,0.45502,0.38589,0.19353,2.12498,2.12993,1.3013,0.000270368,0.000270368,0.000270368
50,6839.46,1.451,1.55055,1.21222,0.46106,0.41051,0.37939,0.19863,2.10584,2.30554,1.28864,0.000266084,0.000266084,0.000266084
51,6990.43,1.44959,1.48608,1.2025,0.41879,0.46947,0.42296,0.20859,2.09003,2.0949,1.26483,0.0002618,0.0002618,0.0002618
52,7134.87,1.43708,1.53095,1.21639,0.36876,0.43166,0.36769,0.18916,2.10917,2.23905,1.2847,0.000257516,0.000257516,0.000257516
53,7280.09,1.39106,1.49261,1.21311,0.42251,0.46901,0.41293,0.21077,2.06429,2.1368,1.26956,0.000253232,0.000253232,0.000253232
54,7418.94,1.38109,1.45343,1.1934,0.36408,0.45294,0.40128,0.20493,2.08746,2.03957,1.28446,0.000248948,0.000248948,0.000248948
55,7560.56,1.40447,1.44858,1.19795,0.43572,0.44499,0.39209,0.20044,2.09354,2.07394,1.29359,0.000244664,0.000244664,0.000244664
56,7703.83,1.39795,1.46479,1.19105,0.46214,0.40571,0.40163,0.20253,2.0898,2.08443,1.28706,0.00024038,0.00024038,0.00024038
57,7846.57,1.3815,1.43543,1.18521,0.37578,0.45997,0.40322,0.19985,2.06304,2.10162,1.25673,0.000236096,0.000236096,0.000236096
58,7989.18,1.36599,1.42646,1.18814,0.40463,0.4661,0.41472,0.20747,2.07096,2.06067,1.29722,0.000231812,0.000231812,0.000231812
59,8128.54,1.38266,1.4207,1.19024,0.37178,0.48058,0.3987,0.20033,2.11709,2.0874,1.32257,0.000227528,0.000227528,0.000227528
60,8267.23,1.39985,1.41437,1.19303,0.43832,0.44383,0.42106,0.21176,2.0969,2.05043,1.27418,0.000223244,0.000223244,0.000223244
61,8405.59,1.3529,1.37121,1.17185,0.42621,0.47692,0.42573,0.21885,2.08057,2.00617,1.27009,0.00021896,0.00021896,0.00021896
62,8543.82,1.35698,1.35907,1.16814,0.47436,0.45073,0.40854,0.21245,2.09466,2.12771,1.31708,0.000214676,0.000214676,0.000214676
63,8682.17,1.33915,1.33253,1.17676,0.35978,0.47284,0.41691,0.21168,2.1075,2.08416,1.29849,0.000210392,0.000210392,0.000210392
64,8820.6,1.36991,1.36561,1.17099,0.3688,0.47856,0.39815,0.19983,2.09014,2.14114,1.29295,0.000206108,0.000206108,0.000206108
65,8958.59,1.32642,1.36694,1.17275,0.36846,0.47636,0.39949,0.20898,2.07455,2.02498,1.29003,0.000201824,0.000201824,0.000201824
66,9096.81,1.34663,1.33382,1.17303,0.37518,0.50146,0.41783,0.2143,2.06313,2.03632,1.27986,0.00019754,0.00019754,0.00019754
67,9237.83,1.325,1.29299,1.14967,0.46594,0.45368,0.42938,0.21056,2.09022,2.01441,1.31281,0.000193256,0.000193256,0.000193256
68,9387.94,1.34332,1.32233,1.15773,0.39158,0.45804,0.40682,0.21333,2.06514,2.01744,1.27373,0.000188972,0.000188972,0.000188972
69,9538.06,1.31757,1.26394,1.14502,0.44595,0.49589,0.39988,0.20836,2.05406,2.04633,1.27904,0.000184688,0.000184688,0.000184688
70,9687.49,1.28654,1.27755,1.14404,0.50138,0.46852,0.44621,0.22139,2.07799,1.94889,1.30965,0.000180404,0.000180404,0.000180404
71,9847.14,1.30381,1.26341,1.14442,0.46954,0.47738,0.42204,0.21691,2.04889,1.9552,1.29706,0.00017612,0.00017612,0.00017612
72,10009.6,1.29403,1.2449,1.14548,0.39711,0.50112,0.42815,0.21596,2.05248,2.00769,1.2648,0.000171836,0.000171836,0.000171836
73,10185.9,1.30236,1.25259,1.13302,0.46973,0.504,0.41571,0.21542,2.06241,1.97899,1.27624,0.000167552,0.000167552,0.000167552
74,10342.8,1.26849,1.18449,1.12008,0.4226,0.48091,0.43689,0.20976,2.11331,2.05014,1.31236,0.000163268,0.000163268,0.000163268
75,10494,1.27604,1.20944,1.1434,0.45978,0.50751,0.42505,0.22514,2.06222,2.00254,1.26647,0.000158984,0.000158984,0.000158984
76,10648.9,1.2686,1.21322,1.13261,0.41712,0.45638,0.41195,0.21751,2.07135,2.07739,1.26744,0.0001547,0.0001547,0.0001547
77,10782.9,1.26145,1.17693,1.12408,0.47352,0.47004,0.42723,0.21844,2.07108,2.04698,1.28177,0.000150416,0.000150416,0.000150416
78,10917.7,1.26308,1.17209,1.10856,0.41682,0.51278,0.4206,0.2111,2.09757,2.03955,1.3195,0.000146132,0.000146132,0.000146132
79,11049.6,1.23715,1.11992,1.1095,0.4514,0.48355,0.44004,0.22556,2.05174,1.97387,1.27112,0.000141848,0.000141848,0.000141848
80,11181.3,1.27067,1.17388,1.11999,0.52567,0.44715,0.45817,0.23039,2.08691,1.9495,1.28181,0.000137564,0.000137564,0.000137564
81,11313,1.22474,1.11742,1.11712,0.48531,0.47965,0.44578,0.22396,2.09538,2.01192,1.30255,0.00013328,0.00013328,0.00013328
82,11444.4,1.22613,1.13694,1.11892,0.48593,0.4843,0.4413,0.21992,2.0794,1.9631,1.27932,0.000128996,0.000128996,0.000128996
83,11575.7,1.19871,1.10827,1.10178,0.42397,0.48404,0.42136,0.21603,2.08091,2.02386,1.28283,0.000124712,0.000124712,0.000124712
84,11707.1,1.21469,1.11633,1.09738,0.49338,0.49867,0.45164,0.22547,2.08442,1.92418,1.29669,0.000120428,0.000120428,0.000120428
85,11838.6,1.21313,1.10132,1.1092,0.44053,0.48354,0.41657,0.21435,2.07198,1.97624,1.30325,0.000116144,0.000116144,0.000116144
86,11969.7,1.205,1.09079,1.10438,0.43517,0.50428,0.44359,0.22467,2.0662,2.00345,1.28951,0.00011186,0.00011186,0.00011186
87,12100.6,1.20422,1.07426,1.09101,0.47142,0.5088,0.44506,0.22943,2.0472,1.9666,1.29366,0.000107576,0.000107576,0.000107576
88,12231.9,1.19176,1.11558,1.10592,0.42896,0.49672,0.46242,0.22828,2.06394,2.01261,1.28794,0.000103292,0.000103292,0.000103292
89,12363.5,1.18304,1.07351,1.08689,0.44994,0.5018,0.43339,0.22507,2.06304,1.98524,1.27768,9.9008e-05,9.9008e-05,9.9008e-05
90,12495,1.20149,1.04503,1.07712,0.50562,0.46874,0.43989,0.22204,2.0739,2.07543,1.28152,9.4724e-05,9.4724e-05,9.4724e-05
91,12629.3,1.40446,1.04513,1.02454,0.51214,0.44393,0.42957,0.21433,2.08487,2.03389,1.31264,9.044e-05,9.044e-05,9.044e-05
92,12760.1,1.41296,0.99689,1.00465,0.49292,0.46731,0.43213,0.22575,2.07942,1.97875,1.2991,8.6156e-05,8.6156e-05,8.6156e-05
93,12891.9,1.4069,0.9787,1.00011,0.47882,0.52174,0.4417,0.2241,2.07741,1.98191,1.30602,8.1872e-05,8.1872e-05,8.1872e-05
94,13023.1,1.36897,0.94936,0.99005,0.42389,0.51271,0.43908,0.22399,2.06996,1.99109,1.2898,7.7588e-05,7.7588e-05,7.7588e-05
95,13153.9,1.38074,0.9416,0.99362,0.50961,0.49866,0.45194,0.22968,2.07761,1.96771,1.28971,7.3304e-05,7.3304e-05,7.3304e-05
96,13285.2,1.36618,0.93667,0.99217,0.52721,0.48943,0.46632,0.23571,2.06174,1.94961,1.296,6.902e-05,6.902e-05,6.902e-05
97,13416,1.32888,0.91037,0.98358,0.45831,0.51082,0.4449,0.22511,2.08561,1.94379,1.30561,6.4736e-05,6.4736e-05,6.4736e-05
98,13546.5,1.35413,0.9041,0.96978,0.45736,0.50508,0.45731,0.23035,2.08171,1.9649,1.30766,6.0452e-05,6.0452e-05,6.0452e-05
99,13677.5,1.33763,0.917,0.98501,0.46574,0.49628,0.46227,0.22895,2.0876,1.94295,1.31993,5.6168e-05,5.6168e-05,5.6168e-05
100,13808.5,1.31088,0.88138,0.97305,0.51802,0.47184,0.44832,0.23086,2.09325,1.96781,1.32136,5.1884e-05,5.1884e-05,5.1884e-05
