epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.012,1.17348,1.05824,1.10335,0.3966,0.50565,0.411,0.21596,2.10357,2.08735,1.30545,0.000158351,0.000158351,0.000158351
2,266.72,1.27138,1.1729,1.12148,0.44789,0.44071,0.40137,0.20194,2.16907,2.14953,1.36437,0.000314165,0.000314165,0.000314165
3,397.337,1.34632,1.34046,1.17324,0.48099,0.4376,0.37895,0.19531,2.16563,2.23454,1.3624,0.000467122,0.000467122,0.000467122
4,529.088,1.39091,1.40396,1.17571,0.4166,0.43026,0.35319,0.18147,2.1713,2.28073,1.3489,0.000463148,0.000463148,0.000463148
5,660.074,1.39476,1.47632,1.20717,0.44818,0.41319,0.38538,0.1953,2.09366,2.23372,1.30151,0.000458864,0.000458864,0.000458864
6,791.007,1.38868,1.45191,1.20136,0.46858,0.39552,0.36184,0.18577,2.1348,2.25818,1.3451,0.00045458,0.00045458,0.00045458
7,922.323,1.37809,1.41232,1.17882,0.40451,0.46175,0.38313,0.19935,2.07878,2.20635,1.30941,0.000450296,0.000450296,0.000450296
8,1053.9,1.36251,1.3708,1.18455,0.45,0.43661,0.38609,0.19568,2.11255,2.23758,1.33014,0.000446012,0.000446012,0.000446012
9,1185.55,1.40519,1.42429,1.18762,0.41055,0.4563,0.37476,0.18905,2.13696,2.31612,1.37445,0.000441728,0.000441728,0.000441728
10,1316.5,1.4077,1.4258,1.19339,0.39217,0.3987,0.35853,0.18615,2.15369,2.29874,1.34371,0.000437444,0.000437444,0.000437444
11,1447.68,1.41692,1.45263,1.1935,0.40591,0.45833,0.36072,0.1831,2.17411,2.20514,1.37362,0.00043316,0.00043316,0.00043316
12,1578.93,1.3886,1.38124,1.1867,0.41532,0.43934,0.36431,0.18566,2.1814,2.19208,1.35226,0.000428876,0.000428876,0.000428876
13,1709.96,1.3568,1.35702,1.17464,0.46462,0.4021,0.37263,0.18869,2.1723,2.29043,1.34272,0.000424592,0.000424592,0.000424592
14,1840.82,1.39439,1.40031,1.16723,0.40742,0.43798,0.39074,0.19453,2.15816,2.19966,1.33446,0.000420308,0.000420308,0.000420308
15,1972.56,1.40263,1.37216,1.16978,0.42522,0.43452,0.37017,0.19399,2.14034,2.22597,1.35527,0.000416024,0.000416024,0.000416024
16,2104.06,1.36699,1.3531,1.18069,0.4549,0.44786,0.40305,0.19917,2.1667,2.16808,1.36428,0.00041174,0.00041174,0.00041174
17,2235.48,1.36265,1.3439,1.17078,0.46324,0.44842,0.40764,0.20403,2.13079,2.14639,1.36055,0.000407456,0.000407456,0.000407456
18,2366.55,1.33502,1.33123,1.17514,0.44715,0.46317,0.38724,0.19804,2.14692,2.12537,1.33449,0.000403172,0.000403172,0.000403172
19,2497.74,1.33608,1.33143,1.16806,0.44918,0.42303,0.41114,0.2013,2.13034,2.14698,1.36642,0.000398888,0.000398888,0.000398888
20,2629.38,1.37645,1.36231,1.16142,0.38704,0.48441,0.40818,0.20239,2.11155,2.07022,1.31913,0.000394604,0.000394604,0.000394604
21,2760.94,1.33332,1.28591,1.15486,0.36537,0.44575,0.37829,0.19438,2.15427,2.14774,1.31504,0.00039032,0.00039032,0.00039032
22,2892.03,1.33924,1.29779,1.16284,0.4539,0.49363,0.41671,0.21121,2.09331,2.12171,1.30569,0.000386036,0.000386036,0.000386036
23,3023.36,1.31902,1.2741,1.15261,0.38962,0.47957,0.38693,0.20432,2.14161,2.12516,1.3226,0.000381752,0.000381752,0.000381752
24,3155.05,1.29801,1.21869,1.14573,0.45228,0.4701,0.41833,0.20787,2.11854,2.12081,1.30288,0.000377468,0.000377468,0.000377468
