epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.366,2.02755,6.33959,1.73108,0.32353,0.17428,0.15426,0.09855,2.03334,12.0124,1.51278,0.000156683,0.000156683,0.000156683
2,393.071,1.92108,3.81873,1.54232,0.31888,0.17299,0.12304,0.079,2.10547,5.44016,1.5164,0.000315273,0.000315273,0.000315273
3,578.251,1.94893,3.40571,1.57111,0.33926,0.21328,0.16582,0.09313,2.20515,3.9392,1.70773,0.000473554,0.000473554,0.000473554
4,773.959,1.91571,3.16078,1.5926,0.42534,0.23269,0.14932,0.0892,2.20702,3.95065,1.61853,0.000474954,0.000474954,0.000474954
5,942.51,1.91527,2.97721,1.56114,0.35776,0.24238,0.15758,0.08448,2.03861,7.7443,1.54638,0.000474142,0.000474142,0.000474142
6,1167.19,1.84256,2.87713,1.53463,0.45333,0.24571,0.20082,0.11247,2.08332,3.37909,1.53655,0.000473099,0.000473099,0.000473099
7,1425.95,1.81705,2.78127,1.49641,0.27117,0.26132,0.20821,0.12152,2.10474,2.9311,1.50275,0.000471827,0.000471827,0.000471827
8,1746.82,1.83198,2.70292,1.49306,0.36894,0.26012,0.20889,0.1212,1.94826,3.24141,1.4303,0.000470326,0.000470326,0.000470326
9,1946.25,1.77968,2.72335,1.47975,0.40602,0.26692,0.25772,0.15772,1.95236,2.74025,1.39785,0.000468598,0.000468598,0.000468598
10,2159.6,1.73696,2.57507,1.46335,0.47647,0.29121,0.28506,0.1794,1.86429,2.73503,1.37492,0.000466644,0.000466644,0.000466644
11,2367.58,1.70233,2.52073,1.43514,0.51424,0.26411,0.27966,0.15959,1.97309,2.67652,1.35383,0.000464468,0.000464468,0.000464468
12,2582.24,1.68884,2.46627,1.42003,0.38989,0.31915,0.28026,0.16183,1.87566,2.696,1.33586,0.00046207,0.00046207,0.00046207
13,2754.12,1.67359,2.41448,1.39957,0.53736,0.28229,0.28396,0.16726,1.84898,2.54882,1.36511,0.000459454,0.000459454,0.000459454
14,2964.35,1.61592,2.35801,1.40788,0.40143,0.32687,0.31674,0.19228,1.79103,2.34732,1.28967,0.000456621,0.000456621,0.000456621
15,3137.47,1.64642,2.34963,1.39235,0.41561,0.32274,0.29513,0.17648,1.81997,2.58636,1.30447,0.000453575,0.000453575,0.000453575
16,3365.22,1.5624,2.25668,1.35822,0.52126,0.32026,0.28616,0.17695,1.9225,3.31592,1.35821,0.000450319,0.000450319,0.000450319
17,3613.11,1.60207,2.31366,1.36986,0.48988,0.34614,0.33026,0.2108,1.78955,2.25061,1.31544,0.000446855,0.000446855,0.000446855
18,3873.01,1.57984,2.25651,1.3474,0.45147,0.35767,0.34285,0.21038,1.75812,2.26713,1.27267,0.000443188,0.000443188,0.000443188
19,4097.77,1.58235,2.27875,1.36782,0.50033,0.35947,0.35759,0.21918,1.77684,2.31575,1.27413,0.000439321,0.000439321,0.000439321
20,4296.54,1.52704,2.15443,1.33541,0.51124,0.33628,0.34333,0.2178,1.77009,2.3087,1.27624,0.000435257,0.000435257,0.000435257
21,4518.61,1.49735,2.08919,1.31025,0.49026,0.35785,0.37019,0.22325,1.74041,2.42288,1.26085,0.000431001,0.000431001,0.000431001
22,4757.46,1.54087,2.12949,1.34259,0.53971,0.34147,0.34997,0.21679,1.74833,2.2422,1.246,0.000426556,0.000426556,0.000426556
23,4981.98,1.48632,2.12235,1.31539,0.41445,0.37959,0.34629,0.21139,1.74126,2.22848,1.2803,0.000421928,0.000421928,0.000421928
24,5153.13,1.49484,2.03859,1.29523,0.49912,0.36502,0.34818,0.21253,1.81521,2.23921,1.2859,0.000417121,0.000417121,0.000417121
25,5348.87,1.47539,2.05351,1.30629,0.4262,0.42113,0.36149,0.22616,1.72607,2.17531,1.23273,0.00041214,0.00041214,0.00041214
26,5496.85,1.45038,2.01296,1.28318,0.39201,0.4262,0.37729,0.23521,1.68143,2.22011,1.24001,0.000406988,0.000406988,0.000406988
27,5697.9,1.46333,2.03702,1.31816,0.45216,0.42954,0.39901,0.25032,1.70071,2.0786,1.20745,0.000401673,0.000401673,0.000401673
28,5915.68,1.46408,2.01347,1.30128,0.553,0.35997,0.36477,0.2261,1.71557,2.19109,1.25427,0.000396198,0.000396198,0.000396198
