epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7173,1.87428,13.6666,1.49939,0.66185,0.12115,0.13688,0.09066,2.0116,11.8171,1.39372,0.000156923,0.000156923,0.000156923
2,95.1626,1.80662,5.15571,1.344,0.34304,0.22463,0.16819,0.08273,2.1545,5.93537,1.41215,0.000312465,0.000312465,0.000312465
3,132.573,1.89263,4.01824,1.4213,0.39965,0.16406,0.14534,0.08282,2.15302,4.98949,1.46284,0.000464866,0.000464866,0.000464866
4,169.52,1.90089,3.6135,1.4052,0.56253,0.15597,0.17315,0.08842,2.35173,4.26469,1.47504,0.000461863,0.000461863,0.000461863
5,206.163,1.92169,3.40411,1.3747,0.51002,0.21055,0.21325,0.11968,2.14527,3.71648,1.37114,0.00045715,0.00045715,0.00045715
6,243.77,1.86061,3.25798,1.35835,0.37851,0.21888,0.22517,0.13715,2.06086,3.57811,1.33339,0.000452438,0.000452438,0.000452438
7,281.171,1.84527,3.1283,1.34427,0.4686,0.24858,0.24107,0.14855,1.99177,3.16553,1.3279,0.000447726,0.000447726,0.000447726
8,319.333,1.79238,2.99147,1.33862,0.41791,0.26846,0.25247,0.14466,2.0774,3.1165,1.33818,0.000443013,0.000443013,0.000443013
9,357.187,1.79407,2.98571,1.33423,0.49351,0.30616,0.26886,0.16541,1.9868,3.03117,1.28292,0.000438301,0.000438301,0.000438301
10,394.562,1.77078,2.89547,1.31924,0.71239,0.23191,0.29394,0.17962,2.04083,3.06043,1.31736,0.000433588,0.000433588,0.000433588
11,432.132,1.76266,2.80582,1.31203,0.45598,0.31947,0.32637,0.19238,1.96116,2.93088,1.23872,0.000428876,0.000428876,0.000428876
12,469.738,1.77817,2.83042,1.28374,0.38277,0.26709,0.26439,0.15693,1.96211,3.07284,1.25859,0.000424164,0.000424164,0.000424164
13,507.119,1.71322,2.73848,1.29257,0.48275,0.30872,0.30166,0.18401,1.97179,2.72451,1.25157,0.000419451,0.000419451,0.000419451
14,544.721,1.71012,2.64409,1.26976,0.48849,0.3452,0.35336,0.20519,1.96568,2.70263,1.21706,0.000414739,0.000414739,0.000414739
15,582.126,1.71421,2.68609,1.28712,0.73953,0.29788,0.36894,0.21233,1.91063,2.75278,1.24288,0.000410026,0.000410026,0.000410026
