epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4607,1.87628,14.5702,1.51376,0.05349,0.06082,0.03838,0.02562,1.99889,22.2827,1.40995,0.000156683,0.000156683,0.000156683
2,89.2805,1.82993,5.49252,1.3754,0.39394,0.24272,0.16764,0.09828,2.16284,7.23213,1.43855,0.000312228,0.000312228,0.000312228
3,124.379,1.93003,4.07584,1.39141,0.24485,0.17646,0.108,0.05847,2.1876,4.99272,1.41412,0.000464631,0.000464631,0.000464631
4,158.596,1.90927,3.62635,1.41328,0.20947,0.21412,0.13375,0.07756,2.15871,4.51859,1.40273,0.000461863,0.000461863,0.000461863
5,193.522,1.90276,3.45526,1.39419,0.29517,0.20022,0.16056,0.08999,2.18449,4.40888,1.37886,0.00045715,0.00045715,0.00045715
6,227.81,1.86485,3.39757,1.39497,0.3147,0.25633,0.18057,0.10637,2.18641,3.61236,1.38537,0.000452438,0.000452438,0.000452438
7,261.73,1.84034,3.17733,1.33284,0.43544,0.25405,0.19313,0.11388,2.06948,3.64378,1.34823,0.000447726,0.000447726,0.000447726
8,296.851,1.80183,3.08951,1.33329,0.54898,0.25709,0.26665,0.15415,2.08591,3.32148,1.32523,0.000443013,0.000443013,0.000443013
9,331.286,1.82555,3.08191,1.32891,0.38913,0.29232,0.25654,0.1404,2.07297,3.53432,1.3198,0.000438301,0.000438301,0.000438301
10,365.729,1.79851,2.95185,1.3348,0.36899,0.27883,0.26919,0.15868,2.09042,3.03053,1.3037,0.000433588,0.000433588,0.000433588
11,399.81,1.72697,2.86195,1.29733,0.38493,0.28989,0.26135,0.15751,2.0853,3.01564,1.29508,0.000428876,0.000428876,0.000428876
12,434.856,1.75796,2.81382,1.30089,0.28082,0.29573,0.2661,0.15676,2.10021,3.00102,1.3037,0.000424164,0.000424164,0.000424164
13,468.795,1.69291,2.7928,1.27212,0.34069,0.28968,0.25386,0.16024,2.03215,2.94094,1.23799,0.000419451,0.000419451,0.000419451
14,504.934,1.69832,2.69242,1.25094,0.50227,0.29451,0.29611,0.18129,2.02265,2.86712,1.24984,0.000414739,0.000414739,0.000414739
15,540.38,1.76626,2.70485,1.28497,0.48253,0.29807,0.29151,0.18466,2.05069,2.93141,1.25486,0.000410026,0.000410026,0.000410026
16,575.829,1.65164,2.64127,1.24735,0.44062,0.37118,0.34606,0.21687,1.95272,2.59038,1.20501,0.000405314,0.000405314,0.000405314
