epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6845,2.04324,11.8048,0.02233,0.20206,0.04691,0.02545,0.01616,2.06882,10.2804,0.02659,0.000156683,0.000156683,0.000156683
2,101.113,1.88331,5.62861,0.01708,0.35335,0.14997,0.10851,0.06799,2.095,5.863,0.02608,0.000312228,0.000312228,0.000312228
3,136.186,1.93883,4.15146,0.01689,0.35914,0.21047,0.15246,0.08827,2.14144,4.50942,0.02568,0.000464631,0.000464631,0.000464631
4,171.402,1.8487,3.56,0.01685,0.39034,0.18271,0.1887,0.11146,2.15083,3.91926,0.0266,0.000461863,0.000461863,0.000461863
5,207.081,1.89197,3.35375,0.01693,0.46503,0.22728,0.23399,0.13334,2.17377,3.49501,0.02669,0.00045715,0.00045715,0.00045715
6,242.493,1.83496,3.16096,0.01697,0.31244,0.26397,0.24543,0.14398,2.0598,3.36132,0.02481,0.000452438,0.000452438,0.000452438
7,278.896,1.85601,2.93738,0.01569,0.35606,0.2946,0.27087,0.16144,2.02886,3.13819,0.02064,0.000447726,0.000447726,0.000447726
8,317.242,1.79731,2.90387,0.01538,0.39691,0.28963,0.25727,0.15079,2.00817,3.47514,0.02269,0.000443013,0.000443013,0.000443013
9,354.05,1.82771,2.81873,0.01487,0.38146,0.3203,0.29197,0.17279,2.02344,2.91494,0.02381,0.000438301,0.000438301,0.000438301
10,391.599,1.77141,2.70731,0.01497,0.44266,0.34786,0.32781,0.20184,1.93212,2.77674,0.01994,0.000433588,0.000433588,0.000433588
11,429.017,1.72006,2.61448,0.01448,0.467,0.31226,0.30158,0.17143,1.9708,2.87807,0.021,0.000428876,0.000428876,0.000428876
12,466.731,1.76239,2.58825,0.01437,0.40605,0.30985,0.29552,0.16735,2.03007,2.941,0.02124,0.000424164,0.000424164,0.000424164
13,503.985,1.74274,2.53972,0.01455,0.56987,0.34001,0.35675,0.20904,1.99946,2.71268,0.02104,0.000419451,0.000419451,0.000419451
14,541.651,1.7291,2.48481,0.01386,0.40305,0.35404,0.34845,0.21309,1.92726,2.71819,0.02058,0.000414739,0.000414739,0.000414739
15,579.381,1.74926,2.46276,0.01352,0.49587,0.37874,0.35637,0.20941,1.9101,2.58296,0.01925,0.000410026,0.000410026,0.000410026
16,617.557,1.6709,2.37205,0.01301,0.38982,0.39475,0.36054,0.21799,1.88501,2.53729,0.0185,0.000405314,0.000405314,0.000405314
17,654.789,1.69162,2.37174,0.01376,0.49091,0.37062,0.35061,0.20985,1.91209,2.72129,0.02007,0.000400602,0.000400602,0.000400602
18,691.84,1.6878,2.32463,0.01268,0.51794,0.3536,0.37521,0.22323,1.92,2.51029,0.02045,0.000395889,0.000395889,0.000395889
19,730.557,1.64491,2.28325,0.01289,0.40746,0.4248,0.39278,0.24999,1.8652,2.42968,0.01853,0.000391177,0.000391177,0.000391177
20,768.431,1.58465,2.21428,0.01276,0.49812,0.39557,0.38824,0.24214,1.80365,2.45497,0.01746,0.000386464,0.000386464,0.000386464
21,805.696,1.6188,2.16224,0.01234,0.4004,0.36548,0.35789,0.22982,1.85439,2.55535,0.01826,0.000381752,0.000381752,0.000381752
22,843.835,1.60365,2.14313,0.01213,0.54847,0.39642,0.39229,0.25198,1.78153,2.41539,0.01737,0.00037704,0.00037704,0.00037704
23,880.624,1.59495,2.10591,0.01201,0.48714,0.40556,0.38063,0.21952,1.88906,2.53824,0.01739,0.000372327,0.000372327,0.000372327
24,919.375,1.61731,2.07775,0.0121,0.44312,0.42599,0.3897,0.23928,1.85469,2.4833,0.01722,0.000367615,0.000367615,0.000367615
25,958.835,1.59862,2.02918,0.01188,0.36741,0.40996,0.34973,0.21137,1.89405,2.58139,0.01926,0.000362902,0.000362902,0.000362902
26,995.89,1.58123,2.04321,0.01185,0.44302,0.40705,0.40683,0.25465,1.8316,2.38431,0.01774,0.00035819,0.00035819,0.00035819
27,1033.4,1.55577,2.02267,0.01169,0.49232,0.39552,0.39764,0.24837,1.83747,2.37824,0.01804,0.000353478,0.000353478,0.000353478
28,1070.82,1.56358,2.00847,0.01193,0.47729,0.44032,0.40691,0.24718,1.78343,2.41124,0.01593,0.000348765,0.000348765,0.000348765
29,1108.19,1.59302,1.96607,0.01101,0.48597,0.42469,0.42166,0.25739,1.80438,2.3464,0.01671,0.000344053,0.000344053,0.000344053
30,1146.9,1.58207,1.99381,0.01208,0.50279,0.41527,0.41596,0.25611,1.76234,2.36416,0.01469,0.00033934,0.00033934,0.00033934
31,1184.2,1.50349,1.9178,0.01128,0.4882,0.43438,0.4287,0.26342,1.84672,2.37898,0.01695,0.000334628,0.000334628,0.000334628
32,1222.01,1.55455,1.88074,0.01103,0.47741,0.44251,0.43871,0.28087,1.78028,2.29414,0.01657,0.000329916,0.000329916,0.000329916
33,1259.38,1.56913,1.89051,0.01161,0.48393,0.43762,0.4257,0.26208,1.85057,2.35865,0.01764,0.000325203,0.000325203,0.000325203
34,1296.92,1.52196,1.8623,0.01095,0.52141,0.42832,0.43868,0.25896,1.90171,2.3187,0.02082,0.000320491,0.000320491,0.000320491
35,1334.06,1.504,1.78734,0.01039,0.46081,0.44791,0.43965,0.27637,1.81071,2.23661,0.0172,0.000315778,0.000315778,0.000315778
36,1371.73,1.48774,1.82777,0.01126,0.48285,0.413,0.43892,0.26963,1.82682,2.33359,0.01636,0.000311066,0.000311066,0.000311066
37,1409.25,1.5341,1.82266,0.01061,0.52598,0.45704,0.43619,0.28188,1.75336,2.31921,0.01544,0.000306354,0.000306354,0.000306354
38,1446.48,1.50056,1.79264,0.01075,0.46843,0.43204,0.41821,0.26535,1.76529,2.3198,0.01551,0.000301641,0.000301641,0.000301641
39,1483.72,1.53956,1.79229,0.01097,0.53656,0.4371,0.42769,0.2724,1.7227,2.3067,0.01448,0.000296929,0.000296929,0.000296929
40,1522.87,1.45877,1.73446,0.01058,0.51902,0.50205,0.46537,0.28924,1.76836,2.26527,0.01498,0.000292216,0.000292216,0.000292216
41,1560.19,1.51678,1.75187,0.01076,0.5452,0.45359,0.45935,0.2906,1.7867,2.24842,0.01546,0.000287504,0.000287504,0.000287504
42,1598.3,1.49677,1.75339,0.01052,0.58055,0.42716,0.43504,0.28257,1.78796,2.24494,0.01512,0.000282792,0.000282792,0.000282792
43,1635.57,1.51393,1.70548,0.01046,0.5517,0.46996,0.456,0.28077,1.82641,2.27646,0.01605,0.000278079,0.000278079,0.000278079
44,1675.44,1.51906,1.70869,0.01027,0.50892,0.46713,0.44359,0.28442,1.77626,2.16025,0.01531,0.000273367,0.000273367,0.000273367
45,1720.42,1.49822,1.68043,0.0101,0.5563,0.45515,0.45608,0.28846,1.7825,2.18336,0.01464,0.000268654,0.000268654,0.000268654
46,1761.91,1.48124,1.67914,0.01024,0.47236,0.43848,0.43371,0.26995,1.81698,2.27625,0.01716,0.000263942,0.000263942,0.000263942
47,1802.34,1.44186,1.61138,0.00978,0.52644,0.46984,0.47,0.3057,1.76108,2.13739,0.01484,0.00025923,0.00025923,0.00025923
