epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5971,2.04506,11.3029,0.02174,0.3608,0.05222,0.03237,0.02247,2.04488,10.2919,0.02933,0.000156923,0.000156923,0.000156923
2,93.2899,1.89645,5.46721,0.01785,0.52867,0.1348,0.11677,0.0689,2.0459,5.57581,0.02362,0.000314028,0.000314028,0.000314028
3,131.365,1.91757,4.02209,0.01777,0.38121,0.18145,0.14597,0.08139,2.28545,4.21326,0.02776,0.000469561,0.000469561,0.000469561
4,169.252,1.91389,3.56282,0.01727,0.44925,0.26882,0.24621,0.1371,2.07436,3.6715,0.02204,0.000468931,0.000468931,0.000468931
5,207.683,1.92617,3.2805,0.01678,0.50158,0.24389,0.23556,0.13233,2.14102,3.45248,0.02601,0.000466575,0.000466575,0.000466575
6,245.413,1.87488,3.09902,0.0177,0.48625,0.23463,0.26583,0.15814,2.06387,3.16309,0.02404,0.000464219,0.000464219,0.000464219
7,280.784,1.8454,2.94182,0.01671,0.41352,0.31015,0.3001,0.1737,2.00656,3.05789,0.02165,0.000461863,0.000461863,0.000461863
8,315.992,1.798,2.78331,0.01535,0.46044,0.31081,0.29998,0.17909,2.01705,2.86121,0.02076,0.000459507,0.000459507,0.000459507
9,351.187,1.82429,2.75,0.01566,0.40602,0.31803,0.28209,0.16484,2.03638,2.92514,0.02252,0.00045715,0.00045715,0.00045715
10,389.301,1.80509,2.67354,0.01582,0.53128,0.31716,0.34287,0.20234,1.98694,2.81532,0.02035,0.000454794,0.000454794,0.000454794
11,427.58,1.76331,2.5855,0.01489,0.40434,0.34621,0.33297,0.19427,2.01783,2.7613,0.02296,0.000452438,0.000452438,0.000452438
12,466.852,1.78019,2.61064,0.01454,0.46805,0.37842,0.36328,0.21759,1.94822,2.64729,0.02056,0.000450082,0.000450082,0.000450082
13,503.229,1.75067,2.4974,0.01444,0.50221,0.38239,0.39621,0.23884,1.93246,2.53929,0.01965,0.000447726,0.000447726,0.000447726
14,541.311,1.68407,2.39668,0.01408,0.55928,0.39367,0.39952,0.25657,1.8687,2.46676,0.01849,0.000445369,0.000445369,0.000445369
15,578.369,1.71939,2.42682,0.01413,0.52592,0.48071,0.49201,0.29042,1.90675,2.41873,0.01821,0.000443013,0.000443013,0.000443013
16,615.882,1.75203,2.43483,0.01388,0.49823,0.40656,0.42524,0.26293,1.8929,2.42707,0.01805,0.000440657,0.000440657,0.000440657
17,653.582,1.75009,2.30306,0.01325,0.44261,0.46866,0.44866,0.27458,1.91711,2.3171,0.01739,0.000438301,0.000438301,0.000438301
18,690.847,1.73762,2.32623,0.01342,0.45746,0.49677,0.45108,0.27772,1.86226,2.32973,0.01651,0.000435945,0.000435945,0.000435945
19,728.418,1.66876,2.21002,0.01303,0.5565,0.43,0.45653,0.27178,1.93236,2.30676,0.0185,0.000433588,0.000433588,0.000433588
20,765.742,1.66663,2.23447,0.0133,0.36673,0.45495,0.43155,0.26555,1.89935,2.29925,0.01824,0.000431232,0.000431232,0.000431232
21,803.631,1.65373,2.15554,0.01327,0.449,0.45707,0.45959,0.27272,1.88897,2.33504,0.01723,0.000428876,0.000428876,0.000428876
22,841.118,1.70842,2.26952,0.01325,0.39673,0.48087,0.45777,0.27329,1.8863,2.33168,0.01755,0.00042652,0.00042652,0.00042652
23,878.183,1.70049,2.1497,0.01311,0.46475,0.48586,0.46575,0.28621,1.8792,2.39089,0.01678,0.000424164,0.000424164,0.000424164
24,915.594,1.63072,2.1093,0.01255,0.48336,0.45673,0.43918,0.27061,1.98756,2.40341,0.01842,0.000421807,0.000421807,0.000421807
25,953.82,1.64447,2.1201,0.01278,0.43179,0.50004,0.47054,0.30472,1.83461,2.24651,0.01719,0.000419451,0.000419451,0.000419451
26,993.054,1.6505,2.0469,0.0122,0.47642,0.51253,0.4767,0.30079,1.84807,2.25204,0.01599,0.000417095,0.000417095,0.000417095
27,1031.53,1.64316,2.0543,0.01287,0.48525,0.527,0.47815,0.29004,1.85952,2.19206,0.01591,0.000414739,0.000414739,0.000414739
28,1069.24,1.66206,2.0101,0.01181,0.54247,0.43861,0.46237,0.31023,1.85759,2.27206,0.0156,0.000412383,0.000412383,0.000412383
29,1106.6,1.63566,1.97195,0.01173,0.48258,0.4772,0.48653,0.29925,1.8505,2.24801,0.01738,0.000410026,0.000410026,0.000410026
30,1144.21,1.59534,1.9518,0.01211,0.59343,0.50372,0.52862,0.33591,1.89586,2.29057,0.01551,0.00040767,0.00040767,0.00040767
31,1182.14,1.62244,1.9807,0.01181,0.4487,0.55501,0.5076,0.31456,1.91226,2.22364,0.01691,0.000405314,0.000405314,0.000405314
32,1219.72,1.59376,1.89991,0.01178,0.48312,0.47205,0.48024,0.2933,1.86366,2.25676,0.01677,0.000402958,0.000402958,0.000402958
33,1257.55,1.60625,1.91884,0.01146,0.45426,0.43515,0.44013,0.27322,1.93902,2.27016,0.01621,0.000400602,0.000400602,0.000400602
34,1294.74,1.59226,1.86791,0.0114,0.44585,0.47678,0.47142,0.29452,1.91869,2.35239,0.01699,0.000398245,0.000398245,0.000398245
35,1332.08,1.567,1.90531,0.01141,0.50738,0.48042,0.48194,0.30594,1.90174,2.15686,0.01578,0.000395889,0.000395889,0.000395889
36,1369.77,1.59486,1.91175,0.01131,0.58577,0.44706,0.46739,0.30098,1.86479,2.42993,0.01632,0.000393533,0.000393533,0.000393533
37,1409.67,1.55168,1.8503,0.01106,0.47349,0.5189,0.48505,0.30479,1.81827,2.17328,0.01628,0.000391177,0.000391177,0.000391177
38,1446.29,1.58676,1.82338,0.01154,0.48048,0.51078,0.4838,0.31628,1.84068,2.26374,0.01584,0.000388821,0.000388821,0.000388821
39,1483.43,1.57342,1.79732,0.01127,0.59581,0.51095,0.54997,0.36434,1.78374,2.07728,0.01552,0.000386464,0.000386464,0.000386464
40,1521.71,1.56017,1.81701,0.01094,0.57002,0.46995,0.53144,0.33002,1.83738,2.1278,0.01585,0.000384108,0.000384108,0.000384108
41,1558.43,1.5284,1.76273,0.01095,0.53224,0.51782,0.52309,0.33656,1.85927,2.15524,0.01786,0.000381752,0.000381752,0.000381752
42,1595.24,1.55148,1.76704,0.01148,0.50889,0.51155,0.51036,0.32272,1.81536,2.10661,0.01507,0.000379396,0.000379396,0.000379396
43,1631.05,1.57155,1.74877,0.01115,0.48981,0.53034,0.52816,0.33695,1.77847,2.11713,0.015,0.00037704,0.00037704,0.00037704
44,1668.98,1.55403,1.74647,0.01094,0.52934,0.54894,0.563,0.36172,1.83908,2.13752,0.01549,0.000374683,0.000374683,0.000374683
45,1705.73,1.53691,1.79466,0.01133,0.48998,0.56255,0.54156,0.32903,1.85067,2.13165,0.01547,0.000372327,0.000372327,0.000372327
46,1741.92,1.54837,1.68615,0.01043,0.56549,0.5266,0.53481,0.34697,1.83212,2.06354,0.01529,0.000369971,0.000369971,0.000369971
47,1778.46,1.52918,1.67185,0.01036,0.46602,0.46383,0.49702,0.328,1.81104,2.14497,0.01584,0.000367615,0.000367615,0.000367615
