epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1609,2.04506,11.3029,0.02174,0.3608,0.05222,0.03237,0.02247,2.04488,10.2919,0.02933,0.000156923,0.000156923,0.000156923
2,85.009,1.89593,5.45104,0.01756,0.52774,0.13272,0.1231,0.07448,2.20804,5.63115,0.02729,0.000315513,0.000315513,0.000315513
3,120.371,1.95055,4.08486,0.01858,0.42294,0.1734,0.1555,0.09216,2.11027,4.4721,0.02853,0.000473793,0.000473793,0.000473793
4,155.321,1.93695,3.58842,0.01777,0.49071,0.22108,0.24127,0.14881,2.14312,3.83277,0.02576,0.000474954,0.000474954,0.000474954
5,189.713,1.91938,3.27616,0.01683,0.34565,0.25903,0.23285,0.13269,2.17231,3.52937,0.02545,0.000474142,0.000474142,0.000474142
6,224.984,1.88521,3.11482,0.01727,0.569,0.25614,0.2631,0.15484,2.08306,3.17645,0.02439,0.000473099,0.000473099,0.000473099
7,260.466,1.8863,3.03546,0.01693,0.50935,0.2663,0.2908,0.16053,2.06187,3.11841,0.02337,0.000471827,0.000471827,0.000471827
8,294.759,1.84854,2.81982,0.0165,0.45823,0.31583,0.29178,0.16861,2.12885,2.94581,0.02545,0.000470326,0.000470326,0.000470326
9,329.103,1.84132,2.74095,0.01628,0.47099,0.3126,0.31364,0.17914,2.08864,3.00005,0.02212,0.000468598,0.000468598,0.000468598
10,363.684,1.85202,2.75062,0.01629,0.44515,0.34569,0.33386,0.18777,2.0014,2.85143,0.02035,0.000466644,0.000466644,0.000466644
11,398.275,1.7991,2.61914,0.01546,0.47123,0.38269,0.37535,0.20675,2.02339,2.60976,0.02195,0.000464468,0.000464468,0.000464468
12,433.069,1.8231,2.56914,0.01488,0.437,0.34271,0.3508,0.2066,2.0047,2.69404,0.02098,0.00046207,0.00046207,0.00046207
13,467.416,1.75584,2.50223,0.01461,0.50811,0.37597,0.42695,0.23662,1.92993,2.53299,0.01903,0.000459454,0.000459454,0.000459454
