epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8736,2.04506,11.3029,0.02174,0.3608,0.05222,0.03237,0.02247,2.04488,10.2919,0.02933,0.000156923,0.000156923,0.000156923
2,86.8008,1.91161,5.53111,0.01768,0.5474,0.1189,0.11541,0.06995,1.97243,5.42248,0.0252,0.00031557,0.00031557,0.00031557
3,123.01,1.91801,4.08746,0.01825,0.41952,0.15763,0.17036,0.09283,2.34577,4.39742,0.03112,0.000474141,0.000474141,0.000474141
4,157.848,1.98379,3.61736,0.01861,0.43506,0.22058,0.22752,0.11601,2.06913,3.65125,0.0247,0.000475738,0.000475738,0.000475738
5,192.727,1.93616,3.30174,0.0173,0.40998,0.26035,0.24929,0.14168,2.15318,3.21881,0.02334,0.000475535,0.000475535,0.000475535
6,227.975,1.89356,3.14843,0.01759,0.46911,0.29733,0.30871,0.17612,2.00766,3.09065,0.0206,0.000475274,0.000475274,0.000475274
7,262.65,1.86015,2.9924,0.01668,0.55691,0.28693,0.32522,0.19831,1.92098,2.87587,0.01936,0.000474954,0.000474954,0.000474954
8,297.597,1.80976,2.80054,0.01558,0.54034,0.33619,0.34041,0.2006,2.01018,2.954,0.02263,0.000474577,0.000474577,0.000474577
9,332.095,1.78426,2.7597,0.01513,0.47336,0.31242,0.3126,0.17663,1.90285,2.83985,0.01835,0.000474142,0.000474142,0.000474142
10,366.696,1.77756,2.72559,0.01539,0.54609,0.33192,0.33513,0.20091,1.97947,2.81814,0.02256,0.000473649,0.000473649,0.000473649
11,400.34,1.7631,2.611,0.0148,0.40205,0.36997,0.32233,0.1943,1.91761,2.89065,0.01917,0.000473099,0.000473099,0.000473099
12,435.751,1.76141,2.64018,0.01406,0.45295,0.34675,0.35302,0.21478,1.84889,2.65759,0.01869,0.000472491,0.000472491,0.000472491
13,469.679,1.70291,2.5404,0.01378,0.55293,0.35125,0.38495,0.23312,1.97414,2.55215,0.01899,0.000471827,0.000471827,0.000471827
14,504.193,1.71444,2.45804,0.01453,0.59761,0.36699,0.40811,0.23368,1.91492,2.59093,0.01864,0.000471104,0.000471104,0.000471104
15,540.225,1.71252,2.46304,0.01388,0.46532,0.35185,0.38715,0.23727,1.89254,2.53578,0.01836,0.000470326,0.000470326,0.000470326
16,576.092,1.73521,2.46595,0.0137,0.5383,0.37891,0.39735,0.24607,1.86618,2.50876,0.01711,0.00046949,0.00046949,0.00046949
17,611.302,1.7496,2.37447,0.01358,0.53282,0.37539,0.39268,0.24693,1.87358,2.47722,0.01775,0.000468598,0.000468598,0.000468598
18,647.23,1.72976,2.36265,0.01352,0.58059,0.39615,0.43203,0.27296,1.8879,2.28498,0.01725,0.000467649,0.000467649,0.000467649
19,683.128,1.6341,2.23744,0.01279,0.51744,0.40544,0.44106,0.28408,1.8196,2.38567,0.0175,0.000466644,0.000466644,0.000466644
20,718.19,1.63981,2.25122,0.01305,0.45138,0.43057,0.43624,0.27309,1.85907,2.39318,0.01874,0.000465584,0.000465584,0.000465584
21,754.645,1.60507,2.19297,0.01254,0.46262,0.4659,0.44659,0.28169,1.81751,2.47204,0.01705,0.000464468,0.000464468,0.000464468
22,790.506,1.6587,2.26454,0.01262,0.56289,0.41343,0.43844,0.29102,1.81293,2.26486,0.01716,0.000463297,0.000463297,0.000463297
23,826.05,1.64357,2.21989,0.01267,0.59709,0.44032,0.47511,0.30309,1.80601,2.3339,0.01706,0.00046207,0.00046207,0.00046207
24,862.198,1.62318,2.15766,0.0127,0.40263,0.47651,0.45747,0.297,1.78023,2.23851,0.01595,0.000460789,0.000460789,0.000460789
25,897.37,1.62959,2.16323,0.01265,0.55257,0.41024,0.4465,0.28997,1.82871,2.32023,0.01769,0.000459454,0.000459454,0.000459454
26,933.238,1.62524,2.06644,0.01213,0.53957,0.51251,0.51143,0.29469,1.86492,2.24926,0.0174,0.000458064,0.000458064,0.000458064
