epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3595,2.04324,11.8048,0.02233,0.20206,0.04691,0.02545,0.01616,2.06882,10.2804,0.02659,0.000156683,0.000156683,0.000156683
2,124.837,1.8737,5.64668,0.01704,0.50559,0.14093,0.12404,0.06921,2.19007,6.62469,0.03144,0.000315273,0.000315273,0.000315273
3,163.458,1.95116,4.1607,0.01747,0.40556,0.19131,0.17152,0.10314,2.11378,4.51882,0.02667,0.000473554,0.000473554,0.000473554
4,202.471,1.88485,3.56754,0.01771,0.36128,0.22252,0.19441,0.11939,2.14958,3.87766,0.02696,0.000474954,0.000474954,0.000474954
5,245.015,1.9473,3.32111,0.01737,0.33406,0.21599,0.18189,0.10598,2.1219,3.58176,0.0259,0.000474142,0.000474142,0.000474142
6,287.126,1.85816,3.15535,0.0173,0.40384,0.28878,0.25038,0.14611,2.04278,3.3586,0.02544,0.000473099,0.000473099,0.000473099
7,328.044,1.84765,3.01624,0.01629,0.35728,0.24948,0.22017,0.1316,2.11001,3.40708,0.02632,0.000471827,0.000471827,0.000471827
8,371.311,1.82773,2.93187,0.01631,0.41015,0.31368,0.27949,0.15899,2.05204,3.01839,0.02302,0.000470326,0.000470326,0.000470326
9,415.131,1.84797,2.86014,0.01559,0.39585,0.30268,0.28526,0.17472,2.05955,3.0736,0.02254,0.000468598,0.000468598,0.000468598
10,458.452,1.83741,2.7761,0.0157,0.449,0.33081,0.32504,0.18477,1.95745,2.8599,0.02305,0.000466644,0.000466644,0.000466644
11,507.816,1.76046,2.68568,0.01557,0.40856,0.30951,0.30094,0.18474,1.99769,2.9514,0.02199,0.000464468,0.000464468,0.000464468
12,551.674,1.78118,2.59581,0.01469,0.48165,0.36655,0.35772,0.21298,2.00968,2.64796,0.02218,0.00046207,0.00046207,0.00046207
13,596.268,1.73398,2.56431,0.01427,0.59737,0.31396,0.3421,0.1997,1.92345,2.7387,0.02031,0.000459454,0.000459454,0.000459454
14,655.924,1.7362,2.49729,0.01395,0.38945,0.36733,0.37705,0.22347,1.96196,2.61766,0.02223,0.000456621,0.000456621,0.000456621
15,705.366,1.76023,2.46197,0.01398,0.48606,0.37113,0.36425,0.20876,1.94961,2.58318,0.02011,0.000453575,0.000453575,0.000453575
16,754.454,1.70841,2.39848,0.01361,0.51639,0.369,0.38705,0.23383,1.83191,2.58684,0.01765,0.000450319,0.000450319,0.000450319
17,803.197,1.66988,2.40673,0.01371,0.41773,0.38863,0.37558,0.21188,1.95445,2.61231,0.02045,0.000446855,0.000446855,0.000446855
18,850.408,1.73964,2.35178,0.01363,0.43429,0.33233,0.32459,0.18458,1.99852,2.75857,0.02235,0.000443188,0.000443188,0.000443188
19,901.314,1.69048,2.32117,0.01353,0.38083,0.4299,0.37093,0.21626,1.94777,2.53347,0.01984,0.000439321,0.000439321,0.000439321
20,943.578,1.6482,2.23242,0.01344,0.48695,0.41627,0.40377,0.23924,1.97332,2.42559,0.01925,0.000435257,0.000435257,0.000435257
21,992.713,1.67197,2.17181,0.01294,0.42877,0.36715,0.36073,0.21661,1.98236,2.60033,0.02155,0.000431001,0.000431001,0.000431001
22,1039.74,1.65948,2.12167,0.01254,0.51007,0.3916,0.37921,0.23423,1.90178,2.38532,0.0186,0.000426556,0.000426556,0.000426556
23,1087.85,1.63757,2.09332,0.01262,0.47446,0.42757,0.41989,0.26091,1.92868,2.32764,0.01889,0.000421928,0.000421928,0.000421928
24,1128.84,1.65922,2.07852,0.01246,0.50561,0.40279,0.40423,0.24294,1.92362,2.31024,0.01864,0.000417121,0.000417121,0.000417121
25,1170.34,1.63964,2.06267,0.01214,0.37836,0.39426,0.36261,0.21279,2.01962,2.492,0.0231,0.00041214,0.00041214,0.00041214
26,1211.4,1.65231,2.03794,0.01256,0.53175,0.3938,0.41204,0.25714,1.86666,2.37645,0.01807,0.000406988,0.000406988,0.000406988
27,1252.02,1.61451,2.03896,0.01239,0.47765,0.42117,0.42568,0.25726,1.91524,2.25858,0.01903,0.000401673,0.000401673,0.000401673
28,1292.26,1.59992,1.97013,0.01219,0.46702,0.45695,0.41778,0.25796,1.8945,2.33465,0.01888,0.000396198,0.000396198,0.000396198
29,1333.5,1.63441,1.96003,0.01157,0.52904,0.41406,0.41708,0.26113,1.92079,2.26,0.01743,0.00039057,0.00039057,0.00039057
30,1373.28,1.60765,2.0087,0.01237,0.47992,0.44879,0.42232,0.25731,1.89947,2.31531,0.01862,0.000384793,0.000384793,0.000384793
31,1413.37,1.56574,1.93309,0.01169,0.48211,0.41396,0.39401,0.24067,1.89548,2.37839,0.01934,0.000378874,0.000378874,0.000378874
32,1453.94,1.6145,1.95738,0.01176,0.50169,0.42651,0.43389,0.26871,1.89755,2.25278,0.01761,0.000372818,0.000372818,0.000372818
33,1494.99,1.61415,1.91806,0.01208,0.49729,0.44217,0.42133,0.25955,1.85906,2.30885,0.01897,0.000366632,0.000366632,0.000366632
34,1534.88,1.59433,1.84877,0.01108,0.52554,0.43795,0.43799,0.27688,1.90402,2.20274,0.01934,0.00036032,0.00036032,0.00036032
35,1575.56,1.58607,1.83605,0.01115,0.48535,0.45999,0.43248,0.27229,1.87891,2.23548,0.01607,0.000353891,0.000353891,0.000353891
36,1614.84,1.525,1.79241,0.01179,0.41865,0.42776,0.42645,0.26482,1.87081,2.24056,0.01676,0.000347349,0.000347349,0.000347349
37,1654.34,1.57135,1.80171,0.01097,0.44969,0.47096,0.4619,0.28518,1.81648,2.18157,0.01652,0.000340702,0.000340702,0.000340702
38,1693.49,1.54049,1.81015,0.01094,0.45593,0.42583,0.41345,0.25842,1.88184,2.28339,0.01681,0.000333956,0.000333956,0.000333956
39,1731.97,1.55783,1.77721,0.0109,0.48224,0.45721,0.46133,0.29305,1.80548,2.13406,0.01593,0.000327118,0.000327118,0.000327118
40,1771.11,1.5104,1.73416,0.01126,0.52609,0.46979,0.45979,0.29404,1.83859,2.1946,0.01691,0.000320193,0.000320193,0.000320193
41,1810.34,1.57591,1.72004,0.01148,0.45498,0.47723,0.45127,0.2763,1.86297,2.21729,0.01717,0.000313191,0.000313191,0.000313191
42,1850.28,1.54246,1.73123,0.01129,0.45427,0.48262,0.43425,0.26887,1.88192,2.17322,0.01735,0.000306116,0.000306116,0.000306116
43,1890.84,1.54964,1.75193,0.0108,0.53813,0.43538,0.42867,0.2586,1.90266,2.2013,0.01689,0.000298976,0.000298976,0.000298976
44,1931.87,1.5381,1.69429,0.01037,0.53662,0.47556,0.45652,0.28832,1.88618,2.19216,0.01586,0.000291779,0.000291779,0.000291779
45,1971.76,1.53298,1.65799,0.01024,0.54006,0.46475,0.46473,0.29484,1.81699,2.15226,0.0159,0.000284531,0.000284531,0.000284531
46,2017.27,1.51687,1.67242,0.01037,0.47028,0.44751,0.43905,0.26675,1.90475,2.22493,0.01845,0.000277239,0.000277239,0.000277239
47,2075.05,1.48995,1.58083,0.01,0.46169,0.48179,0.46921,0.30237,1.81086,2.09052,0.0158,0.000269911,0.000269911,0.000269911
48,2128.02,1.44236,1.56716,0.00971,0.54948,0.4746,0.46127,0.2889,1.79476,2.19053,0.01422,0.000262554,0.000262554,0.000262554
49,2176.35,1.45349,1.55953,0.00945,0.52849,0.45873,0.44251,0.27712,1.86178,2.20927,0.01651,0.000255175,0.000255175,0.000255175
50,2227.08,1.46984,1.53519,0.01035,0.47784,0.48633,0.47988,0.3056,1.81193,2.08557,0.01503,0.000247781,0.000247781,0.000247781
