epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.951,2.33058,3.01363,1.79033,0.60498,0.16828,0.16265,0.09339,2.85673,3.59879,2.34421,0.000158435,0.000158435,0.000158435
2,369.018,2.13574,2.43264,1.6623,0.51302,0.09786,0.07426,0.03553,2.86933,4.02972,2.1786,0.000304545,0.000304545,0.000304545
3,551.719,2.13317,2.39372,1.68,0.39735,0.09643,0.05904,0.0298,3.00951,4.21873,2.29126,0.000438088,0.000438088,0.000438088
4,731.238,2.09613,2.38323,1.64709,0.39629,0.13268,0.09512,0.04928,2.93398,3.98782,2.22389,0.000419451,0.000419451,0.000419451
5,911.712,2.05897,2.30773,1.60595,0.30901,0.11075,0.05816,0.02884,2.8927,4.11524,2.13292,0.000400602,0.000400602,0.000400602
6,1092.02,2.02435,2.18469,1.58019,0.28371,0.12869,0.08345,0.03918,3.01926,4.14505,2.27999,0.000381752,0.000381752,0.000381752
7,1269.65,1.97331,2.15029,1.55125,0.36699,0.13375,0.08747,0.04739,2.81144,4.29023,1.98666,0.000362902,0.000362902,0.000362902
8,1447.95,2.00071,2.10726,1.56317,0.37695,0.13914,0.13014,0.0724,2.82799,4.26177,2.06216,0.000344053,0.000344053,0.000344053
9,1629.77,1.96616,2.03717,1.55068,0.29472,0.12246,0.07665,0.04486,2.97846,4.29313,2.17672,0.000325203,0.000325203,0.000325203
10,1810.77,1.91287,1.97893,1.5135,0.43182,0.15228,0.11251,0.05886,2.79569,4.02384,1.97098,0.000306354,0.000306354,0.000306354
11,1990.81,1.92233,1.9571,1.5293,0.41769,0.16374,0.13195,0.07783,2.84154,4.03188,2.05244,0.000287504,0.000287504,0.000287504
12,2170.41,1.89138,1.90361,1.48184,0.3496,0.15162,0.09026,0.04428,2.80268,4.15035,1.9687,0.000268654,0.000268654,0.000268654
13,2353.17,1.86277,1.87858,1.49076,0.3081,0.13395,0.1027,0.05759,2.79506,4.10078,1.95933,0.000249805,0.000249805,0.000249805
14,2533.15,1.85407,1.81246,1.46969,0.48937,0.1457,0.1287,0.06874,2.80077,3.96979,2.02003,0.000230955,0.000230955,0.000230955
15,2712.87,1.78754,1.73183,1.4337,0.39582,0.1282,0.12557,0.06781,2.69583,4.02532,1.8824,0.000212106,0.000212106,0.000212106
16,2893.81,1.83795,1.73932,1.49776,0.32878,0.14756,0.12448,0.06968,2.77266,3.94768,1.96765,0.000193256,0.000193256,0.000193256
17,3072.16,1.78832,1.67164,1.47997,0.44426,0.11067,0.11498,0.06159,2.77561,3.93919,1.97877,0.000174406,0.000174406,0.000174406
18,3250.5,1.77449,1.61466,1.47175,0.36838,0.14702,0.11138,0.05974,2.84164,4.08263,2.0562,0.000155557,0.000155557,0.000155557
19,3428.6,1.74561,1.56552,1.44487,0.35574,0.14102,0.11832,0.06676,2.79271,4.0262,2.03526,0.000136707,0.000136707,0.000136707
20,3607.53,1.73705,1.54314,1.42723,0.59323,0.13932,0.12824,0.07064,2.70353,3.99493,1.94104,0.000117858,0.000117858,0.000117858
21,3786.6,1.71582,1.50072,1.43992,0.38004,0.16693,0.12722,0.06708,2.71701,3.93439,1.9312,9.9008e-05,9.9008e-05,9.9008e-05
22,3966.12,1.69492,1.46463,1.42195,0.38773,0.1583,0.12532,0.07154,2.70506,4.03688,1.91554,8.01584e-05,8.01584e-05,8.01584e-05
23,4145.07,1.64039,1.39878,1.40058,0.42554,0.14732,0.12517,0.07282,2.6514,4.01882,1.88474,6.13088e-05,6.13088e-05,6.13088e-05
24,4323.82,1.63344,1.35886,1.37826,0.44702,0.14716,0.13337,0.07032,2.67932,3.88878,1.86913,4.24592e-05,4.24592e-05,4.24592e-05
25,4502.43,1.64187,1.3463,1.39716,0.38755,0.1608,0.13477,0.07692,2.65771,3.87934,1.87043,2.36096e-05,2.36096e-05,2.36096e-05
