epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.902,2.01515,2.66897,1.67218,0.275,0.43745,0.34031,0.17387,2.3277,2.43271,1.53211,0.000158526,0.000158526,0.000158526
2,568.791,1.93707,2.3489,1.57743,0.28352,0.35493,0.30871,0.15791,2.38231,2.56177,1.50917,0.000311959,0.000311959,0.000311959
3,848.218,1.92996,2.43608,1.57012,0.38336,0.34765,0.25214,0.11636,2.36431,2.67773,1.46648,0.000460156,0.000460156,0.000460156
4,1122.2,1.93656,2.52022,1.58946,0.52957,0.31895,0.2531,0.12053,2.37964,2.89239,1.50164,0.000452438,0.000452438,0.000452438
5,1394.28,1.95238,2.50634,1.58324,0.38957,0.37143,0.28694,0.1444,2.35882,2.64094,1.44785,0.000444584,0.000444584,0.000444584
6,1677.09,1.91701,2.3885,1.55753,0.31544,0.37946,0.2858,0.12951,2.37453,2.60621,1.48705,0.00043673,0.00043673,0.00043673
7,1972.67,1.90207,2.34943,1.54368,0.31287,0.37292,0.26826,0.10618,2.37587,2.59699,1.45477,0.000428876,0.000428876,0.000428876
8,2272.27,1.88891,2.34894,1.54159,0.47161,0.34157,0.33814,0.1762,2.31627,2.46392,1.35993,0.000421022,0.000421022,0.000421022
9,2575.96,1.86045,2.28382,1.52208,0.34652,0.45813,0.35165,0.17564,2.2638,2.44814,1.35135,0.000413168,0.000413168,0.000413168
10,2875.52,1.85313,2.22113,1.4987,0.40203,0.40503,0.33363,0.16898,2.25026,2.49988,1.3413,0.000405314,0.000405314,0.000405314
11,3174.98,1.82253,2.22064,1.48629,0.40402,0.41899,0.36831,0.1725,2.31894,2.48433,1.3742,0.00039746,0.00039746,0.00039746
12,3461.04,1.80998,2.22352,1.49364,0.28697,0.40373,0.27193,0.11942,2.27467,2.65337,1.38786,0.000389606,0.000389606,0.000389606
13,3754,1.80901,2.19061,1.47596,0.30589,0.41399,0.3634,0.17262,2.24254,2.3593,1.32535,0.000381752,0.000381752,0.000381752
14,4033.37,1.76939,2.13338,1.45273,0.45883,0.42997,0.3756,0.17966,2.2601,2.40261,1.34141,0.000373898,0.000373898,0.000373898
15,4318.31,1.76717,2.09388,1.44486,0.4151,0.47292,0.38167,0.18974,2.21961,2.32865,1.32182,0.000366044,0.000366044,0.000366044
16,4606.86,1.74899,2.06965,1.44765,0.38439,0.43651,0.37357,0.19232,2.17296,2.30087,1.28382,0.00035819,0.00035819,0.00035819
17,4888.04,1.76324,2.02609,1.45774,0.43817,0.45833,0.41167,0.20112,2.2045,2.25969,1.30828,0.000350336,0.000350336,0.000350336
18,5163.79,1.73083,2.00097,1.42617,0.4467,0.42194,0.38155,0.17654,2.22172,2.52107,1.30582,0.000342482,0.000342482,0.000342482
19,5437.05,1.71975,1.97588,1.41672,0.49126,0.42312,0.41854,0.2101,2.18914,2.13685,1.28583,0.000334628,0.000334628,0.000334628
20,5710.64,1.69892,1.96012,1.41925,0.36103,0.46276,0.41076,0.20269,2.14309,2.32135,1.25359,0.000326774,0.000326774,0.000326774
21,5985.72,1.73242,1.96586,1.43224,0.40384,0.43483,0.40333,0.19657,2.17452,2.30107,1.28278,0.00031892,0.00031892,0.00031892
22,6258.81,1.7155,1.90613,1.41888,0.39552,0.42126,0.37519,0.18181,2.1898,2.58564,1.31082,0.000311066,0.000311066,0.000311066
23,6531.86,1.67995,1.90333,1.39166,0.33008,0.52654,0.3913,0.19504,2.142,2.2388,1.26468,0.000303212,0.000303212,0.000303212
24,6804.89,1.68111,1.87076,1.37931,0.42062,0.50319,0.45197,0.21166,2.12278,2.22895,1.25567,0.000295358,0.000295358,0.000295358
25,7077.92,1.66157,1.82972,1.39867,0.35648,0.56299,0.46522,0.22483,2.15375,2.23189,1.25377,0.000287504,0.000287504,0.000287504
26,7351.63,1.65005,1.83554,1.38055,0.38106,0.48647,0.42415,0.20631,2.16075,2.13443,1.31018,0.00027965,0.00027965,0.00027965
27,7623.13,1.61938,1.79981,1.3844,0.39147,0.51509,0.38902,0.19694,2.12954,2.17375,1.2918,0.000271796,0.000271796,0.000271796
