epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.323,1.91862,2.15397,1.54418,0.40479,0.37669,0.35023,0.16725,2.33824,2.47784,1.54708,0.000158354,0.000158354,0.000158354
2,272.325,1.83098,1.91433,1.41818,0.42387,0.38439,0.37043,0.1832,2.31236,2.26821,1.44359,0.00031179,0.00031179,0.00031179
3,411.988,1.8233,1.95679,1.43315,0.28939,0.44077,0.3266,0.16214,2.33057,2.74762,1.45822,0.000459989,0.000459989,0.000459989
4,556.665,1.85054,2.03445,1.43035,0.49869,0.37348,0.34735,0.15447,2.35857,2.64832,1.48166,0.000452438,0.000452438,0.000452438
5,691.955,1.8404,2.01362,1.43156,0.34711,0.44753,0.34529,0.17145,2.25167,2.479,1.38852,0.000444584,0.000444584,0.000444584
6,826.742,1.82461,1.99713,1.40658,0.30797,0.42644,0.37062,0.18253,2.21505,2.35004,1.3764,0.00043673,0.00043673,0.00043673
7,961.265,1.79709,1.96384,1.40448,0.28746,0.45305,0.35554,0.17089,2.24258,2.40271,1.34573,0.000428876,0.000428876,0.000428876
8,1095.96,1.80217,1.93494,1.39741,0.32186,0.51593,0.38358,0.17987,2.28394,2.41129,1.3819,0.000421022,0.000421022,0.000421022
9,1229.65,1.74843,1.8707,1.363,0.3142,0.49864,0.35322,0.17237,2.22873,2.4363,1.32424,0.000413168,0.000413168,0.000413168
10,1364.16,1.77972,1.84715,1.37304,0.39814,0.41711,0.38227,0.17964,2.27065,2.36478,1.33901,0.000405314,0.000405314,0.000405314
11,1498.25,1.74745,1.84108,1.35674,0.28485,0.47002,0.36421,0.18014,2.20998,2.34118,1.32349,0.00039746,0.00039746,0.00039746
12,1632.22,1.74449,1.81995,1.35365,0.41044,0.53366,0.42432,0.19886,2.23516,2.27647,1.36246,0.000389606,0.000389606,0.000389606
13,1766.58,1.69276,1.74574,1.31591,0.2851,0.52905,0.40076,0.19084,2.17656,2.33439,1.28613,0.000381752,0.000381752,0.000381752
14,1901.05,1.69199,1.7652,1.32573,0.37982,0.522,0.42898,0.20083,2.16076,2.34169,1.28774,0.000373898,0.000373898,0.000373898
15,2035.16,1.68418,1.7665,1.3305,0.46285,0.45095,0.45677,0.21244,2.21076,2.2924,1.31795,0.000366044,0.000366044,0.000366044
