epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.056,3.76532,6.77478,3.94615,0.00442,0.10944,0.01297,0.00331,3.34955,6.60031,3.11794,0.000157417,0.000157417,0.000157417
2,412.731,2.88172,4.66081,2.93389,0.37612,0.17827,0.1504,0.04555,2.97553,5.49428,2.65017,0.000305653,0.000305653,0.000305653
3,603.929,2.54735,3.77751,2.48256,0.37572,0.26453,0.25764,0.09365,2.91018,5.15602,2.52167,0.000443417,0.000443417,0.000443417
4,795.593,2.38299,3.44416,2.25948,0.33531,0.29924,0.2433,0.09193,2.74564,4.4966,2.21351,0.000428876,0.000428876,0.000428876
5,956.275,2.27963,3.08757,2.0827,0.33341,0.29262,0.24483,0.10294,2.67225,4.78975,2.09685,0.000413168,0.000413168,0.000413168
6,1140.04,2.19468,2.95319,1.97063,0.58112,0.31056,0.31636,0.12015,2.55008,4.07748,2.03843,0.00039746,0.00039746,0.00039746
7,1372.97,2.10638,2.79381,1.89229,0.40119,0.32984,0.31537,0.13254,2.58306,3.92711,2.01952,0.000381752,0.000381752,0.000381752
8,1548.5,2.04647,2.66967,1.8203,0.35486,0.3977,0.37081,0.15877,2.48672,3.75304,1.92112,0.000366044,0.000366044,0.000366044
9,1738.92,1.98982,2.50311,1.74746,0.38578,0.45765,0.37789,0.16757,2.46395,3.85631,1.80079,0.000350336,0.000350336,0.000350336
10,1890.8,1.94868,2.42855,1.69463,0.36653,0.47179,0.41002,0.16885,2.4124,3.40976,1.82058,0.000334628,0.000334628,0.000334628
11,2104.06,1.93111,2.30508,1.68108,0.51027,0.39217,0.35178,0.16148,2.44221,3.44669,1.81891,0.00031892,0.00031892,0.00031892
12,2337.03,1.88712,2.25101,1.64324,0.45934,0.40353,0.39531,0.18176,2.39771,3.36535,1.78286,0.000303212,0.000303212,0.000303212
13,2478.46,1.83371,2.14547,1.59101,0.39661,0.43408,0.39717,0.17596,2.43595,3.22383,1.79871,0.000287504,0.000287504,0.000287504
14,2650.26,1.81001,2.02189,1.56433,0.51483,0.41874,0.41882,0.19091,2.35319,3.09194,1.70647,0.000271796,0.000271796,0.000271796
15,2821.31,1.78419,1.9974,1.53463,0.47647,0.46039,0.42647,0.18789,2.35067,2.9608,1.71216,0.000256088,0.000256088,0.000256088
16,2934.01,1.77948,1.99955,1.53609,0.48061,0.42923,0.42435,0.19606,2.32494,2.89164,1.63596,0.00024038,0.00024038,0.00024038
17,3098.68,1.71252,1.90441,1.50691,0.54366,0.4662,0.46454,0.20235,2.31857,2.83904,1.61328,0.000224672,0.000224672,0.000224672
18,3231.91,1.71101,1.87459,1.50351,0.53294,0.49805,0.47675,0.2145,2.32088,2.7401,1.61711,0.000208964,0.000208964,0.000208964
19,3405.61,1.69386,1.79427,1.45875,0.45767,0.49881,0.4482,0.21606,2.26026,2.7848,1.58239,0.000193256,0.000193256,0.000193256
20,3644.85,1.66289,1.74428,1.45339,0.45085,0.50183,0.44319,0.20554,2.26129,2.71637,1.5871,0.000177548,0.000177548,0.000177548
21,3945.98,1.80686,1.84562,1.36319,0.55145,0.48561,0.47134,0.21485,2.26867,2.74271,1.57843,0.00016184,0.00016184,0.00016184
22,4231.47,1.7446,1.77599,1.33632,0.5615,0.4304,0.43766,0.20304,2.28448,2.75398,1.58805,0.000146132,0.000146132,0.000146132
23,4439.23,1.73599,1.7291,1.32423,0.6206,0.39443,0.44544,0.19572,2.27765,2.69694,1.61058,0.000130424,0.000130424,0.000130424
24,4620.17,1.70609,1.64236,1.29637,0.51065,0.46001,0.4664,0.21927,2.22406,2.64387,1.57236,0.000114716,0.000114716,0.000114716
25,4846.49,1.68156,1.59486,1.30011,0.54839,0.46116,0.45845,0.21853,2.23927,2.6156,1.60513,9.9008e-05,9.9008e-05,9.9008e-05
26,4969.65,1.65429,1.55719,1.28191,0.47023,0.51873,0.48609,0.22336,2.2385,2.57407,1.55448,8.33e-05,8.33e-05,8.33e-05
27,5159.73,1.62566,1.51443,1.25363,0.46795,0.48715,0.45877,0.22061,2.24907,2.50494,1.58657,6.7592e-05,6.7592e-05,6.7592e-05
28,5318.85,1.57649,1.45756,1.24488,0.58811,0.44883,0.48741,0.23012,2.25237,2.49791,1.58423,5.1884e-05,5.1884e-05,5.1884e-05
29,5470.39,1.59403,1.46347,1.23902,0.49674,0.54574,0.49534,0.23692,2.2095,2.46527,1.55281,3.6176e-05,3.6176e-05,3.6176e-05
30,5641.67,1.55728,1.43843,1.22593,0.53769,0.51211,0.49791,0.23706,2.21461,2.46259,1.54885,2.0468e-05,2.0468e-05,2.0468e-05
