epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.74,0.98691,6.21558,1.06139,0.43429,0.48256,0.45001,0.22834,2.17477,6.11166,1.34654,0.000158523,0.000158523,0.000158523
2,583.666,0.93468,4.51173,1.03322,0.45485,0.38514,0.39907,0.20208,2.21142,7.45264,1.34302,0.000311956,0.000311956,0.000311956
3,875.683,0.96018,4.86145,1.04407,0.48685,0.33624,0.38463,0.18969,2.1882,7.04181,1.33414,0.000460153,0.000460153,0.000460153
4,1164.44,0.96543,4.8286,1.05678,0.37406,0.44921,0.38698,0.19185,2.1732,6.73447,1.34179,0.000452438,0.000452438,0.000452438
5,1454.22,0.98831,4.87924,1.06372,0.33912,0.46248,0.37315,0.18422,2.21579,6.819,1.3289,0.000444584,0.000444584,0.000444584
6,1740.26,0.97049,4.80939,1.05985,0.35033,0.45494,0.40128,0.18814,2.19934,6.69123,1.3201,0.00043673,0.00043673,0.00043673
7,2020.45,0.99101,4.82705,1.06648,0.43255,0.44068,0.42448,0.19668,2.16602,6.75741,1.28503,0.000428876,0.000428876,0.000428876
8,2307.97,0.9663,4.60622,1.05438,0.41477,0.45138,0.40186,0.18949,2.22403,6.84833,1.33067,0.000421022,0.000421022,0.000421022
9,2596.2,0.96339,4.6628,1.0616,0.46031,0.42006,0.40216,0.19215,2.24659,6.87487,1.35493,0.000413168,0.000413168,0.000413168
10,2884.75,0.93658,4.43332,1.04307,0.37356,0.50383,0.44254,0.20524,2.1627,6.54004,1.27061,0.000405314,0.000405314,0.000405314
11,3172.82,0.94686,4.52649,1.04451,0.39873,0.46879,0.37868,0.1837,2.20632,6.59148,1.33893,0.00039746,0.00039746,0.00039746
12,3461.42,0.94793,4.50255,1.04107,0.53901,0.43085,0.41876,0.20238,2.17635,6.71679,1.31998,0.000389606,0.000389606,0.000389606
13,3750.81,0.93688,4.58639,1.04502,0.47281,0.38028,0.37073,0.17993,2.19071,6.93932,1.29186,0.000381752,0.000381752,0.000381752
14,4037.09,0.91949,4.2417,1.03432,0.40459,0.50101,0.41329,0.19259,2.15692,6.54985,1.30056,0.000373898,0.000373898,0.000373898
15,4324.16,0.94052,4.40095,1.03587,0.35596,0.52099,0.43174,0.20358,2.10822,6.71786,1.26307,0.000366044,0.000366044,0.000366044
16,4610.42,0.91677,4.22951,1.03968,0.36802,0.48502,0.41917,0.20432,2.13646,6.70602,1.28034,0.00035819,0.00035819,0.00035819
17,4899.55,0.92363,4.23286,1.0296,0.52182,0.43962,0.43196,0.20462,2.17108,6.68482,1.32032,0.000350336,0.000350336,0.000350336
18,5187.01,0.92416,4.25131,1.03679,0.39222,0.53149,0.4429,0.21911,2.13452,5.94109,1.30337,0.000342482,0.000342482,0.000342482
19,5491.36,0.88868,4.11625,1.0219,0.40494,0.53972,0.47617,0.23057,2.12718,6.4134,1.30703,0.000334628,0.000334628,0.000334628
20,5777.71,0.91629,4.12594,1.02876,0.413,0.49358,0.44151,0.21488,2.13167,6.4016,1.30154,0.000326774,0.000326774,0.000326774
21,6064.07,0.89839,4.04453,1.02986,0.39596,0.50512,0.4342,0.21411,2.11158,6.24642,1.27038,0.00031892,0.00031892,0.00031892
22,6354.41,0.87199,3.86738,1.0118,0.36513,0.55871,0.43185,0.20689,2.15831,6.70981,1.31574,0.000311066,0.000311066,0.000311066
23,6644.99,0.88422,3.89899,1.02027,0.42015,0.52142,0.45237,0.22131,2.10645,6.34265,1.29084,0.000303212,0.000303212,0.000303212
24,6933.14,0.88978,3.95639,1.02254,0.42826,0.5696,0.47654,0.2206,2.11341,6.20836,1.27641,0.000295358,0.000295358,0.000295358
25,7224.32,0.84942,3.77593,1.00545,0.49601,0.52454,0.46692,0.22426,2.11617,6.06994,1.24561,0.000287504,0.000287504,0.000287504
26,7512.23,0.854,3.72806,1.0065,0.44034,0.53364,0.46115,0.22018,2.1085,6.48494,1.27916,0.00027965,0.00027965,0.00027965
27,7799.66,0.87163,3.79597,1.00874,0.37008,0.5775,0.50111,0.23343,2.15695,6.42021,1.2682,0.000271796,0.000271796,0.000271796
28,8088.73,0.85965,3.7854,1.00795,0.43129,0.44466,0.46991,0.23192,2.17033,6.73443,1.34817,0.000263942,0.000263942,0.000263942
29,8376.53,0.84754,3.6658,1.00489,0.42362,0.54985,0.47622,0.22623,2.10927,6.38189,1.25375,0.000256088,0.000256088,0.000256088
30,8664.98,0.85737,3.73171,0.99906,0.5387,0.48554,0.47203,0.22104,2.13402,6.34301,1.2833,0.000248234,0.000248234,0.000248234
31,8952.2,0.84335,3.58478,0.99867,0.52802,0.48928,0.4909,0.23776,2.07537,6.2694,1.24061,0.00024038,0.00024038,0.00024038
32,9241.55,0.84311,3.57177,0.99379,0.45816,0.51688,0.48295,0.23039,2.08696,6.10003,1.2454,0.000232526,0.000232526,0.000232526
33,9515.81,0.8368,3.53288,0.99145,0.51994,0.48195,0.49133,0.2419,2.05948,5.90673,1.24798,0.000224672,0.000224672,0.000224672
34,9785.31,0.8457,3.57582,1.00258,0.43,0.52676,0.4497,0.22644,2.05355,6.2295,1.2119,0.000216818,0.000216818,0.000216818
35,10054.2,0.83208,3.47815,0.98971,0.43664,0.55729,0.51652,0.23984,2.07212,6.13594,1.26524,0.000208964,0.000208964,0.000208964
36,10323.5,0.81391,3.41766,0.98197,0.47349,0.56972,0.50919,0.2493,2.09246,6.02741,1.27244,0.00020111,0.00020111,0.00020111
37,10593,0.7988,3.32249,0.9789,0.40655,0.60036,0.5139,0.24402,2.05265,5.92243,1.23081,0.000193256,0.000193256,0.000193256
38,10862.6,0.81212,3.40232,0.98564,0.47699,0.54181,0.49521,0.24503,2.07345,5.98032,1.23506,0.000185402,0.000185402,0.000185402
39,11132.1,0.81334,3.31717,0.97763,0.46075,0.55906,0.482,0.23935,2.05293,6.02818,1.25339,0.000177548,0.000177548,0.000177548
40,11401.6,0.80628,3.27364,0.97963,0.50266,0.56693,0.49168,0.24466,2.0769,5.97153,1.23415,0.000169694,0.000169694,0.000169694
41,11671.1,0.78043,3.1814,0.97489,0.49606,0.55028,0.48915,0.24442,2.0458,6.14606,1.22996,0.00016184,0.00016184,0.00016184
42,11940.8,0.77513,3.18632,0.96655,0.59851,0.48737,0.4932,0.24936,2.0021,6.15414,1.1945,0.000153986,0.000153986,0.000153986
