epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8422,1.90325,7.87024,1.62755,0.72948,0.13931,0.13092,0.08283,2.04174,8.2717,1.52599,0.000156923,0.000156923,0.000156923
2,82.4612,1.81286,4.09042,1.47353,0.46366,0.15065,0.14122,0.08429,2.21251,5.5884,1.7379,0.000312465,0.000312465,0.000312465
3,115.039,1.87816,3.56957,1.53278,0.39059,0.22442,0.17571,0.09952,2.22884,4.53186,1.67357,0.000464866,0.000464866,0.000464866
4,148.969,1.84984,3.22491,1.51067,0.47706,0.30773,0.25775,0.14093,2.06115,3.68877,1.54758,0.000461863,0.000461863,0.000461863
5,182.832,1.84052,3.12698,1.51986,0.50867,0.236,0.22486,0.12861,2.20246,3.45841,1.56825,0.00045715,0.00045715,0.00045715
6,217.365,1.75187,2.97922,1.46944,0.43959,0.27767,0.2753,0.16482,1.99336,3.19435,1.42735,0.000452438,0.000452438,0.000452438
7,247.909,1.70748,2.87859,1.44748,0.84324,0.22998,0.30852,0.18623,1.94181,3.00856,1.44663,0.000447726,0.000447726,0.000447726
8,282.683,1.68292,2.72143,1.41789,0.55759,0.31962,0.3129,0.18304,1.90451,2.77889,1.39485,0.000443013,0.000443013,0.000443013
9,317.225,1.66566,2.66691,1.40922,0.46463,0.33385,0.32529,0.19096,1.84052,2.72218,1.34077,0.000438301,0.000438301,0.000438301
10,352.41,1.65497,2.69325,1.42082,0.52258,0.31932,0.33115,0.19673,1.8604,2.66668,1.37913,0.000433588,0.000433588,0.000433588
11,387.947,1.61324,2.5652,1.38027,0.66895,0.31202,0.35954,0.20896,1.8301,2.63662,1.34146,0.000428876,0.000428876,0.000428876
12,423.406,1.61761,2.57284,1.35377,0.41598,0.34198,0.33852,0.20769,1.75407,2.62334,1.2851,0.000424164,0.000424164,0.000424164
13,455.885,1.57528,2.47507,1.35861,0.53635,0.35654,0.35217,0.2085,1.78795,2.68165,1.27735,0.000419451,0.000419451,0.000419451
14,492.507,1.53852,2.39909,1.33012,0.49867,0.35878,0.37944,0.22262,1.77112,2.60915,1.31594,0.000414739,0.000414739,0.000414739
15,526.95,1.55037,2.45037,1.342,0.51788,0.35614,0.36676,0.21818,1.76912,2.47072,1.2874,0.000410026,0.000410026,0.000410026
16,560.526,1.57158,2.42224,1.34128,0.49718,0.39602,0.38682,0.22722,1.75313,2.4465,1.28855,0.000405314,0.000405314,0.000405314
17,592.787,1.54618,2.34759,1.31073,0.47862,0.38669,0.36123,0.22333,1.773,2.35206,1.24749,0.000400602,0.000400602,0.000400602
18,627.94,1.51473,2.29607,1.2992,0.51289,0.44665,0.44433,0.27478,1.59666,2.26189,1.20718,0.000395889,0.000395889,0.000395889
19,664.12,1.46129,2.17174,1.27325,0.52855,0.41235,0.44572,0.25464,1.67965,2.29396,1.23135,0.000391177,0.000391177,0.000391177
20,697.748,1.47052,2.24028,1.29361,0.54031,0.46308,0.45855,0.27887,1.63615,2.17372,1.21141,0.000386464,0.000386464,0.000386464
21,730.883,1.45004,2.18248,1.28036,0.60502,0.38488,0.42608,0.25565,1.66622,2.26886,1.23941,0.000381752,0.000381752,0.000381752
22,764.719,1.46302,2.21532,1.28238,0.43708,0.41839,0.42756,0.25909,1.66835,2.37665,1.20986,0.00037704,0.00037704,0.00037704
23,799.381,1.46625,2.15949,1.26426,0.52281,0.38231,0.3872,0.23886,1.65413,2.2898,1.2227,0.000372327,0.000372327,0.000372327
24,833.44,1.42759,2.16253,1.25893,0.58099,0.41992,0.42802,0.26187,1.67519,2.34822,1.21116,0.000367615,0.000367615,0.000367615
25,870.244,1.43863,2.0776,1.24973,0.5421,0.41866,0.45957,0.28597,1.6365,2.16979,1.18505,0.000362902,0.000362902,0.000362902
26,903.191,1.43182,2.05672,1.24077,0.56711,0.42871,0.46883,0.28362,1.60484,2.23405,1.18063,0.00035819,0.00035819,0.00035819
27,937.839,1.42224,2.07669,1.24917,0.5563,0.39834,0.4262,0.25873,1.64423,2.28423,1.23801,0.000353478,0.000353478,0.000353478
28,971.017,1.41908,1.99387,1.22882,0.49479,0.48924,0.46065,0.27739,1.62377,2.12831,1.17731,0.000348765,0.000348765,0.000348765
29,1004.54,1.39278,1.97656,1.24109,0.50294,0.43493,0.45219,0.28437,1.5787,2.27603,1.17822,0.000344053,0.000344053,0.000344053
