epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3111,1.91893,5.96058,1.64146,0.36029,0.19396,0.1421,0.09146,1.82849,5.89338,1.38805,0.000156923,0.000156923,0.000156923
2,100.577,1.70957,3.89758,1.456,0.30931,0.21204,0.15797,0.09703,1.95167,4.36393,1.51667,0.000312465,0.000312465,0.000312465
3,148.55,1.74772,3.78414,1.5235,0.46336,0.25152,0.17798,0.10503,2.04511,4.39035,1.67434,0.000464866,0.000464866,0.000464866
4,192.036,1.6865,3.62043,1.48578,0.52501,0.22663,0.22059,0.11838,1.97616,3.9359,1.56745,0.000461863,0.000461863,0.000461863
5,234.451,1.65877,3.63767,1.48418,0.2428,0.26367,0.1439,0.07489,1.91113,472.591,1.46133,0.00045715,0.00045715,0.00045715
6,277.725,1.5958,3.49717,1.45384,0.60354,0.24395,0.2613,0.16015,1.80629,6.40549,1.39017,0.000452438,0.000452438,0.000452438
7,317.903,1.56916,3.42785,1.43965,0.62801,0.20917,0.26116,0.15561,1.65676,3.38924,1.28359,0.000447726,0.000447726,0.000447726
8,357.308,1.54396,3.29589,1.39685,0.40849,0.30787,0.3096,0.18517,1.72724,3.3068,1.37618,0.000443013,0.000443013,0.000443013
9,399.811,1.49409,3.28058,1.38455,0.45505,0.31603,0.30752,0.17714,1.69961,3.25732,1.31886,0.000438301,0.000438301,0.000438301
10,437.886,1.48534,3.24171,1.38334,0.50341,0.30596,0.30384,0.17359,1.72679,3.38609,1.32087,0.000433588,0.000433588,0.000433588
11,476.611,1.45796,3.18385,1.35342,0.6303,0.32079,0.33603,0.20139,1.64502,3.21777,1.30666,0.000428876,0.000428876,0.000428876
12,512.231,1.45851,3.22411,1.34437,0.41049,0.32791,0.29465,0.16934,1.70392,3.34197,1.31385,0.000424164,0.000424164,0.000424164
13,558.735,1.41133,3.12383,1.33937,0.37413,0.33472,0.31164,0.19674,1.65796,3.16995,1.28725,0.000419451,0.000419451,0.000419451
14,600.302,1.36221,3.08103,1.30911,0.33178,0.34041,0.31877,0.1949,1.65498,3.27018,1.28889,0.000414739,0.000414739,0.000414739
15,644.406,1.38295,3.0775,1.30198,0.45404,0.37581,0.35539,0.20803,1.61258,3.11133,1.271,0.000410026,0.000410026,0.000410026
16,687.692,1.39352,3.06827,1.3039,0.42168,0.37124,0.33507,0.19549,1.63936,3.21611,1.26529,0.000405314,0.000405314,0.000405314
17,728.973,1.36069,3.00821,1.28213,0.45873,0.36501,0.37229,0.22085,1.56004,3.09479,1.241,0.000400602,0.000400602,0.000400602
18,769.863,1.34079,2.96694,1.27051,0.48126,0.44442,0.42494,0.24488,1.55969,3.04838,1.22509,0.000395889,0.000395889,0.000395889
19,808.832,1.28351,2.86523,1.2549,0.4067,0.38775,0.39056,0.24159,1.42815,2.88276,1.17845,0.000391177,0.000391177,0.000391177
20,843.298,1.30623,2.91249,1.27077,0.36516,0.39267,0.35826,0.23251,1.55634,3.07343,1.20549,0.000386464,0.000386464,0.000386464
21,884.097,1.29444,2.87247,1.25146,0.59493,0.35216,0.40272,0.24906,1.4859,3.01678,1.17456,0.000381752,0.000381752,0.000381752
22,923.06,1.2943,2.90599,1.25882,0.42627,0.40808,0.38623,0.23897,1.53059,3.05307,1.2132,0.00037704,0.00037704,0.00037704
23,967.996,1.28592,2.83681,1.24262,0.42411,0.39419,0.38558,0.22943,1.50349,3.14998,1.19821,0.000372327,0.000372327,0.000372327
24,1005.38,1.24626,2.78834,1.22478,0.54816,0.4094,0.4226,0.24943,1.58082,2.92611,1.2205,0.000367615,0.000367615,0.000367615
25,1044.78,1.27721,2.78056,1.22146,0.36207,0.42946,0.40732,0.25992,1.49462,2.9294,1.17403,0.000362902,0.000362902,0.000362902
