epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0163,1.90903,5.73944,1.62913,0.62808,0.12822,0.13265,0.08667,1.92752,5.83854,1.49409,0.000156923,0.000156923,0.000156923
2,78.4106,1.77646,3.42948,1.46984,0.51293,0.1943,0.19262,0.11489,1.93295,4.12068,1.50427,0.000312465,0.000312465,0.000312465
3,112.119,1.84054,3.10344,1.51452,0.48181,0.24058,0.20249,0.10998,2.11,3.55124,1.62623,0.000464866,0.000464866,0.000464866
4,146.761,1.79998,2.87687,1.48335,0.46996,0.223,0.20918,0.12392,2.00047,3.18343,1.48588,0.000461863,0.000461863,0.000461863
5,179.38,1.75292,2.79845,1.46256,0.43642,0.26224,0.23195,0.12802,1.95316,2.95744,1.47205,0.00045715,0.00045715,0.00045715
6,213.847,1.69985,2.71742,1.45936,0.36802,0.26654,0.2237,0.13735,1.98154,2.90679,1.45495,0.000452438,0.000452438,0.000452438
7,245.367,1.69909,2.6778,1.44636,0.55464,0.27657,0.26897,0.16718,1.80335,2.60613,1.37354,0.000447726,0.000447726,0.000447726
8,279.912,1.6757,2.48203,1.42521,0.44777,0.30413,0.28963,0.17471,1.90877,2.74313,1.45897,0.000443013,0.000443013,0.000443013
9,315.258,1.63303,2.47016,1.40282,0.53663,0.34177,0.40158,0.21719,1.8022,2.52229,1.33308,0.000438301,0.000438301,0.000438301
10,349.835,1.62805,2.4528,1.38356,0.43394,0.36869,0.29544,0.1661,1.77404,2.54317,1.31322,0.000433588,0.000433588,0.000433588
11,384.04,1.57782,2.36254,1.36063,0.33819,0.4037,0.31976,0.20272,1.71795,2.44259,1.3075,0.000428876,0.000428876,0.000428876
12,418.504,1.56214,2.34445,1.32465,0.58747,0.28267,0.33442,0.19072,1.82371,2.55479,1.31568,0.000424164,0.000424164,0.000424164
13,452.304,1.55553,2.30107,1.3439,0.49892,0.36126,0.35939,0.21725,1.76896,2.40164,1.32999,0.000419451,0.000419451,0.000419451
14,488.047,1.51898,2.23298,1.32883,0.46238,0.37226,0.36613,0.21713,1.69895,2.31591,1.26186,0.000414739,0.000414739,0.000414739
15,520.897,1.5233,2.23818,1.31733,0.48927,0.38598,0.40126,0.24788,1.68198,2.26743,1.24038,0.000410026,0.000410026,0.000410026
16,554.964,1.53039,2.25602,1.31924,0.52952,0.3557,0.36927,0.21632,1.71359,2.26032,1.26838,0.000405314,0.000405314,0.000405314
17,589.063,1.52501,2.19069,1.30511,0.44123,0.37224,0.35745,0.21007,1.74024,2.39089,1.31954,0.000400602,0.000400602,0.000400602
