epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3991,1.90969,9.1227,1.63177,0.4862,0.21828,0.16133,0.10543,1.92316,10.24,1.47238,0.000156923,0.000156923,0.000156923
2,82.1313,1.79238,5.94837,1.47744,0.52845,0.2255,0.21031,0.1262,2.05575,8.48705,1.55404,0.000312465,0.000312465,0.000312465
3,114.096,1.82032,5.48363,1.50644,0.5948,0.25139,0.23785,0.13556,2.04796,5.68043,1.58745,0.000464866,0.000464866,0.000464866
4,149.779,1.76632,5.0604,1.46254,0.46699,0.26843,0.24366,0.14431,1.8817,5.49288,1.39193,0.000461863,0.000461863,0.000461863
5,184.14,1.72393,4.94459,1.44139,0.37236,0.29872,0.2431,0.14558,1.98832,5.99416,1.49594,0.00045715,0.00045715,0.00045715
6,216.268,1.65663,4.68119,1.42349,0.65641,0.27093,0.29075,0.17506,1.9407,4.82131,1.43525,0.000452438,0.000452438,0.000452438
7,249.102,1.67399,4.70081,1.43215,0.54708,0.2885,0.33124,0.19028,1.79006,4.77777,1.3216,0.000447726,0.000447726,0.000447726
8,285.03,1.59792,4.36703,1.37229,0.57814,0.28371,0.32225,0.186,1.86116,4.92711,1.42473,0.000443013,0.000443013,0.000443013
9,320.502,1.63312,4.39785,1.39191,0.56748,0.31591,0.35183,0.20343,1.82141,4.48347,1.34659,0.000438301,0.000438301,0.000438301
10,353.149,1.6012,4.31589,1.38034,0.45712,0.3445,0.30535,0.18022,1.84526,4.53488,1.35483,0.000433588,0.000433588,0.000433588
11,388.222,1.5603,4.21352,1.346,0.34186,0.34408,0.3386,0.21267,1.72857,4.25866,1.28102,0.000428876,0.000428876,0.000428876
12,423.059,1.56394,4.16508,1.33314,0.43803,0.37659,0.36098,0.19278,1.79404,4.39439,1.32277,0.000424164,0.000424164,0.000424164
13,459.715,1.53706,3.97799,1.33875,0.42668,0.40318,0.38473,0.23614,1.78718,4.02732,1.29581,0.000419451,0.000419451,0.000419451
14,493.798,1.4873,3.90165,1.30058,0.5439,0.36926,0.39787,0.21818,1.70443,4.22665,1.25272,0.000414739,0.000414739,0.000414739
15,528.191,1.49721,3.91607,1.31063,0.50256,0.36175,0.37561,0.22042,1.77539,4.43847,1.29943,0.000410026,0.000410026,0.000410026
16,562.132,1.49783,3.95839,1.30083,0.48217,0.43425,0.42521,0.26044,1.63295,3.81026,1.21301,0.000405314,0.000405314,0.000405314
17,598.428,1.49424,3.81003,1.28596,0.49805,0.3515,0.35915,0.22131,1.64007,4.22345,1.23279,0.000400602,0.000400602,0.000400602
18,633.419,1.47787,3.77006,1.28563,0.45915,0.41939,0.39978,0.23441,1.6646,4.02915,1.25032,0.000395889,0.000395889,0.000395889
19,667.548,1.4073,3.55488,1.25947,0.42354,0.41686,0.39694,0.23838,1.69452,4.04819,1.27318,0.000391177,0.000391177,0.000391177
20,705.869,1.4146,3.64694,1.26231,0.43281,0.44133,0.42977,0.27594,1.57516,3.73413,1.19017,0.000386464,0.000386464,0.000386464
21,740.76,1.37368,3.50905,1.23205,0.5886,0.42372,0.46731,0.2633,1.65861,4.07524,1.24403,0.000381752,0.000381752,0.000381752
22,776.711,1.42381,3.64687,1.26421,0.37409,0.46761,0.40087,0.24716,1.65554,4.05963,1.2108,0.00037704,0.00037704,0.00037704
