epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9897,1.14099,1.46197,1.09262,0.58023,0.55132,0.52558,0.33069,1.54318,1.88097,1.1569,0.000158201,0.000158201,0.000158201
2,180.094,1.30013,1.66506,1.13785,0.44854,0.43145,0.39159,0.24708,1.69865,2.34829,1.27821,0.000313731,0.000313731,0.000313731
3,266.581,1.50563,2.12059,1.29369,0.45256,0.38237,0.34532,0.19694,1.93399,2.40438,1.38858,0.000466119,0.000466119,0.000466119
4,352.075,1.64276,2.44155,1.35037,0.30981,0.33999,0.27378,0.13622,1.98835,2.95057,1.39538,0.000461863,0.000461863,0.000461863
5,438.673,1.62757,2.37515,1.34826,0.59264,0.31662,0.37275,0.20205,1.81621,2.44738,1.38289,0.00045715,0.00045715,0.00045715
6,523.589,1.59674,2.27226,1.33618,0.48181,0.34497,0.34457,0.20121,1.93781,2.52171,1.41102,0.000452438,0.000452438,0.000452438
7,608.347,1.58002,2.30404,1.32711,0.52655,0.34708,0.34149,0.19541,1.91535,2.32763,1.33967,0.000447726,0.000447726,0.000447726
8,695.003,1.58988,2.24511,1.35579,0.51049,0.3231,0.34221,0.20029,1.89441,2.43366,1.3812,0.000443013,0.000443013,0.000443013
9,782.165,1.63271,2.29224,1.36333,0.42677,0.40615,0.33791,0.1841,1.83572,2.32707,1.34069,0.000438301,0.000438301,0.000438301
10,869.357,1.51175,2.14676,1.29578,0.60306,0.35749,0.39337,0.22812,1.67477,2.15542,1.25034,0.000433588,0.000433588,0.000433588
11,955.364,1.5035,2.06813,1.29144,0.45631,0.42463,0.43128,0.24538,1.74717,2.02748,1.27224,0.000428876,0.000428876,0.000428876
12,1040.63,1.51023,2.14263,1.2957,0.50771,0.38917,0.39557,0.24246,1.8146,2.42224,1.32205,0.000424164,0.000424164,0.000424164
13,1126.72,1.5088,2.12281,1.29544,0.43317,0.5357,0.44386,0.24958,1.70402,2.1139,1.28511,0.000419451,0.000419451,0.000419451
14,1211.83,1.48216,2.04879,1.26578,0.54301,0.38264,0.39915,0.24029,1.66467,2.27551,1.21802,0.000414739,0.000414739,0.000414739
15,1297.8,1.48918,1.98381,1.27398,0.48798,0.41147,0.42041,0.23712,1.81191,2.15281,1.27475,0.000410026,0.000410026,0.000410026
16,1387.3,1.45876,1.98739,1.2732,0.4458,0.41398,0.42787,0.25965,1.72236,2.18779,1.28749,0.000405314,0.000405314,0.000405314
17,1475.37,1.46599,2.04074,1.28624,0.44096,0.44064,0.42479,0.24489,1.75186,2.19111,1.29925,0.000400602,0.000400602,0.000400602
18,1561.32,1.42459,1.93959,1.24869,0.48191,0.43609,0.4698,0.28547,1.63737,2.01997,1.22893,0.000395889,0.000395889,0.000395889
19,1647.34,1.39119,1.9128,1.23714,0.45006,0.42153,0.43176,0.26155,1.62806,2.07968,1.22181,0.000391177,0.000391177,0.000391177
20,1740.34,1.40167,1.87397,1.23654,0.46187,0.41941,0.43654,0.25785,1.65889,2.11957,1.25652,0.000386464,0.000386464,0.000386464
21,1829.14,1.41497,1.84059,1.22791,0.50584,0.44634,0.46319,0.2816,1.66337,2.06822,1.26177,0.000381752,0.000381752,0.000381752
22,1917.18,1.39743,1.85823,1.23536,0.53826,0.38704,0.39475,0.24125,1.68013,2.27015,1.27556,0.00037704,0.00037704,0.00037704
23,2001.93,1.38715,1.78944,1.23483,0.4695,0.4386,0.4128,0.2628,1.6348,1.9679,1.23671,0.000372327,0.000372327,0.000372327
24,2087.18,1.36634,1.745,1.20623,0.49746,0.47211,0.48479,0.2851,1.59094,1.95386,1.22402,0.000367615,0.000367615,0.000367615
25,2173.08,1.39787,1.82827,1.23095,0.51975,0.48313,0.47255,0.30275,1.58714,1.91771,1.22549,0.000362902,0.000362902,0.000362902
26,2259.07,1.38132,1.7222,1.22487,0.58475,0.46379,0.49443,0.31391,1.60299,1.9319,1.21299,0.00035819,0.00035819,0.00035819
27,2344.11,1.35734,1.74359,1.20975,0.5644,0.46573,0.47942,0.29484,1.5462,1.8122,1.18244,0.000353478,0.000353478,0.000353478
28,2428.95,1.36733,1.71044,1.20804,0.49325,0.49676,0.5302,0.32737,1.59562,1.851,1.20975,0.000348765,0.000348765,0.000348765
29,2514.27,1.34043,1.66269,1.19266,0.54986,0.5139,0.50441,0.3174,1.60237,1.87315,1.22694,0.000344053,0.000344053,0.000344053
30,2599.24,1.29933,1.6308,1.18115,0.59088,0.43278,0.46439,0.2894,1.56257,1.94462,1.22416,0.00033934,0.00033934,0.00033934
31,2682.32,1.33851,1.69433,1.19811,0.55527,0.40024,0.47121,0.3018,1.61113,1.96814,1.22163,0.000334628,0.000334628,0.000334628
32,2765.52,1.324,1.6017,1.18857,0.5343,0.52699,0.51874,0.33764,1.54081,1.80792,1.1716,0.000329916,0.000329916,0.000329916
33,2849.35,1.32167,1.68543,1.18832,0.58308,0.49539,0.51192,0.3165,1.54538,1.88301,1.19615,0.000325203,0.000325203,0.000325203
34,2932.28,1.31822,1.66966,1.18466,0.50988,0.50943,0.50247,0.31524,1.61534,1.7997,1.24302,0.000320491,0.000320491,0.000320491
35,3015.17,1.28782,1.59626,1.16793,0.58308,0.49413,0.51712,0.3189,1.5246,1.83455,1.14882,0.000315778,0.000315778,0.000315778
36,3097.84,1.3159,1.63989,1.18988,0.62623,0.46103,0.5211,0.31123,1.53074,1.82679,1.17935,0.000311066,0.000311066,0.000311066
37,3180.65,1.30585,1.59286,1.17965,0.54845,0.46628,0.51022,0.33072,1.54215,1.81301,1.17658,0.000306354,0.000306354,0.000306354
38,3263.59,1.28875,1.58011,1.16059,0.68326,0.47935,0.53586,0.3398,1.51268,1.82599,1.14491,0.000301641,0.000301641,0.000301641
39,3346.38,1.2466,1.5404,1.15187,0.60473,0.5078,0.52718,0.33216,1.53651,1.83716,1.19145,0.000296929,0.000296929,0.000296929
40,3428.48,1.24179,1.50651,1.15415,0.47113,0.53572,0.5128,0.32292,1.51143,1.76308,1.15615,0.000292216,0.000292216,0.000292216
41,3511.01,1.28527,1.54396,1.16726,0.68367,0.50723,0.54159,0.33607,1.51655,1.7628,1.18199,0.000287504,0.000287504,0.000287504
42,3594.23,1.27325,1.49574,1.15466,0.56504,0.55247,0.54211,0.35198,1.48147,1.76189,1.16701,0.000282792,0.000282792,0.000282792
43,3676.88,1.24416,1.48847,1.14817,0.59612,0.49398,0.52567,0.34349,1.45477,1.71633,1.14217,0.000278079,0.000278079,0.000278079
44,3759.87,1.22515,1.45075,1.1542,0.71031,0.49178,0.55216,0.3497,1.46618,1.74123,1.15467,0.000273367,0.000273367,0.000273367
45,3842.48,1.25528,1.45262,1.15622,0.59565,0.47528,0.52196,0.33887,1.46228,1.76806,1.13419,0.000268654,0.000268654,0.000268654
46,3924.97,1.24133,1.44166,1.13325,0.4794,0.61061,0.56126,0.35791,1.45587,1.65453,1.13139,0.000263942,0.000263942,0.000263942
47,4007.55,1.26729,1.47612,1.14896,0.53158,0.5527,0.53037,0.32776,1.51398,1.71798,1.17689,0.00025923,0.00025923,0.00025923
48,4090.57,1.23297,1.43372,1.14342,0.56634,0.52893,0.53812,0.33972,1.52219,1.72696,1.17345,0.000254517,0.000254517,0.000254517
49,4173.19,1.20599,1.36552,1.11933,0.53463,0.5373,0.53698,0.35588,1.47936,1.65166,1.12975,0.000249805,0.000249805,0.000249805
50,4255.76,1.20795,1.34377,1.1266,0.51126,0.59068,0.55806,0.3538,1.49418,1.71834,1.1441,0.000245092,0.000245092,0.000245092
51,4338.34,1.21204,1.3826,1.12751,0.64295,0.53008,0.57301,0.3794,1.49414,1.64496,1.14443,0.00024038,0.00024038,0.00024038
52,4421.24,1.19903,1.36555,1.12665,0.58682,0.58596,0.59425,0.37884,1.49041,1.64353,1.1606,0.000235668,0.000235668,0.000235668
53,4503.91,1.20517,1.35036,1.10331,0.52204,0.57902,0.54677,0.3573,1.48766,1.70337,1.13645,0.000230955,0.000230955,0.000230955
54,4586.72,1.18671,1.30652,1.123,0.66662,0.53852,0.58996,0.36938,1.50442,1.61675,1.13891,0.000226243,0.000226243,0.000226243
