epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.293,0.5724,3.54271,0.905,0.43746,0.39603,0.39398,0.19661,2.18745,6.96055,1.34696,0.000475768,0.000475768,0.000475768
2,1050.6,0.65898,4.12981,0.944,0.42412,0.44736,0.4068,0.19353,2.19114,7.17551,1.30017,0.000452438,0.000452438,0.000452438
3,1550,0.67311,4.186,0.95012,0.35315,0.47726,0.40336,0.19524,2.1587,6.84532,1.2487,0.000428876,0.000428876,0.000428876
4,2048.59,0.65806,4.15578,0.94354,0.3961,0.43256,0.37236,0.18155,2.22214,7.24545,1.33113,0.000405314,0.000405314,0.000405314
5,2573.77,0.65758,4.14641,0.94614,0.40549,0.45472,0.43257,0.20617,2.18483,6.91845,1.30431,0.000381752,0.000381752,0.000381752
6,3107.15,0.65236,4.02837,0.95001,0.45684,0.40529,0.41947,0.19064,2.17658,7.08399,1.31632,0.00035819,0.00035819,0.00035819
7,3639.62,0.67011,4.02739,0.95346,0.4385,0.41007,0.39994,0.19198,2.19528,7.37148,1.32641,0.000334628,0.000334628,0.000334628
8,4173.86,0.63071,3.79391,0.93658,0.4226,0.51645,0.45503,0.19695,2.23476,7.04824,1.32583,0.000311066,0.000311066,0.000311066
9,4708.22,0.60926,3.62065,0.92592,0.43249,0.50867,0.46126,0.21726,2.16276,6.6929,1.29622,0.000287504,0.000287504,0.000287504
10,5242.65,0.61792,3.61404,0.92868,0.40178,0.53037,0.463,0.21639,2.11136,6.54257,1.2916,0.000263942,0.000263942,0.000263942
11,5778.84,0.60663,3.37842,0.9057,0.41956,0.45172,0.43092,0.20586,2.15144,6.94246,1.24899,0.00024038,0.00024038,0.00024038
12,6313.68,0.5973,3.27543,0.89041,0.37166,0.50657,0.42329,0.20084,2.17391,6.81681,1.28057,0.000216818,0.000216818,0.000216818
13,6847.77,0.58809,3.16359,0.88892,0.41312,0.51928,0.47599,0.21918,2.16938,6.8217,1.25942,0.000193256,0.000193256,0.000193256
14,7381.4,0.57929,3.11748,0.88543,0.40832,0.51087,0.45955,0.21168,2.13744,7.13812,1.27236,0.000169694,0.000169694,0.000169694
15,7913.56,0.57411,3.06503,0.88365,0.48217,0.57017,0.50571,0.24712,2.11749,6.4376,1.25854,0.000146132,0.000146132,0.000146132
16,8446.71,0.55635,2.91586,0.88129,0.46294,0.52792,0.48861,0.23464,2.10929,6.45659,1.23231,0.00012257,0.00012257,0.00012257
17,8981.05,0.5546,2.90861,0.8743,0.47845,0.53468,0.51182,0.24668,2.11738,6.46852,1.26104,9.9008e-05,9.9008e-05,9.9008e-05
18,9518.75,0.54974,2.80862,0.87208,0.47199,0.55298,0.48879,0.23385,2.12768,6.42513,1.27644,7.5446e-05,7.5446e-05,7.5446e-05
19,10070.8,0.53135,2.71726,0.86623,0.46777,0.57558,0.51084,0.24551,2.11287,6.28584,1.27581,5.1884e-05,5.1884e-05,5.1884e-05
20,10607.6,0.53245,2.64357,0.8642,0.52596,0.53074,0.51133,0.24513,2.12764,6.31921,1.29155,2.8322e-05,2.8322e-05,2.8322e-05
