epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.889,0.79525,2.59525,0.97727,0.33604,0.15044,0.11492,0.07384,2.42959,5.26639,1.89033,0.000158324,0.000158324,0.000158324
2,256.889,0.74577,1.10202,0.96843,0.4478,0.17359,0.14294,0.08322,2.32894,4.75722,1.69209,0.00031176,0.00031176,0.00031176
3,377.729,0.73176,1.01652,0.96037,0.46089,0.21059,0.16169,0.08967,2.28808,3.49128,1.62049,0.000459961,0.000459961,0.000459961
4,495.965,0.72478,0.96248,0.95866,0.47524,0.18491,0.17514,0.10886,2.10817,3.35736,1.64623,0.000452438,0.000452438,0.000452438
5,615.467,0.70569,0.93791,0.95336,0.41576,0.30902,0.23119,0.13069,2.08896,3.02582,1.52848,0.000444584,0.000444584,0.000444584
6,734.306,0.69074,0.88812,0.94556,0.52072,0.21165,0.19823,0.1178,2.10677,2.94959,1.55382,0.00043673,0.00043673,0.00043673
7,851.609,0.66647,0.85781,0.93382,0.41413,0.22797,0.19018,0.10381,2.04385,3.12639,1.44901,0.000428876,0.000428876,0.000428876
8,969.448,0.67088,0.85464,0.93231,0.42165,0.30658,0.24431,0.14352,1.99002,2.7842,1.45139,0.000421022,0.000421022,0.000421022
9,1086.57,0.63052,0.80287,0.92422,0.4776,0.30858,0.27769,0.16502,1.92781,2.76612,1.43903,0.000413168,0.000413168,0.000413168
10,1204.26,0.64388,0.80757,0.92229,0.3216,0.36456,0.30108,0.17223,1.88364,2.56055,1.39575,0.000405314,0.000405314,0.000405314
11,1321.87,0.62869,0.7849,0.9184,0.4444,0.3461,0.30231,0.17103,1.94197,2.54386,1.42733,0.00039746,0.00039746,0.00039746
12,1439.45,0.63133,0.78342,0.91702,0.5121,0.31463,0.3382,0.18654,1.83201,2.51117,1.35679,0.000389606,0.000389606,0.000389606
13,1558.79,0.62592,0.77,0.91599,0.46516,0.29095,0.27723,0.15207,1.91081,2.50368,1.4154,0.000381752,0.000381752,0.000381752
