epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.597,0.80831,2.78507,0.98554,0.41183,0.10758,0.10407,0.0655,2.4345,4.05924,1.86017,0.000158397,0.000158397,0.000158397
2,295.905,0.77882,1.13091,0.97774,0.2996,0.16867,0.12892,0.07201,2.21328,3.67862,1.60476,0.000311832,0.000311832,0.000311832
3,438.51,0.76159,1.03875,0.9689,0.47226,0.18525,0.1566,0.10085,2.26975,3.42842,1.80377,0.000460031,0.000460031,0.000460031
4,579.869,0.736,0.98188,0.96228,0.52154,0.13489,0.11985,0.06747,2.44627,3.51246,1.84141,0.000452438,0.000452438,0.000452438
5,721.388,0.72481,0.93741,0.95753,0.52573,0.19106,0.17139,0.09826,2.24606,3.14712,1.61981,0.000444584,0.000444584,0.000444584
6,862.015,0.67939,0.8935,0.94372,0.40435,0.28147,0.19629,0.11876,2.02963,3.31092,1.43552,0.00043673,0.00043673,0.00043673
7,1003.08,0.67183,0.87698,0.94002,0.3507,0.26404,0.20472,0.10614,2.09604,3.29605,1.56221,0.000428876,0.000428876,0.000428876
8,1144.11,0.66858,0.87199,0.93607,0.4725,0.23827,0.22497,0.1259,2.11763,2.97061,1.48933,0.000421022,0.000421022,0.000421022
9,1284.83,0.64995,0.83502,0.92662,0.45697,0.27091,0.22156,0.12933,1.91011,2.95798,1.40317,0.000413168,0.000413168,0.000413168
10,1425.86,0.65287,0.82618,0.92714,0.46172,0.29479,0.24804,0.1394,1.92522,2.81985,1.46084,0.000405314,0.000405314,0.000405314
11,1566.52,0.63469,0.80613,0.92072,0.4749,0.30655,0.28452,0.17423,1.76386,2.53758,1.31068,0.00039746,0.00039746,0.00039746
12,1707.68,0.6445,0.82155,0.92292,0.41822,0.3025,0.24113,0.14396,1.97457,2.66933,1.37824,0.000389606,0.000389606,0.000389606
13,1849.12,0.63352,0.78911,0.92233,0.39166,0.29367,0.28813,0.15962,1.94399,2.52174,1.35826,0.000381752,0.000381752,0.000381752
14,1990.67,0.63511,0.77473,0.91869,0.54263,0.29231,0.3093,0.17443,1.88141,2.49377,1.37471,0.000373898,0.000373898,0.000373898
15,2131.92,0.62589,0.75382,0.91012,0.53634,0.28617,0.28832,0.16455,1.94467,2.54927,1.37307,0.000366044,0.000366044,0.000366044
16,2273.54,0.62272,0.75025,0.91467,0.44873,0.37467,0.33183,0.19183,1.84704,2.32075,1.33722,0.00035819,0.00035819,0.00035819
17,2415.63,0.59298,0.72052,0.90366,0.44048,0.36719,0.32307,0.19025,1.808,2.56438,1.35,0.000350336,0.000350336,0.000350336
18,2557.03,0.60566,0.72773,0.91104,0.526,0.37069,0.35362,0.21153,1.80709,2.14584,1.27707,0.000342482,0.000342482,0.000342482
19,2698.2,0.60083,0.72666,0.90146,0.62994,0.32245,0.35985,0.20231,1.82758,2.30753,1.30353,0.000334628,0.000334628,0.000334628
