epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.13,2.40541,7.21838,1.89346,0.46195,0.13611,0.10096,0.06881,2.64639,9.72795,1.7289,0.00015822,0.00015822,0.00015822
2,234.026,2.18412,5.42841,1.65412,0.33628,0.24239,0.14752,0.08008,2.50446,7.20311,1.5349,0.000311658,0.000311658,0.000311658
3,336.651,2.12275,4.5159,1.58487,0.31836,0.23241,0.14806,0.07989,2.44802,5.90918,1.52428,0.00045986,0.00045986,0.00045986
4,439.258,2.04753,3.79234,1.57376,0.34051,0.23018,0.18349,0.09633,2.40483,4.62174,1.46631,0.000452438,0.000452438,0.000452438
5,543.049,2.04149,3.39477,1.54889,0.37556,0.26832,0.20263,0.10492,2.37367,4.13569,1.44362,0.000444584,0.000444584,0.000444584
6,646.202,2.00003,3.10752,1.52381,0.39707,0.30771,0.26119,0.13077,2.29147,3.50216,1.35489,0.00043673,0.00043673,0.00043673
7,749.365,1.94968,2.89444,1.48928,0.33196,0.27495,0.20607,0.1132,2.32882,3.37947,1.42086,0.000428876,0.000428876,0.000428876
8,852.064,1.93262,2.77777,1.47436,0.35076,0.31235,0.23667,0.12493,2.27876,3.13222,1.37132,0.000421022,0.000421022,0.000421022
9,958.134,1.89182,2.6365,1.4616,0.34123,0.31758,0.26229,0.13456,2.24422,3.10526,1.35261,0.000413168,0.000413168,0.000413168
10,1063.7,1.89123,2.55472,1.45124,0.34,0.34744,0.27823,0.13933,2.21262,2.93699,1.32926,0.000405314,0.000405314,0.000405314
11,1166.26,1.85215,2.46127,1.42059,0.37805,0.3575,0.29655,0.15816,2.19271,2.70621,1.27971,0.00039746,0.00039746,0.00039746
12,1269.3,1.83735,2.3753,1.39866,0.55977,0.28916,0.30823,0.16289,2.24216,2.78562,1.29228,0.000389606,0.000389606,0.000389606
13,1373.82,1.82182,2.35928,1.41232,0.37543,0.39061,0.2942,0.15145,2.20504,2.79342,1.28287,0.000381752,0.000381752,0.000381752
14,1476.63,1.80345,2.32587,1.39563,0.45902,0.38314,0.32615,0.16868,2.18489,2.62279,1.28357,0.000373898,0.000373898,0.000373898
15,1579.61,1.8054,2.26403,1.38876,0.39094,0.39975,0.31347,0.15938,2.18281,2.59994,1.23398,0.000366044,0.000366044,0.000366044
16,1683.12,1.78997,2.21159,1.37402,0.38054,0.41353,0.37231,0.1823,2.14746,2.49515,1.23902,0.00035819,0.00035819,0.00035819
17,1788.91,1.75684,2.13397,1.3602,0.37551,0.42998,0.33165,0.17709,2.11497,2.54632,1.24168,0.000350336,0.000350336,0.000350336
18,1920.37,1.73811,2.1281,1.35322,0.45765,0.39652,0.38176,0.17984,2.14468,2.41369,1.24834,0.000342482,0.000342482,0.000342482
19,2051.94,1.73095,2.1099,1.35849,0.41565,0.43178,0.39714,0.19241,2.12033,2.40326,1.22134,0.000334628,0.000334628,0.000334628
20,2158.93,1.72449,2.05863,1.33336,0.37106,0.41012,0.34607,0.17871,2.14736,2.45174,1.24407,0.000326774,0.000326774,0.000326774
21,2263.66,1.72062,2.04276,1.32907,0.40828,0.45167,0.38848,0.18614,2.16983,2.36806,1.30547,0.00031892,0.00031892,0.00031892
22,2375.22,1.7013,2.00684,1.32232,0.48346,0.41339,0.3937,0.18426,2.17534,2.40196,1.25715,0.000311066,0.000311066,0.000311066
23,2478.82,1.69924,1.99551,1.33341,0.40783,0.42709,0.3847,0.19395,2.11277,2.36627,1.23927,0.000303212,0.000303212,0.000303212
24,2588.71,1.66435,1.91711,1.3007,0.44819,0.45366,0.44031,0.21067,2.11613,2.27577,1.23475,0.000295358,0.000295358,0.000295358
25,2695.76,1.67918,1.92527,1.30949,0.42822,0.4787,0.43984,0.20795,2.15671,2.29903,1.25998,0.000287504,0.000287504,0.000287504
26,2801.62,1.65893,1.93953,1.30867,0.45931,0.44471,0.4423,0.20912,2.14525,2.22486,1.24904,0.00027965,0.00027965,0.00027965
27,2910.28,1.65546,1.86916,1.29922,0.50931,0.42065,0.44394,0.21955,2.08043,2.3161,1.22755,0.000271796,0.000271796,0.000271796
28,3018.35,1.64479,1.86147,1.3065,0.4321,0.52367,0.45848,0.21753,2.09008,2.22637,1.21659,0.000263942,0.000263942,0.000263942
29,3120.69,1.63271,1.87493,1.30655,0.44586,0.50694,0.4458,0.21643,2.10252,2.23205,1.22332,0.000256088,0.000256088,0.000256088
30,3222.26,1.62558,1.80712,1.28854,0.39026,0.41992,0.42167,0.20996,2.14983,2.33592,1.24322,0.000248234,0.000248234,0.000248234
31,3324.87,1.61298,1.76718,1.28642,0.52512,0.42212,0.43451,0.21979,2.11644,2.26331,1.22197,0.00024038,0.00024038,0.00024038
32,3435.17,1.61797,1.77598,1.28759,0.49106,0.48596,0.47017,0.22461,2.08729,2.24228,1.23057,0.000232526,0.000232526,0.000232526
33,3537.52,1.59463,1.7332,1.27419,0.45266,0.51785,0.48032,0.22852,2.11051,2.1601,1.24129,0.000224672,0.000224672,0.000224672
34,3639.81,1.59411,1.70534,1.25628,0.40711,0.56924,0.50164,0.23397,2.06498,2.11612,1.22389,0.000216818,0.000216818,0.000216818
35,3750.46,1.57714,1.70119,1.25979,0.40916,0.56953,0.4986,0.24333,2.04603,2.13157,1.1965,0.000208964,0.000208964,0.000208964
36,3851.23,1.55379,1.66081,1.25867,0.49219,0.51124,0.49293,0.2324,2.07463,2.18582,1.23527,0.00020111,0.00020111,0.00020111
37,3952.57,1.52825,1.65258,1.24497,0.4698,0.52269,0.49145,0.23533,2.06746,2.17224,1.21734,0.000193256,0.000193256,0.000193256
38,4054.2,1.55174,1.65817,1.2561,0.54838,0.47387,0.50404,0.24148,2.06401,2.14485,1.2113,0.000185402,0.000185402,0.000185402
