epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.297,2.38063,8.21697,1.84872,0.35361,0.20601,0.14411,0.08619,2.60344,4.68541,1.76398,0.000158443,0.000158443,0.000158443
2,377.808,2.23275,3.46649,1.70325,0.41041,0.17845,0.15526,0.08436,2.59559,3.7266,1.63201,0.000311878,0.000311878,0.000311878
3,563.865,2.20304,3.11118,1.67292,0.39395,0.22383,0.17334,0.08841,2.62694,3.39136,1.68906,0.000460076,0.000460076,0.000460076
4,749.93,2.16693,2.98768,1.65361,0.32718,0.27275,0.18253,0.09411,2.47036,3.2477,1.51512,0.000452438,0.000452438,0.000452438
5,935.877,2.12662,2.91173,1.60576,0.36604,0.25595,0.20923,0.10616,2.53189,3.08685,1.46523,0.000444584,0.000444584,0.000444584
6,1120.95,2.05097,2.73768,1.54329,0.42329,0.28893,0.21578,0.10907,2.45361,2.90444,1.45254,0.00043673,0.00043673,0.00043673
7,1305.67,2.01293,2.68979,1.54208,0.44393,0.25814,0.22004,0.11249,2.4103,2.94319,1.44322,0.000428876,0.000428876,0.000428876
8,1490.87,1.9863,2.60333,1.51701,0.41694,0.27953,0.25204,0.11458,2.38774,2.83005,1.37921,0.000421022,0.000421022,0.000421022
9,1675.89,1.96438,2.51306,1.49193,0.32175,0.34608,0.26121,0.13005,2.30572,2.84575,1.38503,0.000413168,0.000413168,0.000413168
10,1861.41,1.93099,2.44417,1.48416,0.33258,0.3657,0.25618,0.12362,2.30356,2.75545,1.37104,0.000405314,0.000405314,0.000405314
11,2046.4,1.91041,2.44017,1.47595,0.33341,0.3652,0.27029,0.13017,2.29185,2.80983,1.36269,0.00039746,0.00039746,0.00039746
12,2231.44,1.85452,2.32646,1.4334,0.48645,0.33089,0.31742,0.14833,2.25009,2.6585,1.31501,0.000389606,0.000389606,0.000389606
13,2416.56,1.85652,2.33472,1.42248,0.35724,0.37034,0.29151,0.13156,2.23348,2.73687,1.32292,0.000381752,0.000381752,0.000381752
14,2601.63,1.85496,2.29906,1.42887,0.36426,0.42876,0.31918,0.15288,2.19812,2.53901,1.27769,0.000373898,0.000373898,0.000373898
15,2787.16,1.82755,2.22262,1.40042,0.40727,0.30524,0.28039,0.14736,2.27,2.77646,1.30838,0.000366044,0.000366044,0.000366044
16,2972.4,1.79964,2.17025,1.40493,0.44807,0.36614,0.30566,0.15624,2.2488,2.57053,1.32438,0.00035819,0.00035819,0.00035819
17,3157.87,1.79498,2.14862,1.38826,0.37748,0.40333,0.31958,0.15916,2.20521,2.49708,1.29853,0.000350336,0.000350336,0.000350336
18,3343.42,1.79176,2.19649,1.3915,0.43712,0.39261,0.32491,0.16303,2.17368,2.48832,1.28669,0.000342482,0.000342482,0.000342482
19,3529.23,1.77201,2.11873,1.37832,0.40847,0.4482,0.3544,0.17018,2.24025,2.46687,1.31054,0.000334628,0.000334628,0.000334628
20,3714.35,1.76027,2.10632,1.37474,0.40166,0.4314,0.37295,0.17638,2.23603,2.39406,1.30485,0.000326774,0.000326774,0.000326774
21,3901.73,1.74556,2.03791,1.36076,0.41267,0.40454,0.37397,0.18788,2.15748,2.32804,1.30169,0.00031892,0.00031892,0.00031892
22,4086.5,1.72568,2.00423,1.35742,0.34575,0.44559,0.36636,0.1888,2.1832,2.41415,1.29562,0.000311066,0.000311066,0.000311066
23,4271.97,1.7464,2.05679,1.36299,0.37492,0.44259,0.41773,0.19428,2.19727,2.30746,1.28065,0.000303212,0.000303212,0.000303212
24,4457.36,1.70135,1.92705,1.33209,0.39661,0.46212,0.4149,0.20742,2.13054,2.30067,1.23339,0.000295358,0.000295358,0.000295358
25,4642.57,1.70305,1.89354,1.33918,0.41911,0.44949,0.41463,0.19296,2.16768,2.36451,1.27205,0.000287504,0.000287504,0.000287504
26,4827.9,1.66048,1.92315,1.31172,0.39975,0.46488,0.38866,0.18798,2.15406,2.27698,1.25382,0.00027965,0.00027965,0.00027965
27,5014.14,1.67948,1.88817,1.31662,0.38926,0.39673,0.3882,0.18617,2.1622,2.38311,1.26161,0.000271796,0.000271796,0.000271796
28,5200.56,1.65962,1.85354,1.31383,0.46975,0.44595,0.39951,0.2,2.12237,2.2977,1.25552,0.000263942,0.000263942,0.000263942
29,5385.39,1.66317,1.86577,1.32864,0.51086,0.44813,0.43482,0.20117,2.12411,2.2038,1.22713,0.000256088,0.000256088,0.000256088
30,5569.92,1.63232,1.83374,1.2874,0.37585,0.4911,0.40316,0.20109,2.11902,2.25984,1.26681,0.000248234,0.000248234,0.000248234
31,5765.27,1.62625,1.75972,1.29467,0.38914,0.52726,0.42195,0.21535,2.11356,2.21402,1.22798,0.00024038,0.00024038,0.00024038
32,5965.37,1.62457,1.80276,1.29041,0.37694,0.56115,0.42123,0.21486,2.11931,2.12104,1.23219,0.000232526,0.000232526,0.000232526
33,6162.88,1.59949,1.73959,1.27143,0.4325,0.5105,0.43055,0.21919,2.13414,2.19122,1.22754,0.000224672,0.000224672,0.000224672
34,6376.49,1.57452,1.70601,1.26526,0.36757,0.4833,0.43453,0.21243,2.09609,2.19845,1.21505,0.000216818,0.000216818,0.000216818
35,6623.98,1.57127,1.68076,1.2696,0.35169,0.52968,0.40277,0.2051,2.13545,2.17925,1.25954,0.000208964,0.000208964,0.000208964
36,6975.62,1.56935,1.63679,1.26078,0.41764,0.51006,0.43928,0.22206,2.09658,2.14886,1.23506,0.00020111,0.00020111,0.00020111
37,7210.49,1.55477,1.63081,1.26554,0.42632,0.49499,0.4521,0.2232,2.10237,2.10166,1.28149,0.000193256,0.000193256,0.000193256
38,7399.92,1.53807,1.64087,1.26405,0.43129,0.49889,0.44512,0.21918,2.0868,2.0871,1.24673,0.000185402,0.000185402,0.000185402
39,7597.84,1.54991,1.59925,1.24927,0.43273,0.48452,0.43342,0.21804,2.10642,2.124,1.24034,0.000177548,0.000177548,0.000177548
40,7792.96,1.51922,1.60148,1.25565,0.41273,0.50265,0.45418,0.21803,2.08768,2.11004,1.23536,0.000169694,0.000169694,0.000169694
41,7977.34,1.49413,1.57131,1.24233,0.39031,0.5104,0.44167,0.22654,2.0976,2.11796,1.24085,0.00016184,0.00016184,0.00016184
42,8161.34,1.51192,1.54254,1.23276,0.51887,0.47183,0.48407,0.2399,2.08071,2.07842,1.21031,0.000153986,0.000153986,0.000153986
43,8345.04,1.50088,1.53948,1.24062,0.41532,0.56712,0.47187,0.23889,2.06391,2.05443,1.21582,0.000146132,0.000146132,0.000146132
44,8535.3,1.4721,1.49957,1.22996,0.40335,0.5388,0.45779,0.22836,2.09486,2.00944,1.22787,0.000138278,0.000138278,0.000138278
45,8721.56,1.47977,1.48501,1.21417,0.53262,0.45308,0.46925,0.23133,2.05443,2.08253,1.19693,0.000130424,0.000130424,0.000130424
46,8905.83,1.45017,1.45637,1.2086,0.45921,0.58665,0.53833,0.25832,2.0775,1.99959,1.21781,0.00012257,0.00012257,0.00012257
47,9094.18,1.45126,1.43871,1.20506,0.48616,0.53462,0.49186,0.24521,2.04816,2.05892,1.19825,0.000114716,0.000114716,0.000114716
48,9278.2,1.43899,1.40296,1.19857,0.49352,0.51865,0.51064,0.24956,2.04314,2.01529,1.19469,0.000106862,0.000106862,0.000106862
49,9464.2,1.40934,1.38127,1.1914,0.4797,0.55902,0.51283,0.25555,2.05133,2.01006,1.21576,9.9008e-05,9.9008e-05,9.9008e-05
50,9655.3,1.41553,1.41778,1.20245,0.42381,0.6124,0.53477,0.26122,2.02595,1.99395,1.16583,9.1154e-05,9.1154e-05,9.1154e-05
51,9847.41,1.62033,1.34879,1.15243,0.44968,0.57508,0.48923,0.24924,2.07114,1.9788,1.2131,8.33e-05,8.33e-05,8.33e-05
52,10035.8,1.61174,1.3114,1.14697,0.48492,0.5882,0.52431,0.25578,2.07296,2.01393,1.22675,7.5446e-05,7.5446e-05,7.5446e-05
53,10225.9,1.58943,1.27989,1.13766,0.47626,0.59713,0.53281,0.26405,2.05051,1.93272,1.23145,6.7592e-05,6.7592e-05,6.7592e-05
54,10414.9,1.57443,1.25304,1.12809,0.46624,0.5517,0.52638,0.26469,2.05276,1.94869,1.21877,5.9738e-05,5.9738e-05,5.9738e-05
55,10624.3,1.57263,1.24304,1.13668,0.51382,0.5253,0.53185,0.2721,2.05379,1.94795,1.21766,5.1884e-05,5.1884e-05,5.1884e-05
56,10841,1.55318,1.18929,1.1149,0.51607,0.54291,0.52292,0.268,2.06524,1.94954,1.18701,4.403e-05,4.403e-05,4.403e-05
57,11066.2,1.53631,1.19133,1.11202,0.51017,0.53419,0.5343,0.26826,2.05582,1.93621,1.2123,3.6176e-05,3.6176e-05,3.6176e-05
58,11286.9,1.54279,1.1823,1.10401,0.50484,0.59013,0.54327,0.2745,2.04422,1.92763,1.20383,2.8322e-05,2.8322e-05,2.8322e-05
59,11475.3,1.51058,1.15186,1.1097,0.48041,0.59752,0.53937,0.27511,2.05188,1.91018,1.20743,2.0468e-05,2.0468e-05,2.0468e-05
60,11667.3,1.51493,1.15766,1.09632,0.48048,0.59725,0.53863,0.27556,2.05665,1.91192,1.21734,1.2614e-05,1.2614e-05,1.2614e-05
