epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.228,2.42015,13.8021,1.61832,0.27683,0.23936,0.16007,0.08486,2.64498,11.1731,1.64559,0.000158421,0.000158421,0.000158421
2,775.427,2.16124,7.48556,1.43904,0.53951,0.2502,0.17207,0.09241,2.56856,9.6494,1.55166,0.000313949,0.000313949,0.000313949
3,1152.46,2.114,7.05103,1.41278,0.46658,0.21372,0.1682,0.08349,2.49892,8.49916,1.54592,0.000466335,0.000466335,0.000466335
4,1529.31,2.06047,6.64804,1.38045,0.32099,0.23993,0.14677,0.07132,2.46011,8.79184,1.47042,0.000461863,0.000461863,0.000461863
5,1905.65,2.00029,6.20499,1.33379,0.36379,0.3032,0.23163,0.10596,2.34009,7.99806,1.46521,0.00045715,0.00045715,0.00045715
6,2283.12,1.95918,5.99708,1.32602,0.33416,0.3483,0.2312,0.1203,2.30601,8.05033,1.40221,0.000452438,0.000452438,0.000452438
7,2659.32,1.90366,5.72883,1.30061,0.40069,0.26002,0.22363,0.11956,2.35787,8.3182,1.37531,0.000447726,0.000447726,0.000447726
8,3036.12,1.86221,5.55408,1.28386,0.37157,0.33596,0.24542,0.1127,2.31909,7.84166,1.38827,0.000443013,0.000443013,0.000443013
9,3412.42,1.82476,5.35432,1.2657,0.4024,0.34272,0.30344,0.13671,2.33434,7.61183,1.36877,0.000438301,0.000438301,0.000438301
10,3788.81,1.77856,5.19617,1.24969,0.32851,0.38844,0.26644,0.1342,2.26834,7.29916,1.35859,0.000433588,0.000433588,0.000433588
11,4165.75,1.74097,4.9594,1.23096,0.406,0.32661,0.28657,0.13853,2.25568,7.14181,1.29521,0.000428876,0.000428876,0.000428876
12,4542.58,1.70878,4.85333,1.22717,0.38493,0.32923,0.26766,0.13123,2.2028,8.25287,1.31338,0.000424164,0.000424164,0.000424164
13,4918.79,1.69646,4.81639,1.22075,0.36211,0.38739,0.30464,0.15011,2.18658,6.99374,1.26283,0.000419451,0.000419451,0.000419451
14,5295.22,1.66276,4.56487,1.19254,0.36105,0.40942,0.29631,0.15704,2.19363,7.06366,1.27386,0.000414739,0.000414739,0.000414739
15,5671.51,1.61824,4.50323,1.18797,0.40309,0.33162,0.28615,0.12841,2.30209,7.55929,1.38525,0.000410026,0.000410026,0.000410026
16,6047.81,1.59225,4.33076,1.16764,0.41527,0.36753,0.29986,0.14108,2.2268,6.9521,1.30108,0.000405314,0.000405314,0.000405314
17,6424,1.56133,4.2025,1.15805,0.33892,0.42886,0.34337,0.16534,2.19255,6.82251,1.25569,0.000400602,0.000400602,0.000400602
18,6801.02,1.54489,4.17853,1.15708,0.25613,0.48121,0.32839,0.15237,2.21861,7.10057,1.28592,0.000395889,0.000395889,0.000395889
19,7178.27,1.49864,4.03034,1.13674,0.4035,0.41083,0.36982,0.16445,2.19297,6.61386,1.25543,0.000391177,0.000391177,0.000391177
20,7554.15,1.48252,3.90874,1.12444,0.44528,0.40543,0.36021,0.17549,2.15121,6.87016,1.23553,0.000386464,0.000386464,0.000386464
21,7930.55,1.46891,3.88058,1.12365,0.37745,0.49565,0.40211,0.17451,2.19824,6.85094,1.25623,0.000381752,0.000381752,0.000381752
22,8308.11,1.44609,3.79945,1.11605,0.36255,0.46118,0.40584,0.19243,2.1492,6.61719,1.23793,0.00037704,0.00037704,0.00037704
23,8684.95,1.41762,3.72198,1.10973,0.30283,0.44768,0.36245,0.18744,2.10242,6.23037,1.20687,0.000372327,0.000372327,0.000372327
24,9061.97,1.40653,3.62926,1.10317,0.35588,0.4938,0.40343,0.19047,2.15224,6.51584,1.2415,0.000367615,0.000367615,0.000367615
25,9438.08,1.36967,3.52811,1.08991,0.37012,0.42439,0.38859,0.18804,2.14289,6.48722,1.23357,0.000362902,0.000362902,0.000362902
26,9816.06,1.37275,3.52929,1.089,0.32611,0.50993,0.40375,0.19028,2.13862,6.49128,1.22999,0.00035819,0.00035819,0.00035819
27,10193.7,1.35726,3.49288,1.09243,0.38766,0.43659,0.42123,0.18808,2.16309,6.59893,1.26291,0.000353478,0.000353478,0.000353478
28,10570.7,1.32986,3.39814,1.08127,0.37226,0.5386,0.42488,0.2056,2.15516,6.50532,1.24689,0.000348765,0.000348765,0.000348765
29,10948.7,1.33735,3.40914,1.07805,0.34557,0.47423,0.4272,0.20223,2.13763,6.62327,1.21376,0.000344053,0.000344053,0.000344053
30,11325.4,1.3104,3.3481,1.07093,0.36687,0.50139,0.41427,0.19828,2.08945,6.20227,1.21259,0.00033934,0.00033934,0.00033934
31,11703.6,1.29157,3.23082,1.05584,0.42959,0.43753,0.4087,0.19182,2.12426,6.30532,1.21703,0.000334628,0.000334628,0.000334628
32,12081.4,1.28337,3.21254,1.06436,0.36557,0.50857,0.41601,0.19878,2.11384,6.36346,1.20458,0.000329916,0.000329916,0.000329916
33,12459.6,1.28486,3.21776,1.06071,0.38252,0.42509,0.36535,0.18737,2.14672,6.47082,1.25138,0.000325203,0.000325203,0.000325203
34,12836.7,1.25881,3.13459,1.04685,0.36452,0.47751,0.39493,0.19407,2.12528,6.33186,1.23607,0.000320491,0.000320491,0.000320491
35,13214,1.25698,3.11712,1.04373,0.3607,0.50003,0.37889,0.18691,2.1214,6.30936,1.21339,0.000315778,0.000315778,0.000315778
36,13591.5,1.21884,2.95831,1.02991,0.37576,0.54376,0.42771,0.20879,2.11895,6.41327,1.21021,0.000311066,0.000311066,0.000311066
37,13969.2,1.20632,2.94079,1.03173,0.52075,0.40948,0.42995,0.20073,2.09482,6.40017,1.19199,0.000306354,0.000306354,0.000306354
38,14347.6,1.21696,2.92537,1.03235,0.32039,0.4983,0.42815,0.20628,2.13676,6.25781,1.21358,0.000301641,0.000301641,0.000301641
39,14726.6,1.18727,2.90755,1.02381,0.43463,0.46038,0.43976,0.20383,2.08361,6.14065,1.21572,0.000296929,0.000296929,0.000296929
40,15104.3,1.18307,2.87348,1.02409,0.45366,0.47847,0.43878,0.21018,2.09373,6.15729,1.19808,0.000292216,0.000292216,0.000292216
41,15482.3,1.17823,2.86124,1.02228,0.44891,0.50622,0.44086,0.22301,2.06168,6.35393,1.18673,0.000287504,0.000287504,0.000287504
42,15861.1,1.17464,2.81819,1.02494,0.38746,0.57737,0.44376,0.20966,2.09548,6.21368,1.24041,0.000282792,0.000282792,0.000282792
43,16239.5,1.16504,2.7784,1.01762,0.39445,0.54546,0.47078,0.22876,2.09901,5.93195,1.24059,0.000278079,0.000278079,0.000278079
44,16617.9,1.15079,2.75085,1.00774,0.3778,0.54282,0.41579,0.20951,2.09178,6.45757,1.22353,0.000273367,0.000273367,0.000273367
45,16996.7,1.14463,2.73404,1.01217,0.44262,0.50651,0.42812,0.21441,2.09641,6.33989,1.2042,0.000268654,0.000268654,0.000268654
46,17375.5,1.13166,2.66637,1.00653,0.42621,0.51531,0.43189,0.21848,2.08592,6.01269,1.21236,0.000263942,0.000263942,0.000263942
47,17758.4,1.12268,2.66733,1.00404,0.50482,0.50929,0.4768,0.22746,2.09234,5.90739,1.20103,0.00025923,0.00025923,0.00025923
48,18142.6,1.10569,2.6118,0.99649,0.46394,0.54791,0.49254,0.22787,2.10743,6.18697,1.19741,0.000254517,0.000254517,0.000254517
49,18527.4,1.08945,2.55191,0.99148,0.53263,0.49076,0.4647,0.22797,2.08369,6.28277,1.21132,0.000249805,0.000249805,0.000249805
