epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.266,3.17051,10.0984,1.85697,0.56878,0.08723,0.1155,0.06734,3.37923,24.3572,1.68307,0.000158042,0.000158042,0.000158042
2,340.017,3.0064,4.16444,1.66854,0.49038,0.1884,0.15097,0.08219,3.39811,4.28274,1.70112,0.000311483,0.000311483,0.000311483
3,498.012,3.0251,3.6382,1.70064,0.65954,0.14465,0.14679,0.08306,3.40461,4.03403,1.67308,0.000459688,0.000459688,0.000459688
4,655.082,3.1037,3.47381,1.7413,0.53946,0.22458,0.17932,0.09396,3.35894,3.39807,1.61061,0.000452438,0.000452438,0.000452438
5,812.285,2.98756,3.34718,1.65248,0.42902,0.22241,0.18655,0.09569,3.32003,3.195,1.49885,0.000444584,0.000444584,0.000444584
6,969.317,2.87871,3.16538,1.61636,0.4613,0.24243,0.19543,0.09619,3.29594,3.11383,1.5218,0.00043673,0.00043673,0.00043673
7,1126.84,2.81066,3.03436,1.56206,0.48399,0.24016,0.20503,0.10356,3.19977,3.06007,1.4971,0.000428876,0.000428876,0.000428876
8,1283.2,2.82733,2.97544,1.52878,0.56682,0.23808,0.21514,0.11352,3.06331,2.98263,1.38792,0.000421022,0.000421022,0.000421022
9,1439.69,2.74997,2.95937,1.54137,0.42522,0.28771,0.20825,0.09954,3.20569,3.06401,1.45901,0.000413168,0.000413168,0.000413168
10,1596.68,2.65265,2.87487,1.52755,0.39568,0.28503,0.22173,0.11528,3.11271,2.89713,1.45512,0.000405314,0.000405314,0.000405314
11,1754.62,2.63707,2.78492,1.47067,0.41345,0.34404,0.25185,0.12888,2.92302,2.85081,1.31405,0.00039746,0.00039746,0.00039746
12,1913.47,2.6204,2.72091,1.47415,0.45251,0.33078,0.25901,0.13069,3.03302,2.71878,1.33422,0.000389606,0.000389606,0.000389606
13,2070.71,2.57452,2.6937,1.46433,0.37107,0.3439,0.25695,0.13021,3.01289,2.74604,1.33901,0.000381752,0.000381752,0.000381752
14,2229.03,2.55142,2.72011,1.46037,0.4019,0.29358,0.24681,0.12969,2.96485,2.6832,1.30847,0.000373898,0.000373898,0.000373898
15,2387.73,2.50527,2.6114,1.42043,0.47471,0.33743,0.25108,0.13341,2.93524,2.58333,1.31694,0.000366044,0.000366044,0.000366044
16,2549.94,2.43066,2.58441,1.4402,0.5338,0.27347,0.28909,0.14965,2.94469,2.55691,1.29353,0.00035819,0.00035819,0.00035819
17,2706.99,2.52523,2.53458,1.43048,0.43894,0.34686,0.28314,0.14729,2.90568,2.51677,1.29964,0.000350336,0.000350336,0.000350336
18,2865.14,2.45327,2.47092,1.36825,0.4417,0.36084,0.31362,0.15315,2.88782,2.4723,1.24753,0.000342482,0.000342482,0.000342482
19,3025.53,2.46001,2.50482,1.41887,0.44855,0.38773,0.31772,0.1608,2.85916,2.46254,1.25027,0.000334628,0.000334628,0.000334628
20,3187.64,2.37018,2.4404,1.38392,0.50337,0.32589,0.33541,0.16454,2.90223,2.38675,1.28834,0.000326774,0.000326774,0.000326774
21,3350.48,2.37645,2.37388,1.39648,0.38864,0.37815,0.31076,0.15696,2.83939,2.48004,1.25627,0.00031892,0.00031892,0.00031892
22,3513.03,2.44157,2.3635,1.36487,0.45809,0.33567,0.32539,0.16823,2.77753,2.47935,1.21439,0.000311066,0.000311066,0.000311066
23,3676.57,2.32574,2.37054,1.33189,0.48254,0.39503,0.35346,0.17774,2.82051,2.39769,1.23509,0.000303212,0.000303212,0.000303212
24,3840.09,2.37075,2.30791,1.34498,0.45062,0.37868,0.33729,0.16692,2.79378,2.52796,1.25384,0.000295358,0.000295358,0.000295358
25,4004.45,2.34103,2.23221,1.33919,0.46575,0.34464,0.35607,0.18252,2.792,2.4375,1.24076,0.000287504,0.000287504,0.000287504
26,4168.15,2.32748,2.20595,1.30088,0.43787,0.37124,0.36199,0.17972,2.81688,2.42952,1.2438,0.00027965,0.00027965,0.00027965
27,4332.6,2.29476,2.20784,1.31856,0.47844,0.37765,0.34049,0.16959,2.82451,2.36413,1.25911,0.000271796,0.000271796,0.000271796
28,4496.54,2.30327,2.16481,1.33767,0.48285,0.37922,0.37915,0.19027,2.79977,2.25,1.23004,0.000263942,0.000263942,0.000263942
29,4655.8,2.26846,2.16496,1.34457,0.47031,0.39927,0.38113,0.19292,2.79748,2.2266,1.21788,0.000256088,0.000256088,0.000256088
30,4814.68,2.24227,2.11907,1.29194,0.45187,0.41314,0.38651,0.19171,2.7881,2.23348,1.21872,0.000248234,0.000248234,0.000248234
31,4973.38,2.25856,2.04908,1.31425,0.34793,0.45975,0.39091,0.19332,2.70143,2.19121,1.18539,0.00024038,0.00024038,0.00024038
32,5131.19,2.27785,2.14088,1.29868,0.35518,0.52032,0.39664,0.1949,2.74951,2.15914,1.21838,0.000232526,0.000232526,0.000232526
33,5289.82,2.14859,1.96071,1.27289,0.34247,0.53763,0.41194,0.19233,2.79993,2.22043,1.23014,0.000224672,0.000224672,0.000224672
34,5447.61,2.16627,1.99715,1.26993,0.47039,0.4353,0.40459,0.20782,2.67602,2.17823,1.17964,0.000216818,0.000216818,0.000216818
